trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.54,4.54,4.16,4.29,4.49,445052.0,1922390.76
2026-09-09,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.4,4.54,4.4,4.49,4.45,180943.0,810121.92
2026-09-08,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.4,4.55,4.37,4.45,4.4,331028.0,1476078.37
2026-09-07,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.53,4.59,4.31,4.4,4.53,336415.0,1487447.19
2026-09-04,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.58,4.62,4.49,4.53,4.53,270171.0,1234549.5
2026-09-03,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.45,4.57,4.39,4.53,4.46,222619.0,1003759.67
2026-09-02,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.42,4.55,4.38,4.46,4.48,147223.0,655982.5
2026-09-01,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.5,4.58,4.41,4.48,4.48,132758.0,596958.55
2026-08-31,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.59,4.59,4.4,4.48,4.5,269308.0,1193881.74
2026-08-28,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.63,4.65,4.45,4.5,4.54,99545.0,447234.35
2026-08-27,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.53,4.67,4.51,4.54,4.53,115936.0,527551.96
2026-08-26,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.51,4.65,4.5,4.53,4.58,185432.0,843066.12
2026-08-25,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.63,4.84,4.5,4.58,4.62,212004.0,981828.7
2026-08-24,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.54,5.0,4.4,4.62,4.45,359359.0,1677038.56
2026-08-21,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.59,5.0,4.39,4.45,4.55,654294.0,3000384.47
2026-08-20,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.35,5.15,4.25,4.55,4.35,633467.0,2899780.57
2026-08-19,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.3,4.45,4.3,4.35,4.38,176307.0,770882.39
2026-08-18,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.57,4.57,4.3,4.38,4.43,308547.0,1356837.39
2026-08-17,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.54,4.59,4.41,4.43,4.54,193816.0,863438.49
2026-08-14,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.5,5.31,4.24,4.54,4.54,920413.0,4049668.05
2026-08-13,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.61,4.61,4.5,4.54,4.56,145919.0,665019.1
2026-08-12,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.61,4.61,4.53,4.56,4.55,204487.0,932455.34
2026-08-11,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.58,4.61,4.52,4.55,4.55,89272.0,406638.47
2026-08-10,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.65,4.65,4.52,4.55,4.59,131629.0,600663.84
2026-08-07,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.52,4.62,4.52,4.59,4.56,140824.0,644475.18
2026-08-06,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.52,4.61,4.52,4.56,4.59,162722.0,743341.71
2026-08-05,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.6,4.63,4.52,4.59,4.56,228465.0,1047554.48
2026-08-04,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.63,4.65,4.53,4.56,4.56,209657.0,957782.2
2026-08-03,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.57,4.73,4.5,4.56,4.58,307600.0,1407607.67
2026-07-31,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.53,4.61,4.53,4.58,4.55,142233.0,651138.7
2026-07-30,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.61,4.64,4.53,4.55,4.59,168370.0,768698.55
2026-07-29,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.54,4.65,4.51,4.59,4.59,117276.0,537670.51
2026-07-28,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.67,4.67,4.52,4.59,4.61,147291.0,675935.34
2026-07-27,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.55,4.69,4.5,4.61,4.55,207932.0,955760.18
2026-07-24,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.57,4.58,4.45,4.55,4.5,149843.0,677307.39
2026-07-23,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.5,4.59,4.48,4.5,4.52,176106.0,794726.39
2026-07-22,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.62,4.64,4.5,4.52,4.54,131806.0,599172.85
2026-07-21,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.56,4.69,4.5,4.54,4.54,276704.0,1264867.52
2026-07-20,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.65,4.65,4.42,4.54,4.58,151794.0,692816.62
2026-07-17,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.52,4.65,4.4,4.58,4.51,194639.0,881639.75
2026-07-16,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.69,4.7,4.47,4.51,4.6,654349.0,2982826.43
2026-07-15,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.74,4.83,4.58,4.6,4.71,445637.0,2078492.5
2026-07-14,KAMOPAINTS,EQUITY,EQ,INE0BTI01037,4.9,4.95,4.69,4.71,4.8,735128.0,3501355.92
