trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,KARMAENG,EQUITY,EQ,INE725L01011,37.7,37.99,36.8,37.18,37.3,445.0,16746.14
2026-09-07,KARMAENG,EQUITY,EQ,INE725L01011,37.45,38.24,37.2,37.3,37.45,1761.0,65902.28
2026-09-04,KARMAENG,EQUITY,EQ,INE725L01011,39.0,39.0,36.8,37.45,37.7,4181.0,155720.22
2026-09-03,KARMAENG,EQUITY,EQ,INE725L01011,38.5,38.5,37.39,37.7,37.0,722.0,27074.12
2026-09-02,KARMAENG,EQUITY,EQ,INE725L01011,37.7,37.95,36.61,37.0,37.28,2444.0,91480.36
2026-09-01,KARMAENG,EQUITY,EQ,INE725L01011,37.99,38.79,37.0,37.28,37.99,8244.0,307927.19
2026-08-31,KARMAENG,EQUITY,EQ,INE725L01011,40.0,40.0,37.6,37.99,38.84,2489.0,94564.29
2026-08-28,KARMAENG,EQUITY,EQ,INE725L01011,37.51,43.2,37.51,38.84,38.05,8956.0,353206.26
2026-08-27,KARMAENG,EQUITY,EQ,INE725L01011,37.55,39.95,37.55,38.05,38.0,410.0,15726.23
2026-08-26,KARMAENG,EQUITY,EQ,INE725L01011,38.7,38.7,37.8,38.0,38.2,2342.0,88915.1
2026-08-25,KARMAENG,EQUITY,EQ,INE725L01011,38.21,38.99,37.65,38.2,38.21,3120.0,119027.93
2026-08-24,KARMAENG,EQUITY,EQ,INE725L01011,39.99,39.99,37.71,38.21,38.59,3072.0,118392.82
2026-08-21,KARMAENG,EQUITY,EQ,INE725L01011,40.15,40.2,38.4,38.59,39.22,4688.0,182497.69
2026-08-20,KARMAENG,EQUITY,EQ,INE725L01011,38.3,39.39,38.3,39.22,38.26,2030.0,78431.85
2026-08-19,KARMAENG,EQUITY,EQ,INE725L01011,40.9,40.99,38.0,38.26,39.31,4506.0,175362.77
2026-08-18,KARMAENG,EQUITY,EQ,INE725L01011,39.61,40.6,39.0,39.31,40.52,1117.0,44228.71
2026-08-17,KARMAENG,EQUITY,EQ,INE725L01011,40.45,40.9,39.3,40.52,39.71,1134.0,45613.44
2026-08-14,KARMAENG,EQUITY,EQ,INE725L01011,41.9,42.6,39.51,39.71,41.22,3116.0,127113.62
2026-08-13,KARMAENG,EQUITY,EQ,INE725L01011,41.9,41.9,39.22,41.22,39.45,3826.0,155743.68
2026-08-12,KARMAENG,EQUITY,EQ,INE725L01011,40.84,40.84,39.42,39.45,39.51,811.0,32223.0
2026-08-11,KARMAENG,EQUITY,EQ,INE725L01011,40.81,41.8,39.31,39.51,41.71,5420.0,220098.57
2026-08-10,KARMAENG,EQUITY,EQ,INE725L01011,42.03,44.0,39.52,41.71,41.21,14668.0,600808.4
2026-08-07,KARMAENG,EQUITY,EQ,INE725L01011,39.53,44.95,38.22,41.21,39.03,45791.0,1955692.48
2026-08-06,KARMAENG,EQUITY,EQ,INE725L01011,39.8,39.8,38.2,39.03,38.71,5634.0,217823.54
2026-08-05,KARMAENG,EQUITY,EQ,INE725L01011,39.4,39.8,37.82,38.71,38.13,5912.0,229860.49
2026-08-04,KARMAENG,EQUITY,EQ,INE725L01011,38.78,39.38,37.57,38.13,38.5,3272.0,124751.34
2026-08-03,KARMAENG,EQUITY,EQ,INE725L01011,36.6,39.9,36.6,38.5,38.24,1381.0,52982.68
2026-07-31,KARMAENG,EQUITY,EQ,INE725L01011,38.08,40.9,37.0,38.24,37.45,11798.0,457700.83
2026-07-30,KARMAENG,EQUITY,EQ,INE725L01011,38.96,38.96,37.2,37.45,37.47,3558.0,133703.86
2026-07-29,KARMAENG,EQUITY,EQ,INE725L01011,38.11,38.89,37.26,37.47,38.03,1728.0,65540.53
2026-07-28,KARMAENG,EQUITY,EQ,INE725L01011,38.11,38.11,37.42,38.03,37.81,1381.0,52530.83
2026-07-27,KARMAENG,EQUITY,EQ,INE725L01011,38.18,39.09,37.72,37.81,38.18,4354.0,165623.01
2026-07-24,KARMAENG,EQUITY,EQ,INE725L01011,38.8,38.8,37.1,38.18,37.6,901.0,34395.72
2026-07-23,KARMAENG,EQUITY,EQ,INE725L01011,39.65,39.65,37.0,37.6,38.09,7696.0,290024.55
2026-07-22,KARMAENG,EQUITY,EQ,INE725L01011,39.8,39.8,38.0,38.09,39.09,1036.0,39763.06
2026-07-21,KARMAENG,EQUITY,EQ,INE725L01011,37.31,39.39,37.31,39.09,37.84,8412.0,319980.53
2026-07-20,KARMAENG,EQUITY,EQ,INE725L01011,39.0,39.0,37.82,37.84,38.72,2103.0,80315.64
2026-07-17,KARMAENG,EQUITY,EQ,INE725L01011,37.5,38.88,37.07,38.72,37.5,4840.0,185079.7
2026-07-16,KARMAENG,EQUITY,EQ,INE725L01011,38.49,39.15,37.07,37.5,37.99,4104.0,154998.81
2026-07-15,KARMAENG,EQUITY,EQ,INE725L01011,40.57,40.57,37.73,37.99,38.69,7570.0,293307.63
2026-07-14,KARMAENG,EQUITY,EQ,INE725L01011,40.8,40.8,38.6,38.69,39.98,5653.0,220394.06
2026-07-13,KARMAENG,EQUITY,EQ,INE725L01011,40.84,40.84,38.84,39.98,39.28,4959.0,198040.49
2026-07-10,KARMAENG,EQUITY,EQ,INE725L01011,39.99,40.3,39.0,39.28,39.92,7426.0,293793.3
2026-07-09,KARMAENG,EQUITY,EQ,INE725L01011,40.0,40.45,39.11,39.92,39.93,2545.0,100690.09
2026-07-08,KARMAENG,EQUITY,EQ,INE725L01011,40.3,40.3,38.81,39.93,39.71,2837.0,113065.45
2026-07-07,KARMAENG,EQUITY,EQ,INE725L01011,42.06,42.06,38.32,39.71,41.65,13465.0,538197.63
2026-07-06,KARMAENG,EQUITY,EQ,INE725L01011,41.13,42.1,40.05,41.65,41.01,2724.0,111240.53
2026-07-03,KARMAENG,EQUITY,EQ,INE725L01011,42.3,42.3,40.26,41.01,41.08,4642.0,190554.99
2026-07-02,KARMAENG,EQUITY,EQ,INE725L01011,42.8,42.8,40.88,41.08,41.56,4711.0,194667.09
2026-07-01,KARMAENG,EQUITY,EQ,INE725L01011,42.5,42.5,41.39,41.56,41.59,4881.0,204091.94
2026-06-30,KARMAENG,EQUITY,EQ,INE725L01011,42.6,42.7,41.4,41.59,41.47,2949.0,123869.61
2026-06-29,KARMAENG,EQUITY,EQ,INE725L01011,43.44,43.44,40.51,41.47,43.44,6186.0,258513.69
2026-06-25,KARMAENG,EQUITY,EQ,INE725L01011,44.99,46.9,42.65,43.44,43.19,8460.0,373906.9
2026-06-24,KARMAENG,EQUITY,EQ,INE725L01011,40.4,43.84,40.4,43.19,40.0,14038.0,598567.94
2026-06-23,KARMAENG,EQUITY,EQ,INE725L01011,43.5,43.66,40.0,40.0,40.59,8806.0,363833.39
2026-06-22,KARMAENG,EQUITY,EQ,INE725L01011,40.0,42.59,40.0,40.59,40.58,4751.0,195796.84
2026-06-19,KARMAENG,EQUITY,EQ,INE725L01011,42.0,42.0,39.62,40.58,42.0,8109.0,329127.49
2026-06-18,KARMAENG,EQUITY,EQ,INE725L01011,42.69,42.74,41.02,42.0,42.07,3906.0,163114.31
2026-06-17,KARMAENG,EQUITY,EQ,INE725L01011,42.0,43.01,41.52,42.07,42.92,5516.0,232789.71
2026-06-16,KARMAENG,EQUITY,EQ,INE725L01011,42.85,43.9,41.21,42.92,42.85,4334.0,184797.25
2026-06-15,KARMAENG,EQUITY,EQ,INE725L01011,42.74,43.0,42.0,42.85,41.41,4340.0,184765.48
2026-06-12,KARMAENG,EQUITY,EQ,INE725L01011,42.28,42.35,41.01,41.41,40.77,1661.0,69615.37
2026-06-11,KARMAENG,EQUITY,EQ,INE725L01011,41.5,41.99,40.61,40.77,41.45,543.0,22344.32
2026-06-10,KARMAENG,EQUITY,EQ,INE725L01011,43.35,43.35,39.51,41.45,41.98,4005.0,163865.6
2026-06-09,KARMAENG,EQUITY,EQ,INE725L01011,39.98,43.53,39.96,41.98,39.99,6956.0,288054.24
2026-06-08,KARMAENG,EQUITY,EQ,INE725L01011,42.0,42.0,39.5,39.99,42.06,3510.0,141605.34
2026-06-05,KARMAENG,EQUITY,EQ,INE725L01011,42.27,43.7,41.65,42.06,42.27,14937.0,632035.62
2026-06-04,KARMAENG,EQUITY,EQ,INE725L01011,43.3,43.3,41.61,42.27,43.8,19576.0,824118.1
2026-06-03,KARMAENG,EQUITY,EQ,INE725L01011,43.8,44.0,42.55,43.8,43.98,2736.0,118951.05
2026-06-02,KARMAENG,EQUITY,EQ,INE725L01011,44.81,45.49,43.71,43.98,44.81,1375.0,60576.48
2026-06-01,KARMAENG,EQUITY,EQ,INE725L01011,46.9,46.9,43.55,44.81,45.73,3930.0,176164.4
2026-05-29,KARMAENG,EQUITY,EQ,INE725L01011,46.86,46.86,45.12,45.73,45.94,3702.0,170582.16
2026-05-27,KARMAENG,EQUITY,EQ,INE725L01011,44.56,46.89,44.56,45.94,45.16,1521.0,70177.63
2026-05-26,KARMAENG,EQUITY,EQ,INE725L01011,47.34,48.24,45.0,45.16,46.17,9039.0,419613.46
2026-05-25,KARMAENG,EQUITY,EQ,INE725L01011,45.44,46.85,45.0,46.17,45.44,2812.0,129388.97
2026-05-22,KARMAENG,EQUITY,EQ,INE725L01011,46.2,46.2,44.57,45.44,45.29,3680.0,167034.77
2026-05-21,KARMAENG,EQUITY,EQ,INE725L01011,44.35,46.8,44.35,45.29,46.29,3622.0,164982.63
2026-05-20,KARMAENG,EQUITY,EQ,INE725L01011,48.0,48.0,45.75,46.29,48.0,4783.0,222345.36
2026-05-19,KARMAENG,EQUITY,EQ,INE725L01011,48.16,50.7,47.99,48.0,49.13,2547.0,123222.73
2026-05-18,KARMAENG,EQUITY,EQ,INE725L01011,51.33,51.33,48.85,49.13,50.33,1831.0,90327.23
2026-05-15,KARMAENG,EQUITY,EQ,INE725L01011,51.0,51.48,49.81,50.33,49.03,7387.0,376144.18
2026-05-14,KARMAENG,EQUITY,EQ,INE725L01011,48.17,51.0,48.17,49.03,49.39,2746.0,136703.15
2026-05-13,KARMAENG,EQUITY,EQ,INE725L01011,49.99,50.99,48.36,49.39,49.57,2866.0,140984.94
2026-05-12,KARMAENG,EQUITY,EQ,INE725L01011,51.6,51.6,49.2,49.57,50.18,8307.0,416082.27
2026-05-11,KARMAENG,EQUITY,EQ,INE725L01011,50.5,52.47,50.0,50.18,51.5,2528.0,127836.56
2026-05-08,KARMAENG,EQUITY,EQ,INE725L01011,52.0,53.39,50.99,51.5,51.1,8604.0,448540.97
2026-05-07,KARMAENG,EQUITY,EQ,INE725L01011,52.38,52.38,50.8,51.1,51.75,5105.0,261644.03
2026-05-06,KARMAENG,EQUITY,EQ,INE725L01011,51.0,52.0,50.06,51.75,50.22,6898.0,353903.24
2026-05-05,KARMAENG,EQUITY,EQ,INE725L01011,52.67,52.67,49.72,50.22,51.9,17075.0,871489.72
2026-05-04,KARMAENG,EQUITY,EQ,INE725L01011,52.43,53.64,51.1,51.9,52.41,5982.0,310822.73
2026-04-30,KARMAENG,EQUITY,EQ,INE725L01011,51.9,52.79,50.51,52.41,51.81,3189.0,166622.06
2026-04-29,KARMAENG,EQUITY,EQ,INE725L01011,52.2,52.5,51.4,51.81,50.54,4405.0,228939.29
2026-04-28,KARMAENG,EQUITY,EQ,INE725L01011,52.07,52.9,50.12,50.54,52.67,5700.0,293108.96
2026-04-27,KARMAENG,EQUITY,EQ,INE725L01011,50.31,53.85,50.31,52.67,51.34,4079.0,215744.15
