trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,KAVDEFENCE,EQUITY,EQ,INE641C01019,72.41,73.8,68.2,69.33,74.77,1320997.0,93645519.92
2026-09-10,KAVDEFENCE,EQUITY,EQ,INE641C01019,63.0,75.82,61.0,74.77,63.19,2362626.0,171913505.63
2026-09-09,KAVDEFENCE,EQUITY,EQ,INE641C01019,64.5,67.83,62.2,63.19,64.62,283464.0,18183576.74
2026-09-08,KAVDEFENCE,EQUITY,EQ,INE641C01019,67.98,68.5,63.0,64.62,66.51,521569.0,34342293.23
2026-09-07,KAVDEFENCE,EQUITY,EQ,INE641C01019,70.05,72.97,65.61,66.51,67.14,1750897.0,119864004.09
2026-09-04,KAVDEFENCE,EQUITY,EQ,INE641C01019,56.95,67.38,56.78,67.14,56.15,1505543.0,99108521.05
2026-09-03,KAVDEFENCE,EQUITY,EQ,INE641C01019,56.7,56.7,54.7,56.15,55.31,94750.0,5277462.99
2026-09-02,KAVDEFENCE,EQUITY,EQ,INE641C01019,55.75,56.78,55.0,55.31,56.05,61691.0,3413181.65
2026-09-01,KAVDEFENCE,EQUITY,EQ,INE641C01019,56.21,57.26,55.6,56.05,56.2,115900.0,6513546.5
2026-08-31,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.0,57.88,55.8,56.2,57.22,92104.0,5219031.58
2026-08-28,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.7,58.11,56.73,57.22,57.83,75324.0,4311706.03
2026-08-27,KAVDEFENCE,EQUITY,EQ,INE641C01019,58.65,60.3,57.5,57.83,58.41,77154.0,4533224.98
2026-08-26,KAVDEFENCE,EQUITY,EQ,INE641C01019,60.11,60.6,58.01,58.41,59.51,75758.0,4438851.41
2026-08-25,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.2,62.09,56.8,59.51,57.12,311832.0,18526865.3
2026-08-24,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.38,58.0,56.7,57.12,56.9,68125.0,3899686.17
2026-08-21,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.0,58.52,56.5,56.9,57.22,108663.0,6225977.55
2026-08-20,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.1,58.86,56.21,57.22,57.07,69338.0,3958532.03
2026-08-19,KAVDEFENCE,EQUITY,EQ,INE641C01019,59.29,59.29,56.11,57.07,57.53,137081.0,7924386.83
2026-08-18,KAVDEFENCE,EQUITY,EQ,INE641C01019,55.6,60.0,54.89,57.53,56.61,227616.0,12997321.29
2026-08-17,KAVDEFENCE,EQUITY,EQ,INE641C01019,56.96,56.96,54.16,56.61,56.96,153358.0,8510240.44
2026-08-14,KAVDEFENCE,EQUITY,EQ,INE641C01019,58.4,58.5,56.15,56.96,57.29,75502.0,4331071.12
2026-08-13,KAVDEFENCE,EQUITY,EQ,INE641C01019,58.0,59.2,56.9,57.29,58.59,71608.0,4136470.23
2026-08-12,KAVDEFENCE,EQUITY,EQ,INE641C01019,58.95,60.97,57.71,58.59,58.89,89442.0,5263355.86
2026-08-11,KAVDEFENCE,EQUITY,EQ,INE641C01019,60.7,60.7,58.0,58.89,60.26,91696.0,5438751.51
2026-08-10,KAVDEFENCE,EQUITY,EQ,INE641C01019,56.6,62.5,55.71,60.26,56.9,337815.0,20179051.53
2026-08-07,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.01,58.18,56.65,56.9,57.16,93917.0,5371543.02
2026-08-06,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.85,58.19,56.51,57.16,57.33,95345.0,5473809.0
2026-08-05,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.38,58.0,56.0,57.33,57.18,76616.0,4390225.58
2026-08-04,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.87,58.9,57.0,57.18,58.52,66437.0,3821921.99
2026-08-03,KAVDEFENCE,EQUITY,EQ,INE641C01019,56.71,59.71,56.71,58.52,57.11,117414.0,6887442.87
2026-07-31,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.99,57.99,55.05,57.11,56.02,60904.0,3466268.75
2026-07-30,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.4,57.86,55.65,56.02,56.42,82413.0,4655801.81
2026-07-29,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.33,57.5,56.0,56.42,56.41,51932.0,2943587.04
2026-07-28,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.37,58.3,56.0,56.41,57.37,48185.0,2753895.93
2026-07-27,KAVDEFENCE,EQUITY,EQ,INE641C01019,56.51,58.59,56.51,57.37,57.06,45791.0,2639071.05
2026-07-24,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.4,57.4,55.25,57.06,56.95,56766.0,3216863.26
2026-07-23,KAVDEFENCE,EQUITY,EQ,INE641C01019,57.53,58.98,56.5,56.95,57.72,48463.0,2793796.88
2026-07-22,KAVDEFENCE,EQUITY,EQ,INE641C01019,58.64,59.21,57.0,57.72,58.63,51678.0,2991723.66
2026-07-21,KAVDEFENCE,EQUITY,EQ,INE641C01019,60.75,60.75,58.25,58.63,58.58,60880.0,3598996.89
2026-07-20,KAVDEFENCE,EQUITY,EQ,INE641C01019,59.95,59.95,57.41,58.58,59.63,103936.0,6075871.89
2026-07-17,KAVDEFENCE,EQUITY,EQ,INE641C01019,60.0,60.0,58.5,59.63,59.18,53200.0,3148420.77
2026-07-16,KAVDEFENCE,EQUITY,EQ,INE641C01019,59.86,61.6,58.75,59.18,59.86,88424.0,5271636.99
2026-07-15,KAVDEFENCE,EQUITY,EQ,INE641C01019,61.2,61.2,59.68,59.86,60.2,63767.0,3843319.52
2026-07-14,KAVDEFENCE,EQUITY,EQ,INE641C01019,61.0,61.9,58.71,60.2,61.67,114776.0,6908192.99
2026-07-13,KAVDEFENCE,EQUITY,EQ,INE641C01019,62.51,63.39,60.61,61.67,62.85,79809.0,4931118.43
