trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-05-29,KAVVERITEL,EQUITY,EQ,INE641C01019,15.7,16.2,14.8,15.35,,101022.0,1582790.8
2024-05-28,KAVVERITEL,EQUITY,EQ,INE641C01019,15.95,16.35,15.1,15.45,,145886.0,2356646.1
2024-05-27,KAVVERITEL,EQUITY,EQ,INE641C01019,16.45,16.45,15.35,15.6,,70678.0,1131593.85
2024-05-24,KAVVERITEL,EQUITY,EQ,INE641C01019,16.9,17.35,16.05,16.05,,116504.0,1924044.45
2024-05-23,KAVVERITEL,EQUITY,EQ,INE641C01019,17.25,18.15,16.9,16.9,,86562.0,1481819.9
2024-05-22,KAVVERITEL,EQUITY,EQ,INE641C01019,18.05,18.3,17.5,17.75,,76418.0,1374965.05
2024-05-21,KAVVERITEL,EQUITY,EQ,INE641C01019,18.95,19.25,17.45,17.45,,186848.0,3341957.9
2024-05-17,KAVVERITEL,EQUITY,EQ,INE641C01019,18.45,18.8,17.25,17.55,,113778.0,2067123.3
2024-05-16,KAVVERITEL,EQUITY,EQ,INE641C01019,17.35,17.95,17.3,17.95,,92663.0,1656102.0
2024-05-15,KAVVERITEL,EQUITY,EQ,INE641C01019,16.55,17.1,15.8,17.1,,66703.0,1112210.3
2024-05-14,KAVVERITEL,EQUITY,EQ,INE641C01019,16.4,16.7,16.3,16.3,,152592.0,2497556.3
2024-05-13,KAVVERITEL,EQUITY,EQ,INE641C01019,17.15,17.15,17.15,17.15,,11838.0,203021.7
2024-05-10,KAVVERITEL,EQUITY,EQ,INE641C01019,18.05,18.85,18.05,18.05,,115815.0,2095783.75
2024-05-09,KAVVERITEL,EQUITY,EQ,INE641C01019,21.0,21.0,19.0,19.0,,482082.0,9420374.45
2024-05-08,KAVVERITEL,EQUITY,EQ,INE641C01019,20.0,20.0,20.0,20.0,,37568.0,751360.0
2024-05-07,KAVVERITEL,EQUITY,EQ,INE641C01019,19.05,19.05,19.05,19.05,,47227.0,899674.35
2024-05-06,KAVVERITEL,EQUITY,EQ,INE641C01019,18.15,18.15,18.15,18.15,,29587.0,537004.05
2024-05-03,KAVVERITEL,EQUITY,EQ,INE641C01019,17.25,17.3,17.25,17.3,,62192.0,1075548.45
2024-05-02,KAVVERITEL,EQUITY,EQ,INE641C01019,16.45,16.5,16.15,16.5,,37932.0,625127.75
2024-04-30,KAVVERITEL,EQUITY,EQ,INE641C01019,15.65,15.75,15.05,15.75,,63800.0,997312.2
2024-04-29,KAVVERITEL,EQUITY,EQ,INE641C01019,14.5,15.0,13.75,15.0,,159536.0,2322106.05
2024-04-26,KAVVERITEL,EQUITY,EQ,INE641C01019,14.2,14.45,13.9,14.3,,33012.0,468900.6
2024-04-25,KAVVERITEL,EQUITY,EQ,INE641C01019,14.6,14.95,13.8,14.1,,47401.0,669241.85
2024-04-24,KAVVERITEL,EQUITY,EQ,INE641C01019,14.3,14.4,14.0,14.35,,39153.0,559062.05
2024-04-23,KAVVERITEL,EQUITY,EQ,INE641C01019,13.7,13.8,13.35,13.75,,50916.0,699805.3
2024-04-22,KAVVERITEL,EQUITY,EQ,INE641C01019,12.8,13.15,12.5,13.15,,18300.0,237786.05
