trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-08-10,KCPSUGIND,EQUITY,EQ,INE790B01024,30.03,30.74,29.85,29.92,29.96,282416.0,8587917.78
2026-08-07,KCPSUGIND,EQUITY,EQ,INE790B01024,30.5,31.03,29.51,29.96,30.73,269107.0,8133336.21
2026-08-06,KCPSUGIND,EQUITY,EQ,INE790B01024,31.47,31.84,30.16,30.73,31.47,281176.0,8704159.4
2026-08-05,KCPSUGIND,EQUITY,EQ,INE790B01024,32.1,32.6,30.4,31.47,31.37,472489.0,14783234.72
2026-08-04,KCPSUGIND,EQUITY,EQ,INE790B01024,32.75,33.7,30.99,31.37,32.59,672199.0,21704406.41
2026-08-03,KCPSUGIND,EQUITY,EQ,INE790B01024,32.27,33.0,30.8,32.59,31.95,537049.0,17368575.3
2026-07-31,KCPSUGIND,EQUITY,EQ,INE790B01024,32.25,33.25,31.0,31.95,31.85,264115.0,8549966.04
2026-07-30,KCPSUGIND,EQUITY,EQ,INE790B01024,32.2,33.78,31.5,31.85,32.56,690126.0,22530074.82
2026-07-29,KCPSUGIND,EQUITY,EQ,INE790B01024,30.6,33.33,30.26,32.56,30.91,1099257.0,35311060.04
2026-07-28,KCPSUGIND,EQUITY,EQ,INE790B01024,32.74,32.74,30.01,30.91,32.08,792584.0,24673191.62
2026-07-27,KCPSUGIND,EQUITY,EQ,INE790B01024,28.7,32.84,28.21,32.08,27.85,3727198.0,115993114.57
2026-07-24,KCPSUGIND,EQUITY,EQ,INE790B01024,24.1,28.75,24.1,27.85,24.19,3946850.0,107945947.42
2026-07-23,KCPSUGIND,EQUITY,EQ,INE790B01024,24.55,25.09,24.15,24.19,25.06,237183.0,5823724.64
2026-07-22,KCPSUGIND,EQUITY,EQ,INE790B01024,25.97,26.25,24.3,25.06,25.81,1207487.0,30493473.84
2026-07-21,KCPSUGIND,EQUITY,EQ,INE790B01024,25.0,26.05,24.1,25.81,21.71,5896724.0,151271206.36
2026-07-20,KCPSUGIND,EQUITY,EQ,INE790B01024,21.8,21.89,21.53,21.71,21.63,74863.0,1622755.83
2026-07-17,KCPSUGIND,EQUITY,EQ,INE790B01024,21.75,22.17,21.45,21.63,21.75,158408.0,3448632.15
2026-07-16,KCPSUGIND,EQUITY,EQ,INE790B01024,21.79,22.0,21.71,21.75,21.7,55090.0,1202864.34
2026-07-15,KCPSUGIND,EQUITY,EQ,INE790B01024,21.95,21.95,21.52,21.7,21.64,62908.0,1362783.55
2026-07-14,KCPSUGIND,EQUITY,EQ,INE790B01024,21.97,22.08,21.55,21.64,21.97,130378.0,2839102.67
2026-07-13,KCPSUGIND,EQUITY,EQ,INE790B01024,21.73,22.4,21.73,21.97,21.96,177929.0,3924729.15
2026-07-10,KCPSUGIND,EQUITY,EQ,INE790B01024,22.0,22.05,21.84,21.96,21.87,56444.0,1237806.81
2026-07-09,KCPSUGIND,EQUITY,EQ,INE790B01024,21.7,21.9,21.69,21.87,21.71,66433.0,1448879.69
2026-07-08,KCPSUGIND,EQUITY,EQ,INE790B01024,22.0,22.0,21.67,21.71,21.87,78233.0,1701466.55
2026-07-07,KCPSUGIND,EQUITY,EQ,INE790B01024,21.87,22.14,21.79,21.87,21.84,68705.0,1506046.64
2026-07-06,KCPSUGIND,EQUITY,EQ,INE790B01024,22.06,22.47,21.54,21.84,21.96,286972.0,6301496.74
2026-07-03,KCPSUGIND,EQUITY,EQ,INE790B01024,22.1,22.15,21.9,21.96,22.0,118475.0,2604122.89
2026-07-02,KCPSUGIND,EQUITY,EQ,INE790B01024,22.15,22.2,21.9,22.0,21.95,81955.0,1802346.23
2026-07-01,KCPSUGIND,EQUITY,EQ,INE790B01024,22.1,22.53,21.9,21.95,22.07,441923.0,9779622.36
2026-06-30,KCPSUGIND,EQUITY,EQ,INE790B01024,21.9,22.33,21.86,22.07,22.08,200987.0,4440804.55
2026-06-29,KCPSUGIND,EQUITY,EQ,INE790B01024,22.2,22.2,21.91,22.08,22.13,186792.0,4122504.27
2026-06-25,KCPSUGIND,EQUITY,EQ,INE790B01024,22.05,22.25,21.96,22.13,22.11,228036.0,5029617.09
2026-06-24,KCPSUGIND,EQUITY,EQ,INE790B01024,22.05,22.36,21.78,22.11,22.02,199858.0,4404511.72
2026-06-23,KCPSUGIND,EQUITY,EQ,INE790B01024,22.09,22.1,21.9,22.02,22.09,173308.0,3810869.17
2026-06-22,KCPSUGIND,EQUITY,EQ,INE790B01024,22.0,22.32,21.97,22.09,21.97,269096.0,5938008.68
2026-06-19,KCPSUGIND,EQUITY,EQ,INE790B01024,22.04,22.29,21.89,21.97,22.04,252319.0,5554665.49
2026-06-18,KCPSUGIND,EQUITY,EQ,INE790B01024,22.44,22.48,22.0,22.04,22.24,446322.0,9877670.53
2026-06-17,KCPSUGIND,EQUITY,EQ,INE790B01024,22.87,22.87,21.95,22.24,22.63,602563.0,13358805.08
2026-06-16,KCPSUGIND,EQUITY,EQ,INE790B01024,23.12,23.19,22.45,22.63,23.04,267791.0,6092620.99
2026-06-15,KCPSUGIND,EQUITY,EQ,INE790B01024,23.4,23.6,22.7,23.04,22.48,309177.0,7163704.33
2026-06-12,KCPSUGIND,EQUITY,EQ,INE790B01024,23.1,23.1,22.33,22.48,22.53,189580.0,4280181.39
2026-06-11,KCPSUGIND,EQUITY,EQ,INE790B01024,23.39,23.39,22.11,22.53,22.88,149096.0,3383389.41
2026-06-10,KCPSUGIND,EQUITY,EQ,INE790B01024,23.5,23.5,22.8,22.88,23.2,146541.0,3372322.2
2026-06-09,KCPSUGIND,EQUITY,EQ,INE790B01024,23.61,24.44,23.08,23.2,23.89,323605.0,7547274.27
2026-06-08,KCPSUGIND,EQUITY,EQ,INE790B01024,23.88,24.61,23.5,23.89,23.96,203073.0,4878771.07
2026-06-05,KCPSUGIND,EQUITY,EQ,INE790B01024,23.98,24.12,23.5,23.96,23.63,113578.0,2712474.7
2026-06-04,KCPSUGIND,EQUITY,EQ,INE790B01024,23.45,24.48,23.45,23.63,23.9,177373.0,4224480.25
2026-06-03,KCPSUGIND,EQUITY,EQ,INE790B01024,24.01,24.5,23.35,23.9,23.92,131211.0,3103226.51
2026-06-02,KCPSUGIND,EQUITY,EQ,INE790B01024,25.49,25.49,23.24,23.92,25.06,350509.0,8342686.41
2026-06-01,KCPSUGIND,EQUITY,EQ,INE790B01024,23.2,26.5,23.2,25.06,22.92,291603.0,7159280.1
2026-05-29,KCPSUGIND,EQUITY,EQ,INE790B01024,24.05,24.98,22.41,22.92,24.62,689469.0,16030192.21
2026-05-27,KCPSUGIND,EQUITY,EQ,INE790B01024,24.5,24.92,24.2,24.62,24.57,113777.0,2795493.88
2026-05-26,KCPSUGIND,EQUITY,EQ,INE790B01024,24.85,24.85,24.0,24.57,24.46,46914.0,1150702.24
2026-05-25,KCPSUGIND,EQUITY,EQ,INE790B01024,23.91,24.64,23.91,24.46,24.15,37847.0,921830.76
2026-05-22,KCPSUGIND,EQUITY,EQ,INE790B01024,24.34,24.68,24.0,24.15,24.34,43261.0,1048079.26
2026-05-21,KCPSUGIND,EQUITY,EQ,INE790B01024,24.67,24.67,24.21,24.34,24.18,57055.0,1392496.29
2026-05-20,KCPSUGIND,EQUITY,EQ,INE790B01024,24.3,24.69,24.05,24.18,24.31,58162.0,1416261.72
2026-05-19,KCPSUGIND,EQUITY,EQ,INE790B01024,23.99,24.46,23.82,24.31,23.7,50111.0,1211239.24
2026-05-18,KCPSUGIND,EQUITY,EQ,INE790B01024,24.65,24.65,23.47,23.7,24.65,124016.0,2967597.59
2026-05-15,KCPSUGIND,EQUITY,EQ,INE790B01024,24.75,25.0,24.37,24.65,24.76,93764.0,2313153.28
2026-05-14,KCPSUGIND,EQUITY,EQ,INE790B01024,25.22,25.39,24.41,24.76,25.24,207013.0,5124365.88
2026-05-13,KCPSUGIND,EQUITY,EQ,INE790B01024,25.62,26.37,24.6,25.24,25.74,162565.0,4166792.71
2026-05-12,KCPSUGIND,EQUITY,EQ,INE790B01024,26.16,26.49,25.51,25.74,26.37,133678.0,3463378.42
2026-05-11,KCPSUGIND,EQUITY,EQ,INE790B01024,26.89,26.98,26.0,26.37,26.98,156852.0,4143048.45
2026-05-08,KCPSUGIND,EQUITY,EQ,INE790B01024,27.48,27.48,26.58,26.98,27.06,91810.0,2462395.54
2026-05-07,KCPSUGIND,EQUITY,EQ,INE790B01024,26.68,27.8,26.52,27.06,26.85,165623.0,4478412.41
2026-05-06,KCPSUGIND,EQUITY,EQ,INE790B01024,27.01,27.01,26.36,26.85,26.75,131022.0,3497234.42
2026-05-05,KCPSUGIND,EQUITY,EQ,INE790B01024,25.87,27.39,25.87,26.75,26.16,387097.0,10335639.86
2026-05-04,KCPSUGIND,EQUITY,EQ,INE790B01024,27.39,27.42,26.02,26.16,26.77,294027.0,7869737.39
2026-04-30,KCPSUGIND,EQUITY,EQ,INE790B01024,26.09,27.75,26.08,26.77,26.19,545968.0,14708161.82
2026-04-29,KCPSUGIND,EQUITY,EQ,INE790B01024,25.85,26.7,25.61,26.19,25.5,160261.0,4201643.85
2026-04-28,KCPSUGIND,EQUITY,EQ,INE790B01024,26.15,26.15,25.38,25.5,25.88,86506.0,2223238.94
2026-04-27,KCPSUGIND,EQUITY,EQ,INE790B01024,25.42,26.09,25.42,25.88,25.42,80236.0,2070950.28
2026-04-24,KCPSUGIND,EQUITY,EQ,INE790B01024,27.24,27.24,24.91,25.42,26.86,219102.0,5647613.06
2026-04-23,KCPSUGIND,EQUITY,EQ,INE790B01024,27.03,27.83,26.66,26.86,27.07,430405.0,11762947.89
2026-04-22,KCPSUGIND,EQUITY,EQ,INE790B01024,26.3,27.4,25.7,27.07,25.84,212030.0,5630540.55
2026-04-21,KCPSUGIND,EQUITY,EQ,INE790B01024,26.6,26.6,25.56,25.84,26.13,82213.0,2136123.81
2026-04-20,KCPSUGIND,EQUITY,EQ,INE790B01024,26.8,26.8,25.72,26.13,26.5,164698.0,4314137.18
