trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,KMCSHIL,EQUITY,EQ,INE879K01018,138.59,138.59,134.61,137.59,135.73,73643.0,10069335.62
2026-09-07,KMCSHIL,EQUITY,EQ,INE879K01018,140.37,140.4,135.0,135.73,138.24,70725.0,9650923.67
2026-09-04,KMCSHIL,EQUITY,EQ,INE879K01018,138.0,141.58,136.5,138.24,138.0,94440.0,13126833.28
2026-09-03,KMCSHIL,EQUITY,EQ,INE879K01018,134.79,139.0,133.35,138.0,133.19,75512.0,10346658.52
2026-09-02,KMCSHIL,EQUITY,EQ,INE879K01018,133.83,134.9,131.45,133.19,133.32,62555.0,8294814.55
2026-09-01,KMCSHIL,EQUITY,EQ,INE879K01018,136.51,137.4,132.11,133.32,135.52,85988.0,11510626.83
2026-08-31,KMCSHIL,EQUITY,EQ,INE879K01018,140.57,140.57,133.06,135.52,138.05,125433.0,17019121.34
2026-08-28,KMCSHIL,EQUITY,EQ,INE879K01018,138.6,139.58,136.62,138.05,138.18,82093.0,11327964.79
2026-08-27,KMCSHIL,EQUITY,EQ,INE879K01018,139.73,140.6,136.01,138.18,138.91,54285.0,7469643.11
2026-08-26,KMCSHIL,EQUITY,EQ,INE879K01018,139.11,141.59,137.82,138.91,140.22,75596.0,10514866.15
2026-08-25,KMCSHIL,EQUITY,EQ,INE879K01018,139.6,141.6,137.5,140.22,139.25,72174.0,10019087.9
2026-08-24,KMCSHIL,EQUITY,EQ,INE879K01018,143.07,144.78,138.62,139.25,141.65,123570.0,17561262.42
2026-08-21,KMCSHIL,EQUITY,EQ,INE879K01018,138.99,143.07,138.98,141.65,136.94,118525.0,16780155.12
2026-08-20,KMCSHIL,EQUITY,EQ,INE879K01018,138.32,139.79,136.0,136.94,136.95,116875.0,16097380.99
2026-08-19,KMCSHIL,EQUITY,EQ,INE879K01018,141.01,142.56,136.0,136.95,141.97,132475.0,18307379.01
2026-08-18,KMCSHIL,EQUITY,EQ,INE879K01018,143.49,146.0,141.0,141.97,143.13,217294.0,31078891.53
2026-08-17,KMCSHIL,EQUITY,EQ,INE879K01018,137.7,148.0,134.7,143.13,132.8,538702.0,76693377.08
