trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,KNACK,EQUITY,EQ,INE17QZ01016,183.91,186.04,180.8,182.1,183.91,778843.0,142363770.95
2026-09-08,KNACK,EQUITY,EQ,INE17QZ01016,185.93,186.69,182.7,183.91,185.93,638148.0,117668709.07
2026-09-07,KNACK,EQUITY,EQ,INE17QZ01016,189.72,190.0,185.0,185.93,187.3,664588.0,123963826.36
2026-09-04,KNACK,EQUITY,EQ,INE17QZ01016,190.7,190.7,186.6,187.3,188.37,402969.0,75761269.1
2026-09-03,KNACK,EQUITY,EQ,INE17QZ01016,188.45,192.75,187.95,188.37,187.43,667569.0,126694561.61
2026-09-02,KNACK,EQUITY,EQ,INE17QZ01016,190.0,190.21,186.5,187.43,190.21,1092839.0,205110808.96
2026-09-01,KNACK,EQUITY,EQ,INE17QZ01016,191.29,195.84,189.5,190.21,190.35,700022.0,134424526.21
2026-08-31,KNACK,EQUITY,EQ,INE17QZ01016,194.0,194.01,189.0,190.35,192.61,372016.0,71081912.02
2026-08-28,KNACK,EQUITY,EQ,INE17QZ01016,192.89,195.97,192.05,192.61,192.05,341774.0,66215471.12
2026-08-27,KNACK,EQUITY,EQ,INE17QZ01016,195.2,196.0,190.31,192.05,195.3,654182.0,126158074.72
2026-08-26,KNACK,EQUITY,EQ,INE17QZ01016,198.6,201.11,193.15,195.3,196.58,538564.0,106305597.72
2026-08-25,KNACK,EQUITY,EQ,INE17QZ01016,203.0,203.9,194.6,196.58,202.03,1003094.0,198566526.49
2026-08-24,KNACK,EQUITY,EQ,INE17QZ01016,205.0,210.0,201.42,202.03,203.55,978955.0,201303573.68
2026-08-21,KNACK,EQUITY,EQ,INE17QZ01016,209.0,209.0,202.16,203.55,209.17,927405.0,190186252.01
2026-08-20,KNACK,EQUITY,EQ,INE17QZ01016,201.0,210.94,199.0,209.17,199.6,1733969.0,357251403.09
2026-08-19,KNACK,EQUITY,EQ,INE17QZ01016,204.25,204.85,198.5,199.6,204.19,832530.0,167278006.19
2026-08-18,KNACK,EQUITY,EQ,INE17QZ01016,207.0,208.74,203.05,204.19,207.56,535863.0,110073822.22
2026-08-17,KNACK,EQUITY,EQ,INE17QZ01016,208.02,215.4,201.25,207.56,208.02,1764429.0,370566291.94
2026-08-14,KNACK,EQUITY,EQ,INE17QZ01016,205.5,211.9,205.25,208.02,204.56,1008256.0,209912944.19
2026-08-13,KNACK,EQUITY,EQ,INE17QZ01016,202.67,208.0,202.57,204.56,202.67,503901.0,103645615.53
2026-08-12,KNACK,EQUITY,EQ,INE17QZ01016,206.78,210.29,201.0,202.67,206.78,1201243.0,245179377.93
2026-08-11,KNACK,EQUITY,EQ,INE17QZ01016,217.0,218.0,205.5,206.78,215.32,1385163.0,291742160.15
2026-08-10,KNACK,EQUITY,EQ,INE17QZ01016,214.15,222.0,209.56,215.32,208.34,6219213.0,1340525501.46
2026-08-07,KNACK,EQUITY,EQ,INE17QZ01016,207.5,211.58,202.76,208.34,207.71,1222765.0,253450863.8
2026-08-06,KNACK,EQUITY,EQ,INE17QZ01016,214.8,215.98,205.5,207.71,213.35,1880069.0,393903860.49
2026-08-05,KNACK,EQUITY,EQ,INE17QZ01016,198.95,215.0,198.2,213.35,198.7,3964188.0,828423824.24
2026-08-04,KNACK,EQUITY,EQ,INE17QZ01016,198.79,203.85,197.51,198.7,197.28,1098988.0,220330377.4
2026-08-03,KNACK,EQUITY,EQ,INE17QZ01016,192.5,202.9,192.49,197.28,190.15,2439087.0,483286814.53
2026-07-31,KNACK,EQUITY,EQ,INE17QZ01016,190.6,192.1,189.0,190.15,190.72,481188.0,91605732.19
2026-07-30,KNACK,EQUITY,EQ,INE17QZ01016,189.0,192.0,185.3,190.72,189.51,778244.0,147693122.73
2026-07-29,KNACK,EQUITY,EQ,INE17QZ01016,191.0,193.19,188.0,189.51,191.0,820796.0,156102936.42
2026-07-28,KNACK,EQUITY,EQ,INE17QZ01016,197.0,198.5,189.45,191.0,197.35,1441246.0,277493263.49
2026-07-27,KNACK,EQUITY,EQ,INE17QZ01016,196.75,205.74,196.0,197.35,194.88,2296861.0,462115472.26
2026-07-24,KNACK,EQUITY,EQ,INE17QZ01016,190.99,195.9,189.01,194.88,193.13,1207259.0,232591193.44
2026-07-23,KNACK,EQUITY,EQ,INE17QZ01016,190.0,201.79,189.15,193.13,190.41,2767448.0,544026797.5
2026-07-22,KNACK,EQUITY,EQ,INE17QZ01016,194.0,196.39,189.37,190.41,194.44,1215207.0,234316818.43
2026-07-21,KNACK,EQUITY,EQ,INE17QZ01016,188.63,196.59,188.16,194.44,188.63,1537505.0,295770988.29
2026-07-20,KNACK,EQUITY,EQ,INE17QZ01016,191.0,197.99,188.05,188.63,190.76,1677550.0,322100575.99
2026-07-17,KNACK,EQUITY,EQ,INE17QZ01016,194.0,198.85,189.7,190.76,194.42,1791916.0,347395199.98
2026-07-16,KNACK,EQUITY,EQ,INE17QZ01016,205.0,205.89,193.05,194.42,202.11,1842407.0,365484729.11
2026-07-15,KNACK,EQUITY,EQ,INE17QZ01016,205.99,209.63,200.31,202.11,205.06,1750106.0,357667829.51
2026-07-14,KNACK,EQUITY,EQ,INE17QZ01016,204.95,209.84,197.65,205.06,205.29,3760155.0,767119797.16
2026-07-13,KNACK,EQUITY,EQ,INE17QZ01016,209.48,217.23,203.14,205.29,209.58,7234507.0,1528477622.91
2026-07-10,KNACK,EQUITY,EQ,INE17QZ01016,197.7,220.72,197.0,209.58,194.71,19426222.0,4101564841.08
2026-07-09,KNACK,EQUITY,EQ,INE17QZ01016,186.0,204.0,186.0,194.71,182.98,19121784.0,3746445143.24
2026-07-08,KNACK,EQUITY,EQ,INE17QZ01016,188.0,192.0,180.33,182.98,170.0,33503005.0,6248990745.85
