trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,KOPRAN,EQUITY,EQ,INE082A01010,237.41,238.9,231.39,234.37,239.51,363944.0,85512739.6
2026-09-08,KOPRAN,EQUITY,EQ,INE082A01010,245.87,249.99,235.0,239.51,245.87,809220.0,195704334.4
2026-09-07,KOPRAN,EQUITY,EQ,INE082A01010,234.2,253.71,230.5,245.87,232.54,2037485.0,495737254.88
2026-09-04,KOPRAN,EQUITY,EQ,INE082A01010,232.4,242.8,229.29,232.54,232.24,661197.0,155487728.32
2026-09-03,KOPRAN,EQUITY,EQ,INE082A01010,220.89,239.6,218.84,232.24,218.81,1456374.0,339220308.11
2026-09-02,KOPRAN,EQUITY,EQ,INE082A01010,215.25,220.4,214.04,218.81,217.58,212685.0,46192666.18
2026-09-01,KOPRAN,EQUITY,EQ,INE082A01010,217.83,226.75,214.0,217.58,217.83,477030.0,105419870.21
2026-08-31,KOPRAN,EQUITY,EQ,INE082A01010,204.0,235.07,203.9,217.83,201.76,1881351.0,421997753.99
2026-05-29,KOPRAN,EQUITY,EQ,INE082A01010,194.5,219.0,194.05,206.27,193.58,3854785.0,805737008.18
2026-05-27,KOPRAN,EQUITY,EQ,INE082A01010,192.81,202.8,191.5,193.58,193.91,1424855.0,281753450.38
2026-05-26,KOPRAN,EQUITY,EQ,INE082A01010,193.9,203.5,189.2,193.91,188.48,4206944.0,819774887.31
2026-05-25,KOPRAN,EQUITY,EQ,INE082A01010,165.63,195.81,165.2,188.48,163.18,11936553.0,2267157408.05
2026-05-22,KOPRAN,EQUITY,EQ,INE082A01010,167.0,168.81,162.0,163.18,167.25,282301.0,46851372.06
2026-05-21,KOPRAN,EQUITY,EQ,INE082A01010,169.0,175.49,166.1,167.25,167.17,672996.0,114957211.34
2026-05-20,KOPRAN,EQUITY,EQ,INE082A01010,169.7,174.25,166.2,167.17,172.24,1268030.0,215286312.03
2026-05-19,KOPRAN,EQUITY,EQ,INE082A01010,165.75,182.73,164.5,172.24,165.19,5996945.0,1053039517.2
2026-05-18,KOPRAN,EQUITY,EQ,INE082A01010,155.8,166.66,152.39,165.19,156.32,808614.0,131204367.94
2026-05-15,KOPRAN,EQUITY,EQ,INE082A01010,158.0,160.84,155.5,156.32,157.93,89589.0,14153144.73
2026-05-14,KOPRAN,EQUITY,EQ,INE082A01010,154.7,161.29,152.0,157.93,153.51,173684.0,27323607.73
