trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-03-19,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.06,141.98,136.0,136.16,,69541.0,9517506.22
2024-03-18,KOTAKNV20,EQUITY,EQ,INF174K01Z71,141.97,141.98,139.7,140.89,,11521.0,1620969.47
2024-03-15,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.47,146.58,138.47,141.97,,13030.0,1829671.15
2024-03-14,KOTAKNV20,EQUITY,EQ,INF174K01Z71,141.87,143.5,138.05,139.92,,309850.0,43251789.93
2024-03-13,KOTAKNV20,EQUITY,EQ,INF174K01Z71,140.55,145.45,138.52,141.92,,29386.0,4131880.07
2024-03-12,KOTAKNV20,EQUITY,EQ,INF174K01Z71,141.04,141.99,138.2,139.53,,29103.0,4108137.65
2024-03-11,KOTAKNV20,EQUITY,EQ,INF174K01Z71,143.48,143.49,140.03,141.44,,38789.0,5507787.71
2024-03-07,KOTAKNV20,EQUITY,EQ,INF174K01Z71,140.74,141.96,140.64,141.26,,15703.0,2219603.29
2024-03-06,KOTAKNV20,EQUITY,EQ,INF174K01Z71,143.99,143.99,139.0,140.58,,111450.0,15635439.72
2024-03-05,KOTAKNV20,EQUITY,EQ,INF174K01Z71,136.74,141.99,136.74,141.25,,87964.0,12342322.53
2024-03-04,KOTAKNV20,EQUITY,EQ,INF174K01Z71,142.67,144.3,140.33,140.96,,26165.0,3718456.91
2024-03-01,KOTAKNV20,EQUITY,EQ,INF174K01Z71,139.5,143.8,139.5,141.2,,11164.0,1576683.68
2024-02-29,KOTAKNV20,EQUITY,EQ,INF174K01Z71,139.5,145.7,137.51,139.49,,32644.0,4595130.33
2024-02-28,KOTAKNV20,EQUITY,EQ,INF174K01Z71,140.2,140.84,139.38,139.7,,9360.0,1311488.81
2024-02-27,KOTAKNV20,EQUITY,EQ,INF174K01Z71,139.75,140.98,139.52,140.09,,12851.0,1802242.95
2024-02-26,KOTAKNV20,EQUITY,EQ,INF174K01Z71,141.0,142.78,139.73,140.27,,12194.0,1710435.1
2024-02-23,KOTAKNV20,EQUITY,EQ,INF174K01Z71,140.8,142.55,140.1,141.15,,37049.0,5224508.08
2024-02-22,KOTAKNV20,EQUITY,EQ,INF174K01Z71,139.99,140.99,138.91,140.45,,21990.0,3083196.78
2024-02-21,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.51,139.99,138.5,139.08,,7329.0,1022914.66
2024-02-20,KOTAKNV20,EQUITY,EQ,INF174K01Z71,140.8,140.99,138.2,139.6,,17866.0,2487533.7
2024-02-19,KOTAKNV20,EQUITY,EQ,INF174K01Z71,140.78,140.78,139.41,140.42,,11799.0,1654227.66
2024-02-16,KOTAKNV20,EQUITY,EQ,INF174K01Z71,135.71,139.79,135.71,139.3,,22078.0,3074191.1
2024-02-15,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.98,139.37,137.0,138.48,,107881.0,14932407.28
2024-02-14,KOTAKNV20,EQUITY,EQ,INF174K01Z71,137.99,138.67,135.28,138.44,,19058.0,2615247.34
2024-02-13,KOTAKNV20,EQUITY,EQ,INF174K01Z71,134.3,138.79,134.3,138.04,,19242.0,2644344.55
2024-02-12,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.38,138.38,136.49,137.04,,19960.0,2739701.14
2024-02-09,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.06,139.6,135.83,137.82,,15356.0,2112336.96
2024-02-08,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.88,141.5,137.36,138.06,,25147.0,3485214.81
2024-02-07,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.49,138.98,137.3,138.13,,33862.0,4675902.86
2024-02-06,KOTAKNV20,EQUITY,EQ,INF174K01Z71,137.99,138.99,135.49,138.06,,19742.0,2722309.39
2024-02-05,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.19,138.49,135.21,137.31,,29148.0,4003787.95
2024-02-02,KOTAKNV20,EQUITY,EQ,INF174K01Z71,136.24,137.97,135.23,136.83,,37056.0,5077889.73
2024-02-01,KOTAKNV20,EQUITY,EQ,INF174K01Z71,137.69,138.0,134.9,135.23,,25084.0,3397730.28
2024-01-31,KOTAKNV20,EQUITY,EQ,INF174K01Z71,138.5,139.42,134.9,135.72,,89073.0,12077962.74
2024-01-30,KOTAKNV20,EQUITY,EQ,INF174K01Z71,135.06,140.92,135.06,139.17,,20056.0,2777540.9
2024-01-29,KOTAKNV20,EQUITY,EQ,INF174K01Z71,136.3,139.7,134.51,137.34,,19401.0,2655213.55
2024-01-25,KOTAKNV20,EQUITY,EQ,INF174K01Z71,133.84,136.0,133.34,135.37,,9724.0,1314170.0
2024-01-24,KOTAKNV20,EQUITY,EQ,INF174K01Z71,132.87,135.83,132.87,135.02,,11593.0,1562546.28
2024-01-23,KOTAKNV20,EQUITY,EQ,INF174K01Z71,134.09,139.2,131.75,132.86,,48040.0,6519494.68
2024-01-19,KOTAKNV20,EQUITY,EQ,INF174K01Z71,133.98,134.89,132.32,133.66,,8881.0,1190496.55
2024-01-18,KOTAKNV20,EQUITY,EQ,INF174K01Z71,134.6,137.2,131.0,133.83,,19255.0,2565562.56
2024-01-17,KOTAKNV20,EQUITY,EQ,INF174K01Z71,132.0,134.0,131.99,132.71,,26354.0,3508297.8
2024-01-16,KOTAKNV20,EQUITY,EQ,INF174K01Z71,133.31,134.58,131.4,132.58,,16235.0,2164622.05
2024-01-15,KOTAKNV20,EQUITY,EQ,INF174K01Z71,132.89,134.65,132.89,134.01,,31083.0,4164393.97
2024-01-12,KOTAKNV20,EQUITY,EQ,INF174K01Z71,129.51,132.8,129.51,131.82,,31129.0,4102995.09
2024-01-11,KOTAKNV20,EQUITY,EQ,INF174K01Z71,128.1,132.0,128.1,130.0,,6351.0,825300.92
2024-01-10,KOTAKNV20,EQUITY,EQ,INF174K01Z71,129.05,131.11,128.58,130.0,,12491.0,1615784.59
2024-01-09,KOTAKNV20,EQUITY,EQ,INF174K01Z71,130.12,130.69,128.96,129.93,,12194.0,1587021.46
2024-01-08,KOTAKNV20,EQUITY,EQ,INF174K01Z71,127.7,132.39,126.8,129.35,,28855.0,3744727.57
2024-01-05,KOTAKNV20,EQUITY,EQ,INF174K01Z71,130.75,132.47,130.1,130.7,,25699.0,3361241.6
2024-01-04,KOTAKNV20,EQUITY,EQ,INF174K01Z71,131.89,132.59,129.71,130.53,,14477.0,1890542.35
2024-01-03,KOTAKNV20,EQUITY,EQ,INF174K01Z71,133.69,135.86,129.66,129.97,,44419.0,5829603.95
2024-01-02,KOTAKNV20,EQUITY,EQ,INF174K01Z71,133.94,133.94,130.71,133.15,,15236.0,2016399.33
2024-01-01,KOTAKNV20,EQUITY,EQ,INF174K01Z71,131.75,133.8,130.34,132.77,,11514.0,1523479.09
2023-12-29,KOTAKNV20,EQUITY,EQ,INF174K01Z71,132.97,134.93,130.4,131.52,,19481.0,2576607.47
2023-12-28,KOTAKNV20,EQUITY,EQ,INF174K01Z71,133.99,136.0,130.31,131.88,,67083.0,8843232.62
2023-12-27,KOTAKNV20,EQUITY,EQ,INF174K01Z71,132.37,140.32,130.0,135.3,,48387.0,6340306.55
2023-12-26,KOTAKNV20,EQUITY,EQ,INF174K01Z71,130.98,135.38,128.31,130.84,,23069.0,3000313.27
2023-12-22,KOTAKNV20,EQUITY,EQ,INF174K01Z71,128.99,129.5,127.51,129.38,,23069.0,2970192.52
2023-12-21,KOTAKNV20,EQUITY,EQ,INF174K01Z71,124.68,127.99,124.68,127.76,,10531.0,1336505.52
2023-12-20,KOTAKNV20,EQUITY,EQ,INF174K01Z71,129.0,130.51,126.8,127.22,,26093.0,3369238.13
2023-12-19,KOTAKNV20,EQUITY,EQ,INF174K01Z71,130.88,130.88,127.2,128.07,,14774.0,1903789.16
2023-12-18,KOTAKNV20,EQUITY,EQ,INF174K01Z71,129.19,134.0,128.27,129.38,,25508.0,3294196.27
2023-12-15,KOTAKNV20,EQUITY,EQ,INF174K01Z71,126.9,129.66,126.71,128.89,,19215.0,2460706.4
2023-12-14,KOTAKNV20,EQUITY,EQ,INF174K01Z71,124.15,126.68,124.15,126.26,,27749.0,3493780.53
2023-12-13,KOTAKNV20,EQUITY,EQ,INF174K01Z71,124.7,124.7,123.0,123.87,,12072.0,1498026.26
2023-12-12,KOTAKNV20,EQUITY,EQ,INF174K01Z71,124.79,124.99,124.03,124.17,,8646.0,1076595.39
2023-12-11,KOTAKNV20,EQUITY,EQ,INF174K01Z71,124.59,124.59,122.3,124.43,,12664.0,1573903.7
2023-12-08,KOTAKNV20,EQUITY,EQ,INF174K01Z71,123.78,124.75,123.29,123.6,,12701.0,1577968.09
2023-12-07,KOTAKNV20,EQUITY,EQ,INF174K01Z71,124.0,124.62,123.51,123.78,,16538.0,2048928.8
2023-12-06,KOTAKNV20,EQUITY,EQ,INF174K01Z71,122.99,124.29,122.99,123.98,,25999.0,3220507.45
2023-12-05,KOTAKNV20,EQUITY,EQ,INF174K01Z71,123.45,123.5,122.17,123.01,,21321.0,2617062.91
2023-12-04,KOTAKNV20,EQUITY,EQ,INF174K01Z71,122.18,124.0,122.18,123.35,,36280.0,4474406.91
2023-12-01,KOTAKNV20,EQUITY,EQ,INF174K01Z71,120.43,122.0,120.43,121.53,,20928.0,2544006.47
2023-11-30,KOTAKNV20,EQUITY,EQ,INF174K01Z71,120.3,120.97,119.86,120.43,,9919.0,1195744.17
2023-11-29,KOTAKNV20,EQUITY,EQ,INF174K01Z71,120.57,120.57,118.79,120.26,,9861.0,1184865.97
2023-11-28,KOTAKNV20,EQUITY,EQ,INF174K01Z71,122.85,122.85,117.8,119.27,,19676.0,2345361.55
2023-11-24,KOTAKNV20,EQUITY,EQ,INF174K01Z71,119.82,120.2,118.99,119.25,,9604.0,1147535.33
2023-11-23,KOTAKNV20,EQUITY,EQ,INF174K01Z71,120.74,120.74,119.33,119.82,,13036.0,1563169.31
2023-11-22,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.8,119.66,116.8,119.42,,7169.0,854221.27
2023-11-21,KOTAKNV20,EQUITY,EQ,INF174K01Z71,119.4,119.4,118.6,118.93,,7841.0,933437.23
2023-11-20,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.0,119.38,118.0,119.06,,9291.0,1106014.18
2023-11-17,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.0,119.25,117.0,118.75,,17252.0,2051244.31
2023-11-16,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.5,118.89,116.5,118.25,,33185.0,3927808.99
2023-11-15,KOTAKNV20,EQUITY,EQ,INF174K01Z71,115.8,118.12,115.8,117.3,,35155.0,4123048.46
2023-11-13,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.02,116.14,115.08,115.8,,10259.0,1189122.05
2023-11-10,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.4,118.0,114.42,115.4,,10739.0,1235856.24
2023-11-09,KOTAKNV20,EQUITY,EQ,INF174K01Z71,115.71,115.84,115.0,115.22,,11717.0,1351887.43
2023-11-08,KOTAKNV20,EQUITY,EQ,INF174K01Z71,115.0,116.79,115.0,115.8,,8278.0,958449.51
2023-11-07,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.97,116.97,115.09,115.58,,11782.0,1361369.42
2023-11-06,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.7,118.7,115.09,115.62,,36790.0,4248987.95
2023-11-03,KOTAKNV20,EQUITY,EQ,INF174K01Z71,115.97,119.2,114.06,116.95,,11787.0,1370121.81
2023-11-02,KOTAKNV20,EQUITY,EQ,INF174K01Z71,113.31,119.0,113.3,114.65,,9932.0,1134818.07
2023-11-01,KOTAKNV20,EQUITY,EQ,INF174K01Z71,113.71,113.99,112.91,113.16,,13072.0,1483809.7
2023-10-31,KOTAKNV20,EQUITY,EQ,INF174K01Z71,114.16,114.16,113.19,113.8,,11771.0,1337150.13
2023-10-30,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.35,119.05,113.01,114.17,,9960.0,1132406.71
2023-10-27,KOTAKNV20,EQUITY,EQ,INF174K01Z71,114.49,114.49,113.01,113.91,,7005.0,796539.81
2023-10-26,KOTAKNV20,EQUITY,EQ,INF174K01Z71,113.98,114.9,112.36,113.34,,22574.0,2552515.52
2023-10-25,KOTAKNV20,EQUITY,EQ,INF174K01Z71,114.78,115.55,112.68,113.99,,17209.0,1963343.39
2023-10-23,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.17,116.5,114.3,114.78,,11900.0,1372873.25
2023-10-20,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.0,116.85,115.0,115.51,,13999.0,1626355.6
2023-10-19,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.13,117.41,116.2,117.3,,28248.0,3293421.12
2023-10-18,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.9,118.9,117.52,117.63,,4811.0,567767.86
2023-10-17,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.0,118.78,117.15,118.15,,49794.0,5906056.51
2023-10-16,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.26,118.01,116.75,117.55,,73299.0,8645759.86
2023-10-13,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.4,117.7,116.4,117.26,,14039.0,1645287.16
2023-10-12,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.0,119.33,116.8,117.22,,11851.0,1395371.62
2023-10-11,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.6,118.6,116.69,118.17,,16186.0,1907424.06
2023-10-10,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.97,117.97,116.29,117.55,,4893.0,572658.15
2023-10-09,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.49,117.49,114.5,116.57,,9295.0,1084520.81
2023-10-06,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.89,116.89,114.5,116.79,,10538.0,1227441.91
2023-10-05,KOTAKNV20,EQUITY,EQ,INF174K01Z71,114.3,117.97,114.3,115.92,,13945.0,1618537.98
2023-10-04,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.26,118.26,114.0,115.07,,12757.0,1467444.99
2023-10-03,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.01,117.87,115.61,115.94,,25111.0,2915938.22
2023-09-29,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.15,117.81,116.0,116.3,,7166.0,835194.3
2023-09-28,KOTAKNV20,EQUITY,EQ,INF174K01Z71,117.68,118.91,116.0,116.18,,11100.0,1296892.92
2023-09-27,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.29,118.29,116.17,117.68,,7800.0,913521.1
2023-09-26,KOTAKNV20,EQUITY,EQ,INF174K01Z71,116.65,117.48,116.65,117.28,,5268.0,617168.25
2023-09-25,KOTAKNV20,EQUITY,EQ,INF174K01Z71,119.39,119.39,116.76,117.46,,27262.0,3200074.05
2023-09-22,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.48,118.48,116.0,118.28,,10171.0,1197337.13
2023-09-21,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.21,119.5,117.11,118.53,,7974.0,938774.75
2023-09-20,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.9,118.9,117.7,118.21,,37757.0,4475873.46
2023-09-18,KOTAKNV20,EQUITY,EQ,INF174K01Z71,118.79,118.9,117.0,118.45,,11469.0,1359541.44
