trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-03-19,KOTAKPSUBK,EQUITY,EQ,INF373I01023,681.99,681.99,660.11,661.84,,74380.0,49425192.24
2024-03-18,KOTAKPSUBK,EQUITY,EQ,INF373I01023,675.99,679.0,668.77,676.02,,83396.0,56141092.22
2024-03-15,KOTAKPSUBK,EQUITY,EQ,INF373I01023,677.01,681.59,656.75,670.34,,46311.0,30867570.28
2024-03-14,KOTAKPSUBK,EQUITY,EQ,INF373I01023,667.84,681.77,658.99,676.77,,17149.0,11567854.94
2024-03-13,KOTAKPSUBK,EQUITY,EQ,INF373I01023,702.26,709.98,665.02,672.27,,249746.0,169591943.76
2024-03-12,KOTAKPSUBK,EQUITY,EQ,INF373I01023,719.17,721.43,696.07,702.21,,21510.0,15170556.16
2024-03-11,KOTAKPSUBK,EQUITY,EQ,INF373I01023,733.99,735.51,719.11,721.43,,29955.0,21783841.7
2024-03-07,KOTAKPSUBK,EQUITY,EQ,INF373I01023,728.99,737.4,727.12,731.39,,17533.0,12838622.62
2024-03-06,KOTAKPSUBK,EQUITY,EQ,INF373I01023,725.58,733.0,712.92,727.12,,29706.0,21542583.71
2024-03-05,KOTAKPSUBK,EQUITY,EQ,INF373I01023,729.7,729.7,706.7,725.49,,35608.0,25602132.9
2024-03-04,KOTAKPSUBK,EQUITY,EQ,INF373I01023,709.8,713.98,704.67,708.46,,182327.0,129122045.56
2024-03-01,KOTAKPSUBK,EQUITY,EQ,INF373I01023,694.0,706.13,691.6,702.91,,12886.0,9032087.42
2024-02-29,KOTAKPSUBK,EQUITY,EQ,INF373I01023,687.97,692.94,672.0,689.56,,139706.0,96195021.29
2024-02-28,KOTAKPSUBK,EQUITY,EQ,INF373I01023,700.97,700.97,677.79,682.17,,22839.0,15654311.37
2024-02-27,KOTAKPSUBK,EQUITY,EQ,INF373I01023,700.93,708.79,688.0,694.19,,113970.0,79279106.43
2024-02-26,KOTAKPSUBK,EQUITY,EQ,INF373I01023,707.99,720.84,699.0,700.92,,54592.0,38474802.32
2024-02-23,KOTAKPSUBK,EQUITY,EQ,INF373I01023,711.17,720.49,703.05,707.14,,17365.0,12320704.87
2024-02-22,KOTAKPSUBK,EQUITY,EQ,INF373I01023,715.99,716.0,699.31,711.16,,13015.0,9196338.67
2024-02-21,KOTAKPSUBK,EQUITY,EQ,INF373I01023,710.0,720.76,709.33,712.01,,19684.0,14066116.43
2024-02-20,KOTAKPSUBK,EQUITY,EQ,INF373I01023,707.0,710.0,703.04,707.16,,8799.0,6223863.05
2024-02-19,KOTAKPSUBK,EQUITY,EQ,INF373I01023,708.05,716.34,705.66,707.51,,18467.0,13128862.86
2024-02-16,KOTAKPSUBK,EQUITY,EQ,INF373I01023,717.99,725.0,708.0,710.37,,55954.0,40134993.91
2024-02-15,KOTAKPSUBK,EQUITY,EQ,INF373I01023,690.99,714.0,690.0,712.78,,40976.0,28822560.95
2024-02-14,KOTAKPSUBK,EQUITY,EQ,INF373I01023,664.99,691.1,652.0,687.63,,59193.0,40122287.35
2024-02-13,KOTAKPSUBK,EQUITY,EQ,INF373I01023,667.95,670.58,648.09,667.55,,173576.0,115468812.35
2024-02-12,KOTAKPSUBK,EQUITY,EQ,INF373I01023,689.18,691.97,655.03,661.25,,31714.0,21365264.71
2024-02-09,KOTAKPSUBK,EQUITY,EQ,INF373I01023,692.99,692.99,663.3,689.17,,133134.0,90226597.73
2024-02-08,KOTAKPSUBK,EQUITY,EQ,INF373I01023,679.97,697.51,660.0,682.21,,72520.0,49519910.23
2024-02-07,KOTAKPSUBK,EQUITY,EQ,INF373I01023,666.45,674.0,657.88,668.58,,115168.0,76851192.04
2024-02-06,KOTAKPSUBK,EQUITY,EQ,INF373I01023,661.97,661.98,643.6,653.36,,51322.0,33228771.01
2024-02-05,KOTAKPSUBK,EQUITY,EQ,INF373I01023,659.07,667.6,651.01,655.22,,30884.0,20383780.47
2024-02-02,KOTAKPSUBK,EQUITY,EQ,INF373I01023,645.2,668.7,645.1,659.07,,98899.0,65704807.98
2024-02-01,KOTAKPSUBK,EQUITY,EQ,INF373I01023,624.3,648.0,621.1,645.26,,293314.0,187712752.23
2024-01-31,KOTAKPSUBK,EQUITY,EQ,INF373I01023,632.05,632.05,605.7,624.29,,35682.0,22054243.98
2024-01-30,KOTAKPSUBK,EQUITY,EQ,INF373I01023,605.01,616.89,601.0,613.65,,38116.0,23355722.14
2024-01-29,KOTAKPSUBK,EQUITY,EQ,INF373I01023,600.8,607.75,590.0,603.89,,18416.0,11076503.82
2024-01-25,KOTAKPSUBK,EQUITY,EQ,INF373I01023,595.98,601.65,581.01,588.99,,7372.0,4357384.02
2024-01-24,KOTAKPSUBK,EQUITY,EQ,INF373I01023,589.89,591.0,570.97,589.85,,32368.0,18860913.9
2024-01-23,KOTAKPSUBK,EQUITY,EQ,INF373I01023,595.61,609.63,576.05,585.17,,24199.0,14304751.82
2024-01-19,KOTAKPSUBK,EQUITY,EQ,INF373I01023,594.89,594.9,586.17,591.81,,13681.0,8070702.02
2024-01-18,KOTAKPSUBK,EQUITY,EQ,INF373I01023,577.3,587.6,568.57,586.17,,46161.0,26653243.44
2024-01-17,KOTAKPSUBK,EQUITY,EQ,INF373I01023,582.93,589.44,577.29,581.08,,19454.0,11360766.83
2024-01-16,KOTAKPSUBK,EQUITY,EQ,INF373I01023,594.0,596.59,584.06,589.87,,113251.0,67292264.07
2024-01-15,KOTAKPSUBK,EQUITY,EQ,INF373I01023,587.0,592.0,584.11,589.37,,14040.0,8264910.2
2024-01-12,KOTAKPSUBK,EQUITY,EQ,INF373I01023,567.95,585.73,567.75,583.04,,18035.0,10469617.36
2024-01-11,KOTAKPSUBK,EQUITY,EQ,INF373I01023,565.01,569.98,564.99,567.73,,308350.0,174526965.9
2024-01-10,KOTAKPSUBK,EQUITY,EQ,INF373I01023,565.08,566.3,559.79,563.32,,38799.0,21816749.83
2024-01-09,KOTAKPSUBK,EQUITY,EQ,INF373I01023,574.14,574.34,565.15,566.81,,390748.0,221977066.17
2024-01-08,KOTAKPSUBK,EQUITY,EQ,INF373I01023,585.97,585.97,566.0,567.35,,394718.0,226937803.09
2024-01-05,KOTAKPSUBK,EQUITY,EQ,INF373I01023,585.65,588.0,577.03,581.29,,23020.0,13393862.15
2024-01-04,KOTAKPSUBK,EQUITY,EQ,INF373I01023,584.99,584.99,577.01,584.14,,60600.0,35311585.21
2024-01-03,KOTAKPSUBK,EQUITY,EQ,INF373I01023,569.55,582.0,554.05,580.2,,94393.0,54476848.95
2024-01-02,KOTAKPSUBK,EQUITY,EQ,INF373I01023,572.85,579.41,564.05,573.0,,72468.0,41556132.51
2024-01-01,KOTAKPSUBK,EQUITY,EQ,INF373I01023,580.25,580.25,564.05,572.86,,9176.0,5237400.07
2023-12-29,KOTAKPSUBK,EQUITY,EQ,INF373I01023,570.01,571.89,565.05,568.84,,5925.0,3363446.8
2023-12-28,KOTAKPSUBK,EQUITY,EQ,INF373I01023,574.1,575.55,568.44,570.74,,19494.0,11153123.58
2023-12-27,KOTAKPSUBK,EQUITY,EQ,INF373I01023,557.59,566.97,557.59,565.88,,13666.0,7694549.16
2023-12-26,KOTAKPSUBK,EQUITY,EQ,INF373I01023,567.3,567.3,550.02,556.41,,14051.0,7827896.31
2023-12-22,KOTAKPSUBK,EQUITY,EQ,INF373I01023,562.02,563.25,552.57,557.31,,9130.0,5102846.31
2023-12-21,KOTAKPSUBK,EQUITY,EQ,INF373I01023,540.61,561.19,539.32,558.0,,28598.0,15732977.61
2023-12-20,KOTAKPSUBK,EQUITY,EQ,INF373I01023,575.91,577.5,548.0,551.64,,46844.0,26257550.07
2023-12-19,KOTAKPSUBK,EQUITY,EQ,INF373I01023,570.72,578.89,564.25,573.77,,8352.0,4788786.91
2023-12-18,KOTAKPSUBK,EQUITY,EQ,INF373I01023,575.74,575.99,567.0,570.72,,22624.0,12929363.89
2023-12-15,KOTAKPSUBK,EQUITY,EQ,INF373I01023,566.09,576.0,555.91,575.74,,24518.0,13889477.0
2023-12-14,KOTAKPSUBK,EQUITY,EQ,INF373I01023,558.11,564.98,555.8,559.0,,6127.0,3436436.31
2023-12-13,KOTAKPSUBK,EQUITY,EQ,INF373I01023,552.0,558.14,549.59,556.8,,25684.0,14217010.15
2023-12-12,KOTAKPSUBK,EQUITY,EQ,INF373I01023,559.86,559.86,549.44,552.69,,7962.0,4408067.07
2023-12-11,KOTAKPSUBK,EQUITY,EQ,INF373I01023,549.54,555.69,546.73,553.64,,10290.0,5682611.26
2023-12-08,KOTAKPSUBK,EQUITY,EQ,INF373I01023,546.72,549.0,537.0,546.7,,19541.0,10591989.69
2023-12-07,KOTAKPSUBK,EQUITY,EQ,INF373I01023,538.26,544.99,535.3,543.77,,14608.0,7916151.76
2023-12-06,KOTAKPSUBK,EQUITY,EQ,INF373I01023,536.6,544.99,534.54,540.76,,16400.0,8827703.25
2023-12-05,KOTAKPSUBK,EQUITY,EQ,INF373I01023,531.04,542.76,529.3,539.06,,60414.0,32500727.25
2023-12-04,KOTAKPSUBK,EQUITY,EQ,INF373I01023,512.79,529.9,512.79,529.14,,48969.0,25759248.79
2023-12-01,KOTAKPSUBK,EQUITY,EQ,INF373I01023,507.62,514.6,503.7,511.35,,29462.0,15043039.03
2023-11-30,KOTAKPSUBK,EQUITY,EQ,INF373I01023,507.0,509.69,502.0,503.37,,25759.0,12998165.6
2023-11-29,KOTAKPSUBK,EQUITY,EQ,INF373I01023,504.4,509.0,503.39,507.11,,8401.0,4251808.94
2023-11-28,KOTAKPSUBK,EQUITY,EQ,INF373I01023,513.5,513.5,495.0,504.4,,19664.0,9858389.33
2023-11-24,KOTAKPSUBK,EQUITY,EQ,INF373I01023,499.59,500.95,496.0,496.96,,17113.0,8510617.33
2023-11-23,KOTAKPSUBK,EQUITY,EQ,INF373I01023,499.91,501.0,496.7,498.43,,10366.0,5168133.57
2023-11-22,KOTAKPSUBK,EQUITY,EQ,INF373I01023,503.34,505.08,495.51,498.66,,18101.0,9033632.03
2023-11-21,KOTAKPSUBK,EQUITY,EQ,INF373I01023,506.5,506.6,502.07,503.02,,17967.0,9042466.78
2023-11-20,KOTAKPSUBK,EQUITY,EQ,INF373I01023,501.18,508.95,501.18,504.01,,8582.0,4338140.62
2023-11-17,KOTAKPSUBK,EQUITY,EQ,INF373I01023,514.95,514.95,502.05,504.09,,29892.0,15096642.6
2023-11-16,KOTAKPSUBK,EQUITY,EQ,INF373I01023,518.4,518.4,514.48,516.56,,4535.0,2342617.35
2023-11-15,KOTAKPSUBK,EQUITY,EQ,INF373I01023,515.59,522.99,514.05,516.12,,19330.0,10026659.34
2023-11-13,KOTAKPSUBK,EQUITY,EQ,INF373I01023,501.35,515.0,498.74,514.38,,30613.0,15609554.54
2023-11-10,KOTAKPSUBK,EQUITY,EQ,INF373I01023,499.93,500.66,496.17,499.63,,2046.0,1020865.62
2023-11-09,KOTAKPSUBK,EQUITY,EQ,INF373I01023,500.29,502.65,499.31,499.92,,19256.0,9637214.91
2023-11-08,KOTAKPSUBK,EQUITY,EQ,INF373I01023,501.8,503.01,498.61,500.28,,21018.0,10536072.9
2023-11-07,KOTAKPSUBK,EQUITY,EQ,INF373I01023,496.22,501.69,495.1,500.36,,40290.0,20120636.56
2023-11-06,KOTAKPSUBK,EQUITY,EQ,INF373I01023,500.99,509.0,494.43,496.55,,197592.0,98217059.0
2023-11-03,KOTAKPSUBK,EQUITY,EQ,INF373I01023,500.01,504.7,500.01,502.3,,10591.0,5325897.14
2023-11-02,KOTAKPSUBK,EQUITY,EQ,INF373I01023,498.99,503.37,496.55,498.96,,13119.0,6552835.67
2023-11-01,KOTAKPSUBK,EQUITY,EQ,INF373I01023,495.59,496.84,490.0,491.25,,4458.0,2195718.31
2023-10-31,KOTAKPSUBK,EQUITY,EQ,INF373I01023,494.99,496.63,490.05,491.37,,7084.0,3499549.95
2023-10-30,KOTAKPSUBK,EQUITY,EQ,INF373I01023,491.36,491.68,481.5,490.45,,7762.0,3797791.51
2023-10-27,KOTAKPSUBK,EQUITY,EQ,INF373I01023,477.97,494.0,471.5,491.37,,442673.0,217377580.76
2023-10-26,KOTAKPSUBK,EQUITY,EQ,INF373I01023,473.21,478.0,462.39,468.66,,160918.0,75376126.93
