trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,KRISHNADEF,EQUITY,EQ,INE0J5601015,1067.4,1075.0,1047.1,1065.5,1070.0,70159.0,74571116.4
2026-09-10,KRISHNADEF,EQUITY,EQ,INE0J5601015,1094.0,1099.7,1062.7,1070.0,1087.2,65190.0,70620328.8
2026-09-09,KRISHNADEF,EQUITY,EQ,INE0J5601015,1120.2,1136.3,1080.0,1087.2,1111.6,79580.0,87808531.6
2026-09-08,KRISHNADEF,EQUITY,EQ,INE0J5601015,1075.8,1122.0,1075.8,1111.6,1066.4,191647.0,212251453.8
2026-09-07,KRISHNADEF,EQUITY,EQ,INE0J5601015,1016.0,1073.9,1011.0,1066.4,1013.2,142424.0,150359576.0
2026-09-04,KRISHNADEF,EQUITY,EQ,INE0J5601015,1011.0,1037.0,1008.0,1013.2,1008.7,67885.0,69149315.8
2026-09-03,KRISHNADEF,EQUITY,EQ,INE0J5601015,1012.0,1021.1,991.1,1008.7,1007.4,59717.0,60128291.3
2026-09-02,KRISHNADEF,EQUITY,EQ,INE0J5601015,992.0,1023.0,987.1,1007.4,1001.7,58316.0,58759899.7
2026-09-01,KRISHNADEF,EQUITY,EQ,INE0J5601015,1001.1,1013.6,985.7,1001.7,1004.8,60634.0,60643982.7
2026-08-31,KRISHNADEF,EQUITY,EQ,INE0J5601015,1019.0,1020.6,965.3,1004.8,1019.8,186259.0,184369265.4
2026-08-28,KRISHNADEF,EQUITY,EQ,INE0J5601015,1033.9,1036.0,1015.1,1019.8,1031.0,65359.0,66852825.5
2026-08-27,KRISHNADEF,EQUITY,EQ,INE0J5601015,1030.9,1049.0,1021.2,1031.0,1025.9,68280.0,70616467.0
2026-08-26,KRISHNADEF,EQUITY,EQ,INE0J5601015,1050.0,1052.2,1016.5,1025.9,1030.6,77370.0,79789287.2
2026-08-25,KRISHNADEF,EQUITY,EQ,INE0J5601015,1014.4,1048.6,1014.4,1030.6,1018.4,81197.0,83817762.7
