trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,KSB,EQUITY,EQ,INE999A01023,808.95,808.95,797.05,804.2,806.7,88865.0,71268254.9
2026-09-09,KSB,EQUITY,EQ,INE999A01023,824.05,828.0,804.7,806.7,824.05,106837.0,86881932.8
2026-09-08,KSB,EQUITY,EQ,INE999A01023,799.05,830.0,790.05,824.05,801.45,192730.0,157537517.1
2026-09-07,KSB,EQUITY,EQ,INE999A01023,822.0,822.0,799.45,801.45,813.55,91474.0,73737473.15
2026-09-04,KSB,EQUITY,EQ,INE999A01023,815.3,817.0,807.0,813.55,810.6,89128.0,72448316.4
2026-09-03,KSB,EQUITY,EQ,INE999A01023,806.55,818.3,802.1,810.6,805.8,115080.0,93260621.05
2026-09-02,KSB,EQUITY,EQ,INE999A01023,827.45,827.45,800.75,805.8,828.2,200288.0,161780924.45
2026-09-01,KSB,EQUITY,EQ,INE999A01023,808.35,843.0,808.35,828.2,807.25,444531.0,368776059.7
2026-08-31,KSB,EQUITY,EQ,INE999A01023,790.0,821.0,780.4,807.25,793.85,514414.0,414500522.2
2026-08-28,KSB,EQUITY,EQ,INE999A01023,795.0,798.45,787.0,793.85,793.85,138338.0,109698287.15
2026-08-27,KSB,EQUITY,EQ,INE999A01023,810.0,810.0,790.0,793.85,796.45,101117.0,80973073.65
2026-08-26,KSB,EQUITY,EQ,INE999A01023,809.95,814.5,793.15,796.45,802.85,133590.0,107403869.45
2026-08-25,KSB,EQUITY,EQ,INE999A01023,788.0,808.0,785.65,802.85,791.75,206809.0,165499452.7
2026-08-24,KSB,EQUITY,EQ,INE999A01023,802.0,810.8,784.85,791.75,801.85,160059.0,126567612.45
2026-08-21,KSB,EQUITY,EQ,INE999A01023,806.5,808.9,790.0,801.85,802.5,106703.0,85345780.55
2026-08-20,KSB,EQUITY,EQ,INE999A01023,807.1,813.85,789.9,802.5,807.1,125490.0,100522150.8
2026-08-19,KSB,EQUITY,EQ,INE999A01023,791.0,813.75,788.0,807.1,794.5,174711.0,139954129.65
2026-08-18,KSB,EQUITY,EQ,INE999A01023,797.05,801.45,789.65,794.5,795.25,38365.0,30479019.05
2026-08-17,KSB,EQUITY,EQ,INE999A01023,795.3,808.25,786.3,795.25,801.25,47398.0,37559102.55
2026-08-14,KSB,EQUITY,EQ,INE999A01023,807.5,813.7,799.15,801.25,802.8,61194.0,49171560.8
2026-08-13,KSB,EQUITY,EQ,INE999A01023,788.15,808.0,788.05,802.8,788.05,73947.0,59081529.45
2026-08-12,KSB,EQUITY,EQ,INE999A01023,811.85,814.45,785.05,788.05,811.85,89522.0,71120895.7
2026-08-11,KSB,EQUITY,EQ,INE999A01023,810.0,831.9,795.5,811.85,803.9,442419.0,361829599.3
2026-08-10,KSB,EQUITY,EQ,INE999A01023,784.5,818.3,777.3,803.9,784.25,283595.0,227853236.6
2026-08-07,KSB,EQUITY,EQ,INE999A01023,791.95,798.05,780.0,784.25,788.05,202263.0,159348507.25
2026-08-06,KSB,EQUITY,EQ,INE999A01023,801.0,805.0,782.1,788.05,791.9,201763.0,159852776.55
2026-08-05,KSB,EQUITY,EQ,INE999A01023,848.4,868.0,787.2,791.9,856.95,794706.0,650827118.9
2026-08-04,KSB,EQUITY,EQ,INE999A01023,856.0,891.95,844.0,856.95,857.75,492209.0,429220736.85
2026-08-03,KSB,EQUITY,EQ,INE999A01023,858.0,868.55,850.5,857.75,855.9,50364.0,43271683.0
2026-07-31,KSB,EQUITY,EQ,INE999A01023,858.0,865.7,840.65,855.9,847.55,135871.0,116120092.95
2026-07-30,KSB,EQUITY,EQ,INE999A01023,842.6,851.1,828.3,847.55,842.6,57670.0,48383846.1
2026-07-29,KSB,EQUITY,EQ,INE999A01023,849.95,856.9,832.6,842.6,846.75,115181.0,97113923.6
2026-07-28,KSB,EQUITY,EQ,INE999A01023,877.4,884.0,844.65,846.75,877.4,58723.0,50290985.45
2026-07-27,KSB,EQUITY,EQ,INE999A01023,874.95,889.0,859.15,877.4,866.05,141045.0,123872332.95
