trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,KSHINTL,EQUITY,EQ,INE987S01020,1190.2,1198.0,1128.5,1152.05,1176.75,300648.0,347738321.55
2026-09-08,KSHINTL,EQUITY,EQ,INE987S01020,1113.95,1197.0,1102.05,1176.75,1105.65,691489.0,800160523.25
2026-09-07,KSHINTL,EQUITY,EQ,INE987S01020,1094.65,1125.9,1090.7,1105.65,1087.8,320607.0,355600801.05
2026-09-04,KSHINTL,EQUITY,EQ,INE987S01020,1035.1,1098.0,1032.8,1087.8,1022.7,542413.0,581945367.5
2026-09-03,KSHINTL,EQUITY,EQ,INE987S01020,958.35,1028.05,951.9,1022.7,945.7,536933.0,537410002.15
2026-09-02,KSHINTL,EQUITY,EQ,INE987S01020,951.85,956.5,931.25,945.7,953.0,123540.0,116312906.65
2026-09-01,KSHINTL,EQUITY,EQ,INE987S01020,948.45,965.0,945.0,953.0,947.05,159834.0,152674043.5
2026-08-31,KSHINTL,EQUITY,EQ,INE987S01020,970.0,970.0,937.05,947.05,963.85,199894.0,189259024.9
2026-08-28,KSHINTL,EQUITY,EQ,INE987S01020,967.9,970.0,946.05,963.85,962.35,154785.0,148290057.25
2026-08-27,KSHINTL,EQUITY,EQ,INE987S01020,962.55,1019.0,952.0,962.35,948.25,376921.0,369495746.05
2026-08-26,KSHINTL,EQUITY,EQ,INE987S01020,973.0,974.8,944.0,948.25,970.2,175015.0,166723234.45
2026-08-25,KSHINTL,EQUITY,EQ,INE987S01020,982.35,989.8,962.5,970.2,978.95,132107.0,128887313.95
2026-08-24,KSHINTL,EQUITY,EQ,INE987S01020,1015.95,1015.95,971.5,978.95,1009.25,154028.0,152450028.0
2026-08-21,KSHINTL,EQUITY,EQ,INE987S01020,1017.85,1017.85,982.0,1009.25,1011.3,144223.0,144567967.6
2026-08-20,KSHINTL,EQUITY,EQ,INE987S01020,1019.0,1027.8,1002.15,1011.3,1006.05,137591.0,139433843.8
2026-08-19,KSHINTL,EQUITY,EQ,INE987S01020,1008.95,1016.65,995.45,1006.05,999.45,125080.0,125935747.3
2026-08-18,KSHINTL,EQUITY,EQ,INE987S01020,1024.3,1030.4,985.25,999.45,1022.35,225378.0,225037352.75
2026-08-17,KSHINTL,EQUITY,EQ,INE987S01020,1039.0,1048.7,1013.0,1022.35,1028.6,278762.0,286669165.3
2026-08-14,KSHINTL,EQUITY,EQ,INE987S01020,1007.35,1039.4,1006.45,1028.6,1001.45,327748.0,334173071.5
2026-08-13,KSHINTL,EQUITY,EQ,INE987S01020,1012.0,1037.45,995.0,1001.45,997.65,437360.0,443061062.5
2026-08-12,KSHINTL,EQUITY,EQ,INE987S01020,988.95,1059.9,966.0,997.65,988.95,1174005.0,1181678564.1
2026-08-11,KSHINTL,EQUITY,EQ,INE987S01020,973.05,1045.5,933.25,988.95,900.6,3497625.0,3426055382.85
2026-08-10,KSHINTL,EQUITY,EQ,INE987S01020,906.6,916.0,892.1,900.6,899.9,514737.0,466251359.9
2026-08-07,KSHINTL,EQUITY,EQ,INE987S01020,905.7,909.8,889.9,899.9,899.35,296637.0,268159996.7
2026-08-06,KSHINTL,EQUITY,EQ,INE987S01020,899.9,909.9,887.55,899.35,903.65,118245.0,106154097.1
2026-08-05,KSHINTL,EQUITY,EQ,INE987S01020,910.0,924.05,891.1,903.65,910.25,153095.0,138934206.5
2026-08-04,KSHINTL,EQUITY,EQ,INE987S01020,880.6,914.45,867.55,910.25,878.2,190327.0,170269700.8
2026-08-03,KSHINTL,EQUITY,EQ,INE987S01020,845.45,885.6,845.45,878.2,839.7,211171.0,184359484.6
2026-07-31,KSHINTL,EQUITY,EQ,INE987S01020,836.65,855.8,827.15,839.7,830.95,124397.0,105243444.75
2026-07-30,KSHINTL,EQUITY,EQ,INE987S01020,824.7,840.0,813.7,830.95,825.4,70950.0,58811904.8
2026-07-29,KSHINTL,EQUITY,EQ,INE987S01020,849.7,858.7,819.75,825.4,844.05,192632.0,159776715.85
2026-07-28,KSHINTL,EQUITY,EQ,INE987S01020,880.05,887.0,835.55,844.05,885.1,301219.0,256230560.55
2026-07-27,KSHINTL,EQUITY,EQ,INE987S01020,892.8,899.7,881.05,885.1,888.45,72826.0,64737442.5
2026-07-24,KSHINTL,EQUITY,EQ,INE987S01020,855.05,895.0,853.15,888.45,867.75,144915.0,126724519.8
2026-07-23,KSHINTL,EQUITY,EQ,INE987S01020,892.5,903.8,864.45,867.75,893.7,187779.0,166069065.0
2026-07-22,KSHINTL,EQUITY,EQ,INE987S01020,911.85,919.65,888.1,893.7,905.35,147432.0,132445618.9
2026-07-21,KSHINTL,EQUITY,EQ,INE987S01020,880.0,924.6,880.0,905.35,893.9,502597.0,455811875.95
2026-07-20,KSHINTL,EQUITY,EQ,INE987S01020,863.0,897.45,860.45,893.9,864.75,178848.0,158273742.75
2026-07-17,KSHINTL,EQUITY,EQ,INE987S01020,908.9,910.0,850.1,864.75,903.3,349435.0,303425213.95
2026-07-16,KSHINTL,EQUITY,EQ,INE987S01020,888.15,930.0,868.95,903.3,882.05,708589.0,642096861.8
2026-07-15,KSHINTL,EQUITY,EQ,INE987S01020,876.6,887.0,862.6,882.05,867.85,226567.0,198489738.9
2026-07-14,KSHINTL,EQUITY,EQ,INE987S01020,870.0,893.75,858.1,867.85,875.5,209038.0,182533391.3
2026-07-13,KSHINTL,EQUITY,EQ,INE987S01020,840.65,887.0,835.1,875.5,849.35,413986.0,359616301.85
2026-07-10,KSHINTL,EQUITY,EQ,INE987S01020,858.2,860.5,836.2,849.35,848.2,228225.0,194054981.35
2026-07-09,KSHINTL,EQUITY,EQ,INE987S01020,793.3,851.45,793.0,848.2,783.35,302015.0,250985541.65
2026-07-08,KSHINTL,EQUITY,EQ,INE987S01020,795.0,820.6,776.05,783.35,797.2,337590.0,270136393.25
2026-07-07,KSHINTL,EQUITY,EQ,INE987S01020,860.4,867.0,763.95,797.2,857.95,896512.0,714393229.0
2026-07-06,KSHINTL,EQUITY,EQ,INE987S01020,855.0,864.8,850.0,857.95,847.55,134132.0,114942394.3
2026-07-03,KSHINTL,EQUITY,EQ,INE987S01020,871.15,896.7,842.05,847.55,841.8,777863.0,677128893.4
2026-07-02,KSHINTL,EQUITY,EQ,INE987S01020,860.0,868.1,835.25,841.8,855.0,144563.0,122901092.65
2026-07-01,KSHINTL,EQUITY,EQ,INE987S01020,874.0,876.1,832.7,855.0,863.6,257744.0,220685641.65
2026-06-30,KSHINTL,EQUITY,EQ,INE987S01020,866.0,871.0,852.0,863.6,858.5,225609.0,194203226.8
2026-06-29,KSHINTL,EQUITY,EQ,INE987S01020,851.75,870.7,841.7,858.5,844.4,245854.0,210726821.4
2026-06-25,KSHINTL,EQUITY,EQ,INE987S01020,841.95,870.0,837.3,844.4,833.15,215149.0,184319793.85
2026-06-24,KSHINTL,EQUITY,EQ,INE987S01020,867.0,875.0,828.0,833.15,863.4,230833.0,196792512.8
2026-06-23,KSHINTL,EQUITY,EQ,INE987S01020,867.8,870.0,833.0,863.4,862.5,246099.0,210703301.8
2026-06-22,KSHINTL,EQUITY,EQ,INE987S01020,893.2,898.05,851.5,862.5,886.2,233444.0,203531281.9
2026-06-19,KSHINTL,EQUITY,EQ,INE987S01020,876.7,907.5,871.0,886.2,885.55,240542.0,213946611.75
2026-06-18,KSHINTL,EQUITY,EQ,INE987S01020,865.5,899.0,860.5,885.55,861.55,368650.0,323255533.25
2026-06-17,KSHINTL,EQUITY,EQ,INE987S01020,872.55,897.4,852.2,861.55,860.65,540584.0,473127894.8
2026-06-16,KSHINTL,EQUITY,EQ,INE987S01020,873.05,908.9,850.3,860.65,863.55,804220.0,712474280.3
2026-06-15,KSHINTL,EQUITY,EQ,INE987S01020,834.0,873.0,815.2,863.55,819.95,393246.0,332507599.2
2026-06-12,KSHINTL,EQUITY,EQ,INE987S01020,837.55,855.0,812.0,819.95,818.35,495836.0,408976894.05
2026-06-11,KSHINTL,EQUITY,EQ,INE987S01020,829.9,834.3,800.0,818.35,826.05,297452.0,243296829.75
2026-06-10,KSHINTL,EQUITY,EQ,INE987S01020,807.5,835.0,787.8,826.05,819.9,468235.0,381008707.8
2026-06-09,KSHINTL,EQUITY,EQ,INE987S01020,765.0,828.0,765.0,819.9,749.8,609473.0,489372375.15
2026-06-08,KSHINTL,EQUITY,EQ,INE987S01020,800.0,800.05,710.75,749.8,819.45,1017790.0,767575335.6
2026-06-05,KSHINTL,EQUITY,EQ,INE987S01020,822.75,847.95,813.05,819.45,822.75,427059.0,353000399.35
2026-06-04,KSHINTL,EQUITY,EQ,INE987S01020,847.05,869.0,810.9,822.75,849.2,424272.0,352741875.3
2026-06-03,KSHINTL,EQUITY,EQ,INE987S01020,827.7,867.7,800.0,849.2,814.75,770986.0,646731487.35
2026-06-02,KSHINTL,EQUITY,EQ,INE987S01020,816.25,834.9,791.25,814.75,813.1,445212.0,361448112.9
2026-06-01,KSHINTL,EQUITY,EQ,INE987S01020,804.7,848.05,801.1,813.1,793.15,723525.0,594860754.8
2026-05-29,KSHINTL,EQUITY,EQ,INE987S01020,835.0,857.35,784.3,793.15,825.35,643724.0,525892507.25
2026-05-27,KSHINTL,EQUITY,EQ,INE987S01020,749.0,835.0,745.15,825.35,739.8,3064441.0,2494025999.4
