trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,LAHOTIOV,EQUITY,EQ,INE515C01023,41.04,42.59,41.04,41.37,41.38,7847.0,326564.48
2026-09-08,LAHOTIOV,EQUITY,EQ,INE515C01023,44.01,44.9,40.1,41.38,44.0,7475.0,313591.69
2026-09-07,LAHOTIOV,EQUITY,EQ,INE515C01023,43.94,45.0,42.0,44.0,43.08,4169.0,178359.36
2026-09-04,LAHOTIOV,EQUITY,EQ,INE515C01023,46.0,46.0,43.0,43.08,45.08,3701.0,161729.06
2026-09-03,LAHOTIOV,EQUITY,EQ,INE515C01023,41.01,46.95,41.01,45.08,41.98,128066.0,5758764.94
2026-09-02,LAHOTIOV,EQUITY,EQ,INE515C01023,42.19,43.0,40.76,41.98,41.99,6724.0,280005.55
2026-09-01,LAHOTIOV,EQUITY,EQ,INE515C01023,40.29,42.0,40.29,41.99,40.29,2572.0,106928.67
2026-08-31,LAHOTIOV,EQUITY,EQ,INE515C01023,41.8,41.8,40.13,40.29,40.71,820.0,33166.04
2026-08-28,LAHOTIOV,EQUITY,EQ,INE515C01023,41.1,42.0,40.5,40.71,41.72,6370.0,262295.51
2026-08-27,LAHOTIOV,EQUITY,EQ,INE515C01023,43.0,43.0,41.72,41.72,42.72,22.0,922.14
2026-08-26,LAHOTIOV,EQUITY,EQ,INE515C01023,42.99,42.99,41.63,42.72,42.17,5075.0,217501.3
2026-08-25,LAHOTIOV,EQUITY,EQ,INE515C01023,41.75,42.49,41.51,42.17,41.95,2411.0,101163.18
2026-08-24,LAHOTIOV,EQUITY,EQ,INE515C01023,42.49,42.5,41.0,41.95,41.61,1620.0,67912.44
2026-08-21,LAHOTIOV,EQUITY,EQ,INE515C01023,40.99,42.0,40.03,41.61,40.81,5791.0,239951.62
2026-08-20,LAHOTIOV,EQUITY,EQ,INE515C01023,42.05,42.99,39.31,40.81,41.16,16047.0,658804.84
2026-08-19,LAHOTIOV,EQUITY,EQ,INE515C01023,42.0,42.49,41.01,41.16,42.28,6511.0,270076.14
2026-08-18,LAHOTIOV,EQUITY,EQ,INE515C01023,42.98,43.5,42.11,42.28,42.98,885.0,37518.99
2026-08-17,LAHOTIOV,EQUITY,EQ,INE515C01023,40.05,43.0,40.05,42.98,41.03,11008.0,463367.46
2026-08-14,LAHOTIOV,EQUITY,EQ,INE515C01023,42.9,42.9,41.0,41.03,41.53,7031.0,292620.47
2026-08-13,LAHOTIOV,EQUITY,EQ,INE515C01023,43.01,44.74,41.1,41.53,43.0,8400.0,355606.25
2026-08-12,LAHOTIOV,EQUITY,EQ,INE515C01023,44.5,44.99,43.0,43.0,44.19,4469.0,194234.95
2026-08-11,LAHOTIOV,EQUITY,EQ,INE515C01023,43.0,47.0,42.3,44.19,43.06,31128.0,1409860.37
2026-08-10,LAHOTIOV,EQUITY,EQ,INE515C01023,42.01,43.5,41.0,43.06,42.74,3026.0,128085.39
2026-08-07,LAHOTIOV,EQUITY,EQ,INE515C01023,41.98,43.39,41.0,42.74,41.26,3829.0,163072.07
2026-08-06,LAHOTIOV,EQUITY,EQ,INE515C01023,41.97,42.0,41.26,41.26,41.97,2959.0,122119.18
2026-08-05,LAHOTIOV,EQUITY,EQ,INE515C01023,42.0,42.0,41.0,41.97,41.7,1884.0,77883.66
2026-08-04,LAHOTIOV,EQUITY,EQ,INE515C01023,41.99,42.43,40.65,41.7,41.49,3640.0,151521.24
2026-08-03,LAHOTIOV,EQUITY,EQ,INE515C01023,41.01,42.0,40.05,41.49,41.01,9924.0,407768.43
2026-07-31,LAHOTIOV,EQUITY,EQ,INE515C01023,42.0,42.89,41.0,41.01,40.67,501.0,20714.47
2026-07-30,LAHOTIOV,EQUITY,EQ,INE515C01023,43.89,45.0,40.01,40.67,43.01,13478.0,561389.86
2026-07-29,LAHOTIOV,EQUITY,EQ,INE515C01023,41.0,44.98,41.0,43.01,40.75,16388.0,687507.31
2026-07-28,LAHOTIOV,EQUITY,EQ,INE515C01023,42.11,43.87,40.0,40.75,43.95,3776.0,154046.33
2026-07-24,LAHOTIOV,EQUITY,EQ,INE515C01023,43.98,43.98,43.95,43.95,42.34,14.0,615.52
2026-07-23,LAHOTIOV,EQUITY,EQ,INE515C01023,43.96,43.96,42.25,42.34,42.58,574.0,24462.81
2026-07-22,LAHOTIOV,EQUITY,EQ,INE515C01023,44.8,44.8,42.16,42.58,44.16,925.0,39398.8
2026-07-21,LAHOTIOV,EQUITY,EQ,INE515C01023,43.89,44.95,42.6,44.16,42.59,1667.0,73237.86
2026-07-20,LAHOTIOV,EQUITY,EQ,INE515C01023,43.95,43.95,42.04,42.59,42.36,1871.0,80082.08
2026-07-17,LAHOTIOV,EQUITY,EQ,INE515C01023,42.13,42.95,42.0,42.36,43.7,775.0,32720.88
2026-07-16,LAHOTIOV,EQUITY,EQ,INE515C01023,42.44,43.95,42.21,43.7,42.43,3244.0,138719.59
2026-07-15,LAHOTIOV,EQUITY,EQ,INE515C01023,43.81,43.81,42.43,42.43,43.81,559.0,23758.53
2026-07-13,LAHOTIOV,EQUITY,EQ,INE515C01023,42.2,44.85,42.0,43.81,43.7,7858.0,337324.02
2026-07-10,LAHOTIOV,EQUITY,EQ,INE515C01023,43.0,44.0,42.0,43.7,42.85,2432.0,104061.25
2026-07-09,LAHOTIOV,EQUITY,EQ,INE515C01023,43.76,45.0,42.85,42.85,42.3,2802.0,122504.6
2026-07-08,LAHOTIOV,EQUITY,EQ,INE515C01023,44.79,44.79,42.01,42.3,44.31,3267.0,142807.54
2026-07-07,LAHOTIOV,EQUITY,EQ,INE515C01023,44.0,44.79,43.01,44.31,43.09,2144.0,94480.45
2026-07-06,LAHOTIOV,EQUITY,EQ,INE515C01023,44.0,44.77,43.0,43.09,43.53,675.0,29446.92
2026-07-03,LAHOTIOV,EQUITY,EQ,INE515C01023,43.03,44.0,43.0,43.53,43.03,376.0,16376.6
2026-07-02,LAHOTIOV,EQUITY,EQ,INE515C01023,44.89,44.89,43.0,43.03,43.35,1538.0,66238.07
2026-07-01,LAHOTIOV,EQUITY,EQ,INE515C01023,44.99,45.0,43.0,43.35,43.47,5109.0,226727.12
2026-06-30,LAHOTIOV,EQUITY,EQ,INE515C01023,44.0,46.15,43.02,43.47,43.51,7435.0,331389.3
2026-06-29,LAHOTIOV,EQUITY,EQ,INE515C01023,45.0,45.0,42.31,43.51,44.27,1652.0,71448.38
2026-06-25,LAHOTIOV,EQUITY,EQ,INE515C01023,45.61,45.99,44.02,44.27,45.61,1432.0,64375.96
2026-06-24,LAHOTIOV,EQUITY,EQ,INE515C01023,45.0,46.0,43.7,45.61,44.16,5231.0,234125.51
2026-06-23,LAHOTIOV,EQUITY,EQ,INE515C01023,44.23,45.8,44.0,44.16,45.82,1363.0,60355.97
2026-06-22,LAHOTIOV,EQUITY,EQ,INE515C01023,44.16,46.69,44.16,45.82,44.16,8387.0,382700.24
2026-06-19,LAHOTIOV,EQUITY,EQ,INE515C01023,44.95,46.87,44.0,44.16,44.66,2365.0,105778.65
2026-06-18,LAHOTIOV,EQUITY,EQ,INE515C01023,45.1,46.74,42.25,44.66,46.26,11211.0,502906.71
2026-06-17,LAHOTIOV,EQUITY,EQ,INE515C01023,44.52,47.9,44.52,46.26,44.14,19459.0,900708.14
2026-06-16,LAHOTIOV,EQUITY,EQ,INE515C01023,44.85,44.94,44.01,44.14,44.89,604.0,26784.87
2026-06-15,LAHOTIOV,EQUITY,EQ,INE515C01023,44.0,46.97,43.0,44.89,43.36,65693.0,2933137.07
2026-06-12,LAHOTIOV,EQUITY,EQ,INE515C01023,45.5,46.0,41.3,43.36,44.74,54613.0,2404664.62
2026-06-11,LAHOTIOV,EQUITY,EQ,INE515C01023,45.9,47.7,44.0,44.74,44.91,105065.0,4848956.8
2026-06-10,LAHOTIOV,EQUITY,EQ,INE515C01023,45.44,50.8,43.61,44.91,45.12,196720.0,9272821.06
2026-06-09,LAHOTIOV,EQUITY,EQ,INE515C01023,42.74,45.4,42.5,45.12,42.74,138737.0,6136601.71
2026-06-08,LAHOTIOV,EQUITY,EQ,INE515C01023,42.5,45.0,42.5,42.74,43.99,240703.0,10456215.15
2026-06-05,LAHOTIOV,EQUITY,EQ,INE515C01023,42.25,45.88,39.26,43.99,41.67,149759.0,6400914.33
2026-06-04,LAHOTIOV,EQUITY,EQ,INE515C01023,41.2,43.46,40.0,41.67,41.27,136199.0,5687958.2
2026-06-03,LAHOTIOV,EQUITY,EQ,INE515C01023,42.4,44.78,40.45,41.27,42.31,21760.0,918913.62
2026-06-02,LAHOTIOV,EQUITY,EQ,INE515C01023,42.4,46.0,35.15,42.31,42.4,17620.0,725072.29
2026-06-01,LAHOTIOV,EQUITY,EQ,INE515C01023,41.2,46.9,40.74,42.4,42.1,3135.0,136563.76
2026-05-29,LAHOTIOV,EQUITY,EQ,INE515C01023,43.6,43.6,42.1,42.1,43.4,5714.0,241309.14
2026-05-27,LAHOTIOV,EQUITY,EQ,INE515C01023,41.23,43.47,41.23,43.4,43.14,80.0,3410.11
2026-05-26,LAHOTIOV,EQUITY,EQ,INE515C01023,41.66,43.48,41.66,43.14,43.59,1543.0,66111.22
2026-05-25,LAHOTIOV,EQUITY,EQ,INE515C01023,44.0,44.0,41.2,43.59,42.8,1079.0,45705.99
2026-05-22,LAHOTIOV,EQUITY,EQ,INE515C01023,44.0,44.0,42.7,42.8,43.79,1781.0,76422.08
2026-05-21,LAHOTIOV,EQUITY,EQ,INE515C01023,43.59,44.7,42.1,43.79,42.45,13327.0,573175.23
2026-05-20,LAHOTIOV,EQUITY,EQ,INE515C01023,41.21,43.75,34.06,42.45,42.57,27661.0,1095542.21
2026-05-19,LAHOTIOV,EQUITY,EQ,INE515C01023,43.55,43.55,42.0,42.57,42.66,874.0,37396.9
2026-05-18,LAHOTIOV,EQUITY,EQ,INE515C01023,44.49,44.49,41.93,42.66,43.72,5791.0,244623.68
2026-05-15,LAHOTIOV,EQUITY,EQ,INE515C01023,46.5,46.89,42.45,43.72,46.28,12594.0,553371.43
2026-05-14,LAHOTIOV,EQUITY,EQ,INE515C01023,47.0,47.0,45.0,46.28,46.47,6008.0,275812.71
2026-05-13,LAHOTIOV,EQUITY,EQ,INE515C01023,46.99,46.99,45.27,46.47,45.89,1652.0,77150.08
2026-05-12,LAHOTIOV,EQUITY,EQ,INE515C01023,47.19,47.19,45.1,45.89,46.33,3592.0,165549.77
2026-05-11,LAHOTIOV,EQUITY,EQ,INE515C01023,47.2,47.95,46.0,46.33,46.73,6986.0,327496.49
2026-05-08,LAHOTIOV,EQUITY,EQ,INE515C01023,48.3,50.8,46.0,46.73,46.7,103245.0,4930313.66
2026-05-07,LAHOTIOV,EQUITY,EQ,INE515C01023,49.45,49.45,46.0,46.7,48.81,37320.0,1767555.57
2026-05-06,LAHOTIOV,EQUITY,EQ,INE515C01023,49.55,50.48,47.7,48.81,48.12,41087.0,2000727.98
2026-05-05,LAHOTIOV,EQUITY,EQ,INE515C01023,51.95,51.95,47.4,48.12,49.25,75594.0,3745889.9
2026-05-04,LAHOTIOV,EQUITY,EQ,INE515C01023,49.55,53.9,48.51,49.25,48.85,61516.0,3048071.41
2026-04-30,LAHOTIOV,EQUITY,EQ,INE515C01023,50.4,50.4,47.35,48.85,47.65,20474.0,999031.75
2026-04-29,LAHOTIOV,EQUITY,EQ,INE515C01023,49.45,50.25,45.3,47.65,47.75,87893.0,4267525.4
2026-04-28,LAHOTIOV,EQUITY,EQ,INE515C01023,49.6,49.6,47.0,47.75,48.9,15841.0,760941.75
2026-04-27,LAHOTIOV,EQUITY,EQ,INE515C01023,49.6,49.6,48.65,48.9,49.1,16135.0,790705.25
2026-04-24,LAHOTIOV,EQUITY,EQ,INE515C01023,48.7,50.85,48.4,49.1,48.7,11720.0,577255.85
2026-04-23,LAHOTIOV,EQUITY,EQ,INE515C01023,51.7,51.7,48.3,48.7,50.6,61999.0,3048318.5
2026-04-22,LAHOTIOV,EQUITY,EQ,INE515C01023,44.05,52.8,43.95,50.6,44.0,193266.0,9720664.75
2026-04-21,LAHOTIOV,EQUITY,EQ,INE515C01023,44.3,44.3,44.0,44.0,44.1,108.0,4752.8
2026-04-20,LAHOTIOV,EQUITY,EQ,INE515C01023,44.1,44.1,44.1,44.1,44.1,10.0,441.0
