trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,LAMBODHARA,EQUITY,EQ,INE112F01022,136.15,140.0,131.0,138.7,134.6,15699.0,2142393.75
2026-09-07,LAMBODHARA,EQUITY,EQ,INE112F01022,134.67,140.0,133.26,134.6,134.67,6832.0,934449.27
2026-09-04,LAMBODHARA,EQUITY,EQ,INE112F01022,138.81,139.91,133.96,134.67,137.47,4467.0,611464.48
2026-09-03,LAMBODHARA,EQUITY,EQ,INE112F01022,135.6,139.92,134.02,137.47,133.45,9197.0,1258003.38
2026-09-02,LAMBODHARA,EQUITY,EQ,INE112F01022,141.04,141.04,131.63,133.45,141.38,15039.0,2015227.81
2026-09-01,LAMBODHARA,EQUITY,EQ,INE112F01022,142.43,145.0,138.16,141.38,141.38,15961.0,2273907.14
2026-08-31,LAMBODHARA,EQUITY,EQ,INE112F01022,139.99,143.0,139.99,141.38,138.48,30356.0,4299098.32
2026-08-28,LAMBODHARA,EQUITY,EQ,INE112F01022,144.0,145.7,137.24,138.48,140.71,31026.0,4349679.68
2026-08-27,LAMBODHARA,EQUITY,EQ,INE112F01022,141.0,147.19,139.51,140.71,141.88,38124.0,5462967.05
2026-08-26,LAMBODHARA,EQUITY,EQ,INE112F01022,140.55,144.95,136.16,141.88,142.03,86226.0,12283948.02
2026-08-25,LAMBODHARA,EQUITY,EQ,INE112F01022,144.0,145.85,130.2,142.03,141.69,423658.0,58905120.42
2026-08-24,LAMBODHARA,EQUITY,EQ,INE112F01022,123.3,141.69,119.5,141.69,118.08,983823.0,132005484.75
2026-08-21,LAMBODHARA,EQUITY,EQ,INE112F01022,107.63,124.0,105.5,118.08,107.63,83175.0,9699107.07
2026-08-20,LAMBODHARA,EQUITY,EQ,INE112F01022,108.35,111.98,106.14,107.63,110.18,14217.0,1536215.92
2026-08-19,LAMBODHARA,EQUITY,EQ,INE112F01022,113.0,113.0,110.0,110.18,110.59,1949.0,215975.54
2026-08-18,LAMBODHARA,EQUITY,EQ,INE112F01022,113.64,113.64,110.35,110.59,110.1,4907.0,546435.04
2026-08-17,LAMBODHARA,EQUITY,EQ,INE112F01022,114.4,114.4,110.1,110.1,111.54,4436.0,492661.17
2026-08-14,LAMBODHARA,EQUITY,EQ,INE112F01022,113.7,115.72,111.0,111.54,113.0,4255.0,478401.89
2026-08-13,LAMBODHARA,EQUITY,EQ,INE112F01022,113.5,114.0,112.4,113.0,113.8,7818.0,883423.3
2026-08-12,LAMBODHARA,EQUITY,EQ,INE112F01022,114.11,116.39,113.0,113.8,114.88,3518.0,402566.67
2026-08-11,LAMBODHARA,EQUITY,EQ,INE112F01022,115.0,117.65,112.69,114.88,113.48,26718.0,3082388.3
2026-08-10,LAMBODHARA,EQUITY,EQ,INE112F01022,115.99,119.5,112.2,113.48,115.12,21726.0,2523297.21
2026-08-07,LAMBODHARA,EQUITY,EQ,INE112F01022,114.0,119.45,111.02,115.12,114.27,32623.0,3795105.38
2026-08-06,LAMBODHARA,EQUITY,EQ,INE112F01022,115.0,115.7,110.96,114.27,115.7,2081.0,236584.95
2026-08-05,LAMBODHARA,EQUITY,EQ,INE112F01022,115.0,116.12,113.1,115.7,113.28,5708.0,657685.32
2026-08-04,LAMBODHARA,EQUITY,EQ,INE112F01022,113.43,114.5,111.45,113.28,111.3,2083.0,236283.83
2026-08-03,LAMBODHARA,EQUITY,EQ,INE112F01022,114.7,115.95,111.0,111.3,113.75,9964.0,1116830.93
2026-07-31,LAMBODHARA,EQUITY,EQ,INE112F01022,114.8,114.8,112.5,113.75,112.33,1159.0,131968.28
2026-07-30,LAMBODHARA,EQUITY,EQ,INE112F01022,113.0,114.4,110.6,112.33,111.89,1801.0,202348.38
2026-07-29,LAMBODHARA,EQUITY,EQ,INE112F01022,114.48,114.85,110.8,111.89,111.31,1965.0,222353.29
2026-07-28,LAMBODHARA,EQUITY,EQ,INE112F01022,114.99,114.99,111.0,111.31,114.21,2597.0,290035.22
2026-07-27,LAMBODHARA,EQUITY,EQ,INE112F01022,114.99,115.0,111.63,114.21,112.27,2211.0,251865.87
2026-07-24,LAMBODHARA,EQUITY,EQ,INE112F01022,112.5,113.02,110.61,112.27,112.96,4770.0,533663.55
2026-07-23,LAMBODHARA,EQUITY,EQ,INE112F01022,113.5,114.31,112.82,112.96,113.8,1817.0,205648.72
2026-07-22,LAMBODHARA,EQUITY,EQ,INE112F01022,115.14,117.19,113.34,113.8,115.14,8637.0,993365.31
2026-07-21,LAMBODHARA,EQUITY,EQ,INE112F01022,115.79,116.98,114.63,115.14,115.83,4634.0,536661.12
2026-07-20,LAMBODHARA,EQUITY,EQ,INE112F01022,117.4,118.8,113.51,115.83,115.99,14766.0,1711262.13
2026-07-17,LAMBODHARA,EQUITY,EQ,INE112F01022,117.5,118.21,115.21,115.99,117.5,10722.0,1244128.76
2026-07-16,LAMBODHARA,EQUITY,EQ,INE112F01022,114.0,122.75,114.0,117.5,114.65,74864.0,8934187.32
2026-07-15,LAMBODHARA,EQUITY,EQ,INE112F01022,114.03,117.4,114.03,114.65,113.92,16627.0,1924787.63
2026-07-14,LAMBODHARA,EQUITY,EQ,INE112F01022,113.4,116.35,111.21,113.92,113.81,39452.0,4516814.28
2026-07-13,LAMBODHARA,EQUITY,EQ,INE112F01022,108.55,114.9,104.51,113.81,110.92,27353.0,3023637.42
2026-07-10,LAMBODHARA,EQUITY,EQ,INE112F01022,109.5,113.5,109.1,110.92,108.41,7168.0,798602.85
2026-07-09,LAMBODHARA,EQUITY,EQ,INE112F01022,109.0,110.6,107.51,108.41,107.05,3671.0,398363.45
2026-07-08,LAMBODHARA,EQUITY,EQ,INE112F01022,111.77,113.0,106.1,107.05,111.78,9199.0,1004112.65
2026-07-07,LAMBODHARA,EQUITY,EQ,INE112F01022,113.0,115.47,110.01,111.78,113.04,5197.0,579398.45
2026-07-06,LAMBODHARA,EQUITY,EQ,INE112F01022,113.25,114.24,112.0,113.04,113.26,4612.0,520466.1
2026-07-03,LAMBODHARA,EQUITY,EQ,INE112F01022,115.95,116.39,112.1,113.26,116.09,6839.0,781601.44
2026-07-02,LAMBODHARA,EQUITY,EQ,INE112F01022,114.5,116.98,113.05,116.09,112.14,11438.0,1318804.9
2026-07-01,LAMBODHARA,EQUITY,EQ,INE112F01022,112.0,115.19,111.86,112.14,111.53,6994.0,794885.95
2026-06-30,LAMBODHARA,EQUITY,EQ,INE112F01022,111.96,114.79,110.15,111.53,111.21,6708.0,754572.38
2026-06-29,LAMBODHARA,EQUITY,EQ,INE112F01022,114.58,115.8,110.25,111.21,114.58,5368.0,603946.33
2026-06-25,LAMBODHARA,EQUITY,EQ,INE112F01022,117.06,119.75,114.1,114.58,116.69,15894.0,1862880.45
2026-06-24,LAMBODHARA,EQUITY,EQ,INE112F01022,114.0,121.89,113.46,116.69,113.63,33987.0,4012395.68
2026-06-23,LAMBODHARA,EQUITY,EQ,INE112F01022,116.94,118.6,112.7,113.63,116.94,19756.0,2292549.51
2026-06-22,LAMBODHARA,EQUITY,EQ,INE112F01022,114.2,118.51,113.0,116.94,114.13,38079.0,4438233.37
2026-06-19,LAMBODHARA,EQUITY,EQ,INE112F01022,110.0,124.4,109.98,114.13,108.56,305746.0,36334045.55
2026-06-18,LAMBODHARA,EQUITY,EQ,INE112F01022,108.98,109.0,106.35,108.56,106.43,14621.0,1580126.67
2026-06-17,LAMBODHARA,EQUITY,EQ,INE112F01022,108.0,108.5,106.0,106.43,106.25,3281.0,351346.32
2026-06-16,LAMBODHARA,EQUITY,EQ,INE112F01022,105.0,107.8,105.0,106.25,105.73,4538.0,481110.43
2026-06-15,LAMBODHARA,EQUITY,EQ,INE112F01022,104.45,108.6,104.45,105.73,103.12,8481.0,906375.24
2026-06-12,LAMBODHARA,EQUITY,EQ,INE112F01022,104.0,104.6,102.21,103.12,102.3,6450.0,664481.43
