trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,LANDSMILL,EQUITY,EQ,INE688J01023,0.59,0.62,0.57,0.58,0.58,5182259.0,3057563.06
2026-09-07,LANDSMILL,EQUITY,EQ,INE688J01023,0.64,0.64,0.58,0.58,0.63,6371276.0,3838027.67
2026-09-04,LANDSMILL,EQUITY,EQ,INE688J01023,0.67,0.71,0.63,0.63,0.67,10129295.0,6736156.04
2026-09-03,LANDSMILL,EQUITY,EQ,INE688J01023,0.68,0.69,0.67,0.67,0.68,1513906.0,1029703.65
2026-09-02,LANDSMILL,EQUITY,EQ,INE688J01023,0.68,0.69,0.67,0.68,0.68,2203565.0,1501887.79
2026-09-01,LANDSMILL,EQUITY,EQ,INE688J01023,0.68,0.7,0.68,0.68,0.68,1692243.0,1158150.88
2026-08-31,LANDSMILL,EQUITY,EQ,INE688J01023,0.69,0.7,0.68,0.68,0.69,1498207.0,1030190.32
2026-08-28,LANDSMILL,EQUITY,EQ,INE688J01023,0.7,0.7,0.69,0.69,0.69,1303618.0,907125.69
2026-08-27,LANDSMILL,EQUITY,EQ,INE688J01023,0.7,0.72,0.68,0.69,0.7,2793423.0,1953304.37
2026-08-26,LANDSMILL,EQUITY,EQ,INE688J01023,0.7,0.72,0.7,0.7,0.7,1812399.0,1281114.17
2026-08-25,LANDSMILL,EQUITY,EQ,INE688J01023,0.75,0.76,0.69,0.7,0.74,6015449.0,4307805.29
2026-08-24,LANDSMILL,EQUITY,EQ,INE688J01023,0.75,0.76,0.74,0.74,0.75,1664257.0,1255771.08
2026-08-21,LANDSMILL,EQUITY,EQ,INE688J01023,0.74,0.76,0.74,0.75,0.74,1990035.0,1491287.08
2026-08-20,LANDSMILL,EQUITY,EQ,INE688J01023,0.75,0.76,0.74,0.74,0.75,2915296.0,2179207.4
2026-08-19,LANDSMILL,EQUITY,EQ,INE688J01023,0.77,0.77,0.75,0.75,0.76,1484148.0,1120944.66
2026-08-18,LANDSMILL,EQUITY,EQ,INE688J01023,0.75,0.78,0.75,0.76,0.75,2802194.0,2142167.54
2026-08-17,LANDSMILL,EQUITY,EQ,INE688J01023,0.76,0.77,0.75,0.75,0.76,1833274.0,1390860.87
2026-08-14,LANDSMILL,EQUITY,EQ,INE688J01023,0.76,0.77,0.75,0.76,0.76,2005926.0,1531178.42
2026-08-13,LANDSMILL,EQUITY,EQ,INE688J01023,0.78,0.78,0.76,0.76,0.77,1288827.0,987295.28
2026-08-12,LANDSMILL,EQUITY,EQ,INE688J01023,0.78,0.78,0.76,0.77,0.78,3014954.0,2322492.23
2026-08-11,LANDSMILL,EQUITY,EQ,INE688J01023,0.8,0.8,0.78,0.78,0.79,1483148.0,1165518.83
2026-08-10,LANDSMILL,EQUITY,EQ,INE688J01023,0.79,0.81,0.79,0.79,0.8,2222538.0,1767082.96
2026-08-07,LANDSMILL,EQUITY,EQ,INE688J01023,0.8,0.81,0.78,0.8,0.8,2267779.0,1800372.74
2026-08-06,LANDSMILL,EQUITY,EQ,INE688J01023,0.81,0.82,0.8,0.8,0.81,1513371.0,1221828.14
2026-08-05,LANDSMILL,EQUITY,EQ,INE688J01023,0.8,0.84,0.8,0.81,0.8,2347943.0,1934323.34
2026-08-04,LANDSMILL,EQUITY,EQ,INE688J01023,0.81,0.82,0.79,0.8,0.8,2335453.0,1870900.39
2026-08-03,LANDSMILL,EQUITY,EQ,INE688J01023,0.82,0.82,0.8,0.8,0.81,1487699.0,1201701.74
2026-07-31,LANDSMILL,EQUITY,EQ,INE688J01023,0.82,0.83,0.8,0.81,0.81,1350479.0,1099128.13
2026-07-30,LANDSMILL,EQUITY,EQ,INE688J01023,0.83,0.84,0.81,0.81,0.83,1044960.0,858068.57
