trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,LASERPOWER,EQUITY,EQ,INE17IR01028,313.95,317.15,303.8,305.3,310.7,507280.0,156408622.35
2026-09-07,LASERPOWER,EQUITY,EQ,INE17IR01028,296.9,312.9,295.2,310.7,295.65,1032439.0,316377168.0
2026-09-04,LASERPOWER,EQUITY,EQ,INE17IR01028,303.7,305.95,291.5,295.65,301.05,999119.0,297239307.25
2026-09-03,LASERPOWER,EQUITY,EQ,INE17IR01028,305.9,308.9,298.8,301.05,303.55,532586.0,161600011.6
2026-09-02,LASERPOWER,EQUITY,EQ,INE17IR01028,308.0,311.0,302.15,303.55,311.35,394417.0,120728713.85
2026-09-01,LASERPOWER,EQUITY,EQ,INE17IR01028,315.4,318.5,300.0,311.35,314.3,815644.0,252280822.55
2026-08-31,LASERPOWER,EQUITY,EQ,INE17IR01028,326.0,326.9,308.3,314.3,325.65,538005.0,171488046.4
2026-08-28,LASERPOWER,EQUITY,EQ,INE17IR01028,320.05,327.9,318.45,325.65,319.6,466158.0,150588320.0
2026-08-27,LASERPOWER,EQUITY,EQ,INE17IR01028,328.0,329.0,318.1,319.6,328.2,623061.0,201142534.3
2026-08-26,LASERPOWER,EQUITY,EQ,INE17IR01028,337.6,341.2,325.35,328.2,335.4,684102.0,228787076.8
2026-08-25,LASERPOWER,EQUITY,EQ,INE17IR01028,334.0,343.5,331.1,335.4,334.5,1330667.0,449536088.5
2026-08-24,LASERPOWER,EQUITY,EQ,INE17IR01028,338.0,339.85,331.6,334.5,337.55,1047815.0,352139015.55
2026-08-21,LASERPOWER,EQUITY,EQ,INE17IR01028,330.95,341.0,327.05,337.55,328.4,1360433.0,456779679.55
2026-08-20,LASERPOWER,EQUITY,EQ,INE17IR01028,324.9,335.4,321.3,328.4,322.5,1655795.0,544553482.4
2026-08-19,LASERPOWER,EQUITY,EQ,INE17IR01028,330.0,341.95,318.0,322.5,327.6,2685452.0,892037395.2
2026-08-18,LASERPOWER,EQUITY,EQ,INE17IR01028,321.5,331.5,320.4,327.6,324.35,2181158.0,712605999.1
2026-08-17,LASERPOWER,EQUITY,EQ,INE17IR01028,302.95,329.95,302.95,324.35,302.9,6308669.0,1982095032.15
2026-08-14,LASERPOWER,EQUITY,EQ,INE17IR01028,297.9,306.6,295.6,302.9,298.0,1688928.0,509943825.0
2026-08-13,LASERPOWER,EQUITY,EQ,INE17IR01028,282.9,305.65,270.05,298.0,281.55,5654140.0,1648896063.6
2026-08-12,LASERPOWER,EQUITY,EQ,INE17IR01028,289.95,289.95,279.3,281.55,289.05,1179002.0,334129376.15
2026-08-11,LASERPOWER,EQUITY,EQ,INE17IR01028,287.95,300.9,282.3,289.05,302.55,5080059.0,1475152265.5
2026-08-10,LASERPOWER,EQUITY,EQ,INE17IR01028,296.5,306.5,292.55,302.55,295.1,2513759.0,756572892.65
2026-08-07,LASERPOWER,EQUITY,EQ,INE17IR01028,293.0,297.7,290.9,295.1,292.0,999456.0,294204346.0
2026-08-06,LASERPOWER,EQUITY,EQ,INE17IR01028,292.7,303.2,289.3,292.0,290.2,1654581.0,490964549.45
2026-08-05,LASERPOWER,EQUITY,EQ,INE17IR01028,291.95,302.0,289.0,290.2,287.45,2454989.0,723434059.9
2026-08-04,LASERPOWER,EQUITY,EQ,INE17IR01028,295.8,299.5,285.95,287.45,295.1,1352390.0,393438333.05
2026-08-03,LASERPOWER,EQUITY,EQ,INE17IR01028,303.0,307.8,288.0,295.1,299.37,2496781.0,740769415.25
2026-07-31,LASERPOWER,EQUITY,EQ,INE17IR01028,302.8,315.6,296.14,299.37,300.42,3390535.0,1031664701.84
2026-07-30,LASERPOWER,EQUITY,EQ,INE17IR01028,307.59,309.0,295.07,300.42,306.67,2914350.0,877152128.54
2026-07-29,LASERPOWER,EQUITY,EQ,INE17IR01028,289.0,314.22,280.2,306.67,285.66,7735392.0,2348021452.13
2026-07-28,LASERPOWER,EQUITY,EQ,INE17IR01028,307.66,307.66,283.05,285.66,306.22,2809299.0,823909625.84
2026-07-27,LASERPOWER,EQUITY,EQ,INE17IR01028,315.55,317.0,298.0,306.22,307.52,5223714.0,1600284387.77
2026-07-24,LASERPOWER,EQUITY,EQ,INE17IR01028,277.4,307.52,272.52,307.52,279.57,6556933.0,1928609994.34
2026-07-23,LASERPOWER,EQUITY,EQ,INE17IR01028,281.0,286.8,275.0,279.57,277.69,2126681.0,597841708.53
2026-07-22,LASERPOWER,EQUITY,EQ,INE17IR01028,286.8,288.0,274.0,277.69,281.92,2210740.0,619193567.65
2026-07-21,LASERPOWER,EQUITY,EQ,INE17IR01028,274.53,284.9,267.24,281.92,274.53,3935718.0,1090740790.83
2026-07-20,LASERPOWER,EQUITY,EQ,INE17IR01028,297.15,304.4,271.2,274.53,288.66,12859438.0,3667291978.93
2026-07-17,LASERPOWER,EQUITY,EQ,INE17IR01028,271.69,288.66,270.5,288.66,262.42,8020732.0,2258809105.78
2026-07-16,LASERPOWER,EQUITY,EQ,INE17IR01028,250.0,270.0,250.0,262.42,214.0,38655377.0,10075853154.92
