trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,LEMONTREE,EQUITY,EQ,INE970X01018,106.7,107.32,105.39,105.73,107.28,2549945.0,269851437.71
2026-09-07,LEMONTREE,EQUITY,EQ,INE970X01018,105.49,107.49,105.38,107.28,104.95,3117893.0,332451235.87
2026-09-04,LEMONTREE,EQUITY,EQ,INE970X01018,105.24,107.0,104.77,104.95,104.89,3464757.0,365276752.85
2026-09-03,LEMONTREE,EQUITY,EQ,INE970X01018,106.41,107.1,104.7,104.89,106.18,2699116.0,284677405.49
2026-09-02,LEMONTREE,EQUITY,EQ,INE970X01018,105.75,106.66,104.71,106.18,106.15,2312163.0,244677769.55
2026-09-01,LEMONTREE,EQUITY,EQ,INE970X01018,106.25,107.1,105.71,106.15,106.25,1816566.0,193193687.7
2026-08-31,LEMONTREE,EQUITY,EQ,INE970X01018,108.53,108.53,105.2,106.25,108.53,4742751.0,506029027.12
2026-08-28,LEMONTREE,EQUITY,EQ,INE970X01018,105.5,108.8,105.12,108.53,107.69,9179975.0,989879758.42
2026-08-27,LEMONTREE,EQUITY,EQ,INE970X01018,108.89,109.53,107.26,107.69,108.75,2259074.0,244030443.23
2026-08-26,LEMONTREE,EQUITY,EQ,INE970X01018,109.69,110.45,108.6,108.75,109.21,2140318.0,234126162.14
2026-08-25,LEMONTREE,EQUITY,EQ,INE970X01018,109.0,109.5,108.15,109.21,108.56,1541936.0,167693507.56
2026-08-24,LEMONTREE,EQUITY,EQ,INE970X01018,108.5,109.8,108.27,108.56,108.33,2384816.0,259864938.67
2026-08-21,LEMONTREE,EQUITY,EQ,INE970X01018,108.3,110.5,108.01,108.33,107.96,2589977.0,282251036.37
2026-08-20,LEMONTREE,EQUITY,EQ,INE970X01018,108.7,109.1,107.58,107.96,108.08,3172639.0,343299491.62
2026-08-19,LEMONTREE,EQUITY,EQ,INE970X01018,108.9,109.0,107.4,108.08,109.02,2118870.0,229380254.19
2026-08-18,LEMONTREE,EQUITY,EQ,INE970X01018,109.2,110.13,107.88,109.02,109.55,3034796.0,330237386.02
2026-08-17,LEMONTREE,EQUITY,EQ,INE970X01018,108.92,110.15,108.52,109.55,108.92,2895272.0,316191762.24
