trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-06-25,LGBFORGE,EQUITY,EQ,INE201J01017,14.3,14.3,13.15,13.2,,1108019.0,15074450.18
2024-06-24,LGBFORGE,EQUITY,EQ,INE201J01017,14.5,14.7,13.1,14.07,,2865749.0,40156073.36
2024-06-21,LGBFORGE,EQUITY,EQ,INE201J01017,13.5,14.83,13.25,14.3,,15210116.0,219286955.38
2024-06-20,LGBFORGE,EQUITY,EQ,INE201J01017,10.47,12.36,10.37,12.36,,2549720.0,30822080.36
2024-06-19,LGBFORGE,EQUITY,EQ,INE201J01017,10.6,10.6,10.24,10.3,,318819.0,3293223.09
2024-06-18,LGBFORGE,EQUITY,EQ,INE201J01017,10.0,10.65,9.96,10.2,,559973.0,5762027.17
2024-06-14,LGBFORGE,EQUITY,EQ,INE201J01017,10.0,10.05,9.55,9.9,,181953.0,1797042.44
2024-06-13,LGBFORGE,EQUITY,EQ,INE201J01017,9.95,10.07,9.94,9.96,,139129.0,1390693.23
2024-06-12,LGBFORGE,EQUITY,EQ,INE201J01017,9.9,10.29,9.7,9.93,,422721.0,4196716.21
2024-06-11,LGBFORGE,EQUITY,EQ,INE201J01017,9.71,10.0,9.68,9.75,,213449.0,2100921.54
2024-06-10,LGBFORGE,EQUITY,EQ,INE201J01017,9.95,9.99,9.7,9.71,,200263.0,1966081.41
2024-06-07,LGBFORGE,EQUITY,EQ,INE201J01017,9.9,10.35,9.6,9.85,,259954.0,2581691.4
2024-06-06,LGBFORGE,EQUITY,EQ,INE201J01017,9.15,9.65,9.05,9.6,,156729.0,1482281.2
2024-06-05,LGBFORGE,EQUITY,EQ,INE201J01017,9.35,9.35,8.8,9.05,,385574.0,3481429.4
2024-06-04,LGBFORGE,EQUITY,EQ,INE201J01017,9.85,9.85,8.85,9.2,,337021.0,3088890.8
2024-06-03,LGBFORGE,EQUITY,EQ,INE201J01017,9.65,9.9,9.65,9.8,,359133.0,3496271.0
2024-05-31,LGBFORGE,EQUITY,EQ,INE201J01017,9.8,10.05,9.65,9.65,,228800.0,2246667.85
2024-05-30,LGBFORGE,EQUITY,EQ,INE201J01017,9.7,9.95,9.6,9.75,,156000.0,1517546.8
2024-05-29,LGBFORGE,EQUITY,EQ,INE201J01017,9.85,9.95,9.1,9.7,,212489.0,2058820.6
2024-05-28,LGBFORGE,EQUITY,EQ,INE201J01017,9.95,10.0,9.0,9.75,,273632.0,2676683.25
2024-05-27,LGBFORGE,EQUITY,EQ,INE201J01017,9.8,10.1,9.75,9.85,,207852.0,2051474.0
2024-05-24,LGBFORGE,EQUITY,EQ,INE201J01017,9.95,10.0,9.7,9.8,,170621.0,1674706.7
2024-05-23,LGBFORGE,EQUITY,EQ,INE201J01017,9.9,10.05,9.7,9.85,,307795.0,3046169.9
2024-05-22,LGBFORGE,EQUITY,EQ,INE201J01017,10.1,10.4,9.8,10.05,,214829.0,2169394.75
2024-05-21,LGBFORGE,EQUITY,EQ,INE201J01017,9.9,10.1,9.8,9.9,,233449.0,2314577.75
2024-05-17,LGBFORGE,EQUITY,EQ,INE201J01017,9.8,10.05,9.75,9.85,,284383.0,2826026.45
2024-05-16,LGBFORGE,EQUITY,EQ,INE201J01017,10.65,10.85,9.7,9.75,,2148419.0,21023601.3
2024-05-15,LGBFORGE,EQUITY,EQ,INE201J01017,10.5,10.95,10.3,10.75,,454376.0,4830491.9
2024-05-14,LGBFORGE,EQUITY,EQ,INE201J01017,10.0,10.5,9.85,10.35,,249769.0,2535360.65
2024-05-13,LGBFORGE,EQUITY,EQ,INE201J01017,10.05,10.05,9.8,9.8,,119934.0,1180478.7
2024-05-10,LGBFORGE,EQUITY,EQ,INE201J01017,10.0,10.1,9.8,9.95,,119299.0,1186327.55
2024-05-09,LGBFORGE,EQUITY,EQ,INE201J01017,10.15,10.15,9.75,9.85,,130243.0,1297351.05
2024-05-08,LGBFORGE,EQUITY,EQ,INE201J01017,9.4,10.65,9.4,10.0,,321399.0,3274339.35
2024-05-07,LGBFORGE,EQUITY,EQ,INE201J01017,9.9,10.05,9.7,9.8,,132688.0,1311475.6
2024-05-06,LGBFORGE,EQUITY,EQ,INE201J01017,10.3,10.3,9.8,10.0,,141952.0,1421533.0
2024-05-03,LGBFORGE,EQUITY,EQ,INE201J01017,10.3,10.35,10.05,10.15,,127785.0,1300718.15
2024-05-02,LGBFORGE,EQUITY,EQ,INE201J01017,10.35,10.35,10.0,10.2,,348122.0,3549759.35
2024-04-30,LGBFORGE,EQUITY,EQ,INE201J01017,10.5,10.6,9.9,10.15,,292128.0,3028628.6
2024-04-29,LGBFORGE,EQUITY,EQ,INE201J01017,10.5,10.6,10.35,10.35,,147680.0,1546556.05
2024-04-26,LGBFORGE,EQUITY,EQ,INE201J01017,10.75,10.75,10.3,10.4,,95346.0,998501.05
2024-04-25,LGBFORGE,EQUITY,EQ,INE201J01017,10.9,10.9,10.45,10.55,,105283.0,1116817.3
2024-04-24,LGBFORGE,EQUITY,EQ,INE201J01017,10.35,11.0,10.2,10.7,,199565.0,2126049.65
2024-04-23,LGBFORGE,EQUITY,EQ,INE201J01017,10.4,10.5,10.25,10.3,,77959.0,806836.5
2024-04-22,LGBFORGE,EQUITY,EQ,INE201J01017,10.25,10.6,10.15,10.35,,154873.0,1606737.8
2024-04-19,LGBFORGE,EQUITY,EQ,INE201J01017,10.15,10.4,10.1,10.15,,115729.0,1179901.0
2024-04-18,LGBFORGE,EQUITY,EQ,INE201J01017,10.1,10.5,10.0,10.35,,220818.0,2264934.45
