trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,LICNMID100,EQUITY,EQ,INF767K01RN1,62.77,63.23,62.5,62.54,62.77,2961.0,185925.3
2026-09-09,LICNMID100,EQUITY,EQ,INF767K01RN1,63.26,63.5,62.52,62.77,63.65,7891.0,496249.24
2026-09-08,LICNMID100,EQUITY,EQ,INF767K01RN1,63.39,63.95,62.9,63.65,63.32,3570.0,226864.16
2026-09-07,LICNMID100,EQUITY,EQ,INF767K01RN1,63.76,63.97,63.25,63.32,63.84,5433.0,344731.7
2026-09-04,LICNMID100,EQUITY,EQ,INF767K01RN1,63.42,64.05,63.42,63.84,63.42,2147.0,136965.25
2026-09-03,LICNMID100,EQUITY,EQ,INF767K01RN1,62.88,64.23,62.88,63.42,63.19,11453.0,729685.29
2026-09-02,LICNMID100,EQUITY,EQ,INF767K01RN1,64.12,64.12,63.1,63.19,63.81,6896.0,437353.87
2026-09-01,LICNMID100,EQUITY,EQ,INF767K01RN1,64.28,64.32,63.26,63.81,63.67,6118.0,390358.14
2026-08-31,LICNMID100,EQUITY,EQ,INF767K01RN1,64.21,64.43,63.61,63.67,64.21,6377.0,407411.08
2026-08-28,LICNMID100,EQUITY,EQ,INF767K01RN1,64.8,65.11,63.89,64.21,64.27,14789.0,953763.37
2026-08-27,LICNMID100,EQUITY,EQ,INF767K01RN1,65.05,65.05,64.15,64.27,64.86,2206.0,142364.16
2026-08-26,LICNMID100,EQUITY,EQ,INF767K01RN1,65.06,65.06,64.33,64.86,64.74,830.0,53697.4
2026-08-25,LICNMID100,EQUITY,EQ,INF767K01RN1,64.07,64.74,63.61,64.74,64.01,105789.0,6733292.85
2026-08-24,LICNMID100,EQUITY,EQ,INF767K01RN1,64.58,64.64,63.94,64.01,63.94,9415.0,604533.78
2026-08-21,LICNMID100,EQUITY,EQ,INF767K01RN1,64.28,64.49,63.9,63.94,63.99,2375.0,152843.08
2026-08-20,LICNMID100,EQUITY,EQ,INF767K01RN1,64.03,64.46,63.95,63.99,63.64,3614.0,232541.49
2026-08-19,LICNMID100,EQUITY,EQ,INF767K01RN1,63.9,64.11,63.64,63.64,63.9,1779.0,113532.2
2026-08-18,LICNMID100,EQUITY,EQ,INF767K01RN1,63.81,64.48,63.53,63.9,64.17,2032.0,130049.63
2026-08-17,LICNMID100,EQUITY,EQ,INF767K01RN1,64.46,64.46,63.35,64.17,64.46,3791.0,243251.27
