trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,LINCOLN,EQUITY,EQ,INE405C01035,637.35,648.4,633.45,639.8,632.35,110673.0,70931611.65
2026-09-07,LINCOLN,EQUITY,EQ,INE405C01035,626.8,640.0,617.7,632.35,620.8,75014.0,47315377.85
2026-09-04,LINCOLN,EQUITY,EQ,INE405C01035,627.0,631.0,618.0,620.8,622.65,29091.0,18107950.45
2026-09-03,LINCOLN,EQUITY,EQ,INE405C01035,627.35,627.35,619.0,622.65,618.35,22964.0,14294240.1
2026-09-02,LINCOLN,EQUITY,EQ,INE405C01035,611.3,629.45,605.4,618.35,609.65,56377.0,34970875.45
2026-09-01,LINCOLN,EQUITY,EQ,INE405C01035,613.0,613.85,604.0,609.65,606.75,24220.0,14726949.95
2026-08-31,LINCOLN,EQUITY,EQ,INE405C01035,616.5,621.65,603.35,606.75,614.95,30631.0,18764769.55
2026-08-28,LINCOLN,EQUITY,EQ,INE405C01035,616.0,617.85,603.05,614.95,614.0,21598.0,13201052.5
2026-08-27,LINCOLN,EQUITY,EQ,INE405C01035,616.2,619.45,609.6,614.0,612.55,14024.0,8613328.6
2026-08-26,LINCOLN,EQUITY,EQ,INE405C01035,618.25,619.45,611.0,612.55,618.2,25102.0,15399766.5
2026-08-25,LINCOLN,EQUITY,EQ,INE405C01035,616.8,631.3,609.2,618.2,612.25,44784.0,27814240.05
2026-08-24,LINCOLN,EQUITY,EQ,INE405C01035,614.05,620.35,608.25,612.25,614.05,20597.0,12639249.2
2026-08-21,LINCOLN,EQUITY,EQ,INE405C01035,627.1,629.0,610.0,614.05,622.6,24032.0,14803204.2
2026-08-20,LINCOLN,EQUITY,EQ,INE405C01035,612.55,625.0,612.55,622.6,609.5,18263.0,11338637.1
2026-08-19,LINCOLN,EQUITY,EQ,INE405C01035,623.7,623.7,606.45,609.5,619.1,18710.0,11456803.85
2026-08-18,LINCOLN,EQUITY,EQ,INE405C01035,623.35,627.2,612.35,619.1,623.35,28701.0,17791605.1
2026-08-17,LINCOLN,EQUITY,EQ,INE405C01035,618.9,628.9,612.55,623.35,613.4,38412.0,23876054.8
2026-08-14,LINCOLN,EQUITY,EQ,INE405C01035,638.0,644.4,609.3,613.4,619.5,134766.0,84474203.75
2026-08-13,LINCOLN,EQUITY,EQ,INE405C01035,597.1,646.95,591.95,619.5,592.85,1060832.0,664236498.9
2026-08-12,LINCOLN,EQUITY,EQ,INE405C01035,585.0,597.8,585.0,592.85,596.5,30057.0,17819007.45
2026-08-11,LINCOLN,EQUITY,EQ,INE405C01035,603.0,604.8,576.3,596.5,594.6,57372.0,34251931.5
2026-08-10,LINCOLN,EQUITY,EQ,INE405C01035,601.0,603.0,589.1,594.6,600.15,19840.0,11806309.95
2026-08-07,LINCOLN,EQUITY,EQ,INE405C01035,602.0,608.25,591.5,600.15,606.2,22325.0,13382572.0
2026-08-06,LINCOLN,EQUITY,EQ,INE405C01035,616.9,622.2,600.65,606.2,610.85,31762.0,19459057.0
2026-08-05,LINCOLN,EQUITY,EQ,INE405C01035,599.0,618.5,588.15,610.85,593.3,56777.0,34470053.3
2026-08-04,LINCOLN,EQUITY,EQ,INE405C01035,580.0,600.45,572.0,593.3,580.75,43978.0,25618648.3
2026-08-03,LINCOLN,EQUITY,EQ,INE405C01035,578.9,592.8,578.0,580.75,577.15,14502.0,8475116.2
2026-07-31,LINCOLN,EQUITY,EQ,INE405C01035,570.05,584.4,570.05,577.15,572.15,16889.0,9785089.35
2026-07-30,LINCOLN,EQUITY,EQ,INE405C01035,581.4,585.0,569.7,572.15,581.4,20295.0,11709454.15
2026-07-29,LINCOLN,EQUITY,EQ,INE405C01035,582.2,589.15,580.5,581.4,579.45,6624.0,3857542.3
2026-07-28,LINCOLN,EQUITY,EQ,INE405C01035,589.3,589.3,573.3,579.45,582.1,12214.0,7088109.1
2026-07-27,LINCOLN,EQUITY,EQ,INE405C01035,584.0,592.45,578.1,582.1,580.0,12914.0,7552480.7
2026-07-24,LINCOLN,EQUITY,EQ,INE405C01035,584.9,590.35,574.55,580.0,587.3,12329.0,7147939.65
2026-07-23,LINCOLN,EQUITY,EQ,INE405C01035,577.0,593.0,575.0,587.3,576.95,22540.0,13090540.0
2026-07-22,LINCOLN,EQUITY,EQ,INE405C01035,598.75,598.8,572.1,576.95,598.5,35556.0,20696671.2
2026-07-21,LINCOLN,EQUITY,EQ,INE405C01035,595.0,603.0,593.35,598.5,597.4,20985.0,12549828.5
2026-07-20,LINCOLN,EQUITY,EQ,INE405C01035,602.95,603.65,592.45,597.4,597.0,18137.0,10871829.5
2026-07-17,LINCOLN,EQUITY,EQ,INE405C01035,599.05,600.45,590.05,597.0,601.75,20436.0,12157723.0
2026-07-16,LINCOLN,EQUITY,EQ,INE405C01035,605.05,610.95,593.8,601.75,603.6,30986.0,18544793.15
