trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,LODHA,EQUITY,EQ,INE670K01029,1195.0,1226.2,1175.1,1212.0,1200.0,1308433.0,1573220558.1
2026-09-07,LODHA,EQUITY,EQ,INE670K01029,1231.9,1231.9,1200.0,1200.0,1222.0,410768.0,498073891.1
2026-09-04,LODHA,EQUITY,EQ,INE670K01029,1225.0,1237.8,1209.5,1222.0,1234.0,948334.0,1159444969.3
2026-09-03,LODHA,EQUITY,EQ,INE670K01029,1209.8,1244.4,1205.3,1234.0,1208.3,1694352.0,2078311107.5
2026-09-02,LODHA,EQUITY,EQ,INE670K01029,1179.7,1208.3,1166.4,1208.3,1193.9,1532916.0,1815186099.8
2026-09-01,LODHA,EQUITY,EQ,INE670K01029,1214.9,1231.8,1180.0,1193.9,1198.6,1844689.0,2215624775.4
2026-08-31,LODHA,EQUITY,EQ,INE670K01029,1260.0,1260.0,1198.6,1198.6,1274.0,2185679.0,2665755591.3
2026-08-28,LODHA,EQUITY,EQ,INE670K01029,1260.0,1274.0,1248.5,1274.0,1246.3,995058.0,1256199184.5
2026-08-27,LODHA,EQUITY,EQ,INE670K01029,1268.0,1278.0,1246.3,1246.3,1265.0,801407.0,1011782981.0
2026-08-26,LODHA,EQUITY,EQ,INE670K01029,1282.0,1306.9,1265.0,1265.0,1281.1,1402916.0,1799130254.0
2026-08-25,LODHA,EQUITY,EQ,INE670K01029,1257.5,1283.0,1253.1,1281.1,1258.4,2232829.0,2841217539.0
2026-08-24,LODHA,EQUITY,EQ,INE670K01029,1230.0,1264.0,1225.4,1258.4,1242.0,1261611.0,1579035786.2
2026-08-21,LODHA,EQUITY,EQ,INE670K01029,1254.0,1262.0,1232.2,1242.0,1240.0,1491660.0,1855607423.2
2026-08-20,LODHA,EQUITY,EQ,INE670K01029,1220.0,1246.5,1215.5,1240.0,1210.0,952802.0,1178770436.3
2026-08-19,LODHA,EQUITY,EQ,INE670K01029,1217.0,1220.0,1195.2,1210.0,1211.1,1076314.0,1295857660.3
2026-08-18,LODHA,EQUITY,EQ,INE670K01029,1254.0,1260.0,1211.1,1211.1,1254.0,1547121.0,1900769021.7
2026-08-17,LODHA,EQUITY,EQ,INE670K01029,1243.4,1254.0,1220.6,1254.0,1243.9,856360.0,1063155364.2
2026-08-14,LODHA,EQUITY,EQ,INE670K01029,1237.9,1254.6,1227.0,1243.9,1232.3,1145101.0,1423307357.3
2026-08-13,LODHA,EQUITY,EQ,INE670K01029,1209.0,1244.7,1200.4,1232.3,1209.0,1227769.0,1509254624.3
2026-08-12,LODHA,EQUITY,EQ,INE670K01029,1215.0,1217.6,1185.0,1209.0,1212.0,1174178.0,1411918325.1
2026-08-11,LODHA,EQUITY,EQ,INE670K01029,1213.0,1229.0,1201.7,1212.0,1213.0,795290.0,968108401.7
2026-08-10,LODHA,EQUITY,EQ,INE670K01029,1220.0,1240.0,1204.0,1213.0,1218.7,708849.0,866708895.7
2026-08-07,LODHA,EQUITY,EQ,INE670K01029,1214.0,1225.0,1204.7,1218.7,1214.0,890480.0,1080959143.4
2026-08-06,LODHA,EQUITY,EQ,INE670K01029,1255.0,1255.0,1214.0,1214.0,1250.0,1279323.0,1573980609.2
2026-08-05,LODHA,EQUITY,EQ,INE670K01029,1249.9,1264.2,1240.3,1250.0,1229.8,1531623.0,1920722808.2
2026-08-04,LODHA,EQUITY,EQ,INE670K01029,1243.0,1260.9,1229.8,1229.8,1239.8,912671.0,1135917932.8
2026-08-03,LODHA,EQUITY,EQ,INE670K01029,1248.0,1257.8,1226.4,1239.8,1243.95,1834226.0,2273104991.4
2026-07-31,LODHA,EQUITY,EQ,INE670K01029,1285.4,1297.0,1239.55,1243.95,1287.15,3593817.0,4536536186.25
2026-07-30,LODHA,EQUITY,EQ,INE670K01029,1305.0,1328.8,1281.1,1287.15,1316.35,3725269.0,4852077442.5
2026-07-29,LODHA,EQUITY,EQ,INE670K01029,1290.0,1344.95,1275.4,1316.35,1301.4,4953761.0,6479225689.2
2026-07-28,LODHA,EQUITY,EQ,INE670K01029,1233.2,1316.4,1228.25,1301.4,1198.7,12877563.0,16483388919.05
