trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,LOVABLE,EQUITY,EQ,INE597L01014,72.0,72.0,70.02,70.41,70.96,8793.0,619954.85
2026-09-07,LOVABLE,EQUITY,EQ,INE597L01014,71.37,72.9,70.0,70.96,71.37,12581.0,893586.54
2026-09-04,LOVABLE,EQUITY,EQ,INE597L01014,72.85,72.85,70.57,71.37,72.21,5969.0,425129.15
2026-09-03,LOVABLE,EQUITY,EQ,INE597L01014,72.5,72.8,71.24,72.21,70.84,7609.0,548988.03
2026-09-02,LOVABLE,EQUITY,EQ,INE597L01014,72.8,73.9,70.21,70.84,72.78,13799.0,982500.97
2026-09-01,LOVABLE,EQUITY,EQ,INE597L01014,73.25,74.9,72.12,72.78,73.2,28118.0,2063692.96
2026-08-31,LOVABLE,EQUITY,EQ,INE597L01014,74.0,75.9,73.1,73.2,74.66,16889.0,1247927.76
2026-08-28,LOVABLE,EQUITY,EQ,INE597L01014,71.22,75.5,71.07,74.66,72.51,32684.0,2411749.54
2026-08-27,LOVABLE,EQUITY,EQ,INE597L01014,74.0,76.0,72.12,72.51,74.0,9704.0,718223.55
2026-08-26,LOVABLE,EQUITY,EQ,INE597L01014,72.15,75.5,71.1,74.0,71.28,19946.0,1472206.52
2026-08-25,LOVABLE,EQUITY,EQ,INE597L01014,71.16,73.1,71.1,71.28,72.43,6665.0,478372.8
2026-08-24,LOVABLE,EQUITY,EQ,INE597L01014,72.9,72.9,71.11,72.43,71.56,5764.0,414829.18
2026-08-21,LOVABLE,EQUITY,EQ,INE597L01014,70.6,72.5,70.6,71.56,70.94,3202.0,230189.58
2026-08-20,LOVABLE,EQUITY,EQ,INE597L01014,70.76,72.15,70.66,70.94,70.76,4778.0,341791.05
2026-08-19,LOVABLE,EQUITY,EQ,INE597L01014,72.7,72.7,70.0,70.76,72.09,3726.0,266047.5
2026-08-18,LOVABLE,EQUITY,EQ,INE597L01014,71.82,73.72,71.53,72.09,72.04,2942.0,211903.38
2026-08-17,LOVABLE,EQUITY,EQ,INE597L01014,72.05,73.99,71.52,72.04,72.7,7868.0,568078.98
2026-08-14,LOVABLE,EQUITY,EQ,INE597L01014,73.5,74.0,72.0,72.7,71.66,9153.0,667107.39
2026-08-13,LOVABLE,EQUITY,EQ,INE597L01014,73.0,74.18,70.25,71.66,72.83,10195.0,734980.35
2026-08-12,LOVABLE,EQUITY,EQ,INE597L01014,72.2,73.7,72.16,72.83,73.22,4343.0,315832.22
2026-08-11,LOVABLE,EQUITY,EQ,INE597L01014,73.74,74.33,72.1,73.22,72.6,6964.0,507042.46
2026-08-10,LOVABLE,EQUITY,EQ,INE597L01014,72.55,74.5,72.06,72.6,72.55,14279.0,1043443.54
2026-08-07,LOVABLE,EQUITY,EQ,INE597L01014,74.5,74.5,72.02,72.55,74.08,9775.0,712186.69
