trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,LT,EQUITY,EQ,INE018A01030,3935.3,4020.2,3922.6,3922.6,3946.1,2954721.0,11753343126.7
2026-09-08,LT,EQUITY,EQ,INE018A01030,3988.7,3988.7,3946.1,3946.1,3999.0,1200872.0,4766003578.3
2026-09-07,LT,EQUITY,EQ,INE018A01030,3962.0,4004.9,3960.9,3999.0,3964.1,1256683.0,5002543634.6
2026-09-04,LT,EQUITY,EQ,INE018A01030,3981.0,3994.9,3964.1,3964.1,3975.0,1319056.0,5253026930.5
2026-09-03,LT,EQUITY,EQ,INE018A01030,3999.8,4027.7,3975.0,3975.0,3981.0,940768.0,3761839968.0
2026-09-02,LT,EQUITY,EQ,INE018A01030,3966.0,4002.3,3956.7,3981.0,3980.1,1307081.0,5205148125.6
2026-09-01,LT,EQUITY,EQ,INE018A01030,4038.0,4038.0,3980.1,3980.1,4044.9,944703.0,3790759519.3
2026-08-31,LT,EQUITY,EQ,INE018A01030,4035.1,4044.9,3976.0,4044.9,4045.8,1553171.0,6234281503.5
2026-08-28,LT,EQUITY,EQ,INE018A01030,4045.0,4060.0,4021.3,4045.8,4027.0,893956.0,3609013321.2
2026-08-27,LT,EQUITY,EQ,INE018A01030,4058.0,4067.3,4023.0,4027.0,4038.1,1161440.0,4695587957.4
2026-08-26,LT,EQUITY,EQ,INE018A01030,4114.0,4124.9,4038.1,4038.1,4119.0,1384669.0,5641336564.8
2026-08-25,LT,EQUITY,EQ,INE018A01030,4085.0,4125.3,4066.6,4119.0,4090.0,1316074.0,5388612321.6
2026-08-24,LT,EQUITY,EQ,INE018A01030,4100.0,4107.1,4077.7,4090.0,4093.0,1369496.0,5601091714.7
2026-08-21,LT,EQUITY,EQ,INE018A01030,4081.0,4100.0,4061.4,4093.0,4081.0,1258912.0,5139185468.1
2026-08-20,LT,EQUITY,EQ,INE018A01030,4050.5,4084.9,4048.3,4081.0,4041.3,1056060.0,4296541317.2
2026-08-19,LT,EQUITY,EQ,INE018A01030,4064.0,4069.0,4024.8,4041.3,4064.3,1190832.0,4808533721.5
2026-08-18,LT,EQUITY,EQ,INE018A01030,4068.0,4085.0,4050.0,4064.3,4086.7,1355575.0,5518324232.2
2026-08-17,LT,EQUITY,EQ,INE018A01030,4041.0,4086.7,4026.0,4086.7,4057.0,1066164.0,4325040111.6
2026-08-14,LT,EQUITY,EQ,INE018A01030,4068.7,4072.5,4033.1,4057.0,4070.7,934044.0,3785871184.2
2026-08-13,LT,EQUITY,EQ,INE018A01030,4010.0,4070.7,3990.0,4070.7,4020.0,2299928.0,9280480632.2
2026-08-12,LT,EQUITY,EQ,INE018A01030,4038.0,4044.1,3990.0,4020.0,4037.4,2226623.0,8913293171.5
2026-08-11,LT,EQUITY,EQ,INE018A01030,4075.1,4075.5,4028.5,4037.4,4080.0,1401285.0,5668707198.7
2026-08-10,LT,EQUITY,EQ,INE018A01030,4055.7,4080.0,4025.8,4080.0,4056.0,1082855.0,4397015623.0
2026-08-07,LT,EQUITY,EQ,INE018A01030,4040.1,4062.0,4030.0,4056.0,4061.8,901290.0,3646260796.6
2026-08-06,LT,EQUITY,EQ,INE018A01030,4056.0,4070.0,4045.0,4061.8,4057.0,1401341.0,5687883595.8
2026-08-05,LT,EQUITY,EQ,INE018A01030,4025.0,4074.0,4024.8,4057.0,3990.0,1910224.0,7747874548.4
2026-08-04,LT,EQUITY,EQ,INE018A01030,4007.2,4042.4,3988.2,3990.0,4025.0,1827982.0,7345163030.5
2026-08-03,LT,EQUITY,EQ,INE018A01030,3974.0,4025.0,3962.5,4025.0,3938.9,1890377.0,7548984805.7
2026-07-31,LT,EQUITY,EQ,INE018A01030,3962.9,3973.1,3923.2,3938.9,3937.7,1753377.0,6910137676.7
2026-07-30,LT,EQUITY,EQ,INE018A01030,3931.4,3951.7,3883.5,3937.7,3931.4,2141252.0,8412878897.0
2026-07-29,LT,EQUITY,EQ,INE018A01030,3895.4,3978.2,3891.1,3931.4,3832.0,3115802.0,12288732395.0
2026-07-28,LT,EQUITY,EQ,INE018A01030,3812.0,3837.0,3793.0,3832.0,3806.0,1702441.0,6505259791.7
