trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,MADRASFERT,EQUITY,EQ,INE414A01015,63.34,63.79,62.3,62.6,63.03,54809.0,3449608.06
2026-09-09,MADRASFERT,EQUITY,EQ,INE414A01015,64.8,64.8,61.5,63.03,64.37,66282.0,4192695.69
2026-09-08,MADRASFERT,EQUITY,EQ,INE414A01015,65.0,66.2,64.16,64.37,64.56,63088.0,4096224.1
2026-09-07,MADRASFERT,EQUITY,EQ,INE414A01015,65.5,65.56,64.3,64.56,65.12,33182.0,2146017.39
2026-09-04,MADRASFERT,EQUITY,EQ,INE414A01015,65.34,65.75,65.08,65.12,65.13,26810.0,1750411.55
2026-09-03,MADRASFERT,EQUITY,EQ,INE414A01015,64.5,65.5,64.5,65.13,64.26,34508.0,2249273.69
2026-09-02,MADRASFERT,EQUITY,EQ,INE414A01015,65.39,65.39,63.84,64.26,64.7,51060.0,3282921.87
2026-09-01,MADRASFERT,EQUITY,EQ,INE414A01015,65.29,66.07,64.0,64.7,65.29,70192.0,4575388.32
2026-08-31,MADRASFERT,EQUITY,EQ,INE414A01015,67.43,67.43,65.0,65.29,67.43,73973.0,4866247.94
2026-08-28,MADRASFERT,EQUITY,EQ,INE414A01015,68.01,69.02,67.01,67.43,67.97,60820.0,4119842.77
2026-08-27,MADRASFERT,EQUITY,EQ,INE414A01015,70.5,70.9,67.8,67.97,69.71,77038.0,5282709.94
2026-08-26,MADRASFERT,EQUITY,EQ,INE414A01015,71.0,72.1,69.5,69.71,69.81,261654.0,18531654.33
2026-08-25,MADRASFERT,EQUITY,EQ,INE414A01015,67.0,71.99,66.8,69.81,65.66,1345351.0,94577176.67
2026-08-24,MADRASFERT,EQUITY,EQ,INE414A01015,65.55,66.39,65.55,65.66,65.52,31840.0,2097273.61
2026-08-21,MADRASFERT,EQUITY,EQ,INE414A01015,65.98,66.29,65.01,65.52,65.04,58913.0,3859666.31
2026-08-20,MADRASFERT,EQUITY,EQ,INE414A01015,65.0,66.44,64.8,65.04,65.36,34217.0,2230993.45
2026-08-19,MADRASFERT,EQUITY,EQ,INE414A01015,64.25,66.5,63.01,65.36,64.36,74584.0,4855393.22
2026-08-18,MADRASFERT,EQUITY,EQ,INE414A01015,65.0,65.02,64.25,64.36,65.03,23590.0,1522323.45
2026-08-17,MADRASFERT,EQUITY,EQ,INE414A01015,65.56,65.97,64.2,65.03,65.56,44022.0,2854761.17
2026-08-14,MADRASFERT,EQUITY,EQ,INE414A01015,66.5,66.5,65.07,65.56,65.51,21016.0,1378366.8
2026-08-13,MADRASFERT,EQUITY,EQ,INE414A01015,66.49,66.5,65.05,65.51,65.49,25089.0,1654828.84
2026-08-12,MADRASFERT,EQUITY,EQ,INE414A01015,67.0,67.06,65.02,65.49,66.86,29416.0,1937897.2
2026-08-11,MADRASFERT,EQUITY,EQ,INE414A01015,66.42,68.0,64.5,66.86,66.58,136483.0,9044113.33
2026-08-10,MADRASFERT,EQUITY,EQ,INE414A01015,66.41,67.12,66.41,66.58,66.41,26521.0,1768644.42
2026-08-07,MADRASFERT,EQUITY,EQ,INE414A01015,66.51,67.08,66.3,66.41,67.08,21466.0,1429406.51
2026-08-06,MADRASFERT,EQUITY,EQ,INE414A01015,67.04,67.25,66.61,67.08,66.86,26346.0,1765453.67
2026-08-05,MADRASFERT,EQUITY,EQ,INE414A01015,67.5,67.6,66.75,66.86,66.87,29209.0,1958933.25
2026-08-04,MADRASFERT,EQUITY,EQ,INE414A01015,67.45,67.63,66.31,66.87,66.76,43782.0,2929472.43
2026-08-03,MADRASFERT,EQUITY,EQ,INE414A01015,66.76,67.55,66.67,66.76,66.43,46486.0,3112995.77
2026-07-31,MADRASFERT,EQUITY,EQ,INE414A01015,66.66,66.81,66.25,66.43,66.66,26507.0,1759927.24
2026-07-30,MADRASFERT,EQUITY,EQ,INE414A01015,66.64,67.5,66.25,66.66,66.48,47063.0,3134953.13
2026-07-29,MADRASFERT,EQUITY,EQ,INE414A01015,65.62,67.9,65.62,66.48,65.9,77221.0,5162620.45
2026-07-28,MADRASFERT,EQUITY,EQ,INE414A01015,66.98,66.98,65.72,65.9,66.55,53590.0,3543141.13
2026-07-27,MADRASFERT,EQUITY,EQ,INE414A01015,65.7,67.29,65.7,66.55,66.35,38460.0,2564640.79
2026-07-24,MADRASFERT,EQUITY,EQ,INE414A01015,66.01,67.5,65.6,66.35,66.63,37915.0,2514713.15
2026-07-23,MADRASFERT,EQUITY,EQ,INE414A01015,67.4,67.4,66.36,66.63,67.07,35890.0,2396117.92
2026-07-22,MADRASFERT,EQUITY,EQ,INE414A01015,67.35,68.0,66.68,67.07,67.71,31303.0,2101659.29
2026-07-21,MADRASFERT,EQUITY,EQ,INE414A01015,67.6,68.64,67.32,67.71,67.49,35380.0,2399308.88
2026-07-20,MADRASFERT,EQUITY,EQ,INE414A01015,67.3,68.36,67.12,67.49,68.02,27793.0,1879391.92
2026-07-17,MADRASFERT,EQUITY,EQ,INE414A01015,69.0,69.64,66.71,68.02,68.94,118123.0,8051496.56
2026-07-16,MADRASFERT,EQUITY,EQ,INE414A01015,70.5,72.0,68.2,68.94,70.18,97389.0,6818850.24
2026-07-15,MADRASFERT,EQUITY,EQ,INE414A01015,67.98,70.8,67.51,70.18,67.24,244996.0,17121524.75
2026-07-14,MADRASFERT,EQUITY,EQ,INE414A01015,68.14,68.47,67.1,67.24,68.47,42820.0,2888485.58
2026-07-13,MADRASFERT,EQUITY,EQ,INE414A01015,67.67,68.8,67.03,68.47,67.94,47312.0,3228593.64
2026-07-10,MADRASFERT,EQUITY,EQ,INE414A01015,68.07,68.99,67.3,67.94,67.33,49697.0,3391343.31
2026-07-09,MADRASFERT,EQUITY,EQ,INE414A01015,66.94,69.27,66.94,67.33,66.94,68174.0,4630536.9
2026-07-08,MADRASFERT,EQUITY,EQ,INE414A01015,68.2,69.82,66.3,66.94,68.6,97953.0,6668617.6
2026-07-07,MADRASFERT,EQUITY,EQ,INE414A01015,69.39,69.82,68.31,68.6,68.82,63567.0,4386390.33
2026-07-06,MADRASFERT,EQUITY,EQ,INE414A01015,70.56,70.56,68.6,68.82,70.33,43160.0,2980874.48
2026-07-03,MADRASFERT,EQUITY,EQ,INE414A01015,69.24,71.0,69.08,70.33,68.76,100940.0,7084233.53
2026-07-02,MADRASFERT,EQUITY,EQ,INE414A01015,68.93,70.0,68.49,68.76,68.86,50920.0,3506397.15
2026-07-01,MADRASFERT,EQUITY,EQ,INE414A01015,67.12,69.9,67.12,68.86,67.42,81586.0,5624873.41
2026-06-30,MADRASFERT,EQUITY,EQ,INE414A01015,67.11,68.29,67.1,67.42,67.0,37618.0,2548384.65
2026-06-29,MADRASFERT,EQUITY,EQ,INE414A01015,68.99,68.99,66.56,67.0,68.77,123953.0,8378069.71
2026-06-25,MADRASFERT,EQUITY,EQ,INE414A01015,71.01,71.54,68.5,68.77,70.53,90807.0,6305590.2
2026-06-24,MADRASFERT,EQUITY,EQ,INE414A01015,70.5,71.0,69.6,70.53,70.11,54744.0,3843070.81
2026-06-23,MADRASFERT,EQUITY,EQ,INE414A01015,72.09,72.34,70.0,70.11,72.09,97195.0,6884259.76
2026-06-22,MADRASFERT,EQUITY,EQ,INE414A01015,72.0,73.3,71.56,72.09,71.84,242768.0,17594408.46
2026-06-19,MADRASFERT,EQUITY,EQ,INE414A01015,70.3,73.3,70.3,71.84,70.7,220897.0,15899710.34
2026-06-18,MADRASFERT,EQUITY,EQ,INE414A01015,71.9,72.77,70.28,70.7,71.89,104426.0,7448823.04
2026-06-17,MADRASFERT,EQUITY,EQ,INE414A01015,71.99,72.87,71.07,71.89,71.77,152728.0,10996378.92
2026-06-16,MADRASFERT,EQUITY,EQ,INE414A01015,69.05,73.99,68.12,71.77,69.05,704616.0,50889352.04
2026-06-15,MADRASFERT,EQUITY,EQ,INE414A01015,69.0,70.55,67.5,69.05,68.37,131528.0,9169456.24
2026-06-12,MADRASFERT,EQUITY,EQ,INE414A01015,67.51,68.78,67.47,68.37,66.87,70810.0,4832242.79
2026-06-11,MADRASFERT,EQUITY,EQ,INE414A01015,67.99,67.99,66.16,66.87,67.93,48936.0,3284157.9
2026-06-10,MADRASFERT,EQUITY,EQ,INE414A01015,69.0,72.8,67.01,67.93,68.55,260154.0,18195980.08
2026-06-09,MADRASFERT,EQUITY,EQ,INE414A01015,66.99,69.0,66.32,68.55,66.32,71430.0,4857007.12
2026-06-08,MADRASFERT,EQUITY,EQ,INE414A01015,68.0,69.09,65.3,66.32,68.86,181266.0,12126999.05
2026-06-05,MADRASFERT,EQUITY,EQ,INE414A01015,69.8,71.0,68.49,68.86,69.81,115175.0,8036305.94
2026-06-04,MADRASFERT,EQUITY,EQ,INE414A01015,69.69,70.39,69.0,69.81,69.7,59441.0,4147027.44
2026-06-03,MADRASFERT,EQUITY,EQ,INE414A01015,67.49,72.29,66.2,69.7,66.66,261739.0,18170481.55
2026-06-02,MADRASFERT,EQUITY,EQ,INE414A01015,66.85,67.88,65.8,66.66,66.34,53437.0,3569076.35
2026-06-01,MADRASFERT,EQUITY,EQ,INE414A01015,67.35,68.57,66.0,66.34,67.36,62026.0,4160010.68
2026-05-29,MADRASFERT,EQUITY,EQ,INE414A01015,69.0,69.1,67.2,67.36,68.73,67003.0,4555183.56
2026-05-27,MADRASFERT,EQUITY,EQ,INE414A01015,68.99,70.0,68.51,68.73,68.63,99558.0,6890563.26
2026-05-26,MADRASFERT,EQUITY,EQ,INE414A01015,68.99,70.56,68.01,68.63,68.84,141855.0,9854445.46
2026-05-25,MADRASFERT,EQUITY,EQ,INE414A01015,68.9,69.4,68.51,68.84,67.88,51234.0,3528491.76
2026-05-22,MADRASFERT,EQUITY,EQ,INE414A01015,67.3,69.42,67.3,67.88,66.8,178144.0,12147312.74
2026-05-21,MADRASFERT,EQUITY,EQ,INE414A01015,67.0,68.2,66.38,66.8,66.25,73754.0,4957281.42
2026-05-20,MADRASFERT,EQUITY,EQ,INE414A01015,66.0,66.76,65.7,66.25,66.63,31892.0,2110878.53
2026-05-19,MADRASFERT,EQUITY,EQ,INE414A01015,65.0,67.69,65.0,66.63,64.58,115173.0,7687018.18
2026-05-18,MADRASFERT,EQUITY,EQ,INE414A01015,66.0,66.57,63.6,64.58,66.09,115674.0,7476742.1
2026-05-15,MADRASFERT,EQUITY,EQ,INE414A01015,68.99,69.98,65.21,66.09,68.17,193698.0,13128368.69
2026-05-14,MADRASFERT,EQUITY,EQ,INE414A01015,69.03,70.01,67.85,68.17,68.97,74056.0,5081627.11
2026-05-13,MADRASFERT,EQUITY,EQ,INE414A01015,70.71,72.0,68.0,68.97,71.18,196223.0,13583432.77
2026-05-12,MADRASFERT,EQUITY,EQ,INE414A01015,68.0,74.68,65.1,71.18,67.91,566246.0,40134875.51
2026-05-11,MADRASFERT,EQUITY,EQ,INE414A01015,69.5,69.51,67.5,67.91,69.64,88358.0,6023927.44
2026-05-08,MADRASFERT,EQUITY,EQ,INE414A01015,69.66,71.44,69.46,69.64,70.15,73402.0,5140433.22
2026-05-07,MADRASFERT,EQUITY,EQ,INE414A01015,70.15,70.49,69.64,70.15,70.04,61103.0,4283630.27
2026-05-06,MADRASFERT,EQUITY,EQ,INE414A01015,69.0,70.3,68.74,70.04,68.02,103149.0,7169917.97
2026-05-05,MADRASFERT,EQUITY,EQ,INE414A01015,67.5,69.39,67.5,68.02,67.91,47602.0,3248195.55
2026-05-04,MADRASFERT,EQUITY,EQ,INE414A01015,68.99,70.0,67.51,67.91,68.62,91803.0,6310402.34
2026-04-30,MADRASFERT,EQUITY,EQ,INE414A01015,69.5,69.5,68.0,68.62,69.0,68643.0,4710114.06
2026-04-29,MADRASFERT,EQUITY,EQ,INE414A01015,69.99,70.95,68.57,69.0,69.67,110165.0,7687155.11
2026-04-28,MADRASFERT,EQUITY,EQ,INE414A01015,68.87,70.44,68.76,69.67,68.87,76389.0,5309880.72
2026-04-27,MADRASFERT,EQUITY,EQ,INE414A01015,67.02,69.17,67.02,68.87,67.41,61577.0,4225166.55
2026-04-24,MADRASFERT,EQUITY,EQ,INE414A01015,69.3,69.3,67.01,67.41,68.6,71956.0,4896688.65
2026-04-23,MADRASFERT,EQUITY,EQ,INE414A01015,70.5,70.7,68.1,68.6,69.71,75329.0,5225979.51
2026-04-22,MADRASFERT,EQUITY,EQ,INE414A01015,69.89,70.55,69.09,69.71,69.1,105239.0,7349844.07
2026-04-21,MADRASFERT,EQUITY,EQ,INE414A01015,68.54,70.75,68.45,69.1,68.55,162405.0,11370568.87
2026-04-20,MADRASFERT,EQUITY,EQ,INE414A01015,70.98,70.98,68.02,68.55,70.85,116639.0,8106465.47
2026-04-17,MADRASFERT,EQUITY,EQ,INE414A01015,67.87,71.95,67.7,70.85,67.87,524581.0,37001694.43
2026-04-16,MADRASFERT,EQUITY,EQ,INE414A01015,68.39,68.8,67.5,67.87,67.59,163442.0,11126299.51
2026-04-15,MADRASFERT,EQUITY,EQ,INE414A01015,66.99,69.0,66.81,67.59,66.28,184117.0,12466665.65
2026-04-13,MADRASFERT,EQUITY,EQ,INE414A01015,65.2,66.9,63.8,66.28,66.76,116741.0,7672443.05
2026-04-10,MADRASFERT,EQUITY,EQ,INE414A01015,67.16,67.5,66.21,66.76,66.63,124434.0,8311162.55
2026-04-09,MADRASFERT,EQUITY,EQ,INE414A01015,66.81,69.19,66.34,66.63,65.76,454867.0,30777657.12
2026-04-08,MADRASFERT,EQUITY,EQ,INE414A01015,63.0,66.6,62.01,65.76,60.21,468997.0,30239200.81
2026-04-07,MADRASFERT,EQUITY,EQ,INE414A01015,59.95,61.8,59.68,60.21,60.38,82993.0,5039128.84
2026-04-06,MADRASFERT,EQUITY,EQ,INE414A01015,58.81,60.83,58.02,60.38,58.81,139398.0,8327691.45
2026-04-02,MADRASFERT,EQUITY,EQ,INE414A01015,57.9,59.25,55.02,58.81,58.24,106883.0,6173194.26
2026-04-01,MADRASFERT,EQUITY,EQ,INE414A01015,54.0,59.85,54.0,58.24,53.06,214364.0,12446581.44
2026-03-30,MADRASFERT,EQUITY,EQ,INE414A01015,55.3,56.24,52.56,53.06,56.69,168540.0,9130686.96
2026-03-27,MADRASFERT,EQUITY,EQ,INE414A01015,59.25,62.0,56.4,56.69,60.19,217812.0,12677185.35
2026-03-25,MADRASFERT,EQUITY,EQ,INE414A01015,58.99,61.0,58.99,60.19,58.93,114552.0,6928673.29
2026-03-24,MADRASFERT,EQUITY,EQ,INE414A01015,59.0,60.74,58.1,58.93,58.21,139179.0,8281912.37
2026-03-23,MADRASFERT,EQUITY,EQ,INE414A01015,59.16,60.25,57.2,58.21,60.66,149023.0,8773911.89
2026-03-20,MADRASFERT,EQUITY,EQ,INE414A01015,61.7,62.79,60.26,60.66,60.79,107187.0,6563867.49
2026-03-19,MADRASFERT,EQUITY,EQ,INE414A01015,63.5,63.55,60.5,60.79,64.14,92053.0,5704644.4
2026-03-18,MADRASFERT,EQUITY,EQ,INE414A01015,62.59,65.29,62.58,64.14,62.3,79779.0,5108595.03
2026-03-17,MADRASFERT,EQUITY,EQ,INE414A01015,61.5,63.34,61.5,62.3,61.85,63923.0,4008746.27
2026-03-16,MADRASFERT,EQUITY,EQ,INE414A01015,63.8,64.42,61.0,61.85,63.91,76162.0,4735166.49
2026-03-13,MADRASFERT,EQUITY,EQ,INE414A01015,64.0,68.11,63.22,63.91,64.03,296543.0,19469209.68
2026-03-12,MADRASFERT,EQUITY,EQ,INE414A01015,66.82,66.82,63.37,64.03,66.3,138373.0,8953136.29
2026-03-11,MADRASFERT,EQUITY,EQ,INE414A01015,67.39,70.69,64.5,66.3,67.55,919541.0,61945491.86
2026-03-10,MADRASFERT,EQUITY,EQ,INE414A01015,60.95,71.7,60.0,67.55,59.75,1951875.0,131337866.83
2026-03-09,MADRASFERT,EQUITY,EQ,INE414A01015,61.0,61.0,58.08,59.75,61.87,80395.0,4768693.52
2026-03-06,MADRASFERT,EQUITY,EQ,INE414A01015,61.55,63.78,61.11,61.87,61.52,78823.0,4904873.44
2026-03-05,MADRASFERT,EQUITY,EQ,INE414A01015,62.15,62.99,60.8,61.52,61.47,50704.0,3118655.05
2026-03-04,MADRASFERT,EQUITY,EQ,INE414A01015,63.0,63.3,61.0,61.47,64.29,109892.0,6841449.66
2026-03-02,MADRASFERT,EQUITY,EQ,INE414A01015,65.5,66.04,63.18,64.29,67.47,134186.0,8662508.7
2026-02-27,MADRASFERT,EQUITY,EQ,INE414A01015,68.81,69.0,67.0,67.47,68.81,82705.0,5613621.21
2026-02-26,MADRASFERT,EQUITY,EQ,INE414A01015,69.5,69.74,68.55,68.81,69.36,29430.0,2034848.01
2026-02-25,MADRASFERT,EQUITY,EQ,INE414A01015,69.99,69.99,68.51,69.36,69.24,37072.0,2565031.49
2026-02-24,MADRASFERT,EQUITY,EQ,INE414A01015,69.0,69.53,68.11,69.24,69.15,46926.0,3221878.11
2026-02-23,MADRASFERT,EQUITY,EQ,INE414A01015,70.0,70.11,69.0,69.15,69.25,36283.0,2519707.17
2026-02-20,MADRASFERT,EQUITY,EQ,INE414A01015,70.12,70.6,68.6,69.25,70.62,80673.0,5587643.36
2026-02-19,MADRASFERT,EQUITY,EQ,INE414A01015,71.19,71.75,70.1,70.62,71.19,58491.0,4142635.89
2026-02-18,MADRASFERT,EQUITY,EQ,INE414A01015,72.38,72.4,71.0,71.19,71.66,85349.0,6104436.15
2026-02-17,MADRASFERT,EQUITY,EQ,INE414A01015,71.0,72.15,71.0,71.66,71.25,55372.0,3974268.4
2026-02-16,MADRASFERT,EQUITY,EQ,INE414A01015,71.55,73.35,71.0,71.25,71.19,120379.0,8652423.33
2026-02-13,MADRASFERT,EQUITY,EQ,INE414A01015,71.7,72.0,70.65,71.19,71.7,51012.0,3623644.66
2026-02-12,MADRASFERT,EQUITY,EQ,INE414A01015,72.6,72.6,70.82,71.7,74.15,191610.0,13752125.61
2026-02-11,MADRASFERT,EQUITY,EQ,INE414A01015,74.79,74.79,73.5,74.15,74.32,47717.0,3530055.0
2026-02-10,MADRASFERT,EQUITY,EQ,INE414A01015,74.49,75.19,74.03,74.32,74.16,62406.0,4655344.68
2026-02-09,MADRASFERT,EQUITY,EQ,INE414A01015,73.0,74.48,72.38,74.16,71.97,88432.0,6529666.58
2026-02-06,MADRASFERT,EQUITY,EQ,INE414A01015,72.5,73.2,71.63,71.97,72.88,98154.0,7085378.7
2026-02-05,MADRASFERT,EQUITY,EQ,INE414A01015,74.22,74.48,72.51,72.88,74.58,56381.0,4120851.88
2026-02-04,MADRASFERT,EQUITY,EQ,INE414A01015,74.5,74.88,73.5,74.58,73.56,86051.0,6384666.18
2026-02-03,MADRASFERT,EQUITY,EQ,INE414A01015,75.42,75.88,73.02,73.56,72.93,84652.0,6247576.92
2026-02-02,MADRASFERT,EQUITY,EQ,INE414A01015,73.5,74.8,71.5,72.93,74.27,106213.0,7740667.09
2026-01-30,MADRASFERT,EQUITY,EQ,INE414A01015,75.55,77.45,73.93,75.82,75.65,183322.0,13964948.44
2026-01-29,MADRASFERT,EQUITY,EQ,INE414A01015,75.61,76.39,74.13,75.65,76.16,98417.0,7417158.74
2026-01-28,MADRASFERT,EQUITY,EQ,INE414A01015,73.37,76.8,72.5,76.16,73.37,109965.0,8288197.74
2026-01-27,MADRASFERT,EQUITY,EQ,INE414A01015,73.5,74.5,71.86,73.37,73.36,131919.0,9661709.4
2026-01-23,MADRASFERT,EQUITY,EQ,INE414A01015,76.0,76.29,73.0,73.36,75.2,57317.0,4262127.14
2026-01-22,MADRASFERT,EQUITY,EQ,INE414A01015,73.01,75.69,73.01,75.2,72.73,88066.0,6555135.96
2026-01-21,MADRASFERT,EQUITY,EQ,INE414A01015,75.16,75.16,72.0,72.73,75.16,144853.0,10638294.03
2026-01-20,MADRASFERT,EQUITY,EQ,INE414A01015,77.75,77.76,74.5,75.16,77.54,134934.0,10270640.48
2026-01-19,MADRASFERT,EQUITY,EQ,INE414A01015,80.2,80.49,77.1,77.54,79.6,90198.0,7068438.08
2026-01-16,MADRASFERT,EQUITY,EQ,INE414A01015,79.65,80.94,79.2,79.6,79.84,74716.0,5966881.96
2026-01-14,MADRASFERT,EQUITY,EQ,INE414A01015,79.46,81.0,78.9,79.84,79.38,129506.0,10350022.12
2026-01-13,MADRASFERT,EQUITY,EQ,INE414A01015,80.3,81.89,78.51,79.38,80.23,132553.0,10631576.4
2026-01-12,MADRASFERT,EQUITY,EQ,INE414A01015,81.6,82.1,78.62,80.23,82.11,210471.0,16872091.5
2026-01-09,MADRASFERT,EQUITY,EQ,INE414A01015,81.84,82.98,80.5,82.11,83.07,442656.0,36035296.7
2026-01-08,MADRASFERT,EQUITY,EQ,INE414A01015,77.5,85.48,77.5,83.07,78.11,6027673.0,502062158.25
2026-01-07,MADRASFERT,EQUITY,EQ,INE414A01015,77.78,78.5,77.42,78.11,77.7,45549.0,3550017.79
2026-01-06,MADRASFERT,EQUITY,EQ,INE414A01015,79.17,79.82,77.4,77.7,79.17,54733.0,4283754.4
2026-01-05,MADRASFERT,EQUITY,EQ,INE414A01015,80.0,81.0,79.0,79.17,80.65,68303.0,5434496.45
2026-01-02,MADRASFERT,EQUITY,EQ,INE414A01015,80.0,81.39,79.22,80.65,79.57,153849.0,12364790.48
2026-01-01,MADRASFERT,EQUITY,EQ,INE414A01015,80.2,80.6,79.35,79.57,79.61,42533.0,3393801.13
2025-12-31,MADRASFERT,EQUITY,EQ,INE414A01015,79.99,81.55,79.01,79.61,79.47,225972.0,18147551.56
2025-12-30,MADRASFERT,EQUITY,EQ,INE414A01015,78.55,81.96,78.06,79.47,79.1,338887.0,27235262.85
2025-12-29,MADRASFERT,EQUITY,EQ,INE414A01015,79.52,82.2,78.8,79.1,79.07,295490.0,23807197.96
2025-12-26,MADRASFERT,EQUITY,EQ,INE414A01015,77.74,79.8,77.63,79.07,77.74,177741.0,14037911.52
2025-12-24,MADRASFERT,EQUITY,EQ,INE414A01015,78.5,79.73,77.6,77.74,78.74,63941.0,5002390.13
2025-12-23,MADRASFERT,EQUITY,EQ,INE414A01015,76.19,79.39,75.62,78.74,76.38,215461.0,16873887.88
2025-12-22,MADRASFERT,EQUITY,EQ,INE414A01015,74.99,77.21,72.61,76.38,73.96,126766.0,9536823.16
2025-12-19,MADRASFERT,EQUITY,EQ,INE414A01015,73.1,74.8,72.73,73.96,73.12,34223.0,2513179.5
2025-12-18,MADRASFERT,EQUITY,EQ,INE414A01015,75.38,75.38,72.5,73.12,74.05,39026.0,2867856.19
2025-12-17,MADRASFERT,EQUITY,EQ,INE414A01015,75.99,76.1,73.67,74.05,75.72,67331.0,5005303.15
2025-12-16,MADRASFERT,EQUITY,EQ,INE414A01015,73.61,78.0,73.4,75.72,73.61,530416.0,40338864.28
2025-12-15,MADRASFERT,EQUITY,EQ,INE414A01015,72.49,75.75,71.91,73.61,72.85,94204.0,6936835.94
2025-12-12,MADRASFERT,EQUITY,EQ,INE414A01015,72.45,73.8,72.1,72.85,72.45,83291.0,6085411.37
2025-12-11,MADRASFERT,EQUITY,EQ,INE414A01015,72.42,72.84,71.71,72.45,72.43,33179.0,2399734.53
2025-12-10,MADRASFERT,EQUITY,EQ,INE414A01015,72.72,74.89,72.2,72.43,72.72,77441.0,5683334.45
2025-12-09,MADRASFERT,EQUITY,EQ,INE414A01015,72.9,73.68,70.5,72.72,72.9,64530.0,4663856.86
2025-12-08,MADRASFERT,EQUITY,EQ,INE414A01015,76.8,76.8,72.0,72.9,76.81,76918.0,5699884.97
2025-12-05,MADRASFERT,EQUITY,EQ,INE414A01015,74.97,78.3,74.37,76.81,74.97,167399.0,12799479.55
2025-12-04,MADRASFERT,EQUITY,EQ,INE414A01015,75.7,76.74,74.71,74.97,75.85,64161.0,4843536.8
2025-12-03,MADRASFERT,EQUITY,EQ,INE414A01015,76.03,77.85,75.22,75.85,76.83,74281.0,5670037.39
2025-12-02,MADRASFERT,EQUITY,EQ,INE414A01015,77.02,77.67,76.51,76.83,77.51,27673.0,2136410.66
2025-12-01,MADRASFERT,EQUITY,EQ,INE414A01015,78.0,79.0,77.02,77.51,77.87,40012.0,3115241.78
2025-11-28,MADRASFERT,EQUITY,EQ,INE414A01015,78.58,78.85,76.8,77.87,77.84,62859.0,4891214.77
2025-11-27,MADRASFERT,EQUITY,EQ,INE414A01015,78.5,78.6,77.24,77.84,76.86,33444.0,2606767.47
2025-11-26,MADRASFERT,EQUITY,EQ,INE414A01015,76.14,77.63,76.14,76.86,76.14,45774.0,3520934.34
2025-11-25,MADRASFERT,EQUITY,EQ,INE414A01015,76.6,76.98,75.75,76.14,76.19,45497.0,3468291.29
2025-11-24,MADRASFERT,EQUITY,EQ,INE414A01015,77.01,77.54,76.0,76.19,77.58,51360.0,3940339.03
2025-11-21,MADRASFERT,EQUITY,EQ,INE414A01015,78.87,78.87,77.2,77.58,78.85,64643.0,5043982.94
2025-11-20,MADRASFERT,EQUITY,EQ,INE414A01015,79.94,80.33,78.15,78.85,79.86,52253.0,4142180.26
2025-11-19,MADRASFERT,EQUITY,EQ,INE414A01015,80.73,80.73,79.52,79.86,80.75,35241.0,2820658.71
2025-11-18,MADRASFERT,EQUITY,EQ,INE414A01015,81.24,83.2,80.1,80.75,81.16,116086.0,9481391.6
2025-11-17,MADRASFERT,EQUITY,EQ,INE414A01015,81.33,82.23,80.81,81.16,81.33,59452.0,4851124.93
2025-11-14,MADRASFERT,EQUITY,EQ,INE414A01015,81.02,81.95,80.19,81.33,82.1,92302.0,7477683.98
2025-11-13,MADRASFERT,EQUITY,EQ,INE414A01015,81.84,83.8,80.22,82.1,81.46,195825.0,16047761.67
2025-11-12,MADRASFERT,EQUITY,EQ,INE414A01015,80.21,82.0,80.21,81.46,81.78,142948.0,11601112.41
