trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,MAMATA,EQUITY,EQ,INE0TO701015,408.85,417.0,403.4,407.85,409.45,22417.0,9146743.95
2026-09-10,MAMATA,EQUITY,EQ,INE0TO701015,419.0,419.65,407.1,409.45,419.4,36419.0,15003607.8
2026-09-09,MAMATA,EQUITY,EQ,INE0TO701015,428.55,439.95,417.5,419.4,425.7,100223.0,43019388.45
2026-09-08,MAMATA,EQUITY,EQ,INE0TO701015,410.45,428.9,410.0,425.7,413.5,107076.0,45087677.5
2026-09-07,MAMATA,EQUITY,EQ,INE0TO701015,412.5,424.65,402.0,413.5,412.55,63489.0,26526861.5
2026-09-04,MAMATA,EQUITY,EQ,INE0TO701015,404.55,417.0,401.75,412.55,404.55,39601.0,16194928.5
2026-09-03,MAMATA,EQUITY,EQ,INE0TO701015,404.0,407.0,401.6,404.55,401.15,28652.0,11592090.4
2026-09-02,MAMATA,EQUITY,EQ,INE0TO701015,401.1,406.5,398.2,401.15,401.85,18074.0,7284463.0
2026-09-01,MAMATA,EQUITY,EQ,INE0TO701015,399.2,407.7,397.4,401.85,401.35,30837.0,12344819.85
2026-08-31,MAMATA,EQUITY,EQ,INE0TO701015,396.75,406.95,396.4,401.35,400.05,77485.0,31123071.5
2026-08-28,MAMATA,EQUITY,EQ,INE0TO701015,402.0,405.0,398.4,400.05,403.5,82152.0,33002946.45
2026-08-27,MAMATA,EQUITY,EQ,INE0TO701015,407.0,410.95,401.5,403.5,410.15,24795.0,10036261.3
2026-08-26,MAMATA,EQUITY,EQ,INE0TO701015,413.45,416.95,407.1,410.15,410.4,116346.0,47945221.7
2026-08-25,MAMATA,EQUITY,EQ,INE0TO701015,417.5,417.5,407.3,410.4,417.5,16125.0,6620571.35
2026-08-24,MAMATA,EQUITY,EQ,INE0TO701015,424.55,428.25,416.1,417.5,420.35,37263.0,15699238.25
2026-08-21,MAMATA,EQUITY,EQ,INE0TO701015,406.0,422.95,406.0,420.35,405.5,100146.0,41769322.5
2026-08-20,MAMATA,EQUITY,EQ,INE0TO701015,403.95,410.0,403.0,405.5,401.45,28082.0,11378869.75
2026-08-19,MAMATA,EQUITY,EQ,INE0TO701015,408.8,413.35,400.0,401.45,411.15,33383.0,13563319.35
2026-08-18,MAMATA,EQUITY,EQ,INE0TO701015,407.3,417.0,400.0,411.15,405.6,68286.0,27917098.25
2026-08-17,MAMATA,EQUITY,EQ,INE0TO701015,398.05,422.0,397.25,405.6,426.5,189448.0,77299946.7
2026-08-14,MAMATA,EQUITY,EQ,INE0TO701015,420.0,435.0,420.0,426.5,425.6,94965.0,40809680.45
2026-08-13,MAMATA,EQUITY,EQ,INE0TO701015,426.05,428.0,422.3,425.6,426.05,39341.0,16754682.4
2026-08-12,MAMATA,EQUITY,EQ,INE0TO701015,423.45,427.0,421.0,426.05,425.2,64203.0,27293640.45
2026-08-11,MAMATA,EQUITY,EQ,INE0TO701015,421.95,427.4,421.95,425.2,425.3,65765.0,27957562.7
2026-08-10,MAMATA,EQUITY,EQ,INE0TO701015,425.1,428.05,416.0,425.3,428.2,67290.0,28461017.9
2026-08-07,MAMATA,EQUITY,EQ,INE0TO701015,421.15,429.5,421.15,428.2,425.1,95858.0,40904065.25
2026-08-06,MAMATA,EQUITY,EQ,INE0TO701015,428.8,429.9,425.0,425.1,425.15,66698.0,28444810.55
2026-08-05,MAMATA,EQUITY,EQ,INE0TO701015,419.1,427.0,411.95,425.15,414.4,238907.0,101168171.9
2026-08-04,MAMATA,EQUITY,EQ,INE0TO701015,402.15,417.9,401.05,414.4,403.15,142140.0,58718226.6
2026-08-03,MAMATA,EQUITY,EQ,INE0TO701015,408.45,413.3,400.05,403.15,406.45,66661.0,27143444.2
2026-07-31,MAMATA,EQUITY,EQ,INE0TO701015,385.0,420.0,385.0,406.45,386.45,209575.0,84567569.5
2026-07-30,MAMATA,EQUITY,EQ,INE0TO701015,385.85,389.9,382.1,386.45,385.35,26441.0,10172426.55
2026-07-29,MAMATA,EQUITY,EQ,INE0TO701015,386.8,386.8,381.9,385.35,382.6,20992.0,8069832.0
2026-07-28,MAMATA,EQUITY,EQ,INE0TO701015,381.0,387.7,377.0,382.6,380.75,52517.0,20096125.8
2026-07-27,MAMATA,EQUITY,EQ,INE0TO701015,398.0,398.0,379.1,380.75,395.45,56905.0,21929280.95
2026-07-24,MAMATA,EQUITY,EQ,INE0TO701015,393.25,398.45,393.0,395.45,397.15,46859.0,18565033.35
2026-07-23,MAMATA,EQUITY,EQ,INE0TO701015,397.95,400.9,395.6,397.15,397.95,30197.0,12010160.0
2026-07-22,MAMATA,EQUITY,EQ,INE0TO701015,399.6,401.6,394.8,397.95,399.6,59801.0,23759604.5
