trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,MANAKALUCO,EQUITY,EQ,INE859Q01017,38.17,38.19,36.75,36.87,37.69,147808.0,5478741.1
2026-09-10,MANAKALUCO,EQUITY,EQ,INE859Q01017,38.98,39.39,37.37,37.69,38.74,60432.0,2320179.71
2026-09-09,MANAKALUCO,EQUITY,EQ,INE859Q01017,39.65,39.65,38.5,38.74,39.22,69652.0,2710773.06
2026-09-08,MANAKALUCO,EQUITY,EQ,INE859Q01017,39.65,41.8,38.11,39.22,39.44,260095.0,10420117.65
2026-09-07,MANAKALUCO,EQUITY,EQ,INE859Q01017,38.0,39.85,38.0,39.44,38.1,87012.0,3405206.91
2026-09-04,MANAKALUCO,EQUITY,EQ,INE859Q01017,37.68,38.31,37.6,38.1,37.68,34763.0,1323755.87
2026-09-03,MANAKALUCO,EQUITY,EQ,INE859Q01017,37.6,38.14,36.91,37.68,37.12,54631.0,2057956.61
2026-09-02,MANAKALUCO,EQUITY,EQ,INE859Q01017,38.65,39.35,36.55,37.12,38.34,97514.0,3662353.79
2026-09-01,MANAKALUCO,EQUITY,EQ,INE859Q01017,37.85,39.57,37.85,38.34,38.47,98394.0,3817661.54
2026-08-31,MANAKALUCO,EQUITY,EQ,INE859Q01017,39.4,40.09,37.6,38.47,39.39,115255.0,4498892.13
2026-08-28,MANAKALUCO,EQUITY,EQ,INE859Q01017,38.71,39.74,37.92,39.39,39.1,58604.0,2269543.12
2026-08-27,MANAKALUCO,EQUITY,EQ,INE859Q01017,40.0,40.7,38.74,39.1,39.17,46528.0,1850836.56
2026-08-26,MANAKALUCO,EQUITY,EQ,INE859Q01017,40.95,40.95,38.51,39.17,40.04,40640.0,1609857.41
2026-08-25,MANAKALUCO,EQUITY,EQ,INE859Q01017,36.8,41.68,36.8,40.04,37.26,188666.0,7527043.17
2026-08-24,MANAKALUCO,EQUITY,EQ,INE859Q01017,37.5,38.19,37.14,37.26,37.87,41273.0,1548981.92
2026-08-21,MANAKALUCO,EQUITY,EQ,INE859Q01017,37.25,38.0,37.25,37.87,37.19,22309.0,839941.94
2026-08-20,MANAKALUCO,EQUITY,EQ,INE859Q01017,38.2,38.8,37.0,37.19,37.72,51147.0,1928683.93
2026-08-19,MANAKALUCO,EQUITY,EQ,INE859Q01017,37.5,37.99,37.5,37.72,37.63,24316.0,917644.58
2026-08-18,MANAKALUCO,EQUITY,EQ,INE859Q01017,37.65,38.43,37.25,37.63,38.11,48115.0,1820195.71
2026-08-17,MANAKALUCO,EQUITY,EQ,INE859Q01017,39.33,39.33,38.0,38.11,39.33,69502.0,2662052.61
2026-08-14,MANAKALUCO,EQUITY,EQ,INE859Q01017,40.41,40.8,39.1,39.33,40.41,56618.0,2253680.2
2026-08-13,MANAKALUCO,EQUITY,EQ,INE859Q01017,39.32,41.5,39.32,40.41,39.32,100898.0,4088920.7
2026-08-12,MANAKALUCO,EQUITY,EQ,INE859Q01017,42.0,42.0,38.73,39.32,42.47,292935.0,11688114.47
2026-08-11,MANAKALUCO,EQUITY,EQ,INE859Q01017,44.37,44.49,41.59,42.47,44.59,266909.0,11396904.63
