trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-03-19,MEP,EQUITY,EQ,INE776I01010,9.95,10.95,9.95,10.95,,2084259.0,22177491.15
2024-03-18,MEP,EQUITY,EQ,INE776I01010,10.45,10.45,10.45,10.45,,203027.0,2121632.15
2024-03-15,MEP,EQUITY,EQ,INE776I01010,11.0,11.0,11.0,11.0,,240702.0,2647722.0
2024-03-14,MEP,EQUITY,EQ,INE776I01010,11.55,11.55,11.55,11.55,,314544.0,3632983.2
2024-03-13,MEP,EQUITY,EQ,INE776I01010,12.15,12.15,12.15,12.15,,104326.0,1267560.9
2024-02-09,MEP,EQUITY,EQ,INE776I01010,20.5,21.25,19.3,21.2,,5859143.0,121069415.75
2024-02-08,MEP,EQUITY,EQ,INE776I01010,19.7,20.25,18.4,20.25,,6469728.0,127166340.95
2024-02-07,MEP,EQUITY,EQ,INE776I01010,18.15,18.45,17.35,18.45,,3989859.0,72883771.6
2024-02-06,MEP,EQUITY,EQ,INE776I01010,16.25,16.8,15.65,16.8,,1840599.0,30539444.55
2024-02-05,MEP,EQUITY,EQ,INE776I01010,16.15,16.6,15.9,16.0,,885426.0,14333278.3
2024-02-02,MEP,EQUITY,EQ,INE776I01010,15.95,16.6,15.8,16.05,,1150059.0,18728531.4
2024-02-01,MEP,EQUITY,EQ,INE776I01010,16.9,16.95,15.85,15.95,,1077027.0,17561585.55
2024-01-31,MEP,EQUITY,EQ,INE776I01010,16.35,16.6,15.25,16.5,,2509529.0,40401937.55
2023-12-28,MEP,EQUITY,EQ,INE776I01010,15.35,16.8,15.2,15.7,,2571466.0,41458522.6
2023-12-27,MEP,EQUITY,EQ,INE776I01010,16.2,16.6,15.1,15.35,,1314935.0,20705689.65
2023-12-26,MEP,EQUITY,EQ,INE776I01010,16.2,16.85,15.7,16.15,,1595013.0,26028763.45
2023-12-22,MEP,EQUITY,EQ,INE776I01010,16.1,16.75,15.9,16.05,,2155661.0,35093379.0
2023-12-21,MEP,EQUITY,EQ,INE776I01010,15.45,17.5,14.65,15.95,,10057670.0,161143974.4
2023-12-20,MEP,EQUITY,EQ,INE776I01010,13.15,15.35,13.1,15.35,,13213582.0,198042741.7
2023-12-19,MEP,EQUITY,EQ,INE776I01010,12.35,13.0,12.15,12.8,,1912711.0,24340820.5
2023-12-18,MEP,EQUITY,EQ,INE776I01010,12.1,12.65,12.0,12.25,,863301.0,10640882.95
2023-12-15,MEP,EQUITY,EQ,INE776I01010,12.35,12.4,11.95,12.1,,1198307.0,14472737.9
2023-12-14,MEP,EQUITY,EQ,INE776I01010,12.5,12.6,12.15,12.25,,882781.0,10872814.05
2023-12-13,MEP,EQUITY,EQ,INE776I01010,12.4,12.45,12.2,12.35,,414338.0,5106128.95
2023-12-12,MEP,EQUITY,EQ,INE776I01010,12.65,12.65,12.0,12.3,,692824.0,8537802.9
2023-12-11,MEP,EQUITY,EQ,INE776I01010,12.5,12.7,12.4,12.5,,468334.0,5878952.8
2023-12-08,MEP,EQUITY,EQ,INE776I01010,12.35,12.65,12.25,12.4,,625693.0,7796738.5
2023-12-07,MEP,EQUITY,EQ,INE776I01010,12.75,12.75,12.15,12.3,,849129.0,10502133.6
2023-12-06,MEP,EQUITY,EQ,INE776I01010,12.95,13.05,12.25,12.6,,497512.0,6311386.35
