trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,MERCURYEV,EQUITY,EQ,INE763M01028,38.44,41.61,37.73,41.61,37.83,3794734.0,153367263.42
2026-09-09,MERCURYEV,EQUITY,EQ,INE763M01028,38.94,38.94,37.0,37.83,38.38,463042.0,17653298.34
2026-09-08,MERCURYEV,EQUITY,EQ,INE763M01028,37.68,38.75,36.75,38.38,37.4,1533143.0,58966498.93
2026-09-07,MERCURYEV,EQUITY,EQ,INE763M01028,36.74,38.0,34.0,37.4,36.74,4166748.0,153118444.17
2026-09-04,MERCURYEV,EQUITY,EQ,INE763M01028,37.91,37.93,36.12,36.74,36.67,41943.0,1543568.74
2026-09-03,MERCURYEV,EQUITY,EQ,INE763M01028,38.87,38.87,36.0,36.67,36.66,66676.0,2469106.01
2026-09-02,MERCURYEV,EQUITY,EQ,INE763M01028,36.54,37.31,36.0,36.66,37.64,83693.0,3058823.68
2026-09-01,MERCURYEV,EQUITY,EQ,INE763M01028,37.98,39.87,35.36,37.64,38.96,291206.0,11042863.59
2026-08-31,MERCURYEV,EQUITY,EQ,INE763M01028,38.87,39.99,38.87,38.96,38.67,80285.0,3137310.52
2026-08-28,MERCURYEV,EQUITY,EQ,INE763M01028,39.12,39.69,38.4,38.67,38.93,59148.0,2307508.09
2026-08-27,MERCURYEV,EQUITY,EQ,INE763M01028,39.73,40.5,38.17,38.93,38.73,79392.0,3099414.85
2026-08-26,MERCURYEV,EQUITY,EQ,INE763M01028,37.41,39.2,37.37,38.73,37.4,101938.0,3916961.48
2026-08-25,MERCURYEV,EQUITY,EQ,INE763M01028,39.5,39.5,36.1,37.4,39.2,169903.0,6537137.9
2026-08-24,MERCURYEV,EQUITY,EQ,INE763M01028,39.71,40.35,39.1,39.2,39.71,179137.0,7090067.38
2026-08-21,MERCURYEV,EQUITY,EQ,INE763M01028,41.5,41.5,39.05,39.71,39.47,281793.0,11451121.77
2026-08-20,MERCURYEV,EQUITY,EQ,INE763M01028,37.99,41.39,37.61,39.47,37.63,638614.0,25617189.11
2026-08-19,MERCURYEV,EQUITY,EQ,INE763M01028,36.09,38.25,34.85,37.63,35.13,491197.0,18190965.32
2026-08-18,MERCURYEV,EQUITY,EQ,INE763M01028,35.2,36.35,34.77,35.13,35.59,111246.0,3947756.46
2026-08-17,MERCURYEV,EQUITY,EQ,INE763M01028,36.85,36.85,35.43,35.59,36.08,210707.0,7526377.09
2026-08-14,MERCURYEV,EQUITY,EQ,INE763M01028,35.08,36.4,34.0,36.08,34.6,140532.0,4998384.16
2026-08-13,MERCURYEV,EQUITY,EQ,INE763M01028,34.85,35.33,34.5,34.6,35.02,127947.0,4447517.76
2026-08-12,MERCURYEV,EQUITY,EQ,INE763M01028,35.44,35.44,34.63,35.02,34.71,63748.0,2231557.98
2026-08-11,MERCURYEV,EQUITY,EQ,INE763M01028,35.28,35.69,34.5,34.71,34.6,56913.0,1988353.15
2026-08-10,MERCURYEV,EQUITY,EQ,INE763M01028,34.63,36.6,34.14,34.6,34.95,183867.0,6479568.54
2026-08-07,MERCURYEV,EQUITY,EQ,INE763M01028,35.3,36.73,34.5,34.95,35.73,137391.0,4864700.38
2026-08-06,MERCURYEV,EQUITY,EQ,INE763M01028,34.62,36.0,34.62,35.73,35.3,111191.0,3906763.92
2026-08-05,MERCURYEV,EQUITY,EQ,INE763M01028,36.95,36.95,34.55,35.3,35.74,276122.0,9714871.41
2026-08-04,MERCURYEV,EQUITY,EQ,INE763M01028,34.7,36.45,33.9,35.74,35.43,311062.0,10912300.99
2026-08-03,MERCURYEV,EQUITY,EQ,INE763M01028,34.82,35.97,34.82,35.43,35.09,110395.0,3902500.61
2026-07-31,MERCURYEV,EQUITY,EQ,INE763M01028,35.12,35.61,34.2,35.09,35.72,84587.0,2972847.88
2026-07-30,MERCURYEV,EQUITY,EQ,INE763M01028,35.06,36.39,35.06,35.72,35.65,93944.0,3350512.31
2026-07-29,MERCURYEV,EQUITY,EQ,INE763M01028,36.18,36.61,35.53,35.65,35.86,106419.0,3814492.14
2026-07-28,MERCURYEV,EQUITY,EQ,INE763M01028,36.41,36.41,35.05,35.86,35.92,161626.0,5767869.31
2026-07-27,MERCURYEV,EQUITY,EQ,INE763M01028,35.6,36.86,34.4,35.92,35.11,224878.0,8051362.45
