trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,MFML,EQUITY,EQ,INE0US801024,19.45,19.9,18.3,18.94,18.38,12083.0,235076.26
2026-09-09,MFML,EQUITY,EQ,INE0US801024,18.69,19.83,18.18,18.38,18.69,1806.0,33268.73
2026-09-08,MFML,EQUITY,EQ,INE0US801024,19.0,19.7,18.62,18.69,18.62,4416.0,84392.77
2026-09-07,MFML,EQUITY,EQ,INE0US801024,18.99,19.8,18.18,18.62,18.59,3340.0,62373.93
2026-09-04,MFML,EQUITY,EQ,INE0US801024,18.63,18.8,18.12,18.59,18.36,3002.0,55773.73
2026-09-03,MFML,EQUITY,EQ,INE0US801024,18.26,19.25,18.26,18.36,18.57,1991.0,37620.43
2026-09-02,MFML,EQUITY,EQ,INE0US801024,19.45,19.45,17.3,18.57,18.97,2032.0,37835.46
2026-09-01,MFML,EQUITY,EQ,INE0US801024,18.45,19.0,18.35,18.97,18.35,341.0,6469.25
2026-08-31,MFML,EQUITY,EQ,INE0US801024,19.45,19.45,18.26,18.35,18.55,716.0,13288.94
2026-08-28,MFML,EQUITY,EQ,INE0US801024,18.62,19.3,18.5,18.55,18.53,620.0,11497.08
2026-08-27,MFML,EQUITY,EQ,INE0US801024,19.74,19.75,18.4,18.53,18.71,11692.0,218779.69
2026-08-26,MFML,EQUITY,EQ,INE0US801024,19.45,19.45,18.63,18.71,18.8,294.0,5576.17
2026-08-25,MFML,EQUITY,EQ,INE0US801024,19.48,19.48,18.62,18.8,18.93,73.0,1394.73
2026-08-24,MFML,EQUITY,EQ,INE0US801024,19.87,19.87,18.31,18.93,19.22,682.0,12927.15
2026-08-21,MFML,EQUITY,EQ,INE0US801024,19.87,19.9,18.72,19.22,19.66,3421.0,66022.38
2026-08-20,MFML,EQUITY,EQ,INE0US801024,18.56,19.9,18.2,19.66,18.55,10167.0,196338.68
2026-08-19,MFML,EQUITY,EQ,INE0US801024,18.7,18.95,18.53,18.55,18.95,303.0,5624.4
2026-08-18,MFML,EQUITY,EQ,INE0US801024,18.61,19.84,18.58,18.95,18.67,6762.0,129515.47
2026-08-17,MFML,EQUITY,EQ,INE0US801024,19.34,19.34,18.62,18.67,19.34,1077.0,20154.42
2026-08-14,MFML,EQUITY,EQ,INE0US801024,19.23,19.65,18.61,19.34,19.23,2106.0,40886.62
2026-08-13,MFML,EQUITY,EQ,INE0US801024,18.25,19.9,18.25,19.23,18.64,5781.0,111282.11
2026-08-12,MFML,EQUITY,EQ,INE0US801024,19.0,19.04,18.6,18.64,18.78,5378.0,101872.56
2026-08-11,MFML,EQUITY,EQ,INE0US801024,19.97,19.97,18.31,18.78,18.82,2515.0,47026.45
2026-08-10,MFML,EQUITY,EQ,INE0US801024,19.97,19.99,18.6,18.82,19.55,3861.0,73178.96
2026-08-07,MFML,EQUITY,EQ,INE0US801024,19.0,19.99,18.46,19.55,19.44,7234.0,138950.43
2026-08-06,MFML,EQUITY,EQ,INE0US801024,19.9,19.9,19.1,19.44,19.1,226.0,4397.27
2026-08-05,MFML,EQUITY,EQ,INE0US801024,19.62,19.62,19.06,19.1,19.62,953.0,18385.89
2026-08-04,MFML,EQUITY,EQ,INE0US801024,19.44,20.88,18.91,19.62,19.84,7526.0,146804.12
2026-08-03,MFML,EQUITY,EQ,INE0US801024,18.99,19.99,18.99,19.84,18.92,1696.0,33227.29
2026-07-31,MFML,EQUITY,EQ,INE0US801024,18.54,19.86,18.54,18.92,18.54,5872.0,111299.82
2026-07-30,MFML,EQUITY,EQ,INE0US801024,18.86,20.51,18.28,18.54,18.46,15739.0,300832.01
2026-07-29,MFML,EQUITY,EQ,INE0US801024,18.58,19.2,18.31,18.46,18.58,1955.0,36230.58
2026-07-28,MFML,EQUITY,EQ,INE0US801024,18.56,18.84,18.48,18.58,18.84,688.0,12866.84
2026-07-27,MFML,EQUITY,EQ,INE0US801024,19.0,19.74,18.16,18.84,18.75,2710.0,50734.03
2026-07-24,MFML,EQUITY,EQ,INE0US801024,19.59,19.6,18.61,18.75,19.21,5449.0,103221.11
2026-07-23,MFML,EQUITY,EQ,INE0US801024,19.6,19.6,18.81,19.21,19.74,1385.0,26560.73
2026-07-22,MFML,EQUITY,EQ,INE0US801024,18.72,20.39,18.06,19.74,18.72,26411.0,495604.8
2026-07-21,MFML,EQUITY,EQ,INE0US801024,18.2,18.73,18.2,18.72,18.15,465.0,8522.06
2026-07-20,MFML,EQUITY,EQ,INE0US801024,18.8,19.29,17.3,18.15,18.97,2814.0,51144.33
2026-07-17,MFML,EQUITY,EQ,INE0US801024,18.7,19.3,17.7,18.97,18.7,4024.0,74380.38
2026-07-16,MFML,EQUITY,EQ,INE0US801024,19.5,19.5,18.7,18.7,19.08,8443.0,158986.88
2026-07-15,MFML,EQUITY,EQ,INE0US801024,18.41,19.98,18.1,19.08,18.96,7717.0,147171.7
2026-07-14,MFML,EQUITY,EQ,INE0US801024,19.5,19.88,17.9,18.96,19.88,9008.0,170559.23
2026-07-13,MFML,EQUITY,EQ,INE0US801024,20.0,20.0,19.0,19.88,19.83,2161.0,42289.98
2026-07-10,MFML,EQUITY,EQ,INE0US801024,19.99,19.99,19.31,19.83,19.6,1430.0,28376.61
2026-07-09,MFML,EQUITY,EQ,INE0US801024,18.99,19.99,18.99,19.6,18.99,1632.0,32170.33
2026-07-08,MFML,EQUITY,EQ,INE0US801024,19.71,20.19,18.63,18.99,19.73,13135.0,254242.74
2026-07-07,MFML,EQUITY,EQ,INE0US801024,20.7,20.7,19.57,19.73,20.47,4573.0,90057.06
2026-07-06,MFML,EQUITY,EQ,INE0US801024,20.21,20.74,19.51,20.47,20.29,7405.0,149819.23
2026-07-03,MFML,EQUITY,EQ,INE0US801024,20.39,20.93,19.6,20.29,19.92,26262.0,532704.56
