trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.78,19.93,19.75,19.89,19.78,139612.0,2775267.69
2026-09-07,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.33,20.33,19.52,19.78,19.93,324925.0,6435351.41
2026-09-04,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.92,20.05,19.88,19.93,19.92,137616.0,2747548.82
2026-09-03,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.9,20.08,19.83,19.92,19.88,215124.0,4293303.72
2026-09-02,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.97,19.97,19.72,19.88,19.97,352313.0,6987832.62
2026-09-01,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.38,20.39,19.5,19.97,20.05,381010.0,7634280.23
2026-08-31,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.13,20.18,19.9,20.05,20.13,169075.0,3381322.77
2026-08-28,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.65,20.28,19.65,20.13,20.16,110058.0,2218164.01
2026-08-27,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.65,20.38,19.61,20.16,20.16,221312.0,4460134.81
2026-08-26,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.07,20.25,20.07,20.16,20.07,170805.0,3446699.4
2026-08-25,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.0,20.13,19.88,20.07,19.98,220569.0,4412712.37
2026-08-24,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.03,20.15,19.96,19.98,20.03,352903.0,7063578.48
2026-08-21,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.0,20.08,19.87,20.03,19.96,278610.0,5567997.83
2026-08-20,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.87,20.03,19.87,19.96,19.87,245127.0,4897992.87
2026-08-19,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.9,19.99,19.73,19.87,19.88,368753.0,7311306.29
2026-08-18,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.95,19.98,19.82,19.88,19.95,189458.0,3765688.77
2026-08-17,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.5,20.04,19.5,19.95,19.9,152561.0,3036817.02
2026-08-14,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.0,20.0,19.82,19.9,19.87,119642.0,2378933.18
2026-08-13,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.0,20.0,19.8,19.87,19.85,473332.0,9400934.77
2026-08-12,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.88,19.96,19.73,19.85,19.84,160576.0,3179216.5
2026-08-11,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.86,19.93,19.73,19.84,19.87,210013.0,4152502.6
2026-08-10,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.19,20.19,19.72,19.87,19.79,218932.0,4342956.77
2026-08-07,MIDSELIETF,EQUITY,EQ,INF109KC10W0,20.15,20.15,19.72,19.79,19.75,244677.0,4840502.13
2026-08-06,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.81,19.87,19.71,19.75,19.81,422262.0,8356711.28
2026-08-05,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.9,19.9,19.71,19.81,19.62,282442.0,5596630.74
2026-08-04,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.94,19.94,19.57,19.62,19.71,447724.0,8810926.03
2026-08-03,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.6,19.8,19.59,19.71,19.6,363403.0,7175099.49
2026-07-31,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.45,19.64,19.45,19.6,19.45,131756.0,2580726.59
2026-07-30,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.49,19.67,19.37,19.45,19.49,119856.0,2332557.3
2026-07-29,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.5,19.63,19.44,19.49,19.5,136822.0,2668250.88
2026-07-28,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.45,19.8,19.43,19.5,19.45,227907.0,4443795.11
2026-07-27,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.0,19.51,18.87,19.45,19.14,292665.0,5682781.67
2026-07-24,MIDSELIETF,EQUITY,EQ,INF109KC10W0,18.66,19.23,18.66,19.14,19.03,93596.0,1777204.89
2026-07-23,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.25,19.6,18.95,19.03,19.22,272376.0,5218773.64
2026-07-22,MIDSELIETF,EQUITY,EQ,INF109KC10W0,19.0,19.54,19.0,19.22,19.44,254972.0,4919190.48
