trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,MMTC,EQUITY,EQ,INE123F01029,63.29,63.62,62.5,62.76,63.19,972735.0,61182284.8
2026-09-08,MMTC,EQUITY,EQ,INE123F01029,63.95,64.35,62.95,63.19,63.82,1051849.0,66861233.88
2026-09-07,MMTC,EQUITY,EQ,INE123F01029,64.5,64.62,63.5,63.82,64.18,1021196.0,65354215.75
2026-09-04,MMTC,EQUITY,EQ,INE123F01029,62.61,66.2,62.53,64.18,62.32,8443462.0,548945723.35
2026-09-03,MMTC,EQUITY,EQ,INE123F01029,62.89,63.59,62.13,62.32,62.1,1036048.0,65093898.87
2026-09-02,MMTC,EQUITY,EQ,INE123F01029,62.2,62.45,61.41,62.1,62.32,691082.0,42814889.74
2026-09-01,MMTC,EQUITY,EQ,INE123F01029,62.25,63.25,62.0,62.32,62.35,1373089.0,85904046.66
2026-08-31,MMTC,EQUITY,EQ,INE123F01029,62.9,62.96,62.15,62.35,63.07,943688.0,58869231.42
2026-08-28,MMTC,EQUITY,EQ,INE123F01029,63.55,63.79,63.0,63.07,63.51,1025217.0,64888629.51
2026-08-27,MMTC,EQUITY,EQ,INE123F01029,64.41,64.6,63.3,63.51,64.02,906339.0,57883310.46
2026-08-26,MMTC,EQUITY,EQ,INE123F01029,64.06,64.74,63.58,64.02,63.9,1381619.0,88332376.98
2026-08-25,MMTC,EQUITY,EQ,INE123F01029,64.84,65.45,63.58,63.9,64.61,1677272.0,107918016.87
2026-08-24,MMTC,EQUITY,EQ,INE123F01029,64.94,65.53,64.4,64.61,65.38,1292281.0,83830517.43
2026-08-21,MMTC,EQUITY,EQ,INE123F01029,66.6,67.49,64.61,65.38,66.27,4097244.0,271174493.9
2026-08-20,MMTC,EQUITY,EQ,INE123F01029,62.84,67.58,62.75,66.27,62.15,42448877.0,2818908366.87
2026-08-19,MMTC,EQUITY,EQ,INE123F01029,63.44,63.67,61.55,62.15,63.54,703075.0,44064269.44
2026-08-18,MMTC,EQUITY,EQ,INE123F01029,63.45,64.12,62.9,63.54,63.81,1193339.0,75627852.54
2026-08-17,MMTC,EQUITY,EQ,INE123F01029,64.58,64.63,63.5,63.81,64.35,633055.0,40433699.99
2026-08-14,MMTC,EQUITY,EQ,INE123F01029,64.1,64.99,64.0,64.35,63.89,1263041.0,81497836.47
2026-08-13,MMTC,EQUITY,EQ,INE123F01029,64.2,65.01,63.7,63.89,64.43,718713.0,46119501.74
2026-08-12,MMTC,EQUITY,EQ,INE123F01029,65.8,66.2,64.01,64.43,64.98,1977239.0,128665031.26
2026-08-11,MMTC,EQUITY,EQ,INE123F01029,64.0,65.57,63.7,64.98,63.95,1722907.0,111224305.3
2026-08-10,MMTC,EQUITY,EQ,INE123F01029,64.0,65.42,63.3,63.95,63.98,2320097.0,149162723.04
2026-08-07,MMTC,EQUITY,EQ,INE123F01029,64.2,65.09,63.75,63.98,64.05,1009089.0,64848504.34
2026-08-06,MMTC,EQUITY,EQ,INE123F01029,64.59,65.33,64.0,64.05,63.78,1385858.0,89281812.24
2026-08-05,MMTC,EQUITY,EQ,INE123F01029,64.0,64.64,63.63,63.78,63.65,1102599.0,70610404.74
2026-08-04,MMTC,EQUITY,EQ,INE123F01029,63.65,64.65,63.63,63.65,63.65,1304788.0,83513386.5
2026-08-03,MMTC,EQUITY,EQ,INE123F01029,62.93,64.57,62.55,63.65,62.66,1667788.0,106311749.07
2026-07-31,MMTC,EQUITY,EQ,INE123F01029,60.3,62.78,60.02,62.66,60.09,3112811.0,192749610.32
2026-07-30,MMTC,EQUITY,EQ,INE123F01029,61.1,61.15,59.9,60.09,61.25,1060338.0,64114784.88
2026-07-29,MMTC,EQUITY,EQ,INE123F01029,60.71,61.8,60.45,61.25,60.59,1415410.0,86691005.81
2026-07-28,MMTC,EQUITY,EQ,INE123F01029,61.74,61.74,60.5,60.59,61.66,818740.0,49886287.28
2026-07-27,MMTC,EQUITY,EQ,INE123F01029,61.84,62.69,61.39,61.66,61.52,1108364.0,68531214.84
2026-07-24,MMTC,EQUITY,EQ,INE123F01029,61.0,61.8,60.21,61.52,61.94,1489504.0,91106468.73
2026-07-23,MMTC,EQUITY,EQ,INE123F01029,62.15,63.15,61.62,61.94,62.27,1557218.0,97011671.84
2026-07-22,MMTC,EQUITY,EQ,INE123F01029,63.3,63.44,62.15,62.27,63.33,996045.0,62391289.12
2026-07-21,MMTC,EQUITY,EQ,INE123F01029,63.64,64.0,63.06,63.33,63.66,821159.0,52096601.74
2026-07-20,MMTC,EQUITY,EQ,INE123F01029,63.0,63.99,62.75,63.66,63.52,1250495.0,79486581.38
2026-07-17,MMTC,EQUITY,EQ,INE123F01029,64.11,64.11,63.2,63.52,64.2,1094121.0,69485417.8
2026-07-16,MMTC,EQUITY,EQ,INE123F01029,64.55,64.74,63.8,64.2,64.55,1169220.0,75133709.66
2026-07-15,MMTC,EQUITY,EQ,INE123F01029,64.19,65.62,64.19,64.55,64.19,1494198.0,96820590.42
2026-07-14,MMTC,EQUITY,EQ,INE123F01029,64.55,64.8,63.95,64.19,64.95,1217455.0,78295939.39
2026-07-13,MMTC,EQUITY,EQ,INE123F01029,64.58,65.28,63.94,64.95,65.1,1238645.0,80087779.99
2026-07-10,MMTC,EQUITY,EQ,INE123F01029,64.5,66.94,64.5,65.1,64.16,3811709.0,250271732.03
2026-07-09,MMTC,EQUITY,EQ,INE123F01029,63.59,64.92,63.42,64.16,63.43,1803455.0,116039296.7
2026-07-08,MMTC,EQUITY,EQ,INE123F01029,64.75,67.05,62.67,63.43,65.23,5433986.0,353267000.59
2026-07-07,MMTC,EQUITY,EQ,INE123F01029,66.2,66.7,64.82,65.23,66.26,2011972.0,131278382.87
2026-07-06,MMTC,EQUITY,EQ,INE123F01029,67.1,67.39,66.01,66.26,67.14,1246057.0,82757258.86
2026-07-03,MMTC,EQUITY,EQ,INE123F01029,68.0,68.75,67.0,67.14,67.75,1914669.0,129376922.91
2026-07-02,MMTC,EQUITY,EQ,INE123F01029,68.0,68.98,67.49,67.75,67.73,1969390.0,133790270.08
2026-07-01,MMTC,EQUITY,EQ,INE123F01029,68.24,69.82,67.4,67.73,68.05,3686717.0,252780027.96
2026-06-30,MMTC,EQUITY,EQ,INE123F01029,67.0,69.18,66.53,68.05,66.75,6672021.0,453045174.88
2026-06-29,MMTC,EQUITY,EQ,INE123F01029,68.3,68.76,66.4,66.75,68.63,4540805.0,304631393.83
2026-06-25,MMTC,EQUITY,EQ,INE123F01029,72.35,72.87,68.3,68.63,72.08,5597870.0,389804435.91
2026-06-24,MMTC,EQUITY,EQ,INE123F01029,73.3,74.42,71.55,72.08,73.31,4529113.0,328829826.57
2026-06-23,MMTC,EQUITY,EQ,INE123F01029,75.37,76.16,72.74,73.31,75.18,6995212.0,520602898.17
2026-06-22,MMTC,EQUITY,EQ,INE123F01029,75.0,77.17,74.5,75.18,74.55,8082179.0,612756051.37
2026-06-19,MMTC,EQUITY,EQ,INE123F01029,74.68,75.75,74.06,74.55,74.95,6629184.0,495685416.91
