trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,MODTHREAD,EQUITY,EQ,INE794W01014,53.9,54.7,53.05,53.91,52.96,3023.0,162789.68
2026-09-08,MODTHREAD,EQUITY,EQ,INE794W01014,54.7,56.6,52.7,52.96,54.7,10826.0,585359.3
2026-09-07,MODTHREAD,EQUITY,EQ,INE794W01014,54.91,57.0,54.6,54.7,54.37,6400.0,355641.22
2026-09-04,MODTHREAD,EQUITY,EQ,INE794W01014,53.0,55.98,53.0,54.37,53.39,12306.0,666704.23
2026-09-03,MODTHREAD,EQUITY,EQ,INE794W01014,52.9,57.9,52.0,53.39,52.61,12521.0,685829.44
2026-09-02,MODTHREAD,EQUITY,EQ,INE794W01014,52.02,52.89,51.51,52.61,51.54,1791.0,93495.57
2026-09-01,MODTHREAD,EQUITY,EQ,INE794W01014,53.58,53.9,51.26,51.54,53.58,5750.0,299244.97
2026-08-31,MODTHREAD,EQUITY,EQ,INE794W01014,52.7,54.25,51.2,53.58,53.51,4993.0,263505.83
2026-08-28,MODTHREAD,EQUITY,EQ,INE794W01014,53.05,55.0,51.01,53.51,55.68,8784.0,465294.57
2026-08-27,MODTHREAD,EQUITY,EQ,INE794W01014,55.51,55.99,47.35,55.68,56.05,26488.0,1397162.28
2026-08-26,MODTHREAD,EQUITY,EQ,INE794W01014,56.8,58.95,53.16,56.05,56.8,12707.0,712453.39
2026-08-25,MODTHREAD,EQUITY,EQ,INE794W01014,55.01,58.69,52.0,56.8,54.21,10948.0,606242.47
2026-08-24,MODTHREAD,EQUITY,EQ,INE794W01014,58.31,60.11,51.51,54.21,58.31,15587.0,891756.67
2026-08-21,MODTHREAD,EQUITY,EQ,INE794W01014,53.0,59.54,53.0,58.31,53.9,40834.0,2330166.07
2026-08-20,MODTHREAD,EQUITY,EQ,INE794W01014,52.99,62.1,51.85,53.9,52.28,103279.0,5883771.29
2026-08-19,MODTHREAD,EQUITY,EQ,INE794W01014,57.47,57.47,51.0,52.28,57.47,32489.0,1721223.22
2026-08-18,MODTHREAD,EQUITY,EQ,INE794W01014,59.9,65.65,56.53,57.47,57.64,245705.0,15031320.36
2026-08-17,MODTHREAD,EQUITY,EQ,INE794W01014,52.0,57.93,51.2,57.64,48.28,192105.0,10931844.83
2026-08-14,MODTHREAD,EQUITY,EQ,INE794W01014,49.8,49.8,46.01,48.28,45.36,560.0,27114.96
2026-08-13,MODTHREAD,EQUITY,EQ,INE794W01014,45.51,45.61,45.0,45.36,45.91,248.0,11215.91
2026-08-12,MODTHREAD,EQUITY,EQ,INE794W01014,46.03,46.07,45.53,45.91,46.52,576.0,26481.22
2026-08-11,MODTHREAD,EQUITY,EQ,INE794W01014,46.5,47.0,45.34,46.52,46.26,621.0,28715.39
2026-08-10,MODTHREAD,EQUITY,EQ,INE794W01014,45.01,47.9,45.01,46.26,48.24,1990.0,93385.46
2026-08-07,MODTHREAD,EQUITY,EQ,INE794W01014,48.25,48.25,48.24,48.24,48.24,891.0,42984.23
2026-08-06,MODTHREAD,EQUITY,EQ,INE794W01014,49.02,49.02,48.21,48.24,50.64,51.0,2477.23
2026-08-05,MODTHREAD,EQUITY,EQ,INE794W01014,51.89,51.89,47.03,50.64,48.05,1654.0,83703.31
2026-08-04,MODTHREAD,EQUITY,EQ,INE794W01014,48.85,50.0,48.0,48.05,48.85,1533.0,74891.81
2026-08-03,MODTHREAD,EQUITY,EQ,INE794W01014,47.86,52.14,47.86,48.85,47.88,331.0,16175.49
2026-07-31,MODTHREAD,EQUITY,EQ,INE794W01014,48.21,48.21,47.85,47.88,48.0,168.0,8055.41
2026-07-30,MODTHREAD,EQUITY,EQ,INE794W01014,47.85,48.02,47.85,48.0,47.85,52.0,2488.52
2026-07-29,MODTHREAD,EQUITY,EQ,INE794W01014,49.98,50.0,46.56,47.85,49.0,869.0,42791.0
2026-07-28,MODTHREAD,EQUITY,EQ,INE794W01014,49.27,49.27,48.99,49.0,49.27,28.0,1372.25
2026-07-27,MODTHREAD,EQUITY,EQ,INE794W01014,48.16,50.0,47.66,49.27,47.66,1125.0,54353.88
2026-07-24,MODTHREAD,EQUITY,EQ,INE794W01014,48.8,48.8,46.02,47.66,49.56,934.0,45093.88
2026-07-23,MODTHREAD,EQUITY,EQ,INE794W01014,48.0,49.56,47.0,49.56,45.06,5121.0,251649.54
2026-07-22,MODTHREAD,EQUITY,EQ,INE794W01014,45.1,45.2,45.0,45.06,45.62,22.0,991.45
2026-07-21,MODTHREAD,EQUITY,EQ,INE794W01014,47.4,47.4,45.4,45.62,47.52,1628.0,75947.84
2026-07-20,MODTHREAD,EQUITY,EQ,INE794W01014,50.01,50.01,47.05,47.52,47.69,59.0,2811.3
2026-07-17,MODTHREAD,EQUITY,EQ,INE794W01014,49.0,50.3,45.51,47.69,46.53,1838.0,88297.27
2026-07-16,MODTHREAD,EQUITY,EQ,INE794W01014,45.8,49.5,45.01,46.53,45.8,7611.0,352660.99
2026-07-15,MODTHREAD,EQUITY,EQ,INE794W01014,49.8,49.8,45.56,45.8,48.08,622.0,28504.64
2026-07-14,MODTHREAD,EQUITY,EQ,INE794W01014,46.31,50.0,45.01,48.08,47.5,1816.0,85666.95
2026-07-13,MODTHREAD,EQUITY,EQ,INE794W01014,48.06,48.06,43.21,47.5,47.83,171.0,7811.57
2026-07-10,MODTHREAD,EQUITY,EQ,INE794W01014,47.23,49.8,47.23,47.83,47.46,861.0,41063.86
2026-07-09,MODTHREAD,EQUITY,EQ,INE794W01014,47.5,50.51,45.57,47.46,47.5,3360.0,160699.05
2026-07-08,MODTHREAD,EQUITY,EQ,INE794W01014,46.5,47.5,46.5,47.5,46.61,317.0,15024.94
2026-07-07,MODTHREAD,EQUITY,EQ,INE794W01014,47.25,47.25,45.01,46.61,47.25,370.0,17171.37
2026-07-06,MODTHREAD,EQUITY,EQ,INE794W01014,49.07,49.07,47.2,47.25,48.11,156.0,7379.32
2026-07-03,MODTHREAD,EQUITY,EQ,INE794W01014,52.5,52.5,47.1,48.11,51.54,1621.0,81377.78
2026-07-02,MODTHREAD,EQUITY,EQ,INE794W01014,51.5,51.59,46.27,51.54,46.9,17960.0,904508.4
2026-07-01,MODTHREAD,EQUITY,EQ,INE794W01014,49.77,49.77,46.54,46.9,49.77,2378.0,111629.01
2026-06-30,MODTHREAD,EQUITY,EQ,INE794W01014,48.61,50.99,46.26,49.77,46.61,6091.0,304243.87
2026-06-29,MODTHREAD,EQUITY,EQ,INE794W01014,49.0,49.0,45.0,46.61,45.98,836.0,39301.83
2026-06-25,MODTHREAD,EQUITY,EQ,INE794W01014,46.5,46.75,44.0,45.98,45.36,4231.0,194790.6
2026-06-24,MODTHREAD,EQUITY,EQ,INE794W01014,43.81,45.6,43.81,45.36,43.49,199.0,8976.57
2026-06-23,MODTHREAD,EQUITY,EQ,INE794W01014,42.61,46.31,42.61,43.49,43.48,479.0,20889.98
2026-06-22,MODTHREAD,EQUITY,EQ,INE794W01014,42.62,46.3,42.62,43.48,42.83,233.0,10092.32
2026-06-19,MODTHREAD,EQUITY,EQ,INE794W01014,42.24,42.91,42.24,42.83,43.71,282.0,11974.74
2026-06-18,MODTHREAD,EQUITY,EQ,INE794W01014,43.7,46.49,43.7,43.71,43.66,231.0,10262.06
2026-06-17,MODTHREAD,EQUITY,EQ,INE794W01014,44.0,46.79,43.12,43.66,44.0,418.0,18289.24
2026-06-16,MODTHREAD,EQUITY,EQ,INE794W01014,43.87,47.48,43.87,44.0,45.0,166.0,7384.22
2026-06-15,MODTHREAD,EQUITY,EQ,INE794W01014,44.35,45.12,44.13,45.0,44.13,610.0,27073.36
2026-06-11,MODTHREAD,EQUITY,EQ,INE794W01014,45.56,45.56,44.11,44.13,45.56,340.0,15404.0
2026-06-10,MODTHREAD,EQUITY,EQ,INE794W01014,45.5,45.56,45.5,45.56,44.83,291.0,13242.74
2026-06-09,MODTHREAD,EQUITY,EQ,INE794W01014,43.25,48.24,43.25,44.83,46.67,1509.0,69291.68
2026-06-08,MODTHREAD,EQUITY,EQ,INE794W01014,47.0,48.24,46.55,46.67,46.05,817.0,38092.19
2026-06-05,MODTHREAD,EQUITY,EQ,INE794W01014,46.7,46.7,45.75,46.05,46.62,12.0,553.65
2026-06-04,MODTHREAD,EQUITY,EQ,INE794W01014,46.52,46.7,46.5,46.62,46.52,203.0,9443.5
2026-06-03,MODTHREAD,EQUITY,EQ,INE794W01014,48.32,49.5,45.95,46.52,48.36,1418.0,67742.08
2026-06-02,MODTHREAD,EQUITY,EQ,INE794W01014,47.8,48.81,47.5,48.36,47.27,358.0,17293.66
2026-06-01,MODTHREAD,EQUITY,EQ,INE794W01014,45.36,47.61,45.36,47.27,45.36,2203.0,104027.47
