trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,MOGSEC,EQUITY,EQ,INF247L01AK4,65.69,65.7,65.08,65.17,65.64,1358.0,89027.8
2026-09-10,MOGSEC,EQUITY,EQ,INF247L01AK4,65.69,65.7,65.1,65.64,65.14,2464.0,161284.26
2026-09-09,MOGSEC,EQUITY,EQ,INF247L01AK4,65.69,65.7,65.13,65.14,65.4,315.0,20615.79
2026-09-08,MOGSEC,EQUITY,EQ,INF247L01AK4,65.67,65.67,65.4,65.4,65.2,10746.0,702885.95
2026-09-07,MOGSEC,EQUITY,EQ,INF247L01AK4,65.06,65.7,65.06,65.2,65.69,1738.0,113725.0
2026-09-04,MOGSEC,EQUITY,EQ,INF247L01AK4,65.38,65.7,65.34,65.69,65.4,1982.0,129963.11
2026-09-03,MOGSEC,EQUITY,EQ,INF247L01AK4,65.39,65.4,65.05,65.4,65.39,72565.0,4742381.78
2026-09-02,MOGSEC,EQUITY,EQ,INF247L01AK4,65.4,65.4,65.0,65.39,65.34,52315.0,3406112.66
2026-09-01,MOGSEC,EQUITY,EQ,INF247L01AK4,65.39,65.4,65.0,65.34,65.07,1552304.0,101150402.06
2026-08-31,MOGSEC,EQUITY,EQ,INF247L01AK4,65.11,65.39,65.03,65.07,65.11,826.0,53796.35
2026-08-28,MOGSEC,EQUITY,EQ,INF247L01AK4,65.4,65.4,65.07,65.11,65.39,1587.0,103502.18
2026-08-27,MOGSEC,EQUITY,EQ,INF247L01AK4,65.08,65.74,65.08,65.39,65.06,5777.0,376549.08
2026-08-26,MOGSEC,EQUITY,EQ,INF247L01AK4,65.16,65.75,64.81,65.06,65.16,31010.0,2021823.33
2026-08-25,MOGSEC,EQUITY,EQ,INF247L01AK4,65.17,65.7,65.13,65.16,65.36,18151.0,1185983.9
2026-08-24,MOGSEC,EQUITY,EQ,INF247L01AK4,65.34,66.0,65.3,65.36,65.34,3302.0,216601.9
2026-08-21,MOGSEC,EQUITY,EQ,INF247L01AK4,65.21,65.69,65.04,65.34,65.2,57213.0,3735345.25
2026-08-20,MOGSEC,EQUITY,EQ,INF247L01AK4,65.7,65.7,65.19,65.2,65.19,3008.0,196499.88
2026-08-19,MOGSEC,EQUITY,EQ,INF247L01AK4,65.69,65.8,65.1,65.19,65.74,5062.0,330036.9
2026-08-18,MOGSEC,EQUITY,EQ,INF247L01AK4,65.82,65.9,65.28,65.74,65.5,35586.0,2324612.33
