trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.25,31.74,31.03,31.57,31.46,229971.0,7260531.96
2026-09-08,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.22,31.8,31.15,31.46,31.18,166053.0,5207608.5
2026-09-07,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.4,31.5,30.83,31.18,31.06,91422.0,2847629.01
2026-09-04,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.25,31.56,31.0,31.06,31.37,128103.0,3992672.86
2026-09-03,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.03,31.62,31.03,31.37,31.04,107694.0,3355422.12
2026-09-02,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.07,31.11,30.73,31.04,31.07,98792.0,3054406.7
2026-09-01,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.49,31.5,30.76,31.07,31.49,159386.0,4955076.39
2026-08-31,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.9,31.9,31.4,31.49,31.78,112504.0,3552591.18
2026-08-28,MOMENTUM,EQUITY,EQ,INF209KB14K7,32.0,32.0,31.7,31.78,31.8,11274.0,358324.41
2026-08-27,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.94,32.04,31.8,31.8,31.8,85710.0,2735194.35
2026-08-26,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.94,31.94,31.66,31.8,31.94,63118.0,2006701.69
2026-08-25,MOMENTUM,EQUITY,EQ,INF209KB14K7,32.07,32.34,31.29,31.94,31.29,58111.0,1830526.18
2026-08-24,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.46,31.59,31.16,31.29,31.21,87007.0,2738527.04
2026-08-21,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.0,31.44,31.0,31.21,31.29,61979.0,1944797.27
2026-08-20,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.18,31.43,31.17,31.29,31.17,117179.0,3673056.97
2026-08-19,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.47,31.47,31.06,31.17,31.47,163712.0,5092240.08
2026-08-18,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.57,31.59,31.42,31.47,31.57,18991.0,598012.51
2026-08-17,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.65,31.77,31.31,31.57,31.65,95646.0,3015106.52
2026-08-14,MOMENTUM,EQUITY,EQ,INF209KB14K7,32.35,32.35,31.38,31.65,31.57,19599.0,618030.57
2026-08-13,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.84,31.84,31.47,31.57,31.7,49871.0,1575745.79
2026-08-12,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.63,31.79,31.4,31.7,31.47,44449.0,1407941.26
2026-08-11,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.61,31.8,31.4,31.47,31.57,16695.0,526001.13
2026-08-10,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.42,31.82,31.16,31.57,31.42,85747.0,2707405.23
2026-08-07,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.97,31.48,30.97,31.42,30.64,154700.0,4844816.93
2026-08-06,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.27,31.4,30.33,30.64,31.27,422037.0,13068934.87
2026-08-05,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.36,31.41,31.19,31.27,31.21,24941.0,780427.68
2026-08-04,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.92,31.43,30.92,31.21,30.93,79054.0,2471615.89
2026-08-03,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.9,31.28,30.83,30.93,30.9,54980.0,1710603.07
2026-07-31,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.54,31.0,30.54,30.9,30.45,56810.0,1754990.3
2026-07-30,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.0,30.8,30.0,30.45,30.59,18939.0,575595.16
2026-07-29,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.51,30.64,30.37,30.59,30.39,69683.0,2125567.26
2026-07-28,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.67,30.67,30.31,30.39,30.67,44236.0,1345189.96
2026-07-27,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.38,30.79,30.38,30.67,30.38,41144.0,1260976.85
2026-07-24,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.64,30.99,30.25,30.38,30.64,34494.0,1048576.19
2026-07-23,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.98,30.99,30.58,30.64,30.93,49480.0,1522431.93
2026-07-22,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.1,31.3,30.8,30.93,31.26,36166.0,1120357.18
2026-07-21,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.84,31.45,30.83,31.26,30.84,48112.0,1494403.09
2026-07-20,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.4,30.95,30.4,30.84,30.47,37994.0,1168720.39
2026-07-17,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.73,30.86,30.4,30.47,30.86,103464.0,3155774.5
2026-07-16,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.88,31.18,30.75,30.86,31.03,15684.0,484983.07
2026-07-15,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.2,31.29,30.2,31.03,30.98,17143.0,533131.77
2026-07-14,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.94,31.48,30.04,30.98,30.94,169162.0,5236928.05
2026-07-13,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.76,30.99,30.73,30.94,30.96,20217.0,623871.39
2026-07-10,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.87,31.1,30.76,30.96,30.56,15895.0,491855.15
2026-07-09,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.21,31.21,29.84,30.56,30.45,227063.0,6951146.19
2026-07-08,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.69,30.84,30.3,30.45,30.69,552527.0,16929170.08
2026-07-07,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.81,31.15,30.56,30.69,31.03,45782.0,1405206.46
2026-07-06,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.16,31.19,30.86,31.03,30.88,27741.0,861060.49
2026-07-03,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.2,31.25,30.72,30.88,31.12,70030.0,2170298.12
2026-07-02,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.26,31.34,31.08,31.12,31.18,56016.0,1744906.8
2026-07-01,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.26,31.38,31.06,31.18,31.25,524477.0,16395765.99
2026-06-30,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.68,31.68,31.1,31.25,31.81,107972.0,3372757.51
2026-06-29,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.77,31.99,31.26,31.81,31.5,177365.0,5628292.52
2026-06-25,MOMENTUM,EQUITY,EQ,INF209KB14K7,32.29,32.29,31.29,31.5,31.51,230625.0,7312918.88
2026-06-24,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.6,31.71,31.17,31.51,31.47,31000.0,975040.59
2026-06-23,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.98,31.98,31.37,31.47,31.67,142742.0,4502349.43
2026-06-22,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.57,31.89,30.94,31.67,31.57,29735.0,940822.28
2026-06-19,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.81,31.75,30.81,31.57,31.6,109397.0,3444936.68
2026-06-18,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.5,31.73,31.5,31.6,31.41,429545.0,13541596.39
2026-06-17,MOMENTUM,EQUITY,EQ,INF209KB14K7,30.85,31.76,30.85,31.41,31.45,61896.0,1947207.9
2026-06-16,MOMENTUM,EQUITY,EQ,INF209KB14K7,31.9,31.9,31.28,31.45,31.52,28480.0,896614.72
2026-06-15,MOMENTUM,EQUITY,EQ,INF209KB14K7,29.97,31.62,29.97,31.52,30.74,192701.0,6053789.08
2026-06-12,MOMENTUM,EQUITY,EQ,INF209KB14K7,29.5,30.8,29.5,30.74,29.85,48001.0,1464914.19
