trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.15,31.15,30.84,30.9,31.15,21034.0,650740.57
2026-09-09,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.2,31.2,30.91,31.15,30.98,676856.0,21070279.98
2026-09-08,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.83,31.12,30.73,30.98,30.76,683196.0,21166890.04
2026-09-07,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.81,30.87,30.64,30.76,30.81,360329.0,11104099.76
2026-09-04,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.79,30.87,30.66,30.81,30.65,21437.0,660215.71
2026-09-03,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.98,30.98,30.65,30.65,30.63,2605.0,80077.58
2026-09-02,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.4,30.77,30.37,30.63,30.69,12686.0,387276.26
2026-09-01,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.68,31.68,30.53,30.69,31.06,15529.0,478152.69
2026-08-31,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.48,31.8,31.0,31.06,31.48,42151.0,1311885.46
2026-08-28,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.48,31.52,31.37,31.48,31.42,7839.0,246320.26
2026-08-27,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.55,31.62,31.34,31.42,31.51,23793.0,748675.51
2026-08-26,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.39,31.63,31.27,31.51,31.21,17046.0,534980.35
2026-08-25,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.39,31.39,30.94,31.21,30.97,17345.0,539015.3
2026-08-24,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.39,31.39,30.9,30.97,30.96,151288.0,4704730.0
2026-08-21,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.96,31.07,30.92,30.96,30.88,143482.0,4450378.98
2026-08-20,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.94,31.0,30.7,30.88,30.79,365736.0,11318724.43
2026-08-19,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.91,30.91,30.62,30.79,31.19,42455.0,1306588.13
2026-08-18,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.27,31.28,31.07,31.19,31.27,80449.0,2510073.38
2026-08-17,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.05,31.34,30.96,31.27,31.17,135950.0,4234372.45
2026-08-14,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.21,31.24,31.0,31.17,31.21,170325.0,5310194.39
2026-08-13,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.37,31.37,31.15,31.21,31.22,25872.0,809069.2
2026-08-12,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.11,31.39,31.11,31.22,31.11,92542.0,2894010.5
2026-08-11,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.39,31.39,30.83,31.11,31.32,35368.0,1099655.14
2026-08-10,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,31.07,31.39,31.01,31.32,30.76,65520.0,2049918.96
2026-08-07,MOMENTUM30,EQUITY,EQ,INF174KA1XS6,30.9,31.08,30.44,30.76,30.88,20879.0,647185.08
