trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-01-30,MORARJEE,EQUITY,EQ,INE161G01027,28.3,32.0,28.3,30.5,,1556288.0,47158498.75
2024-01-29,MORARJEE,EQUITY,EQ,INE161G01027,28.75,28.75,26.75,27.9,,306497.0,8496236.6
2024-01-25,MORARJEE,EQUITY,EQ,INE161G01027,26.3,28.85,26.2,28.0,,418455.0,11599531.4
2024-01-24,MORARJEE,EQUITY,EQ,INE161G01027,26.3,26.3,25.05,26.15,,232314.0,5963368.6
2024-01-23,MORARJEE,EQUITY,EQ,INE161G01027,27.95,27.95,25.55,25.8,,396723.0,10514696.1
2024-01-19,MORARJEE,EQUITY,EQ,INE161G01027,26.0,30.35,25.55,30.1,,1800874.0,51012164.6
2024-01-18,MORARJEE,EQUITY,EQ,INE161G01027,26.1,26.55,24.5,25.3,,221111.0,5651727.75
2024-01-17,MORARJEE,EQUITY,EQ,INE161G01027,26.0,27.0,25.1,25.55,,175867.0,4611167.25
2024-01-16,MORARJEE,EQUITY,EQ,INE161G01027,28.2,28.45,26.0,26.45,,211374.0,5741161.0
2024-01-15,MORARJEE,EQUITY,EQ,INE161G01027,29.2,29.2,28.05,28.3,,157730.0,4479913.85
2024-01-12,MORARJEE,EQUITY,EQ,INE161G01027,28.75,30.5,28.55,29.05,,416008.0,12302440.9
2024-01-11,MORARJEE,EQUITY,EQ,INE161G01027,29.35,29.6,27.85,28.95,,341181.0,9848548.3
2024-01-10,MORARJEE,EQUITY,EQ,INE161G01027,29.75,29.85,28.1,28.85,,502174.0,14512892.8
2024-01-09,MORARJEE,EQUITY,EQ,INE161G01027,30.2,32.8,28.7,29.4,,3828498.0,118153453.95
2024-01-08,MORARJEE,EQUITY,EQ,INE161G01027,24.0,28.2,23.5,28.2,,2425072.0,65559868.95
2024-01-05,MORARJEE,EQUITY,EQ,INE161G01027,24.45,24.45,23.35,23.5,,74083.0,1760571.55
2024-01-04,MORARJEE,EQUITY,EQ,INE161G01027,23.15,24.55,23.15,23.8,,258711.0,6206817.95
2024-01-03,MORARJEE,EQUITY,EQ,INE161G01027,23.1,23.5,23.0,23.15,,64027.0,1492572.5
2024-01-02,MORARJEE,EQUITY,EQ,INE161G01027,23.5,23.9,22.9,23.05,,89092.0,2056809.6
2024-01-01,MORARJEE,EQUITY,EQ,INE161G01027,23.55,23.85,23.05,23.65,,31225.0,735181.4
2023-12-29,MORARJEE,EQUITY,EQ,INE161G01027,23.0,23.45,22.25,22.9,,34942.0,802356.7
2023-12-28,MORARJEE,EQUITY,EQ,INE161G01027,23.95,23.95,22.8,23.0,,88693.0,2069382.95
2023-12-27,MORARJEE,EQUITY,EQ,INE161G01027,22.7,25.5,22.55,23.45,,194787.0,4717724.7
2023-12-26,MORARJEE,EQUITY,EQ,INE161G01027,22.7,23.0,22.5,22.7,,18965.0,431293.9
2023-12-22,MORARJEE,EQUITY,EQ,INE161G01027,22.75,24.2,21.95,22.7,,151929.0,3498297.0
2023-12-21,MORARJEE,EQUITY,EQ,INE161G01027,21.05,22.4,20.9,22.0,,37627.0,819923.35
2023-12-20,MORARJEE,EQUITY,EQ,INE161G01027,24.0,24.0,20.3,21.4,,124696.0,2819813.55
2023-12-19,MORARJEE,EQUITY,EQ,INE161G01027,23.75,23.75,23.25,23.4,,22135.0,519935.05
2023-12-18,MORARJEE,EQUITY,EQ,INE161G01027,23.3,23.7,23.05,23.5,,61094.0,1431796.65
2023-12-15,MORARJEE,EQUITY,EQ,INE161G01027,23.7,23.95,23.1,23.25,,67462.0,1579148.55
2023-12-14,MORARJEE,EQUITY,EQ,INE161G01027,23.8,24.0,23.15,23.65,,47138.0,1115037.5
2023-12-13,MORARJEE,EQUITY,EQ,INE161G01027,24.55,24.55,23.4,23.6,,38387.0,915947.55
2023-12-12,MORARJEE,EQUITY,EQ,INE161G01027,24.3,24.45,23.9,24.0,,33315.0,802764.95
2023-12-11,MORARJEE,EQUITY,EQ,INE161G01027,24.8,24.8,23.8,23.9,,33619.0,807093.0
2023-12-08,MORARJEE,EQUITY,EQ,INE161G01027,24.4,24.4,23.75,24.0,,84309.0,2024366.1
2023-12-07,MORARJEE,EQUITY,EQ,INE161G01027,24.3,24.5,23.8,23.95,,52916.0,1271815.45
2023-12-06,MORARJEE,EQUITY,EQ,INE161G01027,24.9,25.15,23.9,24.1,,46289.0,1132661.45
2023-12-05,MORARJEE,EQUITY,EQ,INE161G01027,25.1,25.9,24.6,24.85,,71987.0,1811545.05
2023-12-04,MORARJEE,EQUITY,EQ,INE161G01027,26.25,26.8,25.15,25.45,,169621.0,4408178.0
2023-12-01,MORARJEE,EQUITY,EQ,INE161G01027,24.45,26.7,24.3,26.0,,249813.0,6399422.5
2023-11-30,MORARJEE,EQUITY,EQ,INE161G01027,26.1,26.2,23.75,24.1,,118428.0,2934789.25
2023-11-29,MORARJEE,EQUITY,EQ,INE161G01027,25.9,27.0,25.2,25.9,,240445.0,6298430.4
2023-11-28,MORARJEE,EQUITY,EQ,INE161G01027,24.9,26.7,24.55,25.15,,500488.0,12928548.25
2023-11-24,MORARJEE,EQUITY,EQ,INE161G01027,23.3,25.5,22.9,24.9,,219848.0,5390803.0
2023-11-23,MORARJEE,EQUITY,EQ,INE161G01027,23.1,23.45,22.8,23.1,,35790.0,826636.45
2023-11-22,MORARJEE,EQUITY,EQ,INE161G01027,23.9,24.3,22.9,23.05,,59648.0,1395026.25
2023-11-21,MORARJEE,EQUITY,EQ,INE161G01027,23.5,23.95,23.5,23.55,,9089.0,215252.15
2023-11-20,MORARJEE,EQUITY,EQ,INE161G01027,23.7,24.35,23.6,23.8,,27102.0,647054.65
2023-11-17,MORARJEE,EQUITY,EQ,INE161G01027,24.2,24.3,23.5,23.7,,53047.0,1261189.8
2023-11-16,MORARJEE,EQUITY,EQ,INE161G01027,24.6,24.75,23.5,24.15,,120531.0,2911014.15
2023-11-15,MORARJEE,EQUITY,EQ,INE161G01027,23.45,25.0,23.25,24.2,,79495.0,1902151.15
2023-11-13,MORARJEE,EQUITY,EQ,INE161G01027,23.25,24.05,23.0,23.2,,45070.0,1050418.1
2023-11-10,MORARJEE,EQUITY,EQ,INE161G01027,22.8,23.75,22.8,23.2,,20115.0,468437.0
2023-11-09,MORARJEE,EQUITY,EQ,INE161G01027,24.25,24.25,23.05,23.25,,48550.0,1146068.3
2023-11-08,MORARJEE,EQUITY,EQ,INE161G01027,25.35,25.35,23.6,23.85,,66793.0,1621584.75
2023-11-07,MORARJEE,EQUITY,EQ,INE161G01027,24.8,25.55,23.95,24.85,,136647.0,3410044.55
2023-11-06,MORARJEE,EQUITY,EQ,INE161G01027,25.15,25.25,24.25,24.35,,95037.0,2353865.65
2023-11-03,MORARJEE,EQUITY,EQ,INE161G01027,24.5,25.35,23.85,24.65,,171990.0,4259593.25
2023-11-02,MORARJEE,EQUITY,EQ,INE161G01027,24.5,25.2,24.0,24.1,,39326.0,961014.4
2023-11-01,MORARJEE,EQUITY,EQ,INE161G01027,23.45,25.8,23.45,24.25,,479314.0,11928158.3
2023-10-31,MORARJEE,EQUITY,EQ,INE161G01027,23.8,24.45,23.2,23.85,,224139.0,5350974.45
2023-10-30,MORARJEE,EQUITY,EQ,INE161G01027,21.2,24.35,20.75,23.75,,409424.0,9514607.65
2023-10-27,MORARJEE,EQUITY,EQ,INE161G01027,21.35,21.6,20.5,20.7,,45124.0,947663.35
2023-10-26,MORARJEE,EQUITY,EQ,INE161G01027,20.65,21.0,20.0,20.7,,34906.0,705135.9
2023-10-25,MORARJEE,EQUITY,EQ,INE161G01027,20.4,21.9,20.25,20.65,,104857.0,2180234.85
2023-10-23,MORARJEE,EQUITY,EQ,INE161G01027,23.4,23.4,19.85,20.2,,117438.0,2472951.75
2023-10-20,MORARJEE,EQUITY,EQ,INE161G01027,22.65,23.75,22.65,23.0,,47957.0,1114050.45
2023-10-19,MORARJEE,EQUITY,EQ,INE161G01027,22.85,23.4,22.55,22.95,,45724.0,1049074.9
2023-10-18,MORARJEE,EQUITY,EQ,INE161G01027,23.6,23.85,22.6,22.75,,85152.0,1968922.05
2023-10-17,MORARJEE,EQUITY,EQ,INE161G01027,23.55,24.75,23.0,23.4,,303491.0,7228606.95
2023-10-16,MORARJEE,EQUITY,EQ,INE161G01027,24.7,24.7,23.15,23.55,,56664.0,1345273.2
2023-10-13,MORARJEE,EQUITY,EQ,INE161G01027,25.2,25.2,23.75,23.95,,115939.0,2817425.35
2023-10-12,MORARJEE,EQUITY,EQ,INE161G01027,25.0,25.1,23.6,24.85,,180218.0,4431769.45
2023-10-11,MORARJEE,EQUITY,EQ,INE161G01027,23.35,25.8,22.6,24.3,,619277.0,15157627.6
2023-10-10,MORARJEE,EQUITY,EQ,INE161G01027,22.15,23.0,22.15,22.9,,32781.0,743900.1
2023-10-09,MORARJEE,EQUITY,EQ,INE161G01027,23.9,24.25,22.05,22.45,,166274.0,3854780.45
2023-10-06,MORARJEE,EQUITY,EQ,INE161G01027,22.65,24.0,21.85,23.55,,535498.0,12347147.7
2023-10-05,MORARJEE,EQUITY,EQ,INE161G01027,21.0,22.6,20.7,22.2,,224700.0,4937900.15
2023-10-04,MORARJEE,EQUITY,EQ,INE161G01027,21.2,21.2,20.6,20.7,,30639.0,639143.35
2023-10-03,MORARJEE,EQUITY,EQ,INE161G01027,21.35,21.6,21.05,21.2,,21251.0,453952.85
2023-09-29,MORARJEE,EQUITY,EQ,INE161G01027,20.85,21.35,20.8,21.2,,20716.0,438586.75
2023-09-28,MORARJEE,EQUITY,EQ,INE161G01027,21.25,21.4,20.8,20.85,,26883.0,563724.95
2023-09-27,MORARJEE,EQUITY,EQ,INE161G01027,21.45,21.45,21.1,21.2,,13731.0,291938.85
2023-09-26,MORARJEE,EQUITY,EQ,INE161G01027,21.15,21.6,21.0,21.15,,34312.0,731517.95
2023-09-25,MORARJEE,EQUITY,EQ,INE161G01027,21.2,21.75,21.2,21.3,,17114.0,365637.2
2023-09-22,MORARJEE,EQUITY,EQ,INE161G01027,22.0,22.0,21.0,21.1,,28432.0,607091.65
2023-09-21,MORARJEE,EQUITY,EQ,INE161G01027,22.4,22.4,21.25,21.55,,32782.0,710775.35
2023-09-20,MORARJEE,EQUITY,EQ,INE161G01027,22.5,22.5,21.6,21.75,,26736.0,584746.65
2023-09-18,MORARJEE,EQUITY,EQ,INE161G01027,22.4,22.7,21.55,22.2,,113435.0,2518547.6
2023-09-15,MORARJEE,EQUITY,EQ,INE161G01027,22.55,22.55,21.4,21.6,,35857.0,782402.25
2023-09-14,MORARJEE,EQUITY,EQ,INE161G01027,21.45,23.2,21.2,22.1,,179097.0,3931079.85
2023-09-13,MORARJEE,EQUITY,EQ,INE161G01027,22.2,22.2,20.75,21.3,,31151.0,659271.4
2023-09-12,MORARJEE,EQUITY,EQ,INE161G01027,22.1,22.45,21.0,21.5,,73482.0,1584111.95
