trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,MOSILVER,EQUITY,EQ,INF247L01FZ1,225.98,225.98,221.29,224.35,230.84,47162.0,10546404.75
2026-09-10,MOSILVER,EQUITY,EQ,INF247L01FZ1,232.0,233.75,230.61,230.84,229.79,184460.0,42625399.12
2026-09-09,MOSILVER,EQUITY,EQ,INF247L01FZ1,231.0,231.0,228.9,229.79,229.24,25038.0,5761265.4
2026-09-08,MOSILVER,EQUITY,EQ,INF247L01FZ1,229.0,231.19,227.43,229.24,227.8,21905.0,5025224.63
2026-09-07,MOSILVER,EQUITY,EQ,INF247L01FZ1,228.98,228.98,226.25,227.8,230.02,27297.0,6199747.75
2026-09-04,MOSILVER,EQUITY,EQ,INF247L01FZ1,231.14,231.15,228.28,230.02,227.19,20361.0,4683510.15
2026-09-03,MOSILVER,EQUITY,EQ,INF247L01FZ1,225.01,228.84,225.01,227.19,222.79,91619.0,20907724.24
2026-09-02,MOSILVER,EQUITY,EQ,INF247L01FZ1,224.0,224.54,222.21,222.79,225.74,27875.0,6215161.83
2026-09-01,MOSILVER,EQUITY,EQ,INF247L01FZ1,234.99,234.99,224.57,225.74,230.78,190724.0,43565955.44
2026-08-31,MOSILVER,EQUITY,EQ,INF247L01FZ1,231.2,231.48,228.31,230.78,237.69,74753.0,17173342.23
2026-08-28,MOSILVER,EQUITY,EQ,INF247L01FZ1,234.19,238.95,233.67,237.69,234.19,29997.0,7079978.56
2026-08-27,MOSILVER,EQUITY,EQ,INF247L01FZ1,237.59,237.59,231.59,234.19,237.58,54592.0,12777653.05
2026-08-26,MOSILVER,EQUITY,EQ,INF247L01FZ1,239.98,239.99,237.27,237.58,236.4,51286.0,12238165.71
2026-08-25,MOSILVER,EQUITY,EQ,INF247L01FZ1,238.49,238.72,235.87,236.4,239.49,50633.0,11992061.3
2026-08-24,MOSILVER,EQUITY,EQ,INF247L01FZ1,240.48,241.28,238.57,239.49,240.01,75424.0,18073876.01
2026-08-21,MOSILVER,EQUITY,EQ,INF247L01FZ1,235.0,241.84,235.0,240.01,232.43,78649.0,18838192.39
2026-08-20,MOSILVER,EQUITY,EQ,INF247L01FZ1,232.2,234.07,232.0,232.43,223.89,72359.0,16862030.18
2026-08-19,MOSILVER,EQUITY,EQ,INF247L01FZ1,226.95,226.95,221.2,223.89,229.19,29885.0,6688001.93
2026-08-18,MOSILVER,EQUITY,EQ,INF247L01FZ1,230.74,230.74,228.23,229.19,230.87,39134.0,8973283.48
