trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,MPHASIS,EQUITY,EQ,INE356A01018,2320.0,2329.0,2290.2,2291.7,2307.5,454003.0,1048358257.1
2026-09-09,MPHASIS,EQUITY,EQ,INE356A01018,2325.7,2326.6,2286.8,2307.5,2355.0,288892.0,666303086.2
2026-09-08,MPHASIS,EQUITY,EQ,INE356A01018,2374.0,2374.0,2335.1,2355.0,2369.1,346120.0,814509270.4
2026-09-07,MPHASIS,EQUITY,EQ,INE356A01018,2409.9,2409.9,2340.3,2369.1,2422.0,382610.0,902852667.1
2026-09-04,MPHASIS,EQUITY,EQ,INE356A01018,2482.0,2502.7,2417.3,2422.0,2471.0,160732.0,393634995.0
2026-09-03,MPHASIS,EQUITY,EQ,INE356A01018,2481.2,2489.3,2432.0,2471.0,2480.0,408569.0,1001383286.6
2026-09-02,MPHASIS,EQUITY,EQ,INE356A01018,2505.5,2515.0,2428.0,2480.0,2505.5,900566.0,2237148664.9
2026-09-01,MPHASIS,EQUITY,EQ,INE356A01018,2422.7,2523.0,2407.1,2505.5,2427.4,932222.0,2329119427.1
2026-08-31,MPHASIS,EQUITY,EQ,INE356A01018,2443.7,2443.7,2387.1,2427.4,2455.0,354361.0,854798156.3
2026-08-28,MPHASIS,EQUITY,EQ,INE356A01018,2426.3,2482.0,2425.1,2455.0,2413.6,956656.0,2349649771.0
2026-08-27,MPHASIS,EQUITY,EQ,INE356A01018,2391.2,2419.2,2385.3,2413.6,2400.0,136275.0,327258539.9
2026-08-26,MPHASIS,EQUITY,EQ,INE356A01018,2415.6,2452.0,2385.8,2400.0,2431.9,378910.0,910601449.4
2026-08-25,MPHASIS,EQUITY,EQ,INE356A01018,2436.7,2443.6,2400.5,2431.9,2427.0,78365.0,189351411.8
2026-08-24,MPHASIS,EQUITY,EQ,INE356A01018,2430.0,2461.8,2418.0,2427.0,2430.0,188790.0,459918877.5
2026-08-21,MPHASIS,EQUITY,EQ,INE356A01018,2432.0,2436.7,2386.4,2430.0,2430.0,241512.0,583822054.3
2026-08-20,MPHASIS,EQUITY,EQ,INE356A01018,2452.1,2468.7,2415.3,2430.0,2424.5,422908.0,1034228589.8
2026-08-19,MPHASIS,EQUITY,EQ,INE356A01018,2449.5,2472.5,2385.0,2424.5,2432.0,438635.0,1060113993.6
2026-08-18,MPHASIS,EQUITY,EQ,INE356A01018,2504.4,2504.4,2432.0,2432.0,2510.0,504720.0,1240805723.4
2026-08-17,MPHASIS,EQUITY,EQ,INE356A01018,2535.2,2546.0,2482.0,2510.0,2545.0,383371.0,960320552.1
2026-08-14,MPHASIS,EQUITY,EQ,INE356A01018,2537.0,2556.9,2501.0,2545.0,2541.0,370677.0,939659455.5
2026-08-13,MPHASIS,EQUITY,EQ,INE356A01018,2526.1,2541.0,2496.1,2541.0,2537.6,306155.0,771022116.9
2026-08-12,MPHASIS,EQUITY,EQ,INE356A01018,2536.0,2540.1,2472.0,2537.6,2530.0,366804.0,914943585.6
2026-08-11,MPHASIS,EQUITY,EQ,INE356A01018,2519.0,2540.8,2498.5,2530.0,2508.0,536301.0,1353995270.8
2026-08-10,MPHASIS,EQUITY,EQ,INE356A01018,2487.4,2518.7,2480.0,2508.0,2475.0,598933.0,1500450806.0
2026-08-07,MPHASIS,EQUITY,EQ,INE356A01018,2415.0,2498.0,2405.1,2475.0,2421.9,608641.0,1506233327.8
2026-08-06,MPHASIS,EQUITY,EQ,INE356A01018,2456.8,2458.0,2395.8,2421.9,2460.0,179783.0,436438334.4
2026-08-05,MPHASIS,EQUITY,EQ,INE356A01018,2403.8,2484.0,2390.7,2460.0,2380.0,858129.0,2105525042.7
2026-08-04,MPHASIS,EQUITY,EQ,INE356A01018,2429.4,2441.8,2375.4,2380.0,2429.0,244238.0,584255248.6
2026-08-03,MPHASIS,EQUITY,EQ,INE356A01018,2361.0,2429.0,2339.9,2429.0,2342.3,423329.0,1011931433.6
2026-07-31,MPHASIS,EQUITY,EQ,INE356A01018,2324.6,2351.8,2222.3,2342.3,2346.7,568913.0,1318471179.3
2026-07-30,MPHASIS,EQUITY,EQ,INE356A01018,2346.1,2420.0,2337.3,2346.7,2361.3,1000809.0,2385497480.4
2026-07-29,MPHASIS,EQUITY,EQ,INE356A01018,2455.0,2472.0,2345.0,2361.3,2413.5,847189.0,2040018029.9
2026-07-28,MPHASIS,EQUITY,EQ,INE356A01018,2374.7,2449.9,2368.5,2413.5,2332.7,1377173.0,3337675903.5
2026-07-27,MPHASIS,EQUITY,EQ,INE356A01018,2332.1,2368.5,2316.4,2332.7,2288.1,726071.0,1697439056.8
2026-07-24,MPHASIS,EQUITY,EQ,INE356A01018,2247.0,2340.0,2192.1,2288.1,2232.4,2105429.0,4777068623.7
2026-07-23,MPHASIS,EQUITY,EQ,INE356A01018,2282.8,2285.9,2211.1,2232.4,2273.8,559481.0,1250913805.7
2026-07-22,MPHASIS,EQUITY,EQ,INE356A01018,2355.1,2363.5,2265.1,2273.8,2380.1,434670.0,998550236.2
2026-07-21,MPHASIS,EQUITY,EQ,INE356A01018,2413.3,2450.0,2375.2,2380.1,2413.4,168717.0,405990971.9
2026-07-20,MPHASIS,EQUITY,EQ,INE356A01018,2402.1,2458.6,2398.0,2413.4,2394.2,662456.0,1609647695.0
2026-07-17,MPHASIS,EQUITY,EQ,INE356A01018,2385.0,2407.9,2352.8,2394.2,2352.0,704251.0,1681214159.8
