trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,MRF,EQUITY,EQ,INE883A01011,128400.0,129245.0,128000.0,128270.0,128315.0,2102.0,269992950.0
2026-09-09,MRF,EQUITY,EQ,INE883A01011,128400.0,129090.0,127545.0,128315.0,128245.0,2834.0,363685605.0
2026-09-08,MRF,EQUITY,EQ,INE883A01011,128750.0,129290.0,128000.0,128245.0,128890.0,2712.0,348489020.0
2026-09-07,MRF,EQUITY,EQ,INE883A01011,130200.0,130300.0,128705.0,128890.0,129945.0,3771.0,486302245.0
2026-09-04,MRF,EQUITY,EQ,INE883A01011,130950.0,131080.0,129705.0,129945.0,130510.0,4656.0,606101075.0
2026-09-03,MRF,EQUITY,EQ,INE883A01011,132800.0,132800.0,130100.0,130510.0,131880.0,6240.0,815721830.0
2026-09-02,MRF,EQUITY,EQ,INE883A01011,132000.0,132865.0,130700.0,131880.0,132335.0,4254.0,558705410.0
2026-09-01,MRF,EQUITY,EQ,INE883A01011,134795.0,134795.0,132115.0,132335.0,133745.0,2838.0,376743705.0
2026-08-31,MRF,EQUITY,EQ,INE883A01011,131900.0,135800.0,131040.0,133745.0,132080.0,12796.0,1707982505.0
2026-08-28,MRF,EQUITY,EQ,INE883A01011,133600.0,134000.0,131910.0,132080.0,133600.0,2262.0,299934400.0
2026-08-27,MRF,EQUITY,EQ,INE883A01011,133600.0,133790.0,132500.0,133600.0,133520.0,2084.0,278012500.0
2026-08-26,MRF,EQUITY,EQ,INE883A01011,133500.0,133850.0,132910.0,133520.0,132295.0,1801.0,240453345.0
2026-08-25,MRF,EQUITY,EQ,INE883A01011,134240.0,134385.0,131400.0,132295.0,134365.0,6400.0,850796045.0
2026-08-24,MRF,EQUITY,EQ,INE883A01011,132800.0,135755.0,132665.0,134365.0,132665.0,5313.0,714355060.0
2026-08-21,MRF,EQUITY,EQ,INE883A01011,134100.0,134195.0,132420.0,132665.0,134000.0,2811.0,373637950.0
2026-08-20,MRF,EQUITY,EQ,INE883A01011,133660.0,134185.0,133285.0,134000.0,133630.0,2616.0,350304080.0
2026-08-19,MRF,EQUITY,EQ,INE883A01011,133505.0,133875.0,132720.0,133630.0,133505.0,3065.0,408900045.0
2026-08-18,MRF,EQUITY,EQ,INE883A01011,133015.0,133900.0,132650.0,133505.0,133015.0,2637.0,351941480.0
2026-08-17,MRF,EQUITY,EQ,INE883A01011,133235.0,133320.0,132450.0,133015.0,133490.0,2047.0,272106115.0
2026-08-14,MRF,EQUITY,EQ,INE883A01011,130985.0,133855.0,130560.0,133490.0,130985.0,4857.0,643315780.0
2026-08-13,MRF,EQUITY,EQ,INE883A01011,131100.0,131345.0,130500.0,130985.0,130785.0,2012.0,263563795.0
2026-08-12,MRF,EQUITY,EQ,INE883A01011,131540.0,131985.0,130430.0,130785.0,131125.0,4123.0,539682645.0
2026-08-11,MRF,EQUITY,EQ,INE883A01011,134000.0,134000.0,129570.0,131125.0,133850.0,17256.0,2266999320.0
2026-08-10,MRF,EQUITY,EQ,INE883A01011,134000.0,134895.0,133600.0,133850.0,134190.0,2359.0,316437090.0
