trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,MWL,EQUITY,EQ,INE0JYY01029,37.87,38.5,37.2,37.76,37.65,254374.0,9616891.94
2026-09-08,MWL,EQUITY,EQ,INE0JYY01029,38.93,39.35,37.51,37.65,38.5,242086.0,9220586.68
2026-09-07,MWL,EQUITY,EQ,INE0JYY01029,39.3,40.79,37.9,38.5,38.56,560275.0,21926476.79
2026-09-04,MWL,EQUITY,EQ,INE0JYY01029,39.7,39.7,37.6,38.56,39.08,243445.0,9428205.31
2026-09-03,MWL,EQUITY,EQ,INE0JYY01029,39.6,39.9,38.81,39.08,39.2,531033.0,20912270.68
2026-09-02,MWL,EQUITY,EQ,INE0JYY01029,37.8,39.84,37.3,39.2,37.71,584088.0,22799614.29
2026-09-01,MWL,EQUITY,EQ,INE0JYY01029,37.93,38.15,35.91,37.71,37.92,569601.0,21275440.47
2026-08-31,MWL,EQUITY,EQ,INE0JYY01029,39.66,39.66,37.32,37.92,39.53,188740.0,7261210.63
2026-08-28,MWL,EQUITY,EQ,INE0JYY01029,40.01,40.01,39.21,39.53,40.01,129680.0,5121227.96
2026-08-27,MWL,EQUITY,EQ,INE0JYY01029,39.88,40.5,39.11,40.01,39.88,187023.0,7452032.71
2026-08-26,MWL,EQUITY,EQ,INE0JYY01029,40.03,40.5,39.0,39.88,40.18,304023.0,12095651.61
2026-08-25,MWL,EQUITY,EQ,INE0JYY01029,41.08,41.08,40.0,40.18,40.79,126649.0,5110810.28
2026-08-24,MWL,EQUITY,EQ,INE0JYY01029,41.05,41.51,39.05,40.79,41.44,350422.0,14333501.45
2026-08-21,MWL,EQUITY,EQ,INE0JYY01029,41.48,41.74,41.0,41.44,41.17,152379.0,6296180.15
2026-08-20,MWL,EQUITY,EQ,INE0JYY01029,42.0,42.0,41.01,41.17,41.25,73479.0,3024161.93
2026-08-19,MWL,EQUITY,EQ,INE0JYY01029,40.75,42.8,40.1,41.25,40.72,420115.0,17439377.86
2026-08-18,MWL,EQUITY,EQ,INE0JYY01029,41.08,41.49,40.25,40.72,40.91,157349.0,6402336.55
2026-08-17,MWL,EQUITY,EQ,INE0JYY01029,41.28,41.28,40.43,40.91,41.28,488230.0,20003901.37
2026-08-14,MWL,EQUITY,EQ,INE0JYY01029,41.69,41.9,40.33,41.28,41.28,221649.0,9141254.3
2026-08-13,MWL,EQUITY,EQ,INE0JYY01029,41.91,42.0,41.02,41.28,41.59,687639.0,28556016.24
2026-08-12,MWL,EQUITY,EQ,INE0JYY01029,42.24,42.59,41.17,41.59,41.93,259389.0,10807735.06
2026-08-11,MWL,EQUITY,EQ,INE0JYY01029,41.7,42.4,40.43,41.93,40.92,673824.0,28028103.79
2026-08-10,MWL,EQUITY,EQ,INE0JYY01029,42.95,43.39,40.52,40.92,42.3,437191.0,18150896.27
2026-08-07,MWL,EQUITY,EQ,INE0JYY01029,43.5,43.94,42.25,42.3,43.04,4283404.0,183578006.5
2026-08-06,MWL,EQUITY,EQ,INE0JYY01029,42.62,43.5,42.3,43.04,42.85,3547315.0,151597165.02
2026-08-05,MWL,EQUITY,EQ,INE0JYY01029,41.9,43.7,40.96,42.85,42.25,2708110.0,115874627.47
2026-08-04,MWL,EQUITY,EQ,INE0JYY01029,38.45,43.0,37.9,42.25,37.9,11760620.0,492544151.63
2026-08-03,MWL,EQUITY,EQ,INE0JYY01029,37.4,40.19,36.36,37.9,36.0,2911152.0,112295389.96
2026-07-31,MWL,EQUITY,EQ,INE0JYY01029,35.65,36.3,35.35,36.0,35.8,237599.0,8539104.45
2026-07-30,MWL,EQUITY,EQ,INE0JYY01029,35.7,36.25,34.5,35.8,35.7,360157.0,12789564.6
2026-07-29,MWL,EQUITY,EQ,INE0JYY01029,35.95,35.95,35.5,35.7,35.95,304977.0,10894989.9
2026-07-28,MWL,EQUITY,EQ,INE0JYY01029,35.65,36.2,35.4,35.95,35.9,214600.0,7673003.65
2026-07-27,MWL,EQUITY,EQ,INE0JYY01029,36.4,36.55,35.6,35.9,36.0,122360.0,4406606.95
2026-07-24,MWL,EQUITY,EQ,INE0JYY01029,35.55,36.25,34.75,36.0,35.8,250421.0,8982974.3
2026-07-23,MWL,EQUITY,EQ,INE0JYY01029,35.35,36.75,35.35,35.8,35.9,383866.0,13774813.25
2026-07-22,MWL,EQUITY,EQ,INE0JYY01029,36.8,36.85,35.6,35.9,36.55,274630.0,9871141.7
2026-07-21,MWL,EQUITY,EQ,INE0JYY01029,37.6,37.6,36.3,36.55,36.8,212136.0,7776771.05
2026-07-20,MWL,EQUITY,EQ,INE0JYY01029,37.7,37.7,36.5,36.8,37.15,123623.0,4566561.1
2026-07-17,MWL,EQUITY,EQ,INE0JYY01029,36.55,37.5,36.15,37.15,36.65,377771.0,13890252.3
2026-07-16,MWL,EQUITY,EQ,INE0JYY01029,36.85,37.55,36.5,36.65,36.85,242105.0,8883363.3
2026-07-15,MWL,EQUITY,EQ,INE0JYY01029,36.3,37.35,36.3,36.85,36.7,365981.0,13517623.25
2026-07-14,MWL,EQUITY,EQ,INE0JYY01029,36.5,38.0,35.6,36.7,37.05,2179458.0,80609267.7
