trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NATCOPHARM,EQUITY,EQ,INE987B01026,825.55,832.15,816.0,818.65,826.3,236487.0,194090706.95
2026-09-09,NATCOPHARM,EQUITY,EQ,INE987B01026,827.9,838.9,815.2,826.3,825.75,537495.0,443835971.9
2026-09-08,NATCOPHARM,EQUITY,EQ,INE987B01026,838.3,846.85,823.4,825.75,838.3,302502.0,251451242.95
2026-09-07,NATCOPHARM,EQUITY,EQ,INE987B01026,829.0,841.5,828.0,838.3,828.65,301243.0,251595642.7
2026-09-04,NATCOPHARM,EQUITY,EQ,INE987B01026,839.0,841.8,826.5,828.65,838.3,445370.0,370453631.15
2026-09-03,NATCOPHARM,EQUITY,EQ,INE987B01026,843.3,849.95,835.8,838.3,843.25,217962.0,182833752.8
2026-09-02,NATCOPHARM,EQUITY,EQ,INE987B01026,848.0,857.35,833.5,843.25,849.2,472795.0,397680774.7
2026-09-01,NATCOPHARM,EQUITY,EQ,INE987B01026,841.5,853.75,837.4,849.2,841.5,241430.0,203932191.4
2026-08-31,NATCOPHARM,EQUITY,EQ,INE987B01026,853.3,863.4,835.5,841.5,853.8,412911.0,349781740.15
2026-08-28,NATCOPHARM,EQUITY,EQ,INE987B01026,857.8,861.0,844.85,853.8,857.6,402204.0,342432315.1
2026-08-27,NATCOPHARM,EQUITY,EQ,INE987B01026,868.0,869.9,853.0,857.6,863.4,279220.0,239794954.75
2026-08-26,NATCOPHARM,EQUITY,EQ,INE987B01026,877.0,879.9,858.0,863.4,866.25,371204.0,321885971.75
2026-08-25,NATCOPHARM,EQUITY,EQ,INE987B01026,884.0,885.05,865.0,866.25,884.05,443465.0,385602184.4
2026-08-24,NATCOPHARM,EQUITY,EQ,INE987B01026,884.0,892.35,877.5,884.05,882.4,317429.0,280938393.6
2026-08-21,NATCOPHARM,EQUITY,EQ,INE987B01026,879.3,900.0,879.0,882.4,877.5,363713.0,322922359.05
2026-08-20,NATCOPHARM,EQUITY,EQ,INE987B01026,890.5,895.35,874.55,877.5,886.85,275997.0,243698076.3
2026-08-19,NATCOPHARM,EQUITY,EQ,INE987B01026,898.95,916.0,883.0,886.85,898.35,318070.0,285186227.0
2026-08-18,NATCOPHARM,EQUITY,EQ,INE987B01026,890.6,901.0,890.0,898.35,889.8,281134.0,251827475.3
2026-08-17,NATCOPHARM,EQUITY,EQ,INE987B01026,896.1,897.1,870.2,889.8,903.15,844481.0,748821460.85
2026-08-14,NATCOPHARM,EQUITY,EQ,INE987B01026,951.7,964.85,886.35,903.15,951.7,2494304.0,2268759669.05
2026-08-13,NATCOPHARM,EQUITY,EQ,INE987B01026,920.25,962.0,917.2,951.7,915.3,1200054.0,1135777796.2
2026-08-12,NATCOPHARM,EQUITY,EQ,INE987B01026,907.95,922.15,906.0,915.3,907.0,270111.0,247074390.45
