trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,NAZARA,EQUITY,EQ,INE418L01047,367.75,378.0,363.0,374.4,368.4,1723096.0,643225800.85
2026-09-08,NAZARA,EQUITY,EQ,INE418L01047,368.0,370.7,366.0,368.4,370.3,510005.0,187930199.35
2026-09-07,NAZARA,EQUITY,EQ,INE418L01047,368.25,374.4,362.5,370.3,368.65,1205780.0,444634816.35
2026-09-04,NAZARA,EQUITY,EQ,INE418L01047,366.8,370.95,363.25,368.65,365.8,1088812.0,400026821.5
2026-09-03,NAZARA,EQUITY,EQ,INE418L01047,366.5,368.9,361.35,365.8,366.0,661018.0,241283604.55
2026-09-02,NAZARA,EQUITY,EQ,INE418L01047,363.1,367.6,360.1,366.0,367.65,851024.0,310127589.6
2026-09-01,NAZARA,EQUITY,EQ,INE418L01047,372.7,377.0,360.95,367.65,372.7,2574995.0,949813027.25
2026-08-31,NAZARA,EQUITY,EQ,INE418L01047,376.6,378.3,366.3,372.7,374.6,5730211.0,2142717039.7
2026-08-28,NAZARA,EQUITY,EQ,INE418L01047,354.0,379.4,354.0,374.6,354.5,8037749.0,2983049517.45
2026-08-27,NAZARA,EQUITY,EQ,INE418L01047,355.75,359.5,351.0,354.5,356.35,809757.0,287238190.4
2026-08-26,NAZARA,EQUITY,EQ,INE418L01047,359.0,359.1,355.05,356.35,358.0,482255.0,172251432.7
2026-08-25,NAZARA,EQUITY,EQ,INE418L01047,348.95,360.0,343.1,358.0,347.95,2531169.0,896720936.75
2026-08-24,NAZARA,EQUITY,EQ,INE418L01047,354.55,359.0,347.0,347.95,354.35,990995.0,349995771.5
2026-08-21,NAZARA,EQUITY,EQ,INE418L01047,358.95,359.0,353.0,354.35,357.5,567746.0,201927244.2
2026-08-20,NAZARA,EQUITY,EQ,INE418L01047,357.0,365.0,356.2,357.5,357.35,1774614.0,639049833.75
2026-08-19,NAZARA,EQUITY,EQ,INE418L01047,354.0,361.0,354.0,357.35,355.55,1731629.0,620711515.2
2026-08-18,NAZARA,EQUITY,EQ,INE418L01047,349.95,356.65,348.75,355.55,350.1,1287389.0,455600696.25
2026-08-17,NAZARA,EQUITY,EQ,INE418L01047,356.05,357.0,349.1,350.1,355.9,659087.0,232766489.25
2026-08-14,NAZARA,EQUITY,EQ,INE418L01047,354.6,362.0,354.6,355.9,355.2,1553469.0,556897259.55
2026-08-13,NAZARA,EQUITY,EQ,INE418L01047,352.0,358.9,350.0,355.2,352.2,1174739.0,417109212.65
2026-08-12,NAZARA,EQUITY,EQ,INE418L01047,354.55,358.0,350.0,352.2,355.4,674988.0,238455822.45
2026-08-11,NAZARA,EQUITY,EQ,INE418L01047,355.85,359.0,352.15,355.4,354.5,690517.0,244977409.1
2026-08-10,NAZARA,EQUITY,EQ,INE418L01047,351.55,362.0,350.55,354.5,352.35,3596576.0,1283759205.2
2026-08-07,NAZARA,EQUITY,EQ,INE418L01047,352.85,356.65,344.5,352.35,352.85,2205799.0,773399702.1
2026-08-06,NAZARA,EQUITY,EQ,INE418L01047,348.25,358.0,338.5,352.85,348.8,5602341.0,1970354474.25
2026-08-05,NAZARA,EQUITY,EQ,INE418L01047,349.75,354.05,342.35,348.8,349.5,2944336.0,1030199342.15
2026-08-04,NAZARA,EQUITY,EQ,INE418L01047,335.0,355.2,330.2,349.5,339.55,8439332.0,2921967823.85
2026-08-03,NAZARA,EQUITY,EQ,INE418L01047,344.95,345.8,335.95,339.55,339.0,3028157.0,1029026036.95
2026-07-31,NAZARA,EQUITY,EQ,INE418L01047,309.0,343.8,306.5,339.0,308.05,19464356.0,6466223987.9
2026-07-30,NAZARA,EQUITY,EQ,INE418L01047,304.0,312.0,303.65,308.05,303.65,2274869.0,701910662.65
2026-07-29,NAZARA,EQUITY,EQ,INE418L01047,305.0,308.8,303.0,303.65,304.0,960222.0,293412319.95
2026-07-28,NAZARA,EQUITY,EQ,INE418L01047,303.0,305.0,296.2,304.0,303.4,2856692.0,862196632.25
2026-07-27,NAZARA,EQUITY,EQ,INE418L01047,303.85,308.0,302.0,303.4,302.3,2329997.0,710970143.95
2026-07-24,NAZARA,EQUITY,EQ,INE418L01047,304.0,304.05,295.3,302.3,304.2,1001751.0,300670199.35
2026-07-23,NAZARA,EQUITY,EQ,INE418L01047,304.0,306.0,299.0,304.2,304.65,1907719.0,579173235.6
2026-07-22,NAZARA,EQUITY,EQ,INE418L01047,309.8,309.8,304.0,304.65,309.3,1061385.0,324852925.45
2026-07-21,NAZARA,EQUITY,EQ,INE418L01047,309.5,313.8,307.7,309.3,309.25,2254042.0,700987539.2
2026-07-20,NAZARA,EQUITY,EQ,INE418L01047,304.0,309.95,302.5,309.25,304.65,1212308.0,372061774.65
2026-07-17,NAZARA,EQUITY,EQ,INE418L01047,308.15,310.75,303.1,304.65,308.05,2329633.0,710650071.8
2026-07-16,NAZARA,EQUITY,EQ,INE418L01047,311.0,315.0,307.1,308.05,310.1,1656571.0,514125049.25
2026-07-15,NAZARA,EQUITY,EQ,INE418L01047,304.95,315.0,303.0,310.1,303.95,5108077.0,1586718575.4
2026-07-14,NAZARA,EQUITY,EQ,INE418L01047,307.3,309.15,302.75,303.95,307.3,1364680.0,415321012.25
2026-07-13,NAZARA,EQUITY,EQ,INE418L01047,304.0,312.9,303.15,307.3,304.3,3229735.0,994652538.45
2026-07-10,NAZARA,EQUITY,EQ,INE418L01047,305.0,309.95,302.6,304.3,303.8,1345409.0,411758491.65
2026-07-09,NAZARA,EQUITY,EQ,INE418L01047,298.0,310.0,295.85,303.8,295.55,2732163.0,834137150.75
2026-07-08,NAZARA,EQUITY,EQ,INE418L01047,300.0,304.5,293.5,295.55,301.25,1686418.0,503747487.9
2026-07-07,NAZARA,EQUITY,EQ,INE418L01047,299.85,304.0,294.0,301.25,298.65,2725007.0,815858043.15
2026-07-06,NAZARA,EQUITY,EQ,INE418L01047,305.65,307.0,296.2,298.65,305.65,2570141.0,771755329.35
2026-07-03,NAZARA,EQUITY,EQ,INE418L01047,306.85,310.25,305.0,305.65,305.25,1946918.0,597165476.1
2026-07-02,NAZARA,EQUITY,EQ,INE418L01047,304.5,311.0,303.0,305.25,302.8,4303411.0,1323354403.95
2026-07-01,NAZARA,EQUITY,EQ,INE418L01047,304.3,310.55,301.0,302.8,303.1,1441728.0,439597593.0
2026-06-30,NAZARA,EQUITY,EQ,INE418L01047,304.45,310.45,301.05,303.1,303.75,3953683.0,1202701576.85
