trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,NBCC,EQUITY,EQ,INE095N01031,82.88,83.14,82.0,82.9,83.94,6012573.0,495918380.67
2026-09-10,NBCC,EQUITY,EQ,INE095N01031,83.2,84.7,83.2,83.94,83.6,4868776.0,408387282.68
2026-09-09,NBCC,EQUITY,EQ,INE095N01031,85.3,85.52,83.5,83.6,86.0,5699936.0,480060814.76
2026-09-08,NBCC,EQUITY,EQ,INE095N01031,85.54,86.1,84.88,86.0,86.0,4783728.0,408746998.72
2026-09-07,NBCC,EQUITY,EQ,INE095N01031,86.32,86.59,85.62,86.0,86.6,1862601.0,160176674.51
2026-09-04,NBCC,EQUITY,EQ,INE095N01031,86.5,87.35,86.31,86.6,86.5,2548390.0,221150446.46
2026-09-03,NBCC,EQUITY,EQ,INE095N01031,85.15,86.9,85.15,86.5,85.0,3561028.0,306866018.63
2026-09-02,NBCC,EQUITY,EQ,INE095N01031,84.8,85.22,83.84,85.0,85.2,4241099.0,358623697.24
2026-09-01,NBCC,EQUITY,EQ,INE095N01031,86.0,86.4,85.0,85.2,86.2,4390141.0,375514743.08
2026-08-31,NBCC,EQUITY,EQ,INE095N01031,87.1,87.2,85.6,86.2,87.5,5142217.0,442627040.68
2026-08-28,NBCC,EQUITY,EQ,INE095N01031,89.1,89.28,87.15,87.5,88.6,6704520.0,590293663.86
2026-08-27,NBCC,EQUITY,EQ,INE095N01031,89.25,89.67,88.42,88.6,89.21,3405853.0,302688743.37
2026-08-26,NBCC,EQUITY,EQ,INE095N01031,90.1,90.5,89.1,89.21,89.5,5343033.0,479296505.12
2026-08-25,NBCC,EQUITY,EQ,INE095N01031,88.2,89.5,87.79,89.5,88.58,4906608.0,435550006.32
2026-08-24,NBCC,EQUITY,EQ,INE095N01031,89.0,90.29,88.24,88.58,88.88,5530404.0,492759292.79
2026-08-21,NBCC,EQUITY,EQ,INE095N01031,88.79,89.63,88.42,88.88,88.25,5375979.0,478893672.74
2026-08-20,NBCC,EQUITY,EQ,INE095N01031,87.9,89.03,87.74,88.25,87.19,4634300.0,410139180.06
2026-08-19,NBCC,EQUITY,EQ,INE095N01031,88.0,88.02,87.0,87.19,88.0,4316941.0,377201041.13
2026-08-18,NBCC,EQUITY,EQ,INE095N01031,89.35,89.93,87.7,88.0,89.75,6718438.0,593705859.55
2026-08-17,NBCC,EQUITY,EQ,INE095N01031,89.46,90.26,88.54,89.75,89.15,6941578.0,621612410.44
2026-08-14,NBCC,EQUITY,EQ,INE095N01031,91.99,92.46,89.1,89.15,92.07,10143348.0,913854215.96
2026-08-13,NBCC,EQUITY,EQ,INE095N01031,92.26,93.13,91.9,92.07,92.17,4910033.0,453491088.33
2026-08-12,NBCC,EQUITY,EQ,INE095N01031,93.8,94.14,90.9,92.17,93.8,11484423.0,1060282426.91
2026-08-11,NBCC,EQUITY,EQ,INE095N01031,94.85,95.03,93.25,93.8,94.85,5883330.0,552446125.98
2026-08-10,NBCC,EQUITY,EQ,INE095N01031,95.25,95.55,94.33,94.85,95.33,3905923.0,370603258.6
2026-08-07,NBCC,EQUITY,EQ,INE095N01031,96.01,96.44,94.78,95.33,96.25,4742088.0,452617705.23
2026-08-06,NBCC,EQUITY,EQ,INE095N01031,96.6,96.96,95.25,96.25,96.0,6704370.0,645457157.66
2026-08-05,NBCC,EQUITY,EQ,INE095N01031,95.31,96.3,95.2,96.0,94.84,5779578.0,554267289.16
2026-08-04,NBCC,EQUITY,EQ,INE095N01031,95.4,96.05,94.7,94.84,95.5,4304105.0,409890909.44
2026-08-03,NBCC,EQUITY,EQ,INE095N01031,95.2,96.6,95.0,95.5,94.8,5156861.0,494488999.29
2026-07-31,NBCC,EQUITY,EQ,INE095N01031,93.9,95.55,93.7,94.8,93.57,5779241.0,548210289.45
2026-07-30,NBCC,EQUITY,EQ,INE095N01031,94.52,94.53,93.09,93.57,94.6,5422710.0,507262567.1
2026-07-29,NBCC,EQUITY,EQ,INE095N01031,95.5,95.5,94.2,94.6,94.51,4086454.0,387144901.3
2026-07-28,NBCC,EQUITY,EQ,INE095N01031,94.9,95.3,94.19,94.51,94.9,4465009.0,422957011.02
2026-07-27,NBCC,EQUITY,EQ,INE095N01031,94.5,95.95,94.5,94.9,93.84,6593505.0,627542646.18
2026-07-24,NBCC,EQUITY,EQ,INE095N01031,92.4,94.07,91.35,93.84,93.15,6730344.0,623795074.13
2026-07-23,NBCC,EQUITY,EQ,INE095N01031,94.05,95.05,93.0,93.15,94.74,6871994.0,644579189.93
2026-07-22,NBCC,EQUITY,EQ,INE095N01031,96.5,96.8,94.28,94.74,96.8,8605587.0,817708639.71
