trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,NDTV,EQUITY,EQ,INE155G01029,73.03,74.49,72.21,73.73,73.03,77952.0,5736849.7
2026-09-08,NDTV,EQUITY,EQ,INE155G01029,73.8,74.8,72.15,73.03,72.87,43052.0,3135191.29
2026-09-07,NDTV,EQUITY,EQ,INE155G01029,74.27,75.29,72.5,72.87,74.27,81638.0,6015311.53
2026-09-04,NDTV,EQUITY,EQ,INE155G01029,71.0,75.3,70.75,74.27,70.66,236637.0,17345340.29
2026-09-03,NDTV,EQUITY,EQ,INE155G01029,71.75,72.78,70.55,70.66,70.84,46817.0,3328229.58
2026-09-02,NDTV,EQUITY,EQ,INE155G01029,71.02,71.5,69.9,70.84,71.42,76014.0,5365138.99
2026-09-01,NDTV,EQUITY,EQ,INE155G01029,73.25,73.25,71.1,71.42,72.2,61492.0,4421908.37
2026-08-31,NDTV,EQUITY,EQ,INE155G01029,74.19,74.19,71.61,72.2,73.77,93028.0,6765138.69
2026-08-28,NDTV,EQUITY,EQ,INE155G01029,74.33,74.76,73.06,73.77,74.2,53358.0,3947860.61
2026-08-27,NDTV,EQUITY,EQ,INE155G01029,74.35,75.44,73.8,74.2,74.35,48551.0,3600359.91
2026-08-26,NDTV,EQUITY,EQ,INE155G01029,75.6,75.8,73.4,74.35,74.77,154475.0,11551124.96
2026-08-25,NDTV,EQUITY,EQ,INE155G01029,75.2,75.83,73.95,74.77,75.14,93491.0,7005183.39
2026-08-24,NDTV,EQUITY,EQ,INE155G01029,76.49,76.49,74.8,75.14,75.49,70067.0,5300224.83
2026-08-21,NDTV,EQUITY,EQ,INE155G01029,75.5,76.79,75.06,75.49,75.5,70781.0,5359637.0
2026-08-20,NDTV,EQUITY,EQ,INE155G01029,73.55,76.57,73.55,75.5,73.34,101522.0,7632660.99
2026-08-19,NDTV,EQUITY,EQ,INE155G01029,76.5,76.5,72.68,73.34,75.7,129724.0,9666421.31
2026-08-18,NDTV,EQUITY,EQ,INE155G01029,75.28,76.99,75.28,75.7,76.34,41217.0,3121056.31
2026-08-17,NDTV,EQUITY,EQ,INE155G01029,76.88,77.0,75.5,76.34,76.53,69410.0,5283743.62
2026-08-14,NDTV,EQUITY,EQ,INE155G01029,76.0,76.84,75.77,76.53,76.37,110333.0,8404110.32
2026-08-13,NDTV,EQUITY,EQ,INE155G01029,76.11,76.93,76.11,76.37,76.11,40132.0,3071150.79
2026-08-12,NDTV,EQUITY,EQ,INE155G01029,76.95,76.95,75.42,76.11,76.95,101594.0,7715927.44
2026-08-11,NDTV,EQUITY,EQ,INE155G01029,77.95,78.98,76.8,76.95,76.14,101239.0,7833819.96
2026-08-10,NDTV,EQUITY,EQ,INE155G01029,76.81,76.81,75.17,76.14,76.87,71127.0,5409797.77
2026-08-07,NDTV,EQUITY,EQ,INE155G01029,76.8,77.46,75.75,76.87,77.38,85096.0,6527836.72
2026-08-06,NDTV,EQUITY,EQ,INE155G01029,77.17,77.83,76.94,77.38,77.17,64051.0,4958517.07
2026-08-05,NDTV,EQUITY,EQ,INE155G01029,76.66,77.59,76.66,77.17,76.66,86139.0,6644215.93
2026-08-04,NDTV,EQUITY,EQ,INE155G01029,77.37,77.54,76.35,76.66,77.39,76698.0,5895773.41
2026-08-03,NDTV,EQUITY,EQ,INE155G01029,77.2,78.48,76.86,77.39,77.1,105058.0,8148298.65
