trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NELCO,EQUITY,EQ,INE045B01015,957.05,973.2,935.0,937.55,958.3,166262.0,158041309.55
2026-09-09,NELCO,EQUITY,EQ,INE045B01015,975.8,992.1,953.3,958.3,973.1,381192.0,371815961.2
2026-09-08,NELCO,EQUITY,EQ,INE045B01015,933.0,1019.0,917.6,973.1,933.2,1910138.0,1881564728.2
2026-09-07,NELCO,EQUITY,EQ,INE045B01015,921.65,942.8,909.0,933.2,911.25,227379.0,211302073.35
2026-09-04,NELCO,EQUITY,EQ,INE045B01015,939.5,942.75,908.0,911.25,933.75,159766.0,147264082.25
2026-09-03,NELCO,EQUITY,EQ,INE045B01015,936.6,963.0,930.5,933.75,929.65,218453.0,206730475.25
2026-09-02,NELCO,EQUITY,EQ,INE045B01015,925.0,953.3,918.55,929.65,924.35,193155.0,181174629.45
2026-09-01,NELCO,EQUITY,EQ,INE045B01015,950.0,957.0,918.95,924.35,951.5,141086.0,131494372.6
2026-08-31,NELCO,EQUITY,EQ,INE045B01015,959.9,979.8,945.1,951.5,961.2,162293.0,155863661.8
2026-08-28,NELCO,EQUITY,EQ,INE045B01015,969.9,974.8,948.6,961.2,960.4,156043.0,150122211.1
2026-08-27,NELCO,EQUITY,EQ,INE045B01015,940.0,983.8,933.2,960.4,936.0,521633.0,503630488.0
2026-08-26,NELCO,EQUITY,EQ,INE045B01015,927.0,944.0,925.1,936.0,925.6,157469.0,147162745.8
2026-08-25,NELCO,EQUITY,EQ,INE045B01015,914.9,929.0,909.0,925.6,915.3,153324.0,140934151.0
2026-08-24,NELCO,EQUITY,EQ,INE045B01015,910.0,928.8,900.1,915.3,906.7,254207.0,233208277.3
2026-08-21,NELCO,EQUITY,EQ,INE045B01015,909.9,915.0,895.6,906.7,912.0,140670.0,127328970.9
2026-08-20,NELCO,EQUITY,EQ,INE045B01015,925.9,936.4,902.4,912.0,910.1,300639.0,277403698.0
2026-08-19,NELCO,EQUITY,EQ,INE045B01015,948.8,950.6,875.5,910.1,948.8,1328147.0,1201209858.5
2026-08-18,NELCO,EQUITY,EQ,INE045B01015,1092.3,1098.0,938.6,948.8,1081.5,2131064.0,2072377836.0
2026-08-17,NELCO,EQUITY,EQ,INE045B01015,1030.0,1120.0,1023.6,1081.5,1024.6,1036912.0,1129813202.0
2026-08-14,NELCO,EQUITY,EQ,INE045B01015,1050.0,1075.1,1014.1,1024.6,1047.5,409428.0,428396476.9
2026-08-13,NELCO,EQUITY,EQ,INE045B01015,984.4,1055.0,974.0,1047.5,974.1,1199381.0,1235023901.5
2026-08-12,NELCO,EQUITY,EQ,INE045B01015,999.6,1002.9,971.5,974.1,995.1,161030.0,158317540.6
2026-08-11,NELCO,EQUITY,EQ,INE045B01015,1007.6,1019.0,992.1,995.1,1007.6,291912.0,293861355.7
2026-08-10,NELCO,EQUITY,EQ,INE045B01015,968.0,1011.5,960.2,1007.6,958.9,790801.0,790812890.9
2026-08-07,NELCO,EQUITY,EQ,INE045B01015,989.4,1025.9,955.0,958.9,983.8,512118.0,506457200.1
2026-08-06,NELCO,EQUITY,EQ,INE045B01015,992.0,1001.0,978.0,983.8,995.1,168096.0,166561943.2
2026-08-05,NELCO,EQUITY,EQ,INE045B01015,987.5,1008.4,975.0,995.1,981.7,293565.0,290754957.2
2026-08-04,NELCO,EQUITY,EQ,INE045B01015,1007.5,1022.9,976.9,981.7,1000.8,543844.0,546139056.5
2026-08-03,NELCO,EQUITY,EQ,INE045B01015,1024.1,1026.0,995.5,1000.8,1015.65,772071.0,777362029.4
2026-07-31,NELCO,EQUITY,EQ,INE045B01015,935.0,1024.6,935.0,1015.65,929.75,2015805.0,2006967116.4
2026-07-30,NELCO,EQUITY,EQ,INE045B01015,940.0,952.7,907.85,929.75,934.1,235504.0,219584080.9
2026-07-29,NELCO,EQUITY,EQ,INE045B01015,967.0,980.9,924.1,934.1,962.4,469803.0,448838849.8
