trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,NEPHROPLUS,EQUITY,EQ,INE428V01029,747.25,781.5,734.05,765.35,747.25,337264.0,258465645.2
2026-09-10,NEPHROPLUS,EQUITY,EQ,INE428V01029,733.1,751.15,731.05,747.25,733.45,204920.0,152048156.0
2026-09-09,NEPHROPLUS,EQUITY,EQ,INE428V01029,744.1,757.7,725.75,733.45,744.1,204496.0,151328393.2
2026-09-08,NEPHROPLUS,EQUITY,EQ,INE428V01029,713.0,748.6,707.1,744.1,710.85,659007.0,483795174.55
2026-09-07,NEPHROPLUS,EQUITY,EQ,INE428V01029,704.9,715.7,697.55,710.85,697.05,189382.0,134043497.75
2026-09-04,NEPHROPLUS,EQUITY,EQ,INE428V01029,711.85,720.0,692.0,697.05,706.75,197509.0,139836547.6
2026-09-03,NEPHROPLUS,EQUITY,EQ,INE428V01029,693.3,712.3,686.1,706.75,692.7,198406.0,139462950.75
2026-09-02,NEPHROPLUS,EQUITY,EQ,INE428V01029,695.0,699.25,677.6,692.7,689.6,168797.0,116198321.3
2026-09-01,NEPHROPLUS,EQUITY,EQ,INE428V01029,701.0,716.15,682.2,689.6,682.95,461009.0,324061868.0
2026-08-31,NEPHROPLUS,EQUITY,EQ,INE428V01029,692.35,692.4,669.0,682.95,692.35,247293.0,168052687.85
2026-08-28,NEPHROPLUS,EQUITY,EQ,INE428V01029,692.75,703.0,690.0,692.35,685.45,81324.0,56698166.1
2026-08-27,NEPHROPLUS,EQUITY,EQ,INE428V01029,693.65,699.3,683.0,685.45,693.65,114061.0,78561048.2
2026-08-26,NEPHROPLUS,EQUITY,EQ,INE428V01029,697.5,703.9,690.05,693.65,697.35,110447.0,76946525.65
2026-08-25,NEPHROPLUS,EQUITY,EQ,INE428V01029,695.0,707.0,680.0,697.35,687.25,145755.0,101322199.35
2026-08-24,NEPHROPLUS,EQUITY,EQ,INE428V01029,697.05,709.5,685.0,687.25,694.1,199297.0,139145300.05
2026-08-21,NEPHROPLUS,EQUITY,EQ,INE428V01029,681.25,695.85,673.0,694.1,674.15,155681.0,106076318.3
2026-08-20,NEPHROPLUS,EQUITY,EQ,INE428V01029,698.0,698.0,673.0,674.15,691.0,205120.0,138914935.1
2026-08-19,NEPHROPLUS,EQUITY,EQ,INE428V01029,691.05,714.05,676.1,691.0,699.1,193664.0,134558565.1
2026-08-18,NEPHROPLUS,EQUITY,EQ,INE428V01029,694.9,713.65,691.0,699.1,694.65,175409.0,123455969.55
2026-08-17,NEPHROPLUS,EQUITY,EQ,INE428V01029,702.2,704.8,691.0,694.65,696.7,111668.0,78022641.4
2026-08-14,NEPHROPLUS,EQUITY,EQ,INE428V01029,675.9,722.0,675.6,696.7,675.9,261296.0,184228873.2
2026-08-13,NEPHROPLUS,EQUITY,EQ,INE428V01029,684.6,692.0,671.8,675.9,679.15,123321.0,83918013.1
2026-08-12,NEPHROPLUS,EQUITY,EQ,INE428V01029,725.0,725.0,677.0,679.15,712.3,380577.0,264609517.25
2026-08-11,NEPHROPLUS,EQUITY,EQ,INE428V01029,706.1,719.4,692.05,712.3,697.7,237830.0,168879487.75
2026-08-10,NEPHROPLUS,EQUITY,EQ,INE428V01029,699.9,709.45,683.3,697.7,694.15,80174.0,56049272.8
2026-08-07,NEPHROPLUS,EQUITY,EQ,INE428V01029,691.65,696.6,682.05,694.15,691.65,57938.0,40013339.65
2026-08-06,NEPHROPLUS,EQUITY,EQ,INE428V01029,711.0,711.0,690.0,691.65,709.9,80857.0,56465589.55
2026-08-05,NEPHROPLUS,EQUITY,EQ,INE428V01029,724.85,724.85,693.05,709.9,713.15,134134.0,94927601.05
2026-08-04,NEPHROPLUS,EQUITY,EQ,INE428V01029,688.8,718.2,682.0,713.15,688.75,165491.0,116566463.0
2026-08-03,NEPHROPLUS,EQUITY,EQ,INE428V01029,689.0,699.0,676.5,688.75,681.65,100842.0,69605633.6
