trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,NESTLEIND,EQUITY,EQ,INE239A01024,1397.4,1415.1,1392.9,1400.5,1398.0,1260068.0,1768724500.9
2026-09-07,NESTLEIND,EQUITY,EQ,INE239A01024,1401.0,1405.7,1392.9,1398.0,1410.5,897310.0,1254622697.0
2026-09-04,NESTLEIND,EQUITY,EQ,INE239A01024,1415.0,1420.0,1402.5,1410.5,1416.0,974257.0,1373795994.2
2026-09-03,NESTLEIND,EQUITY,EQ,INE239A01024,1424.1,1424.1,1407.0,1416.0,1425.0,660284.0,933360587.7
2026-09-02,NESTLEIND,EQUITY,EQ,INE239A01024,1425.0,1428.0,1411.0,1425.0,1438.2,875020.0,1242707464.8
2026-09-01,NESTLEIND,EQUITY,EQ,INE239A01024,1514.8,1514.8,1436.0,1438.2,1496.5,2555542.0,3716271722.6
2026-08-31,NESTLEIND,EQUITY,EQ,INE239A01024,1445.1,1496.5,1427.6,1496.5,1454.6,2320372.0,3391912091.6
2026-08-28,NESTLEIND,EQUITY,EQ,INE239A01024,1454.4,1456.5,1438.0,1454.6,1450.0,445734.0,644533923.6
2026-08-27,NESTLEIND,EQUITY,EQ,INE239A01024,1451.5,1465.0,1440.3,1450.0,1451.5,637066.0,923469260.1
2026-08-26,NESTLEIND,EQUITY,EQ,INE239A01024,1476.0,1479.0,1450.8,1451.5,1479.0,625901.0,912806126.0
2026-08-25,NESTLEIND,EQUITY,EQ,INE239A01024,1471.3,1479.0,1458.8,1479.0,1471.3,1634440.0,2396169276.3
2026-08-24,NESTLEIND,EQUITY,EQ,INE239A01024,1478.7,1483.4,1457.1,1471.3,1477.1,1465156.0,2144602907.7
2026-08-21,NESTLEIND,EQUITY,EQ,INE239A01024,1465.0,1485.4,1449.0,1477.1,1458.0,2679922.0,3933118190.2
2026-08-20,NESTLEIND,EQUITY,EQ,INE239A01024,1482.0,1482.0,1454.6,1458.0,1465.0,1910719.0,2796035331.6
2026-08-19,NESTLEIND,EQUITY,EQ,INE239A01024,1462.4,1481.3,1457.1,1465.0,1462.5,1837329.0,2689396766.4
2026-08-18,NESTLEIND,EQUITY,EQ,INE239A01024,1478.0,1479.8,1453.0,1462.5,1470.0,1815216.0,2664236156.3
2026-08-17,NESTLEIND,EQUITY,EQ,INE239A01024,1500.0,1503.7,1468.5,1470.0,1499.1,1721057.0,2545887547.6
2026-08-14,NESTLEIND,EQUITY,EQ,INE239A01024,1506.9,1515.8,1496.1,1499.1,1506.9,1500577.0,2260629509.5
2026-08-13,NESTLEIND,EQUITY,EQ,INE239A01024,1513.2,1520.9,1494.8,1506.9,1507.0,1892413.0,2849273854.9
2026-08-12,NESTLEIND,EQUITY,EQ,INE239A01024,1503.0,1515.7,1495.3,1507.0,1493.2,1990581.0,2993798288.2
