trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NEWGEN,EQUITY,EQ,INE619B01017,516.0,521.6,505.15,507.9,512.85,531174.0,272518436.15
2026-09-09,NEWGEN,EQUITY,EQ,INE619B01017,512.5,516.55,504.35,512.85,514.0,587106.0,300397059.3
2026-09-08,NEWGEN,EQUITY,EQ,INE619B01017,519.0,520.4,513.0,514.0,520.7,474948.0,245000954.8
2026-09-07,NEWGEN,EQUITY,EQ,INE619B01017,524.8,526.3,515.9,520.7,524.8,537213.0,278972703.85
2026-09-04,NEWGEN,EQUITY,EQ,INE619B01017,522.0,543.95,522.0,524.8,517.65,2160906.0,1150974790.5
2026-09-03,NEWGEN,EQUITY,EQ,INE619B01017,525.0,527.5,514.5,517.65,519.3,624729.0,323700399.2
2026-09-02,NEWGEN,EQUITY,EQ,INE619B01017,526.7,529.75,517.7,519.3,532.05,652094.0,339840465.2
2026-09-01,NEWGEN,EQUITY,EQ,INE619B01017,530.0,541.05,522.6,532.05,528.85,1183206.0,631970339.25
2026-08-31,NEWGEN,EQUITY,EQ,INE619B01017,562.0,562.05,526.0,528.85,567.1,2474710.0,1323852841.85
2026-08-28,NEWGEN,EQUITY,EQ,INE619B01017,524.7,575.9,524.7,567.1,523.0,10501206.0,5887260273.1
2026-08-27,NEWGEN,EQUITY,EQ,INE619B01017,525.1,531.55,520.2,523.0,524.35,415158.0,217824849.95
2026-08-26,NEWGEN,EQUITY,EQ,INE619B01017,527.0,535.95,522.55,524.35,525.55,317123.0,167348956.75
2026-08-25,NEWGEN,EQUITY,EQ,INE619B01017,527.0,532.65,519.0,525.55,528.4,458147.0,240334664.1
2026-08-24,NEWGEN,EQUITY,EQ,INE619B01017,523.3,546.7,523.3,528.4,522.7,1232949.0,662724487.6
2026-08-21,NEWGEN,EQUITY,EQ,INE619B01017,527.0,529.7,520.85,522.7,527.35,364661.0,191303768.9
2026-08-20,NEWGEN,EQUITY,EQ,INE619B01017,524.55,547.3,524.55,527.35,519.95,1546773.0,827700400.6
2026-08-19,NEWGEN,EQUITY,EQ,INE619B01017,531.05,538.95,518.7,519.95,528.45,500666.0,264345167.75
2026-08-18,NEWGEN,EQUITY,EQ,INE619B01017,533.1,534.5,526.4,528.45,534.85,290297.0,153677952.2
2026-08-17,NEWGEN,EQUITY,EQ,INE619B01017,537.8,539.0,525.55,534.85,535.15,427348.0,227641999.05
2026-08-14,NEWGEN,EQUITY,EQ,INE619B01017,537.0,547.25,533.8,535.15,542.4,327706.0,176242020.85
2026-08-13,NEWGEN,EQUITY,EQ,INE619B01017,538.0,545.6,534.0,542.4,535.2,441203.0,239075117.35
2026-08-12,NEWGEN,EQUITY,EQ,INE619B01017,555.0,555.65,525.5,535.2,555.1,1175816.0,631742243.6
2026-08-11,NEWGEN,EQUITY,EQ,INE619B01017,560.5,569.6,553.0,555.1,563.2,584006.0,326364101.7
2026-08-10,NEWGEN,EQUITY,EQ,INE619B01017,551.0,571.85,545.45,563.2,551.0,1426876.0,804060425.05
2026-08-07,NEWGEN,EQUITY,EQ,INE619B01017,542.45,560.0,540.0,551.0,542.4,1070093.0,591652769.5
2026-08-06,NEWGEN,EQUITY,EQ,INE619B01017,560.0,565.2,540.0,542.4,556.55,944921.0,519546940.5
2026-08-05,NEWGEN,EQUITY,EQ,INE619B01017,562.8,575.25,553.75,556.55,561.35,918544.0,518468603.1
2026-08-04,NEWGEN,EQUITY,EQ,INE619B01017,563.0,570.3,555.05,561.35,562.75,706009.0,396403555.4
2026-08-03,NEWGEN,EQUITY,EQ,INE619B01017,559.0,569.75,553.55,562.75,555.7,1071891.0,603503896.55
2026-07-31,NEWGEN,EQUITY,EQ,INE619B01017,552.95,557.7,533.35,555.7,552.95,1177828.0,642391431.5
2026-07-30,NEWGEN,EQUITY,EQ,INE619B01017,563.6,571.7,550.1,552.95,560.5,1826036.0,1025662599.5
2026-07-29,NEWGEN,EQUITY,EQ,INE619B01017,534.45,585.5,532.6,560.5,525.45,10147091.0,5692286728.35
2026-07-28,NEWGEN,EQUITY,EQ,INE619B01017,508.25,544.8,508.25,525.45,506.3,7766585.0,4134401374.2
2026-07-27,NEWGEN,EQUITY,EQ,INE619B01017,511.8,523.95,504.2,506.3,505.7,1031928.0,529495179.55
2026-07-24,NEWGEN,EQUITY,EQ,INE619B01017,503.0,512.1,497.05,505.7,508.8,975202.0,491509911.6
2026-07-23,NEWGEN,EQUITY,EQ,INE619B01017,532.0,532.0,502.1,508.8,533.15,1646929.0,845833433.4
2026-07-22,NEWGEN,EQUITY,EQ,INE619B01017,546.3,546.45,523.0,533.15,546.3,1565269.0,830133255.8
2026-07-21,NEWGEN,EQUITY,EQ,INE619B01017,559.45,561.25,541.75,546.3,559.45,1070527.0,589706207.5
2026-07-20,NEWGEN,EQUITY,EQ,INE619B01017,547.2,570.0,541.25,559.45,547.55,2945628.0,1649490413.25
2026-07-17,NEWGEN,EQUITY,EQ,INE619B01017,545.0,561.1,524.5,547.55,541.95,6519608.0,3540654487.1
2026-07-16,NEWGEN,EQUITY,EQ,INE619B01017,562.8,586.9,526.3,541.95,557.7,13121389.0,7313955257.15
2026-07-15,NEWGEN,EQUITY,EQ,INE619B01017,554.9,575.35,539.15,557.7,554.4,6927932.0,3880035533.75
2026-07-14,NEWGEN,EQUITY,EQ,INE619B01017,592.5,603.8,551.35,554.4,590.5,8371127.0,4731450754.75
2026-07-13,NEWGEN,EQUITY,EQ,INE619B01017,511.95,607.0,507.05,590.5,517.2,32487365.0,18683808896.25
