trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,NEXT50,EQUITY,EQ,INF769K01FN2,755.07,756.08,750.93,753.29,753.77,29774.0,22438821.45
2026-09-08,NEXT50,EQUITY,EQ,INF769K01FN2,749.0,755.16,749.0,753.77,748.99,16777.0,12618061.47
2026-09-07,NEXT50,EQUITY,EQ,INF769K01FN2,758.88,758.88,748.49,748.99,755.1,177686.0,133149030.45
2026-09-04,NEXT50,EQUITY,EQ,INF769K01FN2,758.91,758.91,754.01,755.1,755.13,85666.0,64744883.19
2026-09-03,NEXT50,EQUITY,EQ,INF769K01FN2,771.14,771.14,753.28,755.13,752.34,19426.0,14673403.35
2026-09-02,NEXT50,EQUITY,EQ,INF769K01FN2,733.84,756.42,733.84,752.34,752.66,60614.0,45380648.64
2026-09-01,NEXT50,EQUITY,EQ,INF769K01FN2,761.57,761.57,750.5,752.66,757.85,27850.0,21015954.27
2026-08-31,NEXT50,EQUITY,EQ,INF769K01FN2,763.41,765.92,756.1,757.85,763.78,44448.0,33721303.56
2026-08-28,NEXT50,EQUITY,EQ,INF769K01FN2,767.0,768.74,763.0,763.78,768.67,21668.0,16582325.55
2026-08-27,NEXT50,EQUITY,EQ,INF769K01FN2,779.49,779.49,767.07,768.67,770.25,16086.0,12360668.44
2026-08-26,NEXT50,EQUITY,EQ,INF769K01FN2,772.03,774.81,768.7,770.25,768.19,43716.0,33721839.27
2026-08-25,NEXT50,EQUITY,EQ,INF769K01FN2,763.5,769.0,761.39,768.19,763.32,18363.0,14061588.96
2026-08-24,NEXT50,EQUITY,EQ,INF769K01FN2,767.6,767.6,761.34,763.32,763.78,15141.0,11558937.03
2026-08-21,NEXT50,EQUITY,EQ,INF769K01FN2,765.81,766.47,761.66,763.78,765.81,34979.0,26724074.48
2026-08-20,NEXT50,EQUITY,EQ,INF769K01FN2,767.39,768.7,764.76,765.81,762.25,14645.0,11240221.75
2026-08-19,NEXT50,EQUITY,EQ,INF769K01FN2,768.05,768.05,761.37,762.25,769.6,48780.0,37241639.99
2026-08-18,NEXT50,EQUITY,EQ,INF769K01FN2,771.86,771.86,767.44,769.6,770.26,16185.0,12448744.07
2026-08-17,NEXT50,EQUITY,EQ,INF769K01FN2,770.85,772.72,767.01,770.26,770.84,20057.0,15439185.08
2026-08-14,NEXT50,EQUITY,EQ,INF769K01FN2,774.37,774.37,767.64,770.84,770.52,15145.0,11671355.58
2026-08-13,NEXT50,EQUITY,EQ,INF769K01FN2,774.0,774.0,768.01,770.52,767.82,11818.0,9102030.69
2026-08-12,NEXT50,EQUITY,EQ,INF769K01FN2,775.02,775.02,765.3,767.82,771.15,55721.0,42790672.22
2026-08-11,NEXT50,EQUITY,EQ,INF769K01FN2,775.77,775.77,768.51,771.15,771.91,14145.0,10900165.19
2026-08-10,NEXT50,EQUITY,EQ,INF769K01FN2,785.96,785.96,769.36,771.91,770.55,12618.0,9740338.1
2026-08-07,NEXT50,EQUITY,EQ,INF769K01FN2,769.92,772.5,768.88,770.55,769.91,46458.0,35827700.94
2026-08-06,NEXT50,EQUITY,EQ,INF769K01FN2,768.38,771.0,767.55,769.91,767.38,11116.0,8560196.02
2026-08-05,NEXT50,EQUITY,EQ,INF769K01FN2,769.03,773.4,766.03,767.38,765.09,28184.0,21687024.97
2026-08-04,NEXT50,EQUITY,EQ,INF769K01FN2,772.23,772.23,763.37,765.09,768.39,25826.0,19802932.2
2026-08-03,NEXT50,EQUITY,EQ,INF769K01FN2,761.0,769.11,761.0,768.39,759.41,72334.0,55525831.24
2026-07-31,NEXT50,EQUITY,EQ,INF769K01FN2,752.75,760.92,752.44,759.41,749.0,99315.0,75079539.57
2026-07-30,NEXT50,EQUITY,EQ,INF769K01FN2,748.07,750.98,746.35,749.0,748.06,10634.0,7958754.98
2026-07-29,NEXT50,EQUITY,EQ,INF769K01FN2,745.4,749.0,745.0,748.06,742.57,49552.0,37061172.99
2026-07-28,NEXT50,EQUITY,EQ,INF769K01FN2,743.56,751.67,742.37,742.57,747.3,23265.0,17318568.02
2026-07-27,NEXT50,EQUITY,EQ,INF769K01FN2,744.05,747.97,742.1,747.3,740.35,10771.0,8040794.12
2026-07-24,NEXT50,EQUITY,EQ,INF769K01FN2,739.04,742.3,733.01,740.35,740.84,46577.0,34337487.45
2026-07-23,NEXT50,EQUITY,EQ,INF769K01FN2,741.98,749.0,739.35,740.84,744.58,66744.0,49814078.99
2026-07-22,NEXT50,EQUITY,EQ,INF769K01FN2,751.57,751.57,744.0,744.58,749.03,21493.0,16063041.44
2026-07-21,NEXT50,EQUITY,EQ,INF769K01FN2,746.04,749.9,744.41,749.03,746.04,17532.0,13113032.42
2026-07-20,NEXT50,EQUITY,EQ,INF769K01FN2,738.75,747.0,738.75,746.04,738.76,15099.0,11235228.64
2026-07-17,NEXT50,EQUITY,EQ,INF769K01FN2,748.18,748.18,736.14,738.76,740.04,12773.0,9443214.28
