trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,79.0,79.0,78.12,78.34,78.75,46573.0,3657352.02
2026-09-09,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,78.91,78.91,78.51,78.75,78.52,60519.0,4765543.13
2026-09-08,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,78.66,78.9,78.03,78.52,78.66,59886.0,4710585.8
2026-09-07,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,79.05,79.44,78.5,78.66,79.05,77235.0,6080425.69
2026-09-04,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,78.9,79.58,78.81,79.05,78.93,686812.0,54344460.99
2026-09-03,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,79.59,79.59,78.5,78.93,79.27,95865.0,7571115.62
2026-09-02,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,78.49,79.75,77.7,79.27,78.69,200059.0,15641680.76
2026-09-01,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,79.97,79.97,78.51,78.69,79.41,86338.0,6825780.58
2026-08-31,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,79.81,80.32,79.06,79.41,79.81,52985.0,4206041.11
2026-08-28,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.54,80.69,79.52,79.81,80.29,103520.0,8285056.21
2026-08-27,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.98,80.98,80.01,80.29,80.53,224988.0,18043478.1
2026-08-26,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.5,80.99,80.02,80.53,80.2,70125.0,5659763.98
2026-08-25,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.2,80.25,79.06,80.2,79.86,83801.0,6697826.15
2026-08-24,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,79.72,80.1,79.65,79.86,79.65,161167.0,12877559.82
2026-08-21,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.41,80.41,79.25,79.65,79.91,96439.0,7701861.05
2026-08-20,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.27,80.54,79.45,79.91,79.84,81117.0,6497162.18
2026-08-19,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.2,80.46,79.65,79.84,80.2,84719.0,6764210.46
2026-08-18,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.03,80.68,80.02,80.2,80.47,117114.0,9412555.82
2026-08-17,NEXT50BETA,EQUITY,EQ,INF789F1AUW9,80.6,80.65,79.82,80.47,80.2,95211.0,7641706.4
