trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NGLFINE,EQUITY,EQ,INE887E01022,2776.3,2790.4,2700.0,2725.7,2758.3,4059.0,11119334.7
2026-09-09,NGLFINE,EQUITY,EQ,INE887E01022,2811.6,2834.2,2750.0,2758.3,2811.6,2466.0,6853476.8
2026-09-08,NGLFINE,EQUITY,EQ,INE887E01022,2887.3,2911.8,2736.6,2811.6,2873.0,9484.0,26628661.6
2026-09-07,NGLFINE,EQUITY,EQ,INE887E01022,2868.1,2907.9,2815.2,2873.0,2907.5,7062.0,20146421.4
2026-09-04,NGLFINE,EQUITY,EQ,INE887E01022,2940.0,2981.9,2890.5,2907.5,2940.8,7107.0,20808862.3
2026-09-03,NGLFINE,EQUITY,EQ,INE887E01022,2719.9,2999.8,2676.0,2940.8,2688.7,69056.0,197733456.9
2026-09-02,NGLFINE,EQUITY,EQ,INE887E01022,2664.3,2745.0,2575.1,2688.7,2657.6,11220.0,29883578.3
2026-09-01,NGLFINE,EQUITY,EQ,INE887E01022,2640.0,2758.0,2619.2,2657.6,2649.5,9055.0,24244389.8
2026-08-31,NGLFINE,EQUITY,EQ,INE887E01022,2800.0,2803.0,2620.0,2649.5,2813.4,18852.0,50800044.7
2026-08-28,NGLFINE,EQUITY,EQ,INE887E01022,2897.4,2897.4,2800.0,2813.4,2901.1,7479.0,21151655.9
2026-08-27,NGLFINE,EQUITY,EQ,INE887E01022,2877.3,2964.0,2830.6,2901.1,2877.3,4203.0,12200128.1
2026-08-26,NGLFINE,EQUITY,EQ,INE887E01022,2808.0,2899.0,2808.0,2877.3,2803.8,3316.0,9478635.8
2026-08-25,NGLFINE,EQUITY,EQ,INE887E01022,2866.0,2894.9,2782.2,2803.8,2864.3,8829.0,24871313.3
2026-08-24,NGLFINE,EQUITY,EQ,INE887E01022,2950.0,3022.0,2850.0,2864.3,2947.7,12551.0,36434912.9
2026-08-21,NGLFINE,EQUITY,EQ,INE887E01022,3051.0,3051.0,2911.0,2947.7,3033.3,6220.0,18578758.4
2026-08-20,NGLFINE,EQUITY,EQ,INE887E01022,3086.0,3140.0,3000.1,3033.3,3040.4,7553.0,22970453.3
2026-08-19,NGLFINE,EQUITY,EQ,INE887E01022,3051.4,3206.6,2954.6,3040.4,3023.5,19655.0,60708694.6
2026-08-18,NGLFINE,EQUITY,EQ,INE887E01022,2940.0,3265.0,2923.2,3023.5,2908.4,110560.0,348153953.2
2026-08-17,NGLFINE,EQUITY,EQ,INE887E01022,3489.9,3490.0,2801.1,2908.4,3454.0,58561.0,179318442.7
2026-08-14,NGLFINE,EQUITY,EQ,INE887E01022,3460.6,3529.0,3424.1,3454.0,3435.5,3632.0,12616818.3
2026-08-13,NGLFINE,EQUITY,EQ,INE887E01022,3517.9,3570.0,3408.5,3435.5,3409.0,15607.0,54506071.9
2026-08-12,NGLFINE,EQUITY,EQ,INE887E01022,3427.1,3602.0,3380.0,3409.0,3447.7,11567.0,40254893.4
2026-08-11,NGLFINE,EQUITY,EQ,INE887E01022,3490.5,3525.0,3425.5,3447.7,3457.8,4992.0,17305060.9
2026-08-10,NGLFINE,EQUITY,EQ,INE887E01022,3403.6,3520.0,3369.0,3457.8,3403.6,7370.0,25472111.4
2026-08-07,NGLFINE,EQUITY,EQ,INE887E01022,3420.0,3441.0,3271.0,3403.6,3428.5,4621.0,15710601.2
2026-08-06,NGLFINE,EQUITY,EQ,INE887E01022,3426.0,3529.0,3350.1,3428.5,3428.2,14595.0,50376334.9
2026-08-05,NGLFINE,EQUITY,EQ,INE887E01022,3332.5,3448.0,3275.0,3428.2,3258.1,6830.0,23077578.2
2026-08-04,NGLFINE,EQUITY,EQ,INE887E01022,3240.0,3324.6,3233.8,3258.1,3292.8,4161.0,13672564.8
2026-08-03,NGLFINE,EQUITY,EQ,INE887E01022,3299.0,3448.2,3200.1,3292.8,3260.3,18024.0,60611108.1
2026-07-31,NGLFINE,EQUITY,EQ,INE887E01022,3330.1,3333.6,3250.0,3260.3,3280.0,2437.0,7958775.5
2026-07-30,NGLFINE,EQUITY,EQ,INE887E01022,3278.0,3299.2,3229.0,3280.0,3251.5,3675.0,12023874.6
2026-07-29,NGLFINE,EQUITY,EQ,INE887E01022,3212.4,3255.5,3100.0,3251.5,3212.0,7170.0,22856320.1
2026-07-28,NGLFINE,EQUITY,EQ,INE887E01022,3220.5,3238.3,3087.2,3212.0,3226.5,6379.0,20106750.6
2026-07-27,NGLFINE,EQUITY,EQ,INE887E01022,3210.0,3349.0,3177.5,3226.5,3205.5,7529.0,24709328.2
2026-07-24,NGLFINE,EQUITY,EQ,INE887E01022,3141.6,3218.9,3132.2,3205.5,3198.0,2155.0,6846352.3
2026-07-23,NGLFINE,EQUITY,EQ,INE887E01022,3268.0,3280.0,3154.5,3198.0,3256.2,6735.0,21720427.8
2026-07-22,NGLFINE,EQUITY,EQ,INE887E01022,3230.3,3270.0,3132.0,3256.2,3237.4,6919.0,22272605.5
2026-07-21,NGLFINE,EQUITY,EQ,INE887E01022,3010.0,3289.9,2995.3,3237.4,3010.0,16796.0,53712293.8
2026-07-20,NGLFINE,EQUITY,EQ,INE887E01022,3150.0,3176.4,2953.7,3010.0,3131.9,9326.0,28532761.3
2026-07-17,NGLFINE,EQUITY,EQ,INE887E01022,3090.1,3179.8,3054.1,3131.9,3087.4,5127.0,16043835.0
2026-07-16,NGLFINE,EQUITY,EQ,INE887E01022,3138.1,3159.0,3063.0,3087.4,3165.5,2981.0,9263522.8
2026-07-15,NGLFINE,EQUITY,EQ,INE887E01022,3130.8,3184.4,3130.8,3165.5,3130.8,4189.0,13248149.7
2026-07-14,NGLFINE,EQUITY,EQ,INE887E01022,3198.0,3198.0,3108.1,3130.8,3160.9,3013.0,9458109.8
2026-07-13,NGLFINE,EQUITY,EQ,INE887E01022,3155.4,3194.1,3114.9,3160.9,3193.6,4936.0,15531194.3
2026-07-10,NGLFINE,EQUITY,EQ,INE887E01022,3250.0,3276.5,3103.9,3193.6,3211.3,5500.0,17455188.4
2026-07-09,NGLFINE,EQUITY,EQ,INE887E01022,3272.9,3329.0,3172.0,3211.3,3224.6,13689.0,44556732.5
2026-07-08,NGLFINE,EQUITY,EQ,INE887E01022,3101.0,3259.0,3027.1,3224.6,3092.3,15502.0,48875367.2
2026-07-07,NGLFINE,EQUITY,EQ,INE887E01022,3269.3,3319.8,3060.1,3092.3,3237.2,18294.0,57968879.9
2026-07-06,NGLFINE,EQUITY,EQ,INE887E01022,3230.0,3300.0,3179.3,3237.2,3206.0,18559.0,60172065.3
2026-07-03,NGLFINE,EQUITY,EQ,INE887E01022,2954.9,3260.0,2954.9,3206.0,2937.6,21793.0,68143018.5
2026-07-02,NGLFINE,EQUITY,EQ,INE887E01022,3048.0,3051.0,2900.0,2937.6,3002.7,8400.0,24873326.3
2026-07-01,NGLFINE,EQUITY,EQ,INE887E01022,3062.0,3107.5,2984.9,3002.7,3107.5,7782.0,23676649.5
2026-06-30,NGLFINE,EQUITY,EQ,INE887E01022,3104.7,3111.0,3018.2,3107.5,3083.4,5847.0,17957264.9
2026-06-29,NGLFINE,EQUITY,EQ,INE887E01022,2978.8,3118.6,2970.0,3083.4,2989.9,8189.0,25036372.3
2026-06-25,NGLFINE,EQUITY,EQ,INE887E01022,3073.0,3131.9,2925.2,2989.9,3073.6,15468.0,46632010.6
2026-06-24,NGLFINE,EQUITY,EQ,INE887E01022,3114.5,3124.0,3031.0,3073.6,3069.7,3871.0,11882110.7
2026-06-23,NGLFINE,EQUITY,EQ,INE887E01022,3180.0,3232.0,3035.7,3069.7,3149.4,26556.0,83151784.7
2026-06-22,NGLFINE,EQUITY,EQ,INE887E01022,3041.1,3190.0,3041.1,3149.4,3055.6,13817.0,43507212.8
2026-06-19,NGLFINE,EQUITY,EQ,INE887E01022,3059.0,3166.0,3013.8,3055.6,3045.4,15448.0,47727606.0
2026-06-18,NGLFINE,EQUITY,EQ,INE887E01022,2974.0,3074.5,2830.0,3045.4,2930.3,27072.0,80570329.8
2026-06-17,NGLFINE,EQUITY,EQ,INE887E01022,2982.0,3095.9,2877.2,2930.3,2976.7,35458.0,105764697.7
2026-06-16,NGLFINE,EQUITY,EQ,INE887E01022,3112.7,3133.9,2852.8,2976.7,3109.3,34309.0,101849166.1
2026-06-15,NGLFINE,EQUITY,EQ,INE887E01022,3186.0,3200.0,3060.0,3109.3,3048.8,53959.0,169044646.5
2026-06-12,NGLFINE,EQUITY,EQ,INE887E01022,2765.4,3144.0,2765.4,3048.8,2716.5,102235.0,305914163.6
2026-06-11,NGLFINE,EQUITY,EQ,INE887E01022,2813.9,2843.0,2678.4,2716.5,2811.8,10705.0,29560722.6
2026-06-10,NGLFINE,EQUITY,EQ,INE887E01022,2834.0,2894.9,2732.9,2811.8,2820.7,18459.0,52451511.5
2026-06-09,NGLFINE,EQUITY,EQ,INE887E01022,2685.1,2946.8,2637.1,2820.7,2653.3,33201.0,94404835.5
2026-06-08,NGLFINE,EQUITY,EQ,INE887E01022,2718.0,2779.9,2566.5,2653.3,2742.6,12346.0,33397827.8
2026-06-05,NGLFINE,EQUITY,EQ,INE887E01022,2589.8,2850.0,2589.8,2742.6,2581.7,40222.0,111251010.7
2026-06-04,NGLFINE,EQUITY,EQ,INE887E01022,2622.3,2687.8,2550.0,2581.7,2645.1,9027.0,23679564.1
2026-06-03,NGLFINE,EQUITY,EQ,INE887E01022,2654.5,2717.0,2551.6,2645.1,2654.5,17530.0,45990035.3
2026-06-02,NGLFINE,EQUITY,EQ,INE887E01022,2737.8,2764.4,2622.1,2654.5,2740.0,9490.0,25437723.3
2026-06-01,NGLFINE,EQUITY,EQ,INE887E01022,2834.4,2970.0,2705.0,2740.0,2785.1,20923.0,59932481.3
2026-05-29,NGLFINE,EQUITY,EQ,INE887E01022,2697.6,2878.0,2690.1,2785.1,2697.6,15999.0,44657314.8
2026-05-27,NGLFINE,EQUITY,EQ,INE887E01022,2819.8,2878.4,2636.0,2697.6,2819.8,13089.0,36496421.2
2026-05-26,NGLFINE,EQUITY,EQ,INE887E01022,2830.0,2927.9,2772.1,2819.8,2858.9,33214.0,94494542.3
2026-05-25,NGLFINE,EQUITY,EQ,INE887E01022,2900.0,3005.0,2801.1,2858.9,2735.8,100089.0,292824706.8
2026-05-22,NGLFINE,EQUITY,EQ,INE887E01022,2569.8,2879.8,2288.5,2735.8,2501.9,100556.0,254777004.1
2026-05-21,NGLFINE,EQUITY,EQ,INE887E01022,2450.0,2525.0,2405.0,2501.9,2410.1,11247.0,27784525.2
2026-05-20,NGLFINE,EQUITY,EQ,INE887E01022,2240.8,2525.0,2176.0,2410.1,2276.7,16647.0,40029379.6
