trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NIBE,EQUITY,EQ,INE149O01018,1314.0,1319.9,1287.1,1298.2,1313.3,34841.0,45238594.7
2026-09-09,NIBE,EQUITY,EQ,INE149O01018,1331.0,1337.7,1310.0,1313.3,1331.5,25348.0,33416321.1
2026-09-08,NIBE,EQUITY,EQ,INE149O01018,1310.0,1357.8,1310.0,1331.5,1318.0,44934.0,60052994.4
2026-09-07,NIBE,EQUITY,EQ,INE149O01018,1336.6,1336.6,1312.8,1318.0,1336.6,29295.0,38759327.8
2026-09-04,NIBE,EQUITY,EQ,INE149O01018,1327.0,1349.0,1325.0,1336.6,1322.0,28848.0,38526842.0
2026-09-03,NIBE,EQUITY,EQ,INE149O01018,1373.9,1418.9,1310.0,1322.0,1342.9,61410.0,81913482.4
2026-09-02,NIBE,EQUITY,EQ,INE149O01018,1356.0,1356.1,1330.0,1342.9,1355.9,23503.0,31541694.3
2026-09-01,NIBE,EQUITY,EQ,INE149O01018,1369.0,1374.9,1347.1,1355.9,1371.6,21014.0,28513137.6
2026-08-31,NIBE,EQUITY,EQ,INE149O01018,1409.7,1409.7,1360.0,1371.6,1408.1,32949.0,45261707.0
2026-08-28,NIBE,EQUITY,EQ,INE149O01018,1420.6,1426.3,1402.0,1408.1,1388.6,32127.0,45283190.9
2026-08-27,NIBE,EQUITY,EQ,INE149O01018,1395.1,1407.8,1378.1,1388.6,1392.2,31196.0,43342508.3
2026-08-26,NIBE,EQUITY,EQ,INE149O01018,1410.0,1428.3,1386.0,1392.2,1394.7,52850.0,73911067.8
2026-08-25,NIBE,EQUITY,EQ,INE149O01018,1438.0,1438.1,1382.1,1394.7,1438.0,62047.0,87255151.7
2026-08-24,NIBE,EQUITY,EQ,INE149O01018,1496.5,1497.0,1435.0,1438.0,1490.8,64355.0,93443156.8
2026-08-21,NIBE,EQUITY,EQ,INE149O01018,1529.5,1544.8,1472.0,1490.8,1503.6,92609.0,139827099.9
2026-08-20,NIBE,EQUITY,EQ,INE149O01018,1435.0,1542.8,1421.0,1503.6,1411.1,361383.0,545549444.0
2026-08-19,NIBE,EQUITY,EQ,INE149O01018,1449.0,1449.0,1407.0,1411.1,1444.4,44618.0,63660916.1
2026-08-18,NIBE,EQUITY,EQ,INE149O01018,1469.0,1480.0,1420.0,1444.4,1439.0,68883.0,100410068.5
2026-08-17,NIBE,EQUITY,EQ,INE149O01018,1461.2,1468.0,1406.0,1439.0,1490.1,178720.0,257919301.7
2026-08-14,NIBE,EQUITY,EQ,INE149O01018,1496.0,1570.0,1467.7,1490.1,1494.0,98084.0,148941696.4
2026-08-13,NIBE,EQUITY,EQ,INE149O01018,1452.9,1503.8,1443.1,1494.0,1445.7,84516.0,124476543.1
2026-08-12,NIBE,EQUITY,EQ,INE149O01018,1441.0,1460.9,1420.0,1445.7,1434.2,74511.0,107568316.2
2026-08-11,NIBE,EQUITY,EQ,INE149O01018,1420.5,1447.0,1402.1,1434.2,1399.5,65213.0,93300933.4
2026-08-10,NIBE,EQUITY,EQ,INE149O01018,1415.1,1416.7,1377.6,1399.5,1419.0,39874.0,55599845.0
2026-08-07,NIBE,EQUITY,EQ,INE149O01018,1424.9,1449.0,1405.8,1419.0,1420.9,35331.0,50256996.2
2026-08-06,NIBE,EQUITY,EQ,INE149O01018,1397.2,1456.9,1386.8,1420.9,1397.2,91687.0,130695581.5
2026-08-05,NIBE,EQUITY,EQ,INE149O01018,1407.9,1424.9,1384.1,1397.2,1383.1,53086.0,74509146.0
2026-08-04,NIBE,EQUITY,EQ,INE149O01018,1364.4,1396.9,1364.4,1383.1,1364.4,34573.0,47795410.6
2026-08-03,NIBE,EQUITY,EQ,INE149O01018,1399.0,1399.0,1360.0,1364.4,1379.0,40021.0,55030848.0
2026-07-31,NIBE,EQUITY,EQ,INE149O01018,1392.5,1398.8,1342.5,1379.0,1330.2,51814.0,71336038.5
2026-07-30,NIBE,EQUITY,EQ,INE149O01018,1400.0,1419.9,1323.8,1330.2,1405.6,110297.0,149438484.8
2026-07-29,NIBE,EQUITY,EQ,INE149O01018,1452.4,1469.9,1393.0,1405.6,1449.5,69496.0,99352804.2
2026-07-28,NIBE,EQUITY,EQ,INE149O01018,1499.0,1499.0,1445.5,1449.5,1494.2,31952.0,46837065.8
2026-07-27,NIBE,EQUITY,EQ,INE149O01018,1506.0,1560.0,1481.5,1494.2,1504.3,38476.0,57879255.3
2026-07-24,NIBE,EQUITY,EQ,INE149O01018,1475.4,1516.2,1475.0,1504.3,1504.8,37570.0,56193408.1
2026-07-23,NIBE,EQUITY,EQ,INE149O01018,1554.9,1554.9,1488.1,1504.8,1539.2,30761.0,46600880.4
2026-07-22,NIBE,EQUITY,EQ,INE149O01018,1526.4,1564.0,1525.2,1539.2,1556.0,36374.0,56026651.9
2026-07-21,NIBE,EQUITY,EQ,INE149O01018,1569.0,1569.9,1522.0,1556.0,1558.1,36936.0,56977855.9
2026-07-20,NIBE,EQUITY,EQ,INE149O01018,1504.9,1569.7,1498.8,1558.1,1505.4,67125.0,103779457.2
2026-07-17,NIBE,EQUITY,EQ,INE149O01018,1531.0,1534.7,1492.2,1505.4,1547.9,51954.0,78244714.9
2026-07-16,NIBE,EQUITY,EQ,INE149O01018,1561.5,1577.6,1533.3,1547.9,1569.6,45686.0,70847874.5
2026-07-15,NIBE,EQUITY,EQ,INE149O01018,1595.1,1637.9,1560.0,1569.6,1593.5,98965.0,158214650.2
2026-07-14,NIBE,EQUITY,EQ,INE149O01018,1589.0,1618.0,1553.5,1593.5,1594.4,97737.0,155090923.1
2026-07-13,NIBE,EQUITY,EQ,INE149O01018,1603.0,1621.6,1570.0,1594.4,1608.0,76757.0,122220175.3
2026-07-10,NIBE,EQUITY,EQ,INE149O01018,1619.8,1647.6,1581.0,1608.0,1585.8,174923.0,281708966.3
2026-07-09,NIBE,EQUITY,EQ,INE149O01018,1498.6,1628.0,1495.4,1585.8,1480.5,146039.0,227048060.3
2026-07-08,NIBE,EQUITY,EQ,INE149O01018,1515.6,1545.9,1465.0,1480.5,1524.8,86689.0,130321111.4
2026-07-07,NIBE,EQUITY,EQ,INE149O01018,1610.0,1614.1,1512.1,1524.8,1609.4,126054.0,194446210.0
2026-07-06,NIBE,EQUITY,EQ,INE149O01018,1679.9,1688.2,1600.1,1609.4,1648.0,131145.0,213731030.5
2026-07-03,NIBE,EQUITY,EQ,INE149O01018,1664.0,1710.0,1634.6,1648.0,1655.9,126014.0,209963062.6
2026-07-02,NIBE,EQUITY,EQ,INE149O01018,1661.0,1688.9,1650.2,1655.9,1656.2,56259.0,93339447.2
2026-07-01,NIBE,EQUITY,EQ,INE149O01018,1668.9,1683.2,1647.1,1656.2,1663.9,44282.0,73368878.6
2026-06-30,NIBE,EQUITY,EQ,INE149O01018,1660.0,1674.9,1622.9,1663.9,1642.1,87464.0,144383162.0
2026-06-29,NIBE,EQUITY,EQ,INE149O01018,1650.5,1652.9,1592.2,1642.1,1656.2,130378.0,211470545.3
2026-06-25,NIBE,EQUITY,EQ,INE149O01018,1704.9,1720.0,1643.5,1656.2,1699.5,114661.0,192420830.8
2026-06-24,NIBE,EQUITY,EQ,INE149O01018,1750.0,1819.9,1690.0,1699.5,1768.4,213082.0,370908581.6
2026-06-23,NIBE,EQUITY,EQ,INE149O01018,1834.9,1834.9,1746.0,1768.4,1835.3,192130.0,343686006.8
2026-06-22,NIBE,EQUITY,EQ,INE149O01018,1815.0,1848.0,1751.4,1835.3,1815.4,369320.0,669770025.3
2026-06-19,NIBE,EQUITY,EQ,INE149O01018,1762.0,1836.0,1721.0,1815.4,1748.4,433116.0,776983016.5
2026-06-18,NIBE,EQUITY,EQ,INE149O01018,1665.0,1787.8,1655.0,1748.4,1625.3,693812.0,1211645694.9
2026-06-17,NIBE,EQUITY,EQ,INE149O01018,1619.0,1668.0,1611.0,1625.3,1619.0,157228.0,256533453.1
2026-06-16,NIBE,EQUITY,EQ,INE149O01018,1659.9,1659.9,1594.9,1619.0,1641.3,112856.0,183378718.2
2026-06-15,NIBE,EQUITY,EQ,INE149O01018,1625.0,1675.0,1557.7,1641.3,1578.6,383334.0,624571900.1
2026-06-12,NIBE,EQUITY,EQ,INE149O01018,1469.8,1578.6,1467.7,1578.6,1435.1,295217.0,458723503.8
2026-06-11,NIBE,EQUITY,EQ,INE149O01018,1494.0,1494.0,1413.0,1435.1,1502.7,158585.0,229863765.4
2026-06-10,NIBE,EQUITY,EQ,INE149O01018,1549.0,1562.8,1491.0,1502.7,1541.3,154242.0,234984237.4
2026-06-09,NIBE,EQUITY,EQ,INE149O01018,1497.9,1555.0,1457.2,1541.3,1469.2,198510.0,300569439.6
2026-06-08,NIBE,EQUITY,EQ,INE149O01018,1580.0,1634.0,1451.5,1469.2,1590.4,432222.0,670920841.3
2026-06-05,NIBE,EQUITY,EQ,INE149O01018,1502.0,1634.0,1492.4,1590.4,1501.6,460474.0,726195360.1
2026-06-04,NIBE,EQUITY,EQ,INE149O01018,1478.0,1542.0,1478.0,1501.6,1502.1,131783.0,200021409.6
2026-06-03,NIBE,EQUITY,EQ,INE149O01018,1554.9,1558.9,1469.0,1502.1,1541.0,183530.0,276367123.4
