trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,NIRLON,EQUITY,EQ,INE910A01012,619.65,624.75,617.6,619.7,619.65,5143.0,3188834.6
2026-09-08,NIRLON,EQUITY,EQ,INE910A01012,624.55,628.85,619.05,619.65,615.15,10847.0,6727878.05
2026-09-07,NIRLON,EQUITY,EQ,INE910A01012,620.05,624.8,604.55,615.15,620.0,15402.0,9539267.1
2026-09-04,NIRLON,EQUITY,EQ,INE910A01012,621.6,624.5,610.0,620.0,621.6,10246.0,6356861.7
2026-09-03,NIRLON,EQUITY,EQ,INE910A01012,639.8,639.8,620.0,621.6,649.8,14704.0,9173991.05
2026-09-02,NIRLON,EQUITY,EQ,INE910A01012,652.0,652.0,647.0,649.8,649.45,21690.0,14094270.65
2026-09-01,NIRLON,EQUITY,EQ,INE910A01012,654.9,656.0,646.0,649.45,647.35,20163.0,13100020.5
2026-08-31,NIRLON,EQUITY,EQ,INE910A01012,648.6,650.0,645.15,647.35,642.65,13162.0,8528822.9
2026-08-28,NIRLON,EQUITY,EQ,INE910A01012,635.9,644.85,632.35,642.65,631.2,6956.0,4452760.6
2026-08-27,NIRLON,EQUITY,EQ,INE910A01012,645.2,645.2,630.0,631.2,640.7,5317.0,3371150.45
2026-08-26,NIRLON,EQUITY,EQ,INE910A01012,649.3,649.3,637.05,640.7,643.4,2842.0,1821443.0
2026-08-25,NIRLON,EQUITY,EQ,INE910A01012,647.5,648.0,640.95,643.4,642.1,9194.0,5935443.25
2026-08-24,NIRLON,EQUITY,EQ,INE910A01012,635.65,650.0,630.05,642.1,624.75,15735.0,10106587.7
2026-08-21,NIRLON,EQUITY,EQ,INE910A01012,631.0,632.0,623.0,624.75,624.6,3497.0,2195169.35
2026-08-20,NIRLON,EQUITY,EQ,INE910A01012,623.6,630.0,623.0,624.6,621.6,3875.0,2423969.05
2026-08-19,NIRLON,EQUITY,EQ,INE910A01012,622.95,639.8,620.0,621.6,621.9,4727.0,2949655.4
2026-08-18,NIRLON,EQUITY,EQ,INE910A01012,625.4,626.0,620.15,621.9,621.5,4271.0,2657416.95
2026-08-17,NIRLON,EQUITY,EQ,INE910A01012,630.0,644.85,620.0,621.5,626.6,9693.0,6043756.2
2026-08-14,NIRLON,EQUITY,EQ,INE910A01012,630.0,645.0,623.05,626.6,628.65,2544.0,1606728.45
2026-08-13,NIRLON,EQUITY,EQ,INE910A01012,642.25,649.0,621.2,628.65,637.55,4856.0,3056996.65
2026-08-12,NIRLON,EQUITY,EQ,INE910A01012,642.05,649.55,632.0,637.55,640.1,4051.0,2596937.9
2026-08-11,NIRLON,EQUITY,EQ,INE910A01012,633.6,647.4,633.6,640.1,633.2,6982.0,4477779.05
2026-08-10,NIRLON,EQUITY,EQ,INE910A01012,623.8,650.0,620.0,633.2,620.0,93320.0,59205270.35
