trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NUVOCO,EQUITY,EQ,INE118D01016,334.75,338.5,328.7,331.3,334.75,256455.0,85255052.5
2026-09-09,NUVOCO,EQUITY,EQ,INE118D01016,340.0,343.1,332.1,334.75,339.85,302497.0,101398314.15
2026-09-08,NUVOCO,EQUITY,EQ,INE118D01016,347.9,347.9,339.1,339.85,345.1,115833.0,39696765.6
2026-09-07,NUVOCO,EQUITY,EQ,INE118D01016,352.85,353.45,341.0,345.1,352.15,863221.0,297814305.15
2026-09-04,NUVOCO,EQUITY,EQ,INE118D01016,336.65,354.8,336.45,352.15,338.1,1482368.0,518937072.5
2026-09-03,NUVOCO,EQUITY,EQ,INE118D01016,333.0,339.5,328.25,338.1,328.15,705546.0,236253009.3
2026-09-02,NUVOCO,EQUITY,EQ,INE118D01016,322.5,331.9,317.05,328.15,322.85,697182.0,227534437.0
2026-09-01,NUVOCO,EQUITY,EQ,INE118D01016,318.8,325.25,310.3,322.85,318.9,654624.0,207170243.4
2026-08-31,NUVOCO,EQUITY,EQ,INE118D01016,323.65,324.6,318.0,318.9,324.85,149999.0,48008859.0
2026-08-28,NUVOCO,EQUITY,EQ,INE118D01016,324.3,327.55,321.0,324.85,324.15,236387.0,76821025.0
2026-08-27,NUVOCO,EQUITY,EQ,INE118D01016,324.0,329.85,321.5,324.15,324.65,394709.0,128823814.5
2026-08-26,NUVOCO,EQUITY,EQ,INE118D01016,325.3,326.85,320.35,324.65,321.35,260072.0,84159760.8
2026-08-25,NUVOCO,EQUITY,EQ,INE118D01016,322.8,323.4,319.5,321.35,320.6,92944.0,29811363.35
2026-08-24,NUVOCO,EQUITY,EQ,INE118D01016,321.65,323.95,319.3,320.6,322.05,119571.0,38369735.85
2026-08-21,NUVOCO,EQUITY,EQ,INE118D01016,320.2,324.9,319.3,322.05,321.7,163739.0,52802455.25
2026-08-20,NUVOCO,EQUITY,EQ,INE118D01016,317.8,322.6,317.0,321.7,318.5,204635.0,65717284.55
2026-08-19,NUVOCO,EQUITY,EQ,INE118D01016,328.0,328.0,317.2,318.5,326.45,294134.0,94209027.55
2026-08-18,NUVOCO,EQUITY,EQ,INE118D01016,331.1,331.45,325.1,326.45,331.1,193929.0,63519537.5
2026-08-17,NUVOCO,EQUITY,EQ,INE118D01016,330.1,331.9,327.0,331.1,331.55,120491.0,39678283.6
2026-08-14,NUVOCO,EQUITY,EQ,INE118D01016,336.0,336.0,330.25,331.55,337.0,197592.0,65767471.85
2026-08-13,NUVOCO,EQUITY,EQ,INE118D01016,336.25,338.85,331.5,337.0,333.9,200577.0,67264813.55
2026-08-12,NUVOCO,EQUITY,EQ,INE118D01016,331.25,334.65,326.4,333.9,331.25,338524.0,111860329.4
2026-08-11,NUVOCO,EQUITY,EQ,INE118D01016,336.0,342.45,330.1,331.25,337.9,259991.0,86704275.9
2026-08-10,NUVOCO,EQUITY,EQ,INE118D01016,345.8,348.75,337.0,337.9,345.8,315384.0,107207348.9
2026-08-07,NUVOCO,EQUITY,EQ,INE118D01016,352.85,355.6,345.0,345.8,352.85,352219.0,122898080.6
2026-08-06,NUVOCO,EQUITY,EQ,INE118D01016,347.75,357.6,346.25,352.85,346.1,333539.0,117680648.3
2026-08-05,NUVOCO,EQUITY,EQ,INE118D01016,350.65,352.35,344.65,346.1,348.6,237405.0,82368533.9
2026-08-04,NUVOCO,EQUITY,EQ,INE118D01016,352.65,352.65,346.0,348.6,350.6,356006.0,124283086.55
2026-08-03,NUVOCO,EQUITY,EQ,INE118D01016,349.75,353.2,347.05,350.6,344.65,284291.0,99564782.5
2026-07-31,NUVOCO,EQUITY,EQ,INE118D01016,349.2,353.0,343.0,344.65,349.2,380104.0,131791700.05
2026-07-30,NUVOCO,EQUITY,EQ,INE118D01016,353.0,353.9,347.55,349.2,351.75,201243.0,70401800.2
2026-07-29,NUVOCO,EQUITY,EQ,INE118D01016,350.0,356.5,350.0,351.75,350.45,314935.0,111068708.9
2026-07-28,NUVOCO,EQUITY,EQ,INE118D01016,354.5,356.7,348.7,350.45,351.15,312460.0,109786357.25
2026-07-27,NUVOCO,EQUITY,EQ,INE118D01016,359.95,360.45,349.7,351.15,356.05,372984.0,131995572.15
2026-07-24,NUVOCO,EQUITY,EQ,INE118D01016,355.95,361.75,351.0,356.05,361.85,495896.0,176400839.15
2026-07-23,NUVOCO,EQUITY,EQ,INE118D01016,359.65,364.85,354.55,361.85,359.7,889904.0,321022367.6
2026-07-22,NUVOCO,EQUITY,EQ,INE118D01016,363.4,368.5,352.35,359.7,361.6,1594379.0,579190469.55
2026-07-21,NUVOCO,EQUITY,EQ,INE118D01016,350.45,365.95,346.5,361.6,345.9,3422742.0,1233222773.55
2026-07-20,NUVOCO,EQUITY,EQ,INE118D01016,349.0,359.1,343.95,345.9,348.75,1377489.0,485338489.95
2026-07-17,NUVOCO,EQUITY,EQ,INE118D01016,353.95,353.95,342.2,348.75,357.95,3289732.0,1144523110.0
2026-07-16,NUVOCO,EQUITY,EQ,INE118D01016,377.25,383.6,352.6,357.95,377.25,5561296.0,2034615356.4
2026-07-15,NUVOCO,EQUITY,EQ,INE118D01016,348.85,398.0,348.85,377.25,341.4,50549487.0,19321811884.0
2026-07-14,NUVOCO,EQUITY,EQ,INE118D01016,341.95,358.8,334.0,341.4,316.55,21133756.0,7259882068.7
2026-07-13,NUVOCO,EQUITY,EQ,INE118D01016,308.65,325.0,308.65,316.55,320.2,816869.0,259996034.6
2026-07-10,NUVOCO,EQUITY,EQ,INE118D01016,310.3,327.6,310.3,320.2,312.9,294410.0,94682979.0
2026-07-09,NUVOCO,EQUITY,EQ,INE118D01016,313.0,315.55,307.8,312.9,309.75,96232.0,30096618.9
2026-07-08,NUVOCO,EQUITY,EQ,INE118D01016,312.0,318.85,308.0,309.75,315.35,177544.0,55506810.4
2026-07-07,NUVOCO,EQUITY,EQ,INE118D01016,320.0,320.05,314.0,315.35,318.05,125707.0,39721327.35
