trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,NV20BEES,EQUITY,EQ,INF204KB18I3,136.78,137.0,135.75,135.96,136.53,22269.0,3030453.99
2026-09-09,NV20BEES,EQUITY,EQ,INF204KB18I3,137.75,137.75,136.11,136.53,137.75,29712.0,4059215.29
2026-09-08,NV20BEES,EQUITY,EQ,INF204KB18I3,138.43,138.43,137.26,137.75,138.43,14767.0,2034601.72
2026-09-07,NV20BEES,EQUITY,EQ,INF204KB18I3,139.5,139.5,138.01,138.43,139.39,19458.0,2696004.19
2026-09-04,NV20BEES,EQUITY,EQ,INF204KB18I3,139.15,140.12,139.0,139.39,139.13,5065.0,707084.55
2026-09-03,NV20BEES,EQUITY,EQ,INF204KB18I3,140.63,140.63,138.58,139.13,139.66,12226.0,1702485.39
2026-09-02,NV20BEES,EQUITY,EQ,INF204KB18I3,136.04,141.24,136.04,139.66,139.53,14681.0,2046540.2
2026-09-01,NV20BEES,EQUITY,EQ,INF204KB18I3,142.84,142.84,138.91,139.53,139.36,5684.0,793972.47
2026-08-31,NV20BEES,EQUITY,EQ,INF204KB18I3,140.14,140.18,138.63,139.36,139.53,9049.0,1259922.23
2026-08-28,NV20BEES,EQUITY,EQ,INF204KB18I3,139.41,139.9,138.97,139.53,139.41,7735.0,1078574.87
2026-08-27,NV20BEES,EQUITY,EQ,INF204KB18I3,140.06,140.09,138.72,139.41,140.01,19695.0,2746766.26
2026-08-26,NV20BEES,EQUITY,EQ,INF204KB18I3,140.51,140.74,139.65,140.01,139.82,7501.0,1051092.33
2026-08-25,NV20BEES,EQUITY,EQ,INF204KB18I3,139.74,140.33,138.86,139.82,139.16,17915.0,2497655.95
2026-08-24,NV20BEES,EQUITY,EQ,INF204KB18I3,139.8,140.67,138.78,139.16,139.76,17825.0,2490093.3
2026-08-21,NV20BEES,EQUITY,EQ,INF204KB18I3,139.66,140.3,139.17,139.76,139.6,12244.0,1711661.74
2026-08-20,NV20BEES,EQUITY,EQ,INF204KB18I3,139.75,140.42,138.46,139.6,139.75,30350.0,4232006.91
2026-08-19,NV20BEES,EQUITY,EQ,INF204KB18I3,139.9,141.66,138.53,139.75,139.9,16718.0,2321615.47
2026-08-18,NV20BEES,EQUITY,EQ,INF204KB18I3,140.58,140.7,139.59,139.9,140.96,6658.0,931421.56
2026-08-17,NV20BEES,EQUITY,EQ,INF204KB18I3,141.35,142.89,139.55,140.96,141.24,17383.0,2434285.75
2026-08-14,NV20BEES,EQUITY,EQ,INF204KB18I3,141.39,142.0,140.21,141.24,141.39,15473.0,2174374.72
2026-08-13,NV20BEES,EQUITY,EQ,INF204KB18I3,141.9,141.97,140.88,141.39,142.61,19858.0,2803130.14
2026-08-12,NV20BEES,EQUITY,EQ,INF204KB18I3,142.81,143.45,141.1,142.61,141.8,16555.0,2343144.39
2026-08-11,NV20BEES,EQUITY,EQ,INF204KB18I3,143.08,143.08,141.65,141.8,142.47,28506.0,4045126.41
2026-08-10,NV20BEES,EQUITY,EQ,INF204KB18I3,140.02,143.42,140.02,142.47,142.88,15281.0,2179718.87
2026-08-07,NV20BEES,EQUITY,EQ,INF204KB18I3,141.79,142.99,141.79,142.88,142.48,38453.0,5487160.59
2026-08-06,NV20BEES,EQUITY,EQ,INF204KB18I3,142.71,142.84,142.04,142.48,142.24,17677.0,2519538.19
2026-08-05,NV20BEES,EQUITY,EQ,INF204KB18I3,143.14,143.15,141.52,142.24,141.85,11528.0,1635417.18
2026-08-04,NV20BEES,EQUITY,EQ,INF204KB18I3,143.33,143.33,141.5,141.85,142.62,27168.0,3861395.06
2026-08-03,NV20BEES,EQUITY,EQ,INF204KB18I3,142.56,142.9,141.0,142.62,140.78,14634.0,2084337.99
2026-07-31,NV20BEES,EQUITY,EQ,INF204KB18I3,139.7,141.53,138.3,140.78,141.12,12413.0,1746948.82
2026-07-30,NV20BEES,EQUITY,EQ,INF204KB18I3,140.27,142.0,140.27,141.12,140.44,10079.0,1419188.44
2026-07-29,NV20BEES,EQUITY,EQ,INF204KB18I3,140.26,140.99,139.0,140.44,138.88,8785.0,1231087.55
2026-07-28,NV20BEES,EQUITY,EQ,INF204KB18I3,139.53,139.61,138.5,138.88,139.09,6794.0,944382.74
2026-07-27,NV20BEES,EQUITY,EQ,INF204KB18I3,137.51,140.3,136.05,139.09,138.91,9268.0,1290368.68
2026-07-24,NV20BEES,EQUITY,EQ,INF204KB18I3,138.35,141.06,137.25,138.91,138.48,15023.0,2074780.25
2026-07-23,NV20BEES,EQUITY,EQ,INF204KB18I3,139.5,139.5,138.33,138.48,139.6,12986.0,1801639.02
2026-07-22,NV20BEES,EQUITY,EQ,INF204KB18I3,141.28,141.3,139.05,139.6,140.68,13023.0,1817443.17
2026-07-21,NV20BEES,EQUITY,EQ,INF204KB18I3,142.17,142.17,140.5,140.68,141.51,5886.0,830203.36
2026-07-20,NV20BEES,EQUITY,EQ,INF204KB18I3,142.46,142.46,141.26,141.51,142.52,49778.0,7048149.9
2026-07-17,NV20BEES,EQUITY,EQ,INF204KB18I3,141.35,142.95,141.31,142.52,140.52,12434.0,1767494.58
2026-07-16,NV20BEES,EQUITY,EQ,INF204KB18I3,141.32,141.5,140.4,140.52,140.62,8465.0,1194538.04
2026-07-15,NV20BEES,EQUITY,EQ,INF204KB18I3,140.61,142.03,139.45,140.62,141.11,82173.0,11585945.63
