trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ONWARDTEC,EQUITY,EQ,INE229A01017,282.15,298.0,282.15,288.65,285.75,55205.0,16085333.0
2026-09-09,ONWARDTEC,EQUITY,EQ,INE229A01017,285.75,290.0,280.3,285.75,286.3,35966.0,10216737.25
2026-09-08,ONWARDTEC,EQUITY,EQ,INE229A01017,283.85,292.0,282.35,286.3,283.85,48760.0,14021436.05
2026-09-07,ONWARDTEC,EQUITY,EQ,INE229A01017,280.0,286.45,280.0,283.85,284.35,27744.0,7842863.0
2026-09-04,ONWARDTEC,EQUITY,EQ,INE229A01017,283.3,288.0,280.0,284.35,283.3,37115.0,10554954.85
2026-09-03,ONWARDTEC,EQUITY,EQ,INE229A01017,284.55,286.95,281.15,283.3,284.55,24237.0,6903258.25
2026-09-02,ONWARDTEC,EQUITY,EQ,INE229A01017,281.1,286.0,277.5,284.55,283.9,26315.0,7432266.55
2026-09-01,ONWARDTEC,EQUITY,EQ,INE229A01017,291.45,292.5,281.55,283.9,289.75,27299.0,7792774.95
2026-08-31,ONWARDTEC,EQUITY,EQ,INE229A01017,285.0,294.0,284.05,289.75,287.2,57308.0,16581517.25
2026-08-28,ONWARDTEC,EQUITY,EQ,INE229A01017,286.15,291.2,285.0,287.2,285.6,24765.0,7139814.05
2026-08-27,ONWARDTEC,EQUITY,EQ,INE229A01017,283.05,294.35,283.05,285.6,283.4,39930.0,11505337.8
2026-08-26,ONWARDTEC,EQUITY,EQ,INE229A01017,284.9,288.5,283.0,283.4,284.5,25482.0,7249764.35
2026-08-25,ONWARDTEC,EQUITY,EQ,INE229A01017,284.9,287.15,281.85,284.5,286.3,22716.0,6449720.85
2026-08-24,ONWARDTEC,EQUITY,EQ,INE229A01017,285.5,290.4,282.5,286.3,285.5,14752.0,4228355.1
2026-08-21,ONWARDTEC,EQUITY,EQ,INE229A01017,292.5,292.75,284.5,285.5,292.25,30705.0,8832295.75
2026-08-20,ONWARDTEC,EQUITY,EQ,INE229A01017,281.65,295.2,281.65,292.25,282.4,50388.0,14645239.6
2026-08-19,ONWARDTEC,EQUITY,EQ,INE229A01017,282.1,284.7,280.5,282.4,283.65,14293.0,4037979.0
2026-08-18,ONWARDTEC,EQUITY,EQ,INE229A01017,286.75,286.8,282.0,283.65,286.75,14701.0,4174908.6
2026-08-17,ONWARDTEC,EQUITY,EQ,INE229A01017,284.0,289.3,282.2,286.75,284.05,29858.0,8569102.15
2026-08-14,ONWARDTEC,EQUITY,EQ,INE229A01017,289.5,289.5,280.45,284.05,287.4,17108.0,4867694.95
2026-08-13,ONWARDTEC,EQUITY,EQ,INE229A01017,287.55,288.7,284.05,287.4,285.9,18732.0,5357211.45
2026-08-12,ONWARDTEC,EQUITY,EQ,INE229A01017,287.75,289.25,279.15,285.9,286.05,27332.0,7728281.25
2026-08-11,ONWARDTEC,EQUITY,EQ,INE229A01017,288.2,288.35,283.6,286.05,284.75,24291.0,6919241.15
2026-08-10,ONWARDTEC,EQUITY,EQ,INE229A01017,292.1,292.1,283.65,284.75,290.7,20822.0,5966072.55
2026-08-07,ONWARDTEC,EQUITY,EQ,INE229A01017,278.6,292.0,278.6,290.7,278.6,72813.0,20916201.9
2026-08-06,ONWARDTEC,EQUITY,EQ,INE229A01017,275.0,285.45,275.0,278.6,281.55,81147.0,22685784.85
2026-08-05,ONWARDTEC,EQUITY,EQ,INE229A01017,291.4,291.4,279.0,281.55,289.95,49380.0,14066405.65
2026-08-04,ONWARDTEC,EQUITY,EQ,INE229A01017,291.3,293.4,288.0,289.95,293.85,26045.0,7564212.4
2026-08-03,ONWARDTEC,EQUITY,EQ,INE229A01017,294.9,297.35,290.0,293.85,292.1,49531.0,14537767.3
2026-07-31,ONWARDTEC,EQUITY,EQ,INE229A01017,296.55,296.55,290.55,292.1,293.95,41615.0,12173947.6
2026-07-30,ONWARDTEC,EQUITY,EQ,INE229A01017,298.9,300.45,290.0,293.95,297.85,50998.0,15029589.7
2026-07-29,ONWARDTEC,EQUITY,EQ,INE229A01017,296.0,305.8,294.0,297.85,296.3,248193.0,74829989.7
2026-07-28,ONWARDTEC,EQUITY,EQ,INE229A01017,291.25,304.9,289.2,296.3,292.75,312201.0,93004355.4
2026-07-27,ONWARDTEC,EQUITY,EQ,INE229A01017,294.0,305.0,291.1,292.75,290.65,178828.0,53179546.45
2026-07-24,ONWARDTEC,EQUITY,EQ,INE229A01017,292.0,293.95,282.0,290.65,291.45,60942.0,17679399.75
2026-07-23,ONWARDTEC,EQUITY,EQ,INE229A01017,287.05,294.4,280.1,291.45,284.65,113968.0,32944071.7
2026-07-22,ONWARDTEC,EQUITY,EQ,INE229A01017,290.0,291.65,283.0,284.65,292.15,95272.0,27241447.95
2026-07-21,ONWARDTEC,EQUITY,EQ,INE229A01017,274.9,301.95,271.1,292.15,273.35,624810.0,180796731.5
2026-07-20,ONWARDTEC,EQUITY,EQ,INE229A01017,280.35,282.9,269.35,273.35,285.8,146338.0,40011787.7
2026-07-17,ONWARDTEC,EQUITY,EQ,INE229A01017,282.0,288.7,277.15,285.8,288.2,229348.0,65195819.8
2026-07-16,ONWARDTEC,EQUITY,EQ,INE229A01017,287.0,308.85,277.0,288.2,283.6,5260405.0,1571516030.05
2026-07-15,ONWARDTEC,EQUITY,EQ,INE229A01017,282.0,289.95,277.5,283.6,284.65,68247.0,19325347.55
2026-07-14,ONWARDTEC,EQUITY,EQ,INE229A01017,289.75,299.8,279.55,284.65,290.45,87237.0,25452411.05
2026-07-13,ONWARDTEC,EQUITY,EQ,INE229A01017,284.75,294.35,282.3,290.45,284.4,84692.0,24518799.15
2026-07-10,ONWARDTEC,EQUITY,EQ,INE229A01017,278.0,288.95,278.0,284.4,280.2,44931.0,12766426.1
2026-07-09,ONWARDTEC,EQUITY,EQ,INE229A01017,279.6,286.95,273.95,280.2,278.25,50856.0,14296807.8
2026-07-08,ONWARDTEC,EQUITY,EQ,INE229A01017,276.0,288.9,276.0,278.25,279.6,63444.0,17852694.95
2026-07-07,ONWARDTEC,EQUITY,EQ,INE229A01017,281.05,285.3,276.45,279.6,281.05,40100.0,11276575.95
2026-07-06,ONWARDTEC,EQUITY,EQ,INE229A01017,280.6,283.65,272.0,281.05,281.15,84990.0,23661668.3
2026-07-03,ONWARDTEC,EQUITY,EQ,INE229A01017,287.0,289.55,278.55,281.15,292.15,93983.0,26618098.5
2026-07-02,ONWARDTEC,EQUITY,EQ,INE229A01017,289.9,294.0,286.75,292.15,289.15,144254.0,41932568.55
2026-07-01,ONWARDTEC,EQUITY,EQ,INE229A01017,289.4,294.0,286.45,289.15,286.25,119953.0,34787513.1
2026-06-30,ONWARDTEC,EQUITY,EQ,INE229A01017,286.75,289.95,281.9,286.25,287.0,108609.0,30929365.75
2026-06-29,ONWARDTEC,EQUITY,EQ,INE229A01017,288.1,297.0,280.7,287.0,284.7,973643.0,281852255.95
2026-06-25,ONWARDTEC,EQUITY,EQ,INE229A01017,272.0,310.9,268.05,284.7,268.4,10680239.0,3178955221.0
2026-06-24,ONWARDTEC,EQUITY,EQ,INE229A01017,258.85,273.9,255.95,268.4,258.1,100913.0,27021623.6
2026-06-23,ONWARDTEC,EQUITY,EQ,INE229A01017,263.0,265.2,255.7,258.1,263.1,24372.0,6348368.75
2026-06-22,ONWARDTEC,EQUITY,EQ,INE229A01017,254.45,270.4,254.45,263.1,256.8,99260.0,26188888.6
2026-06-19,ONWARDTEC,EQUITY,EQ,INE229A01017,256.4,260.15,249.7,256.8,256.4,36123.0,9246035.05
2026-06-18,ONWARDTEC,EQUITY,EQ,INE229A01017,261.0,261.0,254.6,256.4,257.4,34850.0,8967542.65
2026-06-17,ONWARDTEC,EQUITY,EQ,INE229A01017,252.0,261.0,251.85,257.4,251.85,48045.0,12360253.95
2026-06-16,ONWARDTEC,EQUITY,EQ,INE229A01017,251.3,258.95,250.5,251.85,252.55,54383.0,13823835.35
2026-06-15,ONWARDTEC,EQUITY,EQ,INE229A01017,253.9,255.85,245.0,252.55,248.15,47056.0,11834187.1
2026-06-12,ONWARDTEC,EQUITY,EQ,INE229A01017,253.95,257.1,246.35,248.15,250.2,37016.0,9257848.1
2026-06-11,ONWARDTEC,EQUITY,EQ,INE229A01017,248.55,253.45,247.3,250.2,252.95,30736.0,7700087.9
2026-06-10,ONWARDTEC,EQUITY,EQ,INE229A01017,257.3,260.9,251.0,252.95,255.75,36916.0,9397112.55
2026-06-09,ONWARDTEC,EQUITY,EQ,INE229A01017,259.2,264.6,254.05,255.75,258.2,28562.0,7344174.9
2026-06-08,ONWARDTEC,EQUITY,EQ,INE229A01017,252.15,259.2,252.15,258.2,255.1,67033.0,17194888.45
2026-06-05,ONWARDTEC,EQUITY,EQ,INE229A01017,255.0,260.95,251.9,255.1,257.9,175937.0,45118466.85
2026-06-04,ONWARDTEC,EQUITY,EQ,INE229A01017,261.1,262.45,256.25,257.9,259.8,103382.0,26713345.6
2026-06-03,ONWARDTEC,EQUITY,EQ,INE229A01017,267.1,271.0,258.0,259.8,269.25,53550.0,14138259.2
2026-06-02,ONWARDTEC,EQUITY,EQ,INE229A01017,259.75,272.55,255.1,269.25,259.95,55222.0,14770015.7
2026-06-01,ONWARDTEC,EQUITY,EQ,INE229A01017,261.65,274.0,256.6,259.95,264.87,47179.0,12507082.8
2026-05-29,ONWARDTEC,EQUITY,EQ,INE229A01017,268.97,272.4,262.2,264.87,268.97,41250.0,11067597.6
2026-05-27,ONWARDTEC,EQUITY,EQ,INE229A01017,271.88,272.39,266.71,268.97,271.88,23769.0,6384018.11
2026-05-26,ONWARDTEC,EQUITY,EQ,INE229A01017,270.12,277.49,270.12,271.88,270.12,64610.0,17699688.19
2026-05-25,ONWARDTEC,EQUITY,EQ,INE229A01017,265.37,272.75,259.0,270.12,261.45,56057.0,15026496.33
2026-05-22,ONWARDTEC,EQUITY,EQ,INE229A01017,263.5,266.5,257.18,261.45,260.17,44195.0,11553067.33
2026-05-21,ONWARDTEC,EQUITY,EQ,INE229A01017,263.95,263.96,257.51,260.17,260.06,21791.0,5676063.06
2026-05-20,ONWARDTEC,EQUITY,EQ,INE229A01017,256.2,261.34,252.86,260.06,258.17,18452.0,4781190.51
2026-05-19,ONWARDTEC,EQUITY,EQ,INE229A01017,252.35,262.0,250.0,258.17,250.96,45037.0,11551170.9
2026-05-18,ONWARDTEC,EQUITY,EQ,INE229A01017,261.01,264.0,249.0,250.96,271.17,75514.0,19177094.28
2026-05-15,ONWARDTEC,EQUITY,EQ,INE229A01017,272.0,275.3,264.01,271.17,266.94,227160.0,61628114.13
2026-05-14,ONWARDTEC,EQUITY,EQ,INE229A01017,273.9,279.0,265.1,266.94,270.26,158636.0,42813562.36
2026-05-13,ONWARDTEC,EQUITY,EQ,INE229A01017,271.0,272.7,265.02,270.26,265.71,95430.0,25663422.24
2026-05-12,ONWARDTEC,EQUITY,EQ,INE229A01017,273.5,280.0,264.02,265.71,273.59,271673.0,73352981.95
2026-05-11,ONWARDTEC,EQUITY,EQ,INE229A01017,277.0,282.28,269.99,273.59,276.27,208387.0,57519521.92
