trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,ORCHPHARMA,EQUITY,EQ,INE191A01027,975.8,1035.1,969.6,1024.85,965.8,161851.0,164086987.9
2026-09-08,ORCHPHARMA,EQUITY,EQ,INE191A01027,945.0,968.5,937.35,965.8,947.1,26453.0,25431927.5
2026-09-07,ORCHPHARMA,EQUITY,EQ,INE191A01027,949.9,955.15,942.0,947.1,954.65,12349.0,11698089.1
2026-09-04,ORCHPHARMA,EQUITY,EQ,INE191A01027,937.0,965.45,934.7,954.65,934.65,41657.0,39620833.85
2026-09-03,ORCHPHARMA,EQUITY,EQ,INE191A01027,936.0,954.75,931.1,934.65,938.05,33332.0,31301747.2
2026-09-02,ORCHPHARMA,EQUITY,EQ,INE191A01027,946.0,954.95,931.35,938.05,947.9,39875.0,37653810.2
2026-09-01,ORCHPHARMA,EQUITY,EQ,INE191A01027,974.0,984.95,941.95,947.9,970.9,45671.0,43889263.05
2026-08-31,ORCHPHARMA,EQUITY,EQ,INE191A01027,972.3,1000.0,948.0,970.9,975.6,27730.0,26762511.1
2026-08-28,ORCHPHARMA,EQUITY,EQ,INE191A01027,931.9,980.0,924.95,975.6,928.8,63715.0,61003003.25
2026-08-27,ORCHPHARMA,EQUITY,EQ,INE191A01027,973.35,984.0,923.7,928.8,973.35,177784.0,167365599.1
2026-08-26,ORCHPHARMA,EQUITY,EQ,INE191A01027,1044.5,1062.0,966.65,973.35,1038.55,101085.0,101385809.05
2026-08-25,ORCHPHARMA,EQUITY,EQ,INE191A01027,1039.5,1043.95,1002.7,1038.55,1038.1,59978.0,61437283.65
2026-08-24,ORCHPHARMA,EQUITY,EQ,INE191A01027,1020.0,1049.0,995.0,1038.1,1002.05,143314.0,146783059.4
2026-08-21,ORCHPHARMA,EQUITY,EQ,INE191A01027,988.45,1026.0,974.25,1002.05,980.05,106269.0,106408668.35
2026-08-20,ORCHPHARMA,EQUITY,EQ,INE191A01027,981.35,994.6,971.1,980.05,979.5,54874.0,53779287.95
2026-08-19,ORCHPHARMA,EQUITY,EQ,INE191A01027,959.0,998.5,959.0,979.5,969.2,74461.0,72926306.95
2026-08-18,ORCHPHARMA,EQUITY,EQ,INE191A01027,999.0,1000.0,951.0,969.2,998.35,103600.0,100231425.75
2026-08-17,ORCHPHARMA,EQUITY,EQ,INE191A01027,960.0,1005.95,941.2,998.35,1045.65,197589.0,192317767.2
2026-08-14,ORCHPHARMA,EQUITY,EQ,INE191A01027,1042.0,1070.0,1035.0,1045.65,1033.9,64474.0,67582104.75
2026-08-13,ORCHPHARMA,EQUITY,EQ,INE191A01027,1074.5,1078.5,1023.2,1033.9,1063.3,55834.0,58654138.8
2026-08-12,ORCHPHARMA,EQUITY,EQ,INE191A01027,1084.0,1089.0,1053.1,1063.3,1078.55,49202.0,52268400.9
2026-08-11,ORCHPHARMA,EQUITY,EQ,INE191A01027,1100.0,1133.0,1070.0,1078.55,1079.15,188232.0,208922293.1
2026-08-10,ORCHPHARMA,EQUITY,EQ,INE191A01027,1055.0,1089.9,994.0,1079.15,1001.85,222143.0,235463730.8
2026-08-07,ORCHPHARMA,EQUITY,EQ,INE191A01027,1003.1,1010.0,989.15,1001.85,997.55,26620.0,26610622.2
2026-08-06,ORCHPHARMA,EQUITY,EQ,INE191A01027,998.95,1015.65,985.1,997.55,990.35,49403.0,49303772.0
2026-08-05,ORCHPHARMA,EQUITY,EQ,INE191A01027,1017.8,1035.0,982.1,990.35,1006.4,79427.0,80159262.55
2026-08-04,ORCHPHARMA,EQUITY,EQ,INE191A01027,987.7,1020.0,983.4,1006.4,990.65,23659.0,23594976.4
2026-08-03,ORCHPHARMA,EQUITY,EQ,INE191A01027,990.0,998.0,975.1,990.65,986.55,44068.0,43577752.7
2026-07-31,ORCHPHARMA,EQUITY,EQ,INE191A01027,995.2,1004.95,983.2,986.55,1000.25,29849.0,29598962.0
2026-07-30,ORCHPHARMA,EQUITY,EQ,INE191A01027,1004.0,1009.0,982.25,1000.25,1001.45,36314.0,36205003.95
2026-07-29,ORCHPHARMA,EQUITY,EQ,INE191A01027,982.1,1022.0,982.1,1001.45,985.35,47133.0,47378592.65
