trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,585.0,588.9,576.0,578.5,586.3,46377.0,27051495.85
2026-09-09,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,590.0,593.85,582.2,586.3,589.85,44801.0,26420942.45
2026-09-08,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,593.0,597.55,588.05,589.85,590.7,48821.0,28995903.9
2026-09-07,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,591.15,598.2,587.0,590.7,594.15,39698.0,23535700.9
2026-09-04,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,585.1,598.7,585.1,594.15,588.5,84660.0,50306192.9
2026-09-03,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,587.55,596.45,583.8,588.5,590.9,55776.0,33014450.55
2026-09-02,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,583.95,593.95,577.5,590.9,584.5,66831.0,39251105.65
2026-09-01,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,594.6,606.0,581.5,584.5,594.6,248327.0,147435973.15
2026-08-31,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,597.0,608.7,585.75,594.6,595.4,217344.0,130403713.15
2026-08-28,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,611.0,616.45,590.25,595.4,606.0,235478.0,142603680.05
2026-08-27,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,575.95,609.9,575.95,606.0,579.8,407447.0,242139883.75
2026-08-26,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,564.2,580.85,564.05,579.8,565.7,68491.0,39347103.5
2026-08-25,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,572.9,572.9,555.15,565.7,570.3,95075.0,53576366.0
2026-08-24,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,553.5,583.35,553.5,570.3,552.2,234523.0,134066221.15
2026-08-21,ORKLAINDIA,EQUITY,EQ,INE16NZ01023,546.65,560.0,546.65,552.2,550.35,60563.0,33614633.65
