trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,PAUSHAKLTD,EQUITY,EQ,INE111F01024,775.75,780.0,741.6,754.3,770.7,32142.0,24245580.2
2026-09-08,PAUSHAKLTD,EQUITY,EQ,INE111F01024,767.0,780.95,744.35,770.7,763.1,36424.0,27577786.0
2026-09-07,PAUSHAKLTD,EQUITY,EQ,INE111F01024,790.9,790.9,760.0,763.1,785.5,19900.0,15395843.15
2026-09-04,PAUSHAKLTD,EQUITY,EQ,INE111F01024,808.0,816.45,781.0,785.5,806.15,31723.0,25198556.45
2026-09-03,PAUSHAKLTD,EQUITY,EQ,INE111F01024,800.0,826.75,788.3,806.15,785.7,64991.0,52665112.65
2026-09-02,PAUSHAKLTD,EQUITY,EQ,INE111F01024,802.0,820.0,771.7,785.7,801.6,41615.0,33113230.3
2026-09-01,PAUSHAKLTD,EQUITY,EQ,INE111F01024,758.0,824.0,752.5,801.6,758.05,134619.0,107461878.05
2026-08-31,PAUSHAKLTD,EQUITY,EQ,INE111F01024,774.0,789.3,751.0,758.05,776.7,39360.0,30255560.65
2026-08-28,PAUSHAKLTD,EQUITY,EQ,INE111F01024,732.2,789.9,732.2,776.7,738.2,71076.0,55216985.05
2026-08-27,PAUSHAKLTD,EQUITY,EQ,INE111F01024,746.15,754.65,735.1,738.2,750.55,7797.0,5786550.75
2026-08-26,PAUSHAKLTD,EQUITY,EQ,INE111F01024,757.95,763.45,746.1,750.55,751.5,8349.0,6295549.55
2026-08-25,PAUSHAKLTD,EQUITY,EQ,INE111F01024,778.0,778.0,749.1,751.5,768.6,15690.0,11921735.3
2026-08-24,PAUSHAKLTD,EQUITY,EQ,INE111F01024,765.0,777.15,742.0,768.6,763.35,27685.0,21050234.05
2026-08-21,PAUSHAKLTD,EQUITY,EQ,INE111F01024,787.0,787.0,752.3,763.35,787.4,34544.0,26406848.45
2026-08-20,PAUSHAKLTD,EQUITY,EQ,INE111F01024,776.8,803.95,776.75,787.4,777.8,56944.0,45166573.25
2026-08-19,PAUSHAKLTD,EQUITY,EQ,INE111F01024,788.0,814.65,769.35,777.8,752.35,327085.0,260136080.7
