trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,POLYPLEX,EQUITY,EQ,INE633B01018,1147.0,1158.8,1135.1,1140.0,1149.6,36081.0,41313413.9
2026-09-08,POLYPLEX,EQUITY,EQ,INE633B01018,1175.0,1177.6,1141.5,1149.6,1180.0,51471.0,59424013.5
2026-09-07,POLYPLEX,EQUITY,EQ,INE633B01018,1185.0,1192.8,1166.1,1180.0,1191.0,35308.0,41530417.6
2026-09-04,POLYPLEX,EQUITY,EQ,INE633B01018,1207.9,1207.9,1178.1,1191.0,1202.7,72824.0,86625522.0
2026-09-03,POLYPLEX,EQUITY,EQ,INE633B01018,1195.0,1207.9,1190.4,1202.7,1190.4,44615.0,53549866.9
2026-09-02,POLYPLEX,EQUITY,EQ,INE633B01018,1182.1,1194.7,1172.1,1190.4,1187.7,46020.0,54534409.9
2026-09-01,POLYPLEX,EQUITY,EQ,INE633B01018,1183.1,1203.9,1175.0,1187.7,1182.6,59402.0,70840266.2
2026-08-31,POLYPLEX,EQUITY,EQ,INE633B01018,1175.0,1203.9,1175.0,1182.6,1184.4,87851.0,104919187.3
2026-08-28,POLYPLEX,EQUITY,EQ,INE633B01018,1150.0,1190.9,1150.0,1184.4,1149.2,71791.0,84594061.7
2026-08-27,POLYPLEX,EQUITY,EQ,INE633B01018,1172.5,1181.5,1147.1,1149.2,1175.4,43298.0,50167765.1
2026-08-26,POLYPLEX,EQUITY,EQ,INE633B01018,1185.5,1215.3,1171.6,1175.4,1180.2,46483.0,55140579.8
2026-08-25,POLYPLEX,EQUITY,EQ,INE633B01018,1170.9,1193.5,1167.0,1180.2,1170.0,66876.0,79004578.3
2026-08-24,POLYPLEX,EQUITY,EQ,INE633B01018,1194.1,1196.8,1167.1,1170.0,1194.1,53819.0,63268984.0
2026-08-21,POLYPLEX,EQUITY,EQ,INE633B01018,1171.0,1205.0,1170.9,1194.1,1170.9,67675.0,80746070.0
2026-08-20,POLYPLEX,EQUITY,EQ,INE633B01018,1185.0,1191.2,1163.9,1170.9,1171.9,31166.0,36675774.4
2026-08-19,POLYPLEX,EQUITY,EQ,INE633B01018,1182.0,1191.5,1166.9,1171.9,1182.0,51103.0,60152503.7
2026-08-18,POLYPLEX,EQUITY,EQ,INE633B01018,1217.1,1220.9,1177.9,1182.0,1210.8,90057.0,107947478.3
2026-08-17,POLYPLEX,EQUITY,EQ,INE633B01018,1190.0,1222.0,1180.9,1210.8,1181.5,195251.0,236131878.3
2026-08-14,POLYPLEX,EQUITY,EQ,INE633B01018,1162.0,1207.3,1160.0,1181.5,1167.2,116987.0,138994082.1
2026-08-13,POLYPLEX,EQUITY,EQ,INE633B01018,1201.0,1203.7,1161.0,1167.2,1185.5,85409.0,100627362.0
2026-08-12,POLYPLEX,EQUITY,EQ,INE633B01018,1259.5,1264.0,1169.8,1185.5,1229.6,704313.0,854851953.1
2026-08-11,POLYPLEX,EQUITY,EQ,INE633B01018,1193.4,1235.3,1183.0,1229.6,1179.7,461852.0,562117291.1
2026-08-10,POLYPLEX,EQUITY,EQ,INE633B01018,1115.9,1188.0,1107.3,1179.7,1115.9,269422.0,314511180.7
2026-08-07,POLYPLEX,EQUITY,EQ,INE633B01018,1115.1,1134.0,1110.0,1115.9,1115.1,46724.0,52422134.3
2026-08-06,POLYPLEX,EQUITY,EQ,INE633B01018,1112.1,1126.4,1110.0,1115.1,1118.8,19280.0,21563711.5
2026-08-05,POLYPLEX,EQUITY,EQ,INE633B01018,1123.0,1123.2,1103.2,1118.8,1116.6,35984.0,40206991.5
2026-08-04,POLYPLEX,EQUITY,EQ,INE633B01018,1091.1,1127.4,1091.1,1116.6,1094.8,54961.0,61086689.8
2026-08-03,POLYPLEX,EQUITY,EQ,INE633B01018,1104.5,1114.5,1091.1,1094.8,1105.3,60391.0,66314128.2
2026-07-31,POLYPLEX,EQUITY,EQ,INE633B01018,1116.6,1116.6,1101.05,1105.3,1103.45,19060.0,21108235.7
2026-07-30,POLYPLEX,EQUITY,EQ,INE633B01018,1121.1,1128.75,1100.0,1103.45,1121.1,46801.0,52013179.4
2026-07-29,POLYPLEX,EQUITY,EQ,INE633B01018,1140.0,1142.0,1115.0,1121.1,1141.35,46831.0,52689432.4
2026-07-28,POLYPLEX,EQUITY,EQ,INE633B01018,1168.8,1168.8,1136.5,1141.35,1161.9,34488.0,39488746.7
2026-07-27,POLYPLEX,EQUITY,EQ,INE633B01018,1137.4,1174.0,1131.85,1161.9,1128.95,117512.0,136583450.15
2026-07-24,POLYPLEX,EQUITY,EQ,INE633B01018,1150.0,1150.0,1110.15,1128.95,1142.15,101805.0,114549227.15
2026-07-23,POLYPLEX,EQUITY,EQ,INE633B01018,1119.0,1162.0,1104.05,1142.15,1115.05,287567.0,328417655.9
2026-07-22,POLYPLEX,EQUITY,EQ,INE633B01018,1070.0,1121.5,1058.8,1115.05,1071.95,270620.0,299463801.15
2026-07-21,POLYPLEX,EQUITY,EQ,INE633B01018,1086.5,1089.75,1068.0,1071.95,1075.35,40626.0,43756501.55
2026-07-20,POLYPLEX,EQUITY,EQ,INE633B01018,1067.5,1100.0,1067.5,1075.35,1077.55,81453.0,88610944.4
2026-07-17,POLYPLEX,EQUITY,EQ,INE633B01018,1067.0,1081.0,1054.25,1077.55,1063.8,46297.0,49474522.95
2026-07-16,POLYPLEX,EQUITY,EQ,INE633B01018,1065.0,1077.0,1058.8,1063.8,1069.5,38278.0,40881226.0
2026-07-15,POLYPLEX,EQUITY,EQ,INE633B01018,1062.7,1077.5,1051.5,1069.5,1062.7,55073.0,58460903.45
2026-07-14,POLYPLEX,EQUITY,EQ,INE633B01018,1090.0,1090.0,1056.35,1062.7,1092.75,64414.0,68975840.85
2026-07-13,POLYPLEX,EQUITY,EQ,INE633B01018,1060.0,1095.0,1052.0,1092.75,1060.55,162227.0,175023497.4
2026-07-10,POLYPLEX,EQUITY,EQ,INE633B01018,1039.5,1075.2,1025.8,1060.55,1029.45,175113.0,185195559.6
2026-07-09,POLYPLEX,EQUITY,EQ,INE633B01018,1024.0,1042.0,1011.1,1029.45,1019.15,96276.0,99407678.25
2026-07-08,POLYPLEX,EQUITY,EQ,INE633B01018,1017.0,1031.2,1003.05,1019.15,1025.05,106608.0,108725637.45
2026-07-07,POLYPLEX,EQUITY,EQ,INE633B01018,1022.0,1052.0,1005.0,1025.05,1014.9,172333.0,178168660.7
2026-07-06,POLYPLEX,EQUITY,EQ,INE633B01018,1017.0,1026.15,1000.0,1014.9,1017.15,128380.0,129731837.8
2026-07-03,POLYPLEX,EQUITY,EQ,INE633B01018,998.65,1043.85,998.65,1017.15,991.2,218748.0,224295025.7
2026-07-02,POLYPLEX,EQUITY,EQ,INE633B01018,969.0,1014.45,967.1,991.2,959.65,140081.0,139787490.2
2026-07-01,POLYPLEX,EQUITY,EQ,INE633B01018,958.1,974.9,950.25,959.65,951.6,71830.0,69291185.5
2026-06-30,POLYPLEX,EQUITY,EQ,INE633B01018,969.35,979.35,950.2,951.6,969.35,83091.0,79829611.75
2026-06-29,POLYPLEX,EQUITY,EQ,INE633B01018,992.15,992.15,958.6,969.35,984.3,98065.0,95124761.25
2026-06-25,POLYPLEX,EQUITY,EQ,INE633B01018,1030.1,1054.7,965.05,984.3,1038.15,381767.0,385560514.95
2026-06-24,POLYPLEX,EQUITY,EQ,INE633B01018,968.05,1046.8,968.05,1038.15,967.55,509430.0,516991764.35
2026-06-23,POLYPLEX,EQUITY,EQ,INE633B01018,971.85,1049.0,960.4,967.55,952.9,1303170.0,1313103382.4
2026-06-22,POLYPLEX,EQUITY,EQ,INE633B01018,957.9,971.9,948.7,952.9,951.1,76255.0,73160734.6
2026-06-19,POLYPLEX,EQUITY,EQ,INE633B01018,926.5,955.55,925.0,951.1,929.45,129385.0,122458481.8
2026-06-18,POLYPLEX,EQUITY,EQ,INE633B01018,929.95,943.45,926.25,929.45,923.15,61241.0,57126054.8
2026-06-17,POLYPLEX,EQUITY,EQ,INE633B01018,929.0,938.0,920.55,923.15,929.0,43480.0,40342472.0
2026-06-16,POLYPLEX,EQUITY,EQ,INE633B01018,913.7,938.9,913.7,929.0,913.7,78256.0,72806522.6
2026-06-15,POLYPLEX,EQUITY,EQ,INE633B01018,905.65,923.6,905.65,913.7,898.35,62637.0,57245798.6
2026-06-12,POLYPLEX,EQUITY,EQ,INE633B01018,890.9,916.0,890.9,898.35,887.25,51582.0,46412218.15
