trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-14,PPAP,EQUITY,EQ,INE095I01015,367.99,369.3,334.93,338.02,372.14,529664.0,185090071.1
2026-07-13,PPAP,EQUITY,EQ,INE095I01015,323.5,379.5,320.01,372.14,323.37,3404728.0,1214044904.59
2026-07-10,PPAP,EQUITY,EQ,INE095I01015,280.5,331.95,272.25,323.37,276.63,2115337.0,656494254.33
2026-07-09,PPAP,EQUITY,EQ,INE095I01015,269.0,292.9,269.0,276.63,257.43,674942.0,188467034.18
2026-07-08,PPAP,EQUITY,EQ,INE095I01015,246.0,262.0,243.31,257.43,246.82,90232.0,23200608.01
2026-07-07,PPAP,EQUITY,EQ,INE095I01015,245.16,253.63,245.16,246.82,247.64,21820.0,5446115.03
2026-07-06,PPAP,EQUITY,EQ,INE095I01015,259.0,260.18,244.21,247.64,256.48,30884.0,7695211.48
2026-07-03,PPAP,EQUITY,EQ,INE095I01015,249.52,264.32,249.34,256.48,249.52,64508.0,16685317.38
2026-07-02,PPAP,EQUITY,EQ,INE095I01015,252.0,254.39,244.84,249.52,249.38,26623.0,6641948.63
2026-07-01,PPAP,EQUITY,EQ,INE095I01015,239.46,259.5,236.71,249.38,236.7,47737.0,11894245.81
2026-06-30,PPAP,EQUITY,EQ,INE095I01015,239.85,244.79,235.26,236.7,235.9,33530.0,8070282.54
2026-06-29,PPAP,EQUITY,EQ,INE095I01015,230.0,243.82,230.0,235.9,231.17,46528.0,10997114.18
2026-06-25,PPAP,EQUITY,EQ,INE095I01015,241.87,243.58,229.85,231.17,240.39,22188.0,5223638.71
2026-06-24,PPAP,EQUITY,EQ,INE095I01015,238.0,244.01,238.0,240.39,238.82,18550.0,4468931.55
2026-06-23,PPAP,EQUITY,EQ,INE095I01015,254.0,254.0,237.0,238.82,250.59,74210.0,18062189.26
2026-06-22,PPAP,EQUITY,EQ,INE095I01015,254.93,260.0,248.36,250.59,254.93,38023.0,9684221.94
2026-06-19,PPAP,EQUITY,EQ,INE095I01015,261.5,261.5,250.98,254.93,259.6,47730.0,12180830.98
2026-06-18,PPAP,EQUITY,EQ,INE095I01015,236.6,263.99,236.6,259.6,240.01,237527.0,61238536.25
2026-06-17,PPAP,EQUITY,EQ,INE095I01015,243.27,249.8,235.0,240.01,243.27,30292.0,7385264.8
2026-06-16,PPAP,EQUITY,EQ,INE095I01015,243.0,245.0,235.0,243.27,243.1,29513.0,7094554.75
2026-06-15,PPAP,EQUITY,EQ,INE095I01015,248.0,252.6,240.0,243.1,248.9,97311.0,23998223.93
2026-06-12,PPAP,EQUITY,EQ,INE095I01015,263.79,268.5,244.0,248.9,244.82,501317.0,127024049.74
2026-06-11,PPAP,EQUITY,EQ,INE095I01015,215.85,246.91,215.85,244.82,205.76,1470286.0,352106148.55
2026-06-10,PPAP,EQUITY,EQ,INE095I01015,209.85,209.85,205.11,205.76,208.32,10791.0,2229552.65
2026-06-09,PPAP,EQUITY,EQ,INE095I01015,212.3,212.42,208.0,208.32,208.72,7733.0,1619000.46
2026-06-08,PPAP,EQUITY,EQ,INE095I01015,209.89,210.99,205.11,208.72,207.37,8420.0,1760511.24
2026-06-05,PPAP,EQUITY,EQ,INE095I01015,209.33,211.98,206.25,207.37,207.86,4950.0,1035870.1
2026-06-04,PPAP,EQUITY,EQ,INE095I01015,214.46,214.5,207.1,207.86,213.41,11786.0,2466316.95
2026-06-03,PPAP,EQUITY,EQ,INE095I01015,206.5,215.8,205.0,213.41,206.52,11780.0,2467423.65
2026-06-02,PPAP,EQUITY,EQ,INE095I01015,208.89,210.4,206.1,206.52,207.82,7275.0,1513006.82
2026-06-01,PPAP,EQUITY,EQ,INE095I01015,214.4,214.4,206.0,207.82,208.22,10791.0,2244782.31
2026-05-29,PPAP,EQUITY,EQ,INE095I01015,215.9,215.9,207.28,208.22,210.39,11077.0,2332222.56
2026-05-27,PPAP,EQUITY,EQ,INE095I01015,214.95,214.95,210.0,210.39,211.0,14295.0,3013732.0
2026-05-26,PPAP,EQUITY,EQ,INE095I01015,214.9,216.25,210.3,211.0,211.99,7794.0,1656857.36
2026-05-25,PPAP,EQUITY,EQ,INE095I01015,210.0,214.78,209.52,211.99,208.6,7426.0,1569915.75
2026-05-22,PPAP,EQUITY,EQ,INE095I01015,212.95,213.4,208.19,208.6,208.63,8599.0,1807411.12
2026-05-21,PPAP,EQUITY,EQ,INE095I01015,212.5,216.9,208.0,208.63,208.06,15976.0,3382399.51
2026-05-20,PPAP,EQUITY,EQ,INE095I01015,207.54,213.55,205.05,208.06,210.62,16763.0,3486662.03
2026-05-19,PPAP,EQUITY,EQ,INE095I01015,208.01,214.98,207.24,210.62,208.66,15004.0,3157993.36
2026-05-18,PPAP,EQUITY,EQ,INE095I01015,212.2,212.2,206.51,208.66,215.35,13530.0,2827544.13
2026-05-15,PPAP,EQUITY,EQ,INE095I01015,224.9,224.9,214.0,215.35,220.45,10584.0,2318143.41
2026-05-14,PPAP,EQUITY,EQ,INE095I01015,214.5,223.19,210.32,220.45,214.29,40701.0,8830345.51
2026-05-13,PPAP,EQUITY,EQ,INE095I01015,213.39,225.9,210.35,214.29,213.15,70800.0,15380756.35
2026-05-12,PPAP,EQUITY,EQ,INE095I01015,238.0,238.79,210.35,213.15,240.15,125300.0,28195283.34
2026-05-11,PPAP,EQUITY,EQ,INE095I01015,245.0,249.9,235.59,240.15,232.25,174380.0,42451481.61
2026-05-08,PPAP,EQUITY,EQ,INE095I01015,216.5,237.0,212.5,232.25,217.6,70463.0,15856467.95
2026-05-07,PPAP,EQUITY,EQ,INE095I01015,207.7,219.5,206.0,217.6,203.17,39595.0,8441636.23
2026-05-06,PPAP,EQUITY,EQ,INE095I01015,202.0,206.95,196.4,203.17,201.37,26167.0,5308130.38
2026-05-05,PPAP,EQUITY,EQ,INE095I01015,206.0,207.86,199.22,201.37,201.57,17115.0,3470320.81
2026-05-04,PPAP,EQUITY,EQ,INE095I01015,208.73,210.99,200.0,201.57,203.1,22670.0,4630113.23
2026-04-30,PPAP,EQUITY,EQ,INE095I01015,214.69,214.69,202.0,203.1,210.05,18133.0,3725056.95
2026-04-29,PPAP,EQUITY,EQ,INE095I01015,216.44,218.06,206.6,210.05,213.22,12616.0,2692658.48
2026-04-28,PPAP,EQUITY,EQ,INE095I01015,220.58,221.68,212.42,213.22,219.04,9165.0,1978517.57
2026-04-27,PPAP,EQUITY,EQ,INE095I01015,214.8,223.99,210.93,219.04,210.59,14281.0,3124472.15
2026-04-24,PPAP,EQUITY,EQ,INE095I01015,217.97,217.97,208.26,210.59,210.27,6990.0,1473734.79
2026-04-23,PPAP,EQUITY,EQ,INE095I01015,212.9,220.0,209.16,210.27,213.52,8638.0,1847694.26
2026-04-22,PPAP,EQUITY,EQ,INE095I01015,212.36,221.7,210.6,213.52,212.35,15921.0,3439090.57
2026-04-21,PPAP,EQUITY,EQ,INE095I01015,210.05,216.85,210.05,212.35,209.74,8593.0,1837672.08
2026-04-20,PPAP,EQUITY,EQ,INE095I01015,209.1,216.0,208.68,209.74,212.24,7409.0,1574014.19
2026-04-17,PPAP,EQUITY,EQ,INE095I01015,208.78,214.0,206.71,212.24,207.6,9158.0,1925731.78
2026-04-16,PPAP,EQUITY,EQ,INE095I01015,217.17,218.0,204.3,207.6,211.92,18148.0,3787506.31
2026-04-15,PPAP,EQUITY,EQ,INE095I01015,211.0,214.52,207.02,211.92,206.68,10581.0,2242172.15
2026-04-13,PPAP,EQUITY,EQ,INE095I01015,204.29,209.95,200.0,206.68,208.0,10117.0,2084806.49
2026-04-10,PPAP,EQUITY,EQ,INE095I01015,203.83,212.67,203.83,208.0,202.78,21418.0,4456323.1
2026-04-09,PPAP,EQUITY,EQ,INE095I01015,201.47,204.59,200.0,202.78,201.47,9686.0,1960416.84
2026-04-08,PPAP,EQUITY,EQ,INE095I01015,199.95,207.48,199.0,201.47,196.4,30715.0,6227721.52
2026-04-07,PPAP,EQUITY,EQ,INE095I01015,196.05,198.39,193.0,196.4,195.99,5527.0,1083060.04
2026-04-06,PPAP,EQUITY,EQ,INE095I01015,191.0,198.0,189.3,195.99,191.18,7273.0,1413619.37
2026-04-02,PPAP,EQUITY,EQ,INE095I01015,187.05,192.8,182.0,191.18,190.49,10471.0,1960245.42
2026-04-01,PPAP,EQUITY,EQ,INE095I01015,188.2,199.4,187.47,190.49,176.94,42516.0,8161525.82
2026-03-30,PPAP,EQUITY,EQ,INE095I01015,180.0,185.0,176.0,176.94,183.31,31592.0,5663848.05
2026-03-27,PPAP,EQUITY,EQ,INE095I01015,196.6,196.6,177.55,183.31,196.6,51500.0,9469364.06
2026-03-25,PPAP,EQUITY,EQ,INE095I01015,196.11,205.0,192.28,196.6,191.22,16286.0,3218364.44
2026-03-24,PPAP,EQUITY,EQ,INE095I01015,196.0,197.0,190.05,191.22,190.14,7282.0,1397781.96
2026-03-23,PPAP,EQUITY,EQ,INE095I01015,197.78,203.99,190.0,190.14,197.78,20131.0,3868537.09
2026-03-20,PPAP,EQUITY,EQ,INE095I01015,203.01,205.48,196.35,197.78,199.07,17452.0,3505278.46
2026-03-19,PPAP,EQUITY,EQ,INE095I01015,205.0,205.76,198.02,199.07,206.38,6896.0,1395963.44
2026-03-18,PPAP,EQUITY,EQ,INE095I01015,204.05,213.0,200.5,206.38,202.91,20735.0,4334786.9
2026-03-17,PPAP,EQUITY,EQ,INE095I01015,200.01,204.99,195.12,202.91,196.32,10116.0,2032197.68
2026-03-16,PPAP,EQUITY,EQ,INE095I01015,198.01,198.37,190.71,196.32,195.42,12073.0,2359649.92
2026-03-13,PPAP,EQUITY,EQ,INE095I01015,203.71,204.38,195.0,195.42,202.42,14010.0,2775638.57
2026-03-12,PPAP,EQUITY,EQ,INE095I01015,203.3,207.19,198.12,202.42,201.05,10028.0,2036228.59
