trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-01,PPL,EQUITY,EQ,INE050001010,322.75,322.75,301.85,316.25,323.58,409811.0,128260123.2
2026-06-30,PPL,EQUITY,EQ,INE050001010,310.92,334.4,310.0,323.58,305.67,2647640.0,861969108.86
2026-06-29,PPL,EQUITY,EQ,INE050001010,262.4,314.9,261.17,305.67,262.74,3841343.0,1141143658.78
2026-06-25,PPL,EQUITY,EQ,INE050001010,262.2,266.39,259.01,262.74,261.23,117554.0,30897878.01
2026-06-24,PPL,EQUITY,EQ,INE050001010,262.55,263.95,253.27,261.23,262.89,119365.0,30829128.02
2026-06-23,PPL,EQUITY,EQ,INE050001010,265.05,268.0,260.12,262.89,264.39,124144.0,32748113.47
2026-06-22,PPL,EQUITY,EQ,INE050001010,259.2,269.6,259.2,264.39,259.63,123666.0,32826086.74
2026-06-19,PPL,EQUITY,EQ,INE050001010,259.91,262.76,255.04,259.63,259.91,93148.0,24155011.91
2026-06-18,PPL,EQUITY,EQ,INE050001010,262.0,264.85,252.22,259.91,259.96,106395.0,27499591.83
2026-06-17,PPL,EQUITY,EQ,INE050001010,258.65,265.0,254.95,259.96,258.39,177302.0,46088813.97
2026-06-16,PPL,EQUITY,EQ,INE050001010,259.7,266.8,250.0,258.39,257.76,263631.0,68258187.02
2026-06-15,PPL,EQUITY,EQ,INE050001010,247.0,262.0,243.19,257.76,241.32,389833.0,99712341.55
2026-06-12,PPL,EQUITY,EQ,INE050001010,238.02,246.0,237.99,241.32,236.84,154140.0,37201804.48
2026-06-11,PPL,EQUITY,EQ,INE050001010,233.1,242.1,223.6,236.84,236.49,186713.0,44098606.41
2026-06-10,PPL,EQUITY,EQ,INE050001010,237.24,244.0,233.61,236.49,239.43,322879.0,77295373.37
2026-06-09,PPL,EQUITY,EQ,INE050001010,230.13,241.76,227.71,239.43,230.13,331855.0,78165588.46
2026-06-08,PPL,EQUITY,EQ,INE050001010,224.98,239.94,217.8,230.13,223.86,453914.0,104211921.7
2026-06-05,PPL,EQUITY,EQ,INE050001010,207.5,228.99,206.41,223.86,208.16,705556.0,156235260.99
2026-06-04,PPL,EQUITY,EQ,INE050001010,203.33,211.35,198.31,208.16,198.59,172741.0,35736795.58
2026-06-03,PPL,EQUITY,EQ,INE050001010,203.37,204.78,196.0,198.59,203.37,66509.0,13250983.52
