trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,PRAENG,EQUITY,EQ,INE505C01016,24.74,24.74,22.5,22.69,24.25,88785.0,2074285.99
2026-09-07,PRAENG,EQUITY,EQ,INE505C01016,24.69,25.7,24.1,24.25,24.69,114004.0,2801581.65
2026-09-04,PRAENG,EQUITY,EQ,INE505C01016,25.49,26.1,24.36,24.69,25.75,154995.0,3901465.0
2026-09-03,PRAENG,EQUITY,EQ,INE505C01016,25.77,26.68,25.01,25.75,24.86,460839.0,12003171.46
2026-09-02,PRAENG,EQUITY,EQ,INE505C01016,24.98,26.19,24.42,24.86,24.44,407368.0,10228906.41
2026-09-01,PRAENG,EQUITY,EQ,INE505C01016,20.91,25.2,20.91,24.44,21.49,530839.0,12569219.31
2026-08-31,PRAENG,EQUITY,EQ,INE505C01016,20.0,21.69,20.0,21.49,20.63,111375.0,2362470.26
2026-08-28,PRAENG,EQUITY,EQ,INE505C01016,20.7,20.7,19.82,20.63,19.76,33024.0,673156.84
2026-08-27,PRAENG,EQUITY,EQ,INE505C01016,19.85,20.0,19.31,19.76,19.44,11024.0,218428.52
2026-08-26,PRAENG,EQUITY,EQ,INE505C01016,19.3,19.76,18.66,19.44,18.68,48151.0,944432.19
2026-08-25,PRAENG,EQUITY,EQ,INE505C01016,19.0,19.3,18.6,18.68,18.87,32622.0,611688.29
2026-08-24,PRAENG,EQUITY,EQ,INE505C01016,19.04,19.74,18.54,18.87,19.04,31273.0,592907.55
2026-08-21,PRAENG,EQUITY,EQ,INE505C01016,19.74,19.89,19.0,19.04,19.4,42494.0,814512.45
2026-08-20,PRAENG,EQUITY,EQ,INE505C01016,19.04,19.95,19.03,19.4,19.04,49764.0,973450.88
2026-08-19,PRAENG,EQUITY,EQ,INE505C01016,19.95,19.95,19.0,19.04,19.12,27779.0,532899.29
2026-08-18,PRAENG,EQUITY,EQ,INE505C01016,19.98,19.98,18.8,19.12,19.8,61920.0,1196491.35
2026-08-17,PRAENG,EQUITY,EQ,INE505C01016,20.0,20.2,19.35,19.8,20.2,47394.0,934567.14
2026-08-14,PRAENG,EQUITY,EQ,INE505C01016,19.7,21.09,19.7,20.2,19.79,24632.0,503006.0
2026-08-13,PRAENG,EQUITY,EQ,INE505C01016,19.84,20.19,19.61,19.79,19.86,18275.0,364193.35
2026-08-12,PRAENG,EQUITY,EQ,INE505C01016,19.95,20.32,19.69,19.86,19.86,25093.0,496693.66
2026-08-11,PRAENG,EQUITY,EQ,INE505C01016,19.7,20.5,19.7,19.86,19.88,27445.0,549690.64
2026-08-10,PRAENG,EQUITY,EQ,INE505C01016,19.9,20.33,19.61,19.88,19.9,40813.0,812345.44
2026-08-07,PRAENG,EQUITY,EQ,INE505C01016,20.49,20.9,19.36,19.9,20.49,124261.0,2485676.46
2026-08-06,PRAENG,EQUITY,EQ,INE505C01016,20.3,20.79,20.12,20.49,20.5,20955.0,428396.28
2026-08-05,PRAENG,EQUITY,EQ,INE505C01016,20.1,21.55,20.1,20.5,20.35,53674.0,1109583.16
